Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,82,良,细颗粒物(PM2.5),60,95,0.8,10,110,87,6
20200326,18,市中心血站,112,轻度污染,细颗粒物(PM2.5),84,85,0.9,15,110,85,6
20200326,20,市监测站,85,良,细颗粒物(PM2.5),63,104,0.9,15,92,100,35
20200326,20,市中心血站,93,良,细颗粒物(PM2.5),69,83,0.9,13,96,99,6
20200326,21,市监测站,79,良,细颗粒物(PM2.5),58,87,0.8,14,88,104,13
20200326,21,市中心血站,73,良,细颗粒物(PM2.5),53,70,0.9,11,90,104,10
20200327,09,市监测站,64,良,颗粒物(PM10),45,78,0.8,24,16,26,29
20200327,09,市中心血站,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,1.0,17,36,43,28
20200327,11,市监测站,67,良,颗粒物(PM10),46,83,0.8,19,46,25,32
20200327,11,市中心血站,64,良,细颗粒物(PM2.5),46,63,1.0,13,63,45,31
20200327,12,市监测站,74,良,颗粒物(PM10),49,98,0.8,15,77,31,28
20200327,12,市中心血站,74,良,细颗粒物(PM2.5),54,64,1.0,13,86,50,29
20200327,13,市监测站,75,良,细颗粒物(PM2.5),55,88,0.8,12,117,41,24
20200327,13,市中心血站,80,良,细颗粒物(PM2.5),59,86,1.0,11,113,59,22
20200327,13,市监测站,75,良,细颗粒物(PM2.5),55,88,0.8,12,117,41,24
20200327,13,市中心血站,80,良,细颗粒物(PM2.5),59,86,1.0,11,113,59,22
20200327,14,市监测站,75,良,细颗粒物(PM2.5),55,81,0.8,9,135,56,19
20200327,14,市中心血站,87,良,细颗粒物(PM2.5),64,90,0.9,9,129,69,16
20200327,15,市监测站,74,良,细颗粒物(PM2.5),54,87,0.8,8,145,72,15
20200327,15,市中心血站,92,良,细颗粒物(PM2.5),68,88,0.9,9,142,82,14
20200327,15,市监测站,74,良,细颗粒物(PM2.5),54,87,0.8,8,145,72,15
20200327,15,市中心血站,92,良,细颗粒物(PM2.5),68,88,0.9,9,142,82,14
20200327,16,市监测站,73,良,细颗粒物(PM2.5),53,84,0.8,9,148,89,13
20200327,16,市中心血站,98,良,细颗粒物(PM2.5),73,87,0.9,11,147,96,11
20200327,17,市监测站,73,良,细颗粒物(PM2.5),53,77,0.8,10,147,106,11
20200327,17,市中心血站,102,轻度污染,细颗粒物(PM2.5),76,91,0.9,11,142,109,11
20200327,17,市监测站,73,良,细颗粒物(PM2.5),53,77,0.8,10,147,106,11
20200327,17,市中心血站,102,轻度污染,细颗粒物(PM2.5),76,91,0.9,11,142,109,11
20200330,07,市监测站,16,优,NaN,4,16,0.5,11,28,29,11
20200330,07,市中心血站,20,优,NaN,3,20,0.7,19,19,29,12
20200330,08,市监测站,18,优,NaN,4,18,0.6,16,21,28,22
20200330,08,市中心血站,18,优,NaN,2,18,0.7,22,15,27,13
20200330,09,市监测站,42,优,NaN,4,42,0.6,16,25,28,17
20200330,09,市中心血站,29,优,NaN,2,29,0.7,23,18,24,13
20200330,09,市监测站,42,优,NaN,4,42,0.6,16,25,28,17
20200330,09,市中心血站,29,优,NaN,2,29,0.7,23,18,24,13
20200330,09,市监测站,42,优,NaN,4,42,0.6,16,25,28,17
20200330,09,市中心血站,29,优,NaN,2,29,0.7,23,18,24,13
20200330,10,市监测站,31,优,NaN,6,31,0.6,20,21,27,27
20200330,10,市中心血站,33,优,NaN,17,33,0.7,22,23,23,18
20200330,10,市监测站,31,优,NaN,6,31,0.6,20,21,27,27
20200330,10,市中心血站,33,优,NaN,17,33,0.7,22,23,23,18
20200330,11,市监测站,35,优,NaN,8,35,0.7,20,26,27,28
20200330,11,市中心血站,31,优,NaN,12,31,0.7,19,32,24,16
20200330,12,市监测站,27,优,NaN,8,27,0.7,16,37,27,26
20200330,12,市中心血站,25,优,NaN,10,25,0.7,15,40,25,18
20200330,13,市监测站,40,优,NaN,10,40,0.6,16,45,29,25
20200330,13,市中心血站,33,优,NaN,9,33,0.8,16,43,27,16
20200330,14,市监测站,41,优,NaN,13,41,0.6,16,48,31,18
20200330,14,市中心血站,44,优,NaN,6,44,0.7,14,49,30,16
20200330,15,市监测站,47,优,NaN,15,47,0.7,17,51,34,16
20200330,15,市中心血站,41,优,NaN,8,41,0.7,15,55,34,16
20200330,16,市监测站,45,优,NaN,17,45,0.6,17,59,39,19
20200330,16,市中心血站,54,良,细颗粒物(PM2.5),38,46,0.8,17,59,40,20
20200330,17,市监测站,49,优,NaN,17,49,0.6,18,56,43,18
20200330,17,市中心血站,52,良,颗粒物(PM10),28,54,0.8,16,56,45,18
20200330,18,市监测站,46,优,NaN,17,46,0.7,15,52,47,16
