Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,湖北民院,42,优,NaN,28,42,0.3,5,107,96,5
20200326,18,州电力总公司,42,优,NaN,22,42,0.5,11,106,106,6
20200326,20,湖北民院,52,良,颗粒物(PM10),32,54,0.3,6,80,104,4
20200326,20,州电力总公司,51,良,颗粒物(PM10),24,52,0.5,11,88,97,5
20200326,21,湖北民院,50,优,NaN,35,48,0.3,9,70,101,4
20200326,21,州电力总公司,49,优,NaN,28,49,0.5,18,79,92,5
20200327,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,州电力总公司,19,优,NaN,4,15,0.5,15,59,66,5
20200327,11,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,州电力总公司,19,优,NaN,7,16,0.5,15,60,65,5
20200327,12,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,州电力总公司,21,优,NaN,7,15,0.5,16,66,64,5
20200327,13,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,州电力总公司,23,优,NaN,8,16,0.5,15,72,65,5
20200327,13,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,州电力总公司,23,优,NaN,8,16,0.5,15,72,65,5
20200327,14,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,州电力总公司,24,优,NaN,5,14,0.4,14,75,65,5
20200327,15,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,州电力总公司,24,优,NaN,7,12,0.4,13,76,66,5
20200327,15,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,州电力总公司,24,优,NaN,7,12,0.4,13,76,66,5
20200327,16,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,州电力总公司,25,优,NaN,4,10,0.4,15,77,68,5
20200327,17,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,州电力总公司,23,优,NaN,4,8,0.4,16,71,70,5
20200330,07,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,州电力总公司,24,优,NaN,12,24,0.4,22,15,15,6
20200330,08,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,州电力总公司,25,优,NaN,6,25,0.5,21,15,15,6
20200330,09,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,州电力总公司,24,优,NaN,8,24,0.4,25,17,15,6
20200330,09,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,州电力总公司,24,优,NaN,8,24,0.4,25,17,15,6
20200330,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,州电力总公司,26,优,NaN,7,26,0.4,19,32,17,6
20200330,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,州电力总公司,26,优,NaN,7,26,0.4,19,32,17,6
20200330,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,州电力总公司,26,优,NaN,7,26,0.4,19,32,17,6
20200330,11,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,州电力总公司,25,优,NaN,10,25,0.5,22,32,18,5
20200330,12,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,州电力总公司,25,优,NaN,12,25,0.5,17,43,22,5
20200330,13,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,州电力总公司,27,优,NaN,11,27,0.5,17,50,27,6
20200330,14,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,州电力总公司,19,优,NaN,8,19,0.4,16,50,32,6
20200330,15,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,15,州电力总公司,17,优,NaN,6,16,0.4,15,52,36,5
20200330,16,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,州电力总公司,16,优,NaN,6,14,0.5,20,50,41,6
20200330,17,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,17,州电力总公司,14,优,NaN,7,12,0.5,27,41,44,5
20200330,18,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,18,州电力总公司,24,优,NaN,8,24,0.7,44,37,44,7
20200330,19,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,州电力总公司,51,良,颗粒物(PM10),11,52,0.6,35,25,44,6
20200330,20,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,20,州电力总公司,52,良,颗粒物(PM10),17,54,0.5,25,31,42,6
20200330,21,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,21,州电力总公司,36,优,NaN,16,36,0.5,23,32,40,6
20200330,22,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,22,州电力总公司,31,优,NaN,19,31,0.5,26,26,37,7
20200330,23,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,23,州电力总公司,25,优,NaN,15,25,0.5,29,25,33,5
20200331,00,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,00,州电力总公司,25,优,NaN,17,23,0.5,25,22,30,6
20200331,01,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,01,州电力总公司,22,优,NaN,7,22,0.5,20,22,22,6
20200331,02,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,02,州电力总公司,21,优,NaN,12,21,0.5,17,22,22,6
20200331,03,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,03,州电力总公司,21,优,NaN,11,21,0.4,10,29,24,6
20200331,04,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,04,州电力总公司,23,优,NaN,13,23,0.4,9,34,27,6
20200331,05,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,05,州电力总公司,22,优,NaN,8,22,0.5,9,32,28,5
20200331,06,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,06,州电力总公司,22,优,NaN,6,22,0.5,9,27,28,6
20200331,07,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,07,州电力总公司,18,优,NaN,8,18,0.5,13,22,27,5
20200331,08,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,08,州电力总公司,18,优,NaN,10,18,0.5,21,16,26,6
20200331,09,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,09,州电力总公司,23,优,NaN,9,23,0.5,25,13,24,7
20200331,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,10,州电力总公司,24,优,NaN,9,24,0.5,34,16,24,7
20200331,11,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,11,州电力总公司,24,优,NaN,6,24,0.4,23,25,23,7
20200331,12,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,12,州电力总公司,31,优,NaN,8,31,0.5,19,31,23,7
20200331,13,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,13,州电力总公司,29,优,NaN,5,29,0.5,17,46,24,7
20200331,14,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,14,州电力总公司,21,优,NaN,8,21,0.5,24,38,26,7
20200331,15,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,15,州电力总公司,29,优,NaN,13,29,0.5,24,42,28,6
20200331,16,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,16,州电力总公司,31,优,NaN,13,31,0.5,24,44,32,6
20200331,17,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,17,州电力总公司,26,优,NaN,12,26,0.4,23,47,36,6
20200331,18,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,18,州电力总公司,29,优,NaN,4,29,0.5,18,49,40,6
20200331,19,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,19,州电力总公司,28,优,NaN,9,28,0.6,30,42,42,7
20200331,20,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,20,州电力总公司,32,优,NaN,6,32,0.7,41,26,42,8
20200331,21,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,21,州电力总公司,40,优,NaN,7,40,0.7,38,17,38,6
20200331,22,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,22,州电力总公司,41,优,NaN,14,41,0.8,54,7,34,5
20200331,23,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,23,州电力总公司,49,优,NaN,23,49,0.8,46,9,30,6
20200401,00,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,00,州电力总公司,48,优,NaN,31,48,0.7,39,4,25,6
20200401,01,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,01,州电力总公司,44,优,NaN,28,44,0.7,34,1,1,7
20200401,02,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,02,州电力总公司,42,优,NaN,25,42,0.6,30,2,2,6
20200401,07,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,07,州电力总公司,35,优,NaN,16,35,0.5,23,2,2,5
20200401,08,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,08,州电力总公司,30,优,NaN,15,30,0.6,24,2,2,5
20200401,09,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,09,州电力总公司,29,优,NaN,14,29,0.6,22,3,2,6
20200401,10,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,10,州电力总公司,33,优,NaN,13,33,0.6,24,14,3,6
20200401,11,湖北民院,33,优,NaN,23,24,0.4,6,37,37,11
20200401,11,州电力总公司,36,优,NaN,14,36,0.5,22,29,7,7
20200401,12,湖北民院,30,优,NaN,21,27,0.3,NaN,45,41,6
20200401,12,州电力总公司,33,优,NaN,13,33,0.6,19,52,13,5
20200401,13,湖北民院,28,优,NaN,19,23,0.3,4,74,52,5
20200401,13,州电力总公司,26,优,NaN,12,26,0.5,13,78,23,6
20200401,14,湖北民院,27,优,NaN,15,27,0.3,4,79,59,5
20200401,14,州电力总公司,27,优,NaN,8,22,0.3,9,84,33,6
20200401,15,湖北民院,30,优,NaN,12,30,0.3,3,88,65,5
20200401,15,州电力总公司,29,优,NaN,6,20,0.2,11,90,44,6
20200401,16,湖北民院,30,优,NaN,13,28,0.3,4,93,69,5
20200401,16,州电力总公司,30,优,NaN,2,19,0.4,10,94,56,6
20200401,17,湖北民院,26,优,NaN,12,24,0.3,NaN,83,71,5
20200401,17,州电力总公司,29,优,NaN,8,24,0.3,11,90,66,5
20200401,18,湖北民院,35,优,NaN,12,35,0.3,6,81,72,5
20200401,18,州电力总公司,36,优,NaN,7,36,0.3,13,86,75,6
20200401,19,湖北民院,41,优,NaN,13,41,0.4,7,77,78,5
20200401,19,州电力总公司,41,优,NaN,8,41,0.4,14,81,82,6
20200401,20,湖北民院,34,优,NaN,14,34,0.4,9,69,80,5
20200401,20,州电力总公司,40,优,NaN,9,40,0.4,23,72,84,5
20200401,21,湖北民院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,21,州电力总公司,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,22,湖北民院,35,优,NaN,20,35,0.4,10,61,79,5
20200401,22,州电力总公司,41,优,NaN,24,41,0.6,35,51,81,8
20200401,23,湖北民院,33,优,NaN,23,32,0.3,12,56,74,4
20200401,23,州电力总公司,38,优,NaN,24,38,0.7,47,41,74,8
20200402,00,湖北民院,33,优,NaN,23,32,0.3,10,60,70,4
20200402,00,州电力总公司,40,优,NaN,23,40,0.5,34,46,67,8
20200402,01,湖北民院,36,优,NaN,23,36,0.3,7,67,67,4
20200402,01,州电力总公司,46,优,NaN,24,46,0.5,33,39,39,8
20200402,02,湖北民院,33,优,NaN,20,33,0.2,5,71,69,5
20200402,02,州电力总公司,39,优,NaN,24,39,0.5,26,44,42,7
20200402,07,湖北民院,46,优,NaN,30,46,0.3,5,70,69,5
20200402,07,州电力总公司,34,优,NaN,18,34,0.4,24,54,32,6
