Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市政府,30,优,NaN,18,30,0.8,12,92,73,8
20200326,18,赵家坝,31,优,NaN,16,NaN,0.7,9,99,80,12
20200326,18,凡口开发区,65,良,颗粒物(PM10),28,79,0.7,12,93,70,9
20200326,20,市政府,32,优,NaN,22,NaN,0.9,19,68,77,8
20200326,20,赵家坝,20,优,NaN,12,19,1.1,28,62,85,15
20200326,20,凡口开发区,35,优,NaN,12,35,0.7,15,75,79,9
20200326,21,市政府,36,优,NaN,25,29,0.8,21,61,77,8
20200326,21,赵家坝,38,优,NaN,26,29,1.0,14,75,85,11
20200326,21,凡口开发区,33,优,NaN,21,33,0.8,12,63,78,8
20200327,10,市政府,28,优,NaN,19,NaN,0.7,16,39,33,7
20200327,10,赵家坝,15,优,NaN,5,10,0.7,11,45,38,6
20200327,10,凡口开发区,20,优,NaN,2,20,0.6,16,48,42,7
20200327,11,市政府,19,优,NaN,13,14,0.7,10,55,36,8
20200327,11,赵家坝,19,优,NaN,2,3,0.6,8,58,41,6
20200327,11,凡口开发区,24,优,NaN,2,24,0.6,20,42,42,9
20200327,12,市政府,17,优,NaN,8,11,0.7,13,54,39,7
20200327,12,赵家坝,19,优,NaN,2,5,0.6,8,58,43,6
20200327,12,凡口开发区,21,优,NaN,5,21,0.6,15,54,44,9
20200327,13,市政府,18,优,NaN,4,14,0.7,12,57,42,7
20200327,13,赵家坝,20,优,NaN,5,7,0.6,8,61,46,6
20200327,13,凡口开发区,22,优,NaN,12,22,0.6,15,54,46,9
20200327,13,市政府,18,优,NaN,4,14,0.7,12,57,42,7
20200327,13,赵家坝,20,优,NaN,5,7,0.6,8,61,46,6
20200327,13,凡口开发区,22,优,NaN,12,22,0.6,15,54,46,9
20200327,14,市政府,18,优,NaN,7,10,0.7,11,57,45,8
20200327,14,赵家坝,20,优,NaN,5,NaN,0.6,7,62,49,6
20200327,14,凡口开发区,26,优,NaN,9,26,0.6,15,53,48,9
20200327,15,市政府,19,优,NaN,13,NaN,0.7,14,50,47,8
20200327,15,赵家坝,18,优,NaN,2,4,0.6,9,57,52,6
20200327,15,凡口开发区,34,优,NaN,10,34,0.6,17,53,49,9
20200327,15,市政府,19,优,NaN,13,NaN,0.7,14,50,47,8
20200327,15,赵家坝,18,优,NaN,2,4,0.6,9,57,52,6
20200327,15,凡口开发区,34,优,NaN,10,34,0.6,17,53,49,9
20200327,16,市政府,18,优,NaN,12,16,0.7,13,56,50,8
20200327,16,赵家坝,20,优,NaN,6,15,0.6,8,61,55,6
20200327,16,凡口开发区,40,优,NaN,10,40,0.6,17,53,51,9
20200327,17,市政府,27,优,NaN,10,27,0.6,14,58,53,7
20200327,17,赵家坝,20,优,NaN,10,18,0.6,8,62,58,6
20200327,17,凡口开发区,43,优,NaN,7,43,0.5,16,56,52,9
20200330,07,市政府,27,优,NaN,9,27,0.8,15,43,49,8
