Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,玛沁县大武镇,32,优,NaN,8,30,0.7,12,101,100,25
20200326,20,玛沁县大武镇,31,优,NaN,10,30,0.7,13,97,101,26
20200326,21,玛沁县大武镇,33,优,NaN,11,33,0.7,12,101,101,28
20200327,10,玛沁县大武镇,52,良,颗粒物(PM10),16,54,NaN,10,102,67,58
20200327,11,玛沁县大武镇,53,良,颗粒物(PM10),17,56,NaN,10,106,74,57
20200327,12,玛沁县大武镇,39,优,NaN,11,39,0.9,11,107,81,53
20200327,13,玛沁县大武镇,35,优,NaN,8,30,0.7,10,110,87,24
20200327,13,玛沁县大武镇,35,优,NaN,8,30,0.7,10,110,87,24
20200327,14,玛沁县大武镇,34,优,NaN,6,17,0.6,13,107,92,10
20200327,15,玛沁县大武镇,34,优,NaN,5,13,0.5,11,106,97,7
20200327,15,玛沁县大武镇,34,优,NaN,5,13,0.5,11,106,97,7
20200327,16,玛沁县大武镇,34,优,NaN,4,15,0.5,11,108,103,6
20200327,17,玛沁县大武镇,35,优,NaN,5,15,0.5,10,112,107,7
20200330,07,玛沁县大武镇,59,良,颗粒物(PM10),14,67,0.7,15,39,66,23
20200330,08,玛沁县大武镇,54,良,颗粒物(PM10),15,58,0.8,23,34,62,25
20200330,09,玛沁县大武镇,59,良,颗粒物(PM10),14,67,1.1,38,32,55,43
20200330,09,玛沁县大武镇,59,良,颗粒物(PM10),14,67,1.1,38,32,55,43
20200330,10,玛沁县大武镇,70,良,颗粒物(PM10),24,90,0.7,11,86,56,22
20200330,10,玛沁县大武镇,70,良,颗粒物(PM10),24,90,0.7,11,86,56,22
20200330,10,玛沁县大武镇,70,良,颗粒物(PM10),24,90,0.7,11,86,56,22
20200330,11,玛沁县大武镇,58,良,颗粒物(PM10),19,65,0.7,12,96,59,21
20200330,12,玛沁县大武镇,58,良,颗粒物(PM10),16,66,0.7,11,105,63,24
20200330,13,玛沁县大武镇,54,良,颗粒物(PM10),11,58,1.0,11,NaN,63,24
20200330,14,玛沁县大武镇,65,良,颗粒物(PM10),9,79,0.9,11,98,70,24
20200330,15,玛沁县大武镇,47,优,NaN,7,47,0.7,11,93,78,19
20200330,16,玛沁县大武镇,35,优,NaN,5,35,0.8,10,81,84,18
20200330,17,玛沁县大武镇,35,优,NaN,9,35,0.8,10,81,91,15
20200330,18,玛沁县大武镇,27,优,NaN,6,27,0.7,10,78,90,16
20200330,19,玛沁县大武镇,32,优,NaN,14,32,0.8,11,74,87,15
20200330,20,玛沁县大武镇,28,优,NaN,19,28,0.8,11,75,83,16
20200330,21,玛沁县大武镇,32,优,NaN,16,32,0.9,28,60,80,30
20200330,22,玛沁县大武镇,37,优,NaN,19,37,0.8,13,69,76,19
20200330,23,玛沁县大武镇,49,优,NaN,23,49,0.7,10,76,74,15
20200331,00,玛沁县大武镇,55,良,颗粒物(PM10),26,59,0.8,12,75,74,16
20200331,01,玛沁县大武镇,46,优,NaN,19,46,0.8,12,70,70,18
20200331,02,玛沁县大武镇,52,良,颗粒物(PM10),19,53,0.8,13,63,66,16
