Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,海门市监测站,45,优,NaN,31,34,0.9,43,44,34,3
20200326,18,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200326,18,社会福利院,42,优,NaN,29,32,1.3,38,43,29,2
20200326,20,海门市监测站,40,优,NaN,28,34,0.9,38,28,38,1
20200326,20,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200326,20,社会福利院,45,优,NaN,28,45,1.4,47,23,32,3
20200326,21,海门市监测站,48,优,NaN,33,42,0.9,37,41,39,2
20200326,21,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200326,21,社会福利院,46,优,NaN,32,36,1.2,41,28,33,2
20200327,10,海门市监测站,36,优,NaN,14,36,0.5,13,79,72,1
20200327,10,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,10,社会福利院,37,优,NaN,12,37,0.8,11,79,71,2
20200327,11,海门市监测站,28,优,NaN,10,28,0.5,11,81,75,1
20200327,11,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,11,社会福利院,33,优,NaN,11,33,0.7,9,80,73,2
20200327,12,海门市监测站,36,优,NaN,16,36,0.5,10,82,78,1
20200327,12,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,12,社会福利院,41,优,NaN,10,41,0.7,10,81,76,2
20200327,13,海门市监测站,43,优,NaN,10,43,0.5,10,90,81,1
20200327,13,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,13,社会福利院,46,优,NaN,11,46,0.7,8,92,80,2
20200327,14,海门市监测站,46,优,NaN,12,46,0.5,9,93,83,2
20200327,14,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,14,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,海门市监测站,46,优,NaN,12,46,0.5,9,93,83,2
20200327,14,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,14,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,海门市监测站,50,优,NaN,11,50,0.5,8,98,85,2
20200327,15,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,15,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,海门市监测站,50,优,NaN,11,50,0.5,8,98,85,2
20200327,15,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,15,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,海门市监测站,50,优,NaN,11,50,0.5,8,98,85,2
20200327,15,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,15,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,海门市监测站,50,优,NaN,11,50,0.5,8,98,85,2
20200327,15,蓓蕾幼儿园,38,优,NaN,20,38,0.6,19,33,42,6
20200327,15,社会福利院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
