Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市气象局,61,良,颗粒物(PM10),21,71,0.3,15,54,38,4
20200326,18,市政协,20,优,NaN,6,20,0.2,12,60,45,4
20200326,18,菏泽学院,55,良,颗粒物(PM10),6,59,0.1,15,60,44,6
20200326,20,市气象局,26,优,NaN,18,22,0.3,13,54,47,4
20200326,20,市政协,20,优,NaN,3,14,0.2,10,61,54,4
20200326,20,菏泽学院,27,优,NaN,6,27,NaN,13,60,54,5
20200326,21,市气象局,20,优,NaN,14,16,0.3,14,58,52,4
20200326,21,市政协,22,优,NaN,2,13,0.2,9,68,59,5
20200326,21,菏泽学院,21,优,NaN,7,18,NaN,13,65,59,6
20200327,10,市气象局,64,良,颗粒物(PM10),16,78,0.4,15,55,50,10
20200327,10,市政协,61,良,颗粒物(PM10),9,72,0.2,13,69,64,11
20200327,10,菏泽学院,50,优,NaN,6,50,0.1,12,68,62,11
20200327,11,市气象局,75,良,颗粒物(PM10),14,99,0.4,12,63,44,5
20200327,11,市政协,59,良,颗粒物(PM10),7,67,0.2,12,78,55,8
20200327,11,菏泽学院,61,良,颗粒物(PM10),5,72,0.1,11,78,52,7
20200327,12,市气象局,88,良,颗粒物(PM10),5,125,0.4,11,68,48,6
20200327,12,市政协,58,良,颗粒物(PM10),3,66,0.2,10,83,61,8
20200327,12,菏泽学院,62,良,颗粒物(PM10),3,74,0.1,11,82,58,8
20200327,13,市气象局,76,良,颗粒物(PM10),7,101,0.4,9,71,53,6
20200327,13,市政协,51,良,颗粒物(PM10),1,51,0.1,10,88,67,8
20200327,13,菏泽学院,60,良,颗粒物(PM10),1,69,0.1,11,82,63,7
20200327,14,市气象局,61,良,颗粒物(PM10),5,72,0.4,12,70,57,6
20200327,14,市政协,53,良,颗粒物(PM10),3,56,0.2,10,86,72,8
20200327,14,菏泽学院,53,良,颗粒物(PM10),3,55,0.1,12,83,68,8
20200327,14,市气象局,61,良,颗粒物(PM10),5,72,0.4,12,70,57,6
20200327,14,市政协,53,良,颗粒物(PM10),3,56,0.2,10,86,72,8
20200327,14,菏泽学院,53,良,颗粒物(PM10),3,55,0.1,12,83,68,8
20200327,15,市气象局,54,良,颗粒物(PM10),8,58,0.4,15,69,60,6
20200327,15,市政协,50,优,NaN,6,50,0.2,12,87,76,8
