Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保小区,30,优,NaN,13,30,0.8,19,48,44,7
20200326,18,政协大楼,53,良,颗粒物(PM10),13,55,0.5,14,53,50,7
20200326,20,环保小区,45,优,NaN,18,45,1.1,29,29,45,8
20200326,20,政协大楼,29,优,NaN,20,NaN,0.6,17,41,50,10
20200326,21,环保小区,47,优,NaN,27,47,1.0,30,25,41,7
20200326,21,政协大楼,40,优,NaN,26,40,0.6,19,31,48,10
20200327,10,环保小区,33,优,NaN,23,23,0.7,25,55,91,8
20200327,10,政协大楼,28,优,NaN,19,25,0.7,15,64,92,10
20200327,11,环保小区,33,优,NaN,19,33,0.7,27,50,84,8
20200327,11,政协大楼,27,优,NaN,15,27,0.6,14,68,86,11
20200327,12,环保小区,32,优,NaN,17,32,0.6,20,60,77,7
20200327,12,政协大楼,28,优,NaN,19,27,0.6,11,74,81,9
20200327,13,环保小区,27,优,NaN,15,27,0.6,16,69,72,7
20200327,13,政协大楼,24,优,NaN,14,17,0.6,10,75,78,NaN
20200327,14,环保小区,25,优,NaN,17,NaN,0.5,19,69,69,6
20200327,14,政协大楼,24,优,NaN,13,13,0.6,10,74,75,5
20200327,14,环保小区,25,优,NaN,17,NaN,0.5,19,69,69,6
20200327,14,政协大楼,24,优,NaN,13,13,0.6,10,74,75,5
20200327,15,环保小区,25,优,NaN,17,NaN,0.5,17,75,67,5
20200327,15,政协大楼,28,优,NaN,10,11,NaN,9,87,75,4
20200327,15,环保小区,25,优,NaN,17,NaN,0.5,17,75,67,5
20200327,15,政协大楼,28,优,NaN,10,11,NaN,9,87,75,4
20200327,17,环保小区,22,优,NaN,15,16,0.5,19,60,64,6
20200327,17,政协大楼,22,优,NaN,15,NaN,0.5,24,59,72,5
20200330,08,环保小区,10,优,NaN,2,10,0.5,11,28,31,7
20200330,08,政协大楼,10,优,NaN,4,6,0.5,8,29,31,5
20200330,09,环保小区,9,优,NaN,2,6,0.5,12,28,31,7
20200330,09,政协大楼,16,优,NaN,11,16,0.5,11,27,31,5
20200330,10,环保小区,10,优,NaN,2,10,0.6,14,27,31,7
20200330,10,政协大楼,19,优,NaN,13,16,0.5,19,24,30,6
20200330,10,环保小区,10,优,NaN,2,10,0.6,14,27,31,7
20200330,10,政协大楼,19,优,NaN,13,16,0.5,19,24,30,6
20200330,10,环保小区,10,优,NaN,2,10,0.6,14,27,31,7
20200330,10,政协大楼,19,优,NaN,13,16,0.5,19,24,30,6
20200330,11,环保小区,9,优,NaN,5,9,0.5,11,27,30,6
20200330,11,政协大楼,12,优,NaN,8,11,0.5,19,26,29,8
20200330,12,环保小区,13,优,NaN,9,11,0.6,13,27,29,6
20200330,12,政协大楼,10,优,NaN,7,8,0.5,18,22,28,8
20200330,14,环保小区,15,优,NaN,10,11,0.6,12,30,28,7
20200330,14,政协大楼,14,优,NaN,3,14,0.5,11,30,27,5
20200330,15,环保小区,18,优,NaN,10,18,0.6,11,30,28,7
20200330,15,政协大楼,16,优,NaN,2,16,0.5,10,32,27,5
20200330,16,环保小区,18,优,NaN,6,18,0.5,12,29,28,8
20200330,16,政协大楼,20,优,NaN,4,20,0.5,15,27,27,7
20200330,17,环保小区,23,优,NaN,16,NaN,0.5,13,28,28,8
20200330,17,政协大楼,22,优,NaN,7,22,0.5,17,22,26,7
20200330,18,环保小区,26,优,NaN,18,19,0.5,15,26,28,7
20200330,18,政协大楼,18,优,NaN,8,18,0.5,26,19,26,8
20200330,19,环保小区,32,优,NaN,22,24,0.5,16,24,28,6
20200330,19,政协大楼,28,优,NaN,12,28,0.5,17,24,25,6
20200330,20,环保小区,22,优,NaN,14,22,0.5,17,24,28,6
20200330,20,政协大楼,30,优,NaN,19,30,0.5,15,24,26,5
20200330,21,环保小区,23,优,NaN,14,23,0.5,15,26,27,6
20200330,21,政协大楼,25,优,NaN,17,18,0.5,14,25,25,5
20200330,22,环保小区,20,优,NaN,11,20,0.5,14,26,27,6
20200330,22,政协大楼,16,优,NaN,11,13,0.5,12,26,25,5
20200330,23,环保小区,16,优,NaN,11,12,0.4,14,24,26,6
20200330,23,政协大楼,16,优,NaN,11,12,0.5,12,24,24,5
20200331,00,环保小区,13,优,NaN,9,11,0.5,14,23,25,6
20200331,00,政协大楼,16,优,NaN,10,16,0.5,11,23,23,5
20200331,01,环保小区,13,优,NaN,9,10,0.4,12,23,23,6
20200331,01,政协大楼,14,优,NaN,4,14,0.5,10,23,23,4
20200331,02,环保小区,13,优,NaN,9,NaN,0.4,10,26,24,6
20200331,02,政协大楼,8,优,NaN,3,6,0.5,9,24,24,4
20200331,03,环保小区,10,优,NaN,4,10,0.4,10,25,25,6
20200331,03,政协大楼,9,优,NaN,2,4,0.5,8,26,24,5
20200331,04,环保小区,12,优,NaN,8,10,0.4,9,26,25,6
20200331,04,政协大楼,9,优,NaN,4,9,0.5,8,25,24,5
20200331,05,环保小区,10,优,NaN,7,10,0.4,8,27,25,5
20200331,05,政协大楼,13,优,NaN,4,13,0.5,7,28,25,5
20200331,06,环保小区,16,优,NaN,11,NaN,0.4,8,27,26,5
20200331,06,政协大楼,9,优,NaN,4,9,0.5,7,28,26,5
20200331,07,环保小区,13,优,NaN,9,9,0.4,9,27,26,6
20200331,07,政协大楼,10,优,NaN,7,8,0.5,6,27,26,5
20200331,08,环保小区,9,优,NaN,6,6,0.4,11,27,26,7
20200331,08,政协大楼,12,优,NaN,6,12,0.5,8,26,26,5
20200331,09,环保小区,9,优,NaN,6,9,0.5,14,27,26,6
20200331,09,政协大楼,16,优,NaN,11,NaN,0.5,12,22,26,6
20200331,10,环保小区,19,优,NaN,7,19,0.5,13,27,27,7
20200331,10,政协大楼,16,优,NaN,11,11,0.5,19,19,25,8
20200331,11,环保小区,27,优,NaN,10,27,0.5,13,27,27,7
20200331,11,政协大楼,18,优,NaN,7,18,0.5,13,22,25,6
20200331,12,环保小区,16,优,NaN,10,16,0.4,11,27,27,7
20200331,12,政协大楼,20,优,NaN,7,20,0.5,19,22,24,6
20200331,13,环保小区,12,优,NaN,8,10,0.5,11,27,27,6
20200331,13,政协大楼,14,优,NaN,5,14,0.5,10,27,24,6
