Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,城西水厂,51,良,颗粒物(PM10),35,52,0.8,NaN,19,18,NaN
20200326,18,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200326,18,仁皇山新区,61,良,颗粒物(PM10),39,71,0.9,64,13,13,4
20200326,18,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200326,18,吴兴区站,70,良,颗粒物(PM10),43,90,0.9,68,26,33,5
20200326,20,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,城西水厂,54,良,颗粒物(PM10),28,57,0.8,60,26,22,4
20200326,20,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200326,20,仁皇山新区,54,良,细颗粒物(PM2.5),38,52,0.9,69,2,13,4
20200326,20,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200326,20,吴兴区站,58,良,颗粒物(PM10),31,66,0.8,67,19,29,4
20200326,21,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,城西水厂,38,优,NaN,23,25,0.7,75,6,22,4
20200326,21,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200326,21,仁皇山新区,39,优,NaN,27,28,0.8,67,4,13,4
20200326,21,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200326,21,吴兴区站,54,良,颗粒物(PM10),26,58,0.8,79,13,30,4
20200327,10,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,城西水厂,15,优,NaN,4,13,0.7,22,47,44,4
20200327,10,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,10,仁皇山新区,17,优,NaN,5,8,0.6,14,52,48,4
20200327,10,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,10,吴兴区站,15,优,NaN,5,10,0.8,24,48,45,1
20200327,11,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,城西水厂,14,优,NaN,4,7,0.7,27,43,42,3
20200327,11,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,11,仁皇山新区,17,优,NaN,7,11,0.5,15,52,48,4
20200327,11,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,11,吴兴区站,15,优,NaN,7,15,0.7,28,45,44,1
20200327,12,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,城西水厂,20,优,NaN,5,20,0.6,19,53,43,3
20200327,12,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,12,仁皇山新区,20,优,NaN,9,20,0.5,16,56,48,4
20200327,12,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,12,吴兴区站,22,优,NaN,10,22,0.6,21,54,44,1
20200327,13,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,城西水厂,31,优,NaN,5,31,0.5,22,55,44,4
20200327,13,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,13,仁皇山新区,23,优,NaN,9,23,0.4,16,61,50,4
20200327,13,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,13,吴兴区站,24,优,NaN,10,24,0.7,18,60,46,1
20200327,14,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,城西水厂,36,优,NaN,6,36,0.5,18,63,47,4
20200327,14,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,14,仁皇山新区,30,优,NaN,9,30,0.4,16,63,53,4
20200327,14,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,14,吴兴区站,24,优,NaN,9,24,0.6,17,NaN,48,2
20200327,14,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,城西水厂,36,优,NaN,6,36,0.5,18,63,47,4
20200327,14,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,14,仁皇山新区,30,优,NaN,9,30,0.4,16,63,53,4
20200327,14,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,14,吴兴区站,24,优,NaN,9,24,0.6,17,NaN,48,2
20200327,15,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,城西水厂,46,优,NaN,7,46,0.5,18,65,50,4
20200327,15,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,15,仁皇山新区,37,优,NaN,9,37,0.4,17,64,55,5
20200327,15,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
20200327,15,吴兴区站,25,优,NaN,8,25,0.5,19,NaN,49,2
20200327,16,城北水厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,城西水厂,49,优,NaN,9,49,0.5,22,65,54,4
20200327,16,吉山新村,201,重度污染,细颗粒物(PM2.5),151,194,1.757,145,8,11,35
20200327,16,仁皇山新区,44,优,NaN,10,44,0.4,20,64,58,5
20200327,16,吴兴区,32,优,NaN,20,25,0.511,15,102,82,12
