Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保局子站,28,优,NaN,13,28,0.5,17,38,56,2
20200326,18,开发区子站,40,优,NaN,16,40,0.4,19,44,57,5
20200326,20,环保局子站,19,优,NaN,7,19,0.5,9,49,53,2
20200326,20,开发区子站,21,优,NaN,10,21,0.3,13,48,53,2
20200326,21,环保局子站,17,优,NaN,6,15,0.5,8,52,51,3
20200326,21,开发区子站,18,优,NaN,8,11,0.3,9,56,52,1
20200327,10,环保局子站,73,良,颗粒物(PM10),14,95,0.3,7,65,65,4
20200327,10,开发区子站,126,轻度污染,颗粒物(PM10),16,201,0.2,8,62,62,3
20200327,11,环保局子站,66,良,颗粒物(PM10),11,81,0.3,5,67,58,3
20200327,11,开发区子站,102,轻度污染,颗粒物(PM10),13,154,0.2,7,63,56,1
20200327,12,环保局子站,56,良,颗粒物(PM10),8,62,0.4,5,67,60,4
20200327,12,开发区子站,79,良,颗粒物(PM10),9,108,0.3,5,67,57,2
20200327,13,环保局子站,51,良,颗粒物(PM10),6,52,0.3,5,71,62,4
20200327,13,开发区子站,62,良,颗粒物(PM10),7,73,0.2,4,69,59,2
20200327,14,环保局子站,52,良,颗粒物(PM10),5,54,0.3,4,71,64,3
20200327,14,开发区子站,53,良,颗粒物(PM10),6,56,0.2,5,69,61,2
20200327,14,环保局子站,52,良,颗粒物(PM10),5,54,0.3,4,71,64,3
20200327,14,开发区子站,53,良,颗粒物(PM10),6,56,0.2,5,69,61,2
20200327,15,环保局子站,58,良,颗粒物(PM10),6,66,0.4,5,71,66,3
20200327,15,开发区子站,59,良,颗粒物(PM10),7,68,0.2,7,69,64,2
20200327,16,环保局子站,44,优,NaN,5,44,0.4,5,73,68,3
20200327,16,开发区子站,58,良,颗粒物(PM10),5,66,0.2,8,71,66,2
20200327,17,环保局子站,35,优,NaN,4,35,0.4,8,70,69,3
20200327,17,开发区子站,40,优,NaN,4,40,0.2,9,69,67,2
20200330,07,环保局子站,87,良,颗粒物(PM10),44,123,1.3,59,17,34,13
20200330,07,开发区子站,40,优,NaN,28,40,0.6,36,33,46,2
20200330,07,环保局子站,87,良,颗粒物(PM10),44,123,1.3,59,17,34,13
20200330,07,开发区子站,40,优,NaN,28,40,0.6,36,33,46,2
20200330,10,环保局子站,88,良,颗粒物(PM10),49,125,0.9,33,51,35,17
20200330,10,开发区子站,77,良,颗粒物(PM10),49,104,0.8,37,50,44,15
20200330,10,环保局子站,88,良,颗粒物(PM10),49,125,0.9,33,51,35,17
20200330,10,开发区子站,77,良,颗粒物(PM10),49,104,0.8,37,50,44,15
20200330,10,环保局子站,88,良,颗粒物(PM10),49,125,0.9,33,51,35,17
20200330,10,开发区子站,77,良,颗粒物(PM10),49,104,0.8,37,50,44,15
20200330,11,环保局子站,99,良,颗粒物(PM10),60,148,1.0,36,57,38,17
20200330,11,开发区子站,74,良,细颗粒物(PM2.5),54,94,0.7,36,61,46,16
20200330,12,环保局子站,105,轻度污染,颗粒物(PM10),60,159,0.9,27,83,43,16
20200330,12,开发区子站,77,良,细颗粒物(PM2.5),56,82,0.7,26,82,51,13
20200330,12,环保局子站,105,轻度污染,颗粒物(PM10),60,159,0.9,27,83,43,16
20200330,12,开发区子站,77,良,细颗粒物(PM2.5),56,82,0.7,26,82,51,13
20200330,14,环保局子站,109,轻度污染,颗粒物(PM10),64,167,0.9,26,97,62,14
20200330,14,开发区子站,51,良,颗粒物(PM10),28,51,0.4,9,104,67,7
20200330,14,环保局子站,109,轻度污染,颗粒物(PM10),64,167,0.9,26,97,62,14
20200330,14,开发区子站,51,良,颗粒物(PM10),28,51,0.4,9,104,67,7
20200330,16,环保局子站,87,良,颗粒物(PM10),44,123,0.9,30,80,74,10
20200330,16,开发区子站,51,良,颗粒物(PM10),35,52,0.5,11,114,81,8
20200330,17,环保局子站,82,良,颗粒物(PM10),43,113,0.8,25,96,81,10
20200330,17,开发区子站,54,良,颗粒物(PM10),35,58,0.5,12,116,90,9
20200330,18,环保局子站,82,良,颗粒物(PM10),40,114,0.9,30,89,86,9
20200330,18,开发区子站,54,良,颗粒物(PM10),35,58,0.5,13,115,99,9
20200330,19,环保局子站,74,良,颗粒物(PM10),38,98,0.8,32,88,90,9
20200330,19,开发区子站,53,良,颗粒物(PM10),33,55,0.5,21,99,103,9
20200330,20,环保局子站,89,良,颗粒物(PM10),47,128,0.9,30,81,90,9
20200330,20,开发区子站,73,良,细颗粒物(PM2.5),53,72,0.7,28,91,104,12
20200330,22,环保局子站,67,良,颗粒物(PM10),30,83,0.9,23,67,83,6
20200330,22,开发区子站,62,良,颗粒物(PM10),42,73,0.7,26,75,98,10
20200330,22,环保局子站,67,良,颗粒物(PM10),30,83,0.9,23,67,83,6
20200330,22,开发区子站,62,良,颗粒物(PM10),42,73,0.7,26,75,98,10
20200330,23,环保局子站,63,良,颗粒物(PM10),29,76,0.9,22,69,80,6
20200330,23,开发区子站,62,良,细颗粒物(PM2.5),44,64,0.7,25,71,95,10
20200331,00,环保局子站,60,良,颗粒物(PM10),27,69,0.9,23,64,78,6
20200331,00,开发区子站,59,良,颗粒物(PM10),40,67,0.7,28,64,89,10
20200331,01,环保局子站,58,良,颗粒物(PM10),26,65,0.9,25,60,60,6
20200331,01,开发区子站,45,优,NaN,30,45,0.6,19,73,73,5
20200331,02,环保局子站,57,良,颗粒物(PM10),26,63,0.9,22,65,62,6
20200331,02,开发区子站,52,良,细颗粒物(PM2.5),36,43,0.7,29,62,68,5
20200331,03,环保局子站,54,良,颗粒物(PM10),23,57,0.8,21,64,63,6
20200331,03,开发区子站,55,良,细颗粒物(PM2.5),39,52,0.8,41,50,62,5
20200331,03,环保局子站,54,良,颗粒物(PM10),23,57,0.8,21,64,63,6
20200331,03,开发区子站,55,良,细颗粒物(PM2.5),39,52,0.8,41,50,62,5
20200331,03,环保局子站,54,良,颗粒物(PM10),23,57,0.8,21,64,63,6
20200331,03,开发区子站,55,良,细颗粒物(PM2.5),39,52,0.8,41,50,62,5
20200331,03,环保局子站,54,良,颗粒物(PM10),23,57,0.8,21,64,63,6
20200331,03,开发区子站,55,良,细颗粒物(PM2.5),39,52,0.8,41,50,62,5
20200331,03,环保局子站,54,良,颗粒物(PM10),23,57,0.8,21,64,63,6
20200331,03,开发区子站,55,良,细颗粒物(PM2.5),39,52,0.8,41,50,62,5
20200331,08,环保局子站,59,良,颗粒物(PM10),35,68,1.0,50,39,56,8
20200331,08,开发区子站,55,良,细颗粒物(PM2.5),39,42,0.6,37,46,57,5
20200331,08,环保局子站,59,良,颗粒物(PM10),35,68,1.0,50,39,56,8
20200331,08,开发区子站,55,良,细颗粒物(PM2.5),39,42,0.6,37,46,57,5
20200331,10,环保局子站,85,良,颗粒物(PM10),46,119,1.1,44,48,50,12
20200331,10,开发区子站,75,良,细颗粒物(PM2.5),55,91,0.8,51,47,49,14
20200331,11,环保局子站,91,良,颗粒物(PM10),57,131,1.1,36,59,49,14
20200331,11,开发区子站,93,良,细颗粒物(PM2.5),69,80,0.8,38,61,52,14
20200331,12,环保局子站,94,良,颗粒物(PM10),63,137,1.0,39,64,51,14
20200331,12,开发区子站,97,良,细颗粒物(PM2.5),72,82,0.7,34,72,55,14
20200331,13,环保局子站,94,良,颗粒物(PM10),65,137,1.0,38,69,54,15
20200331,13,开发区子站,100,良,细颗粒物(PM2.5),75,96,0.7,NaN,84,59,NaN
20200331,14,环保局子站,96,良,颗粒物(PM10),68,141,1.0,37,75,57,14
20200331,14,开发区子站,82,良,颗粒物(PM10),NaN,114,NaN,31,86,64,16
20200331,15,环保局子站,97,良,颗粒物(PM10),71,144,1.0,32,82,60,15
20200331,15,开发区子站,77,良,颗粒物(PM10),NaN,104,0.6,24,86,66,11
20200331,16,环保局子站,99,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",74,147,1.0,26,93,67,14
20200331,16,开发区子站,64,良,颗粒物(PM10),NaN,77,0.6,24,80,71,7
20200331,17,环保局子站,104,轻度污染,细颗粒物(PM2.5),78,150,1.1,28,94,73,14
20200331,17,开发区子站,82,良,细颗粒物(PM2.5),60,80,0.6,29,79,74,8
20200331,18,环保局子站,98,良,细颗粒物(PM2.5),73,138,1.1,32,84,78,13
20200331,18,开发区子站,84,良,细颗粒物(PM2.5),62,92,0.7,38,72,78,7
20200331,19,环保局子站,99,良,细颗粒物(PM2.5),74,137,1.2,57,57,77,13
20200331,19,开发区子站,95,良,细颗粒物(PM2.5),71,98,0.8,38,71,79,8
20200331,19,环保局子站,99,良,细颗粒物(PM2.5),74,137,1.2,57,57,77,13
20200331,19,开发区子站,95,良,细颗粒物(PM2.5),71,98,0.8,38,71,79,8
20200331,22,环保局子站,103,轻度污染,细颗粒物(PM2.5),77,142,1.3,62,39,62,10
20200331,22,开发区子站,92,良,颗粒物(PM10),66,133,0.9,75,32,69,10
20200331,22,环保局子站,103,轻度污染,细颗粒物(PM2.5),77,142,1.3,62,39,62,10
20200331,22,开发区子站,92,良,颗粒物(PM10),66,133,0.9,75,32,69,10
20200331,23,环保局子站,109,轻度污染,细颗粒物(PM2.5),82,151,1.3,59,39,57,11
20200331,23,开发区子站,107,轻度污染,细颗粒物(PM2.5),80,115,1.0,73,27,62,10
20200401,00,环保局子站,120,轻度污染,细颗粒物(PM2.5),91,165,1.4,49,43,51,12
20200401,00,开发区子站,109,轻度污染,细颗粒物(PM2.5),82,112,1.0,70,25,55,12
20200401,01,环保局子站,117,轻度污染,细颗粒物(PM2.5),88,159,1.3,35,53,53,11
20200401,01,开发区子站,113,轻度污染,细颗粒物(PM2.5),85,115,1.0,53,39,39,13
20200401,02,环保局子站,115,轻度污染,细颗粒物(PM2.5),87,152,1.2,27,56,54,9
20200401,02,开发区子站,120,轻度污染,细颗粒物(PM2.5),91,112,0.9,59,34,36,11
20200401,07,环保局子站,68,良,颗粒物(PM10),46,85,0.9,31,37,51,8
20200401,07,开发区子站,73,良,颗粒物(PM10),51,95,0.6,36,34,42,9
20200401,08,环保局子站,51,良,颗粒物(PM10),18,52,0.7,25,42,50,9
20200401,08,开发区子站,66,良,颗粒物(PM10),25,81,0.5,27,39,42,5
20200401,09,环保局子站,33,优,NaN,10,33,0.6,14,57,50,6
20200401,09,开发区子站,68,良,颗粒物(PM10),8,85,0.3,12,52,43,3
20200401,10,环保局子站,23,优,NaN,7,23,0.5,10,57,47,5
20200401,10,开发区子站,53,良,颗粒物(PM10),5,55,0.3,8,55,43,3
20200401,11,环保局子站,20,优,NaN,5,18,0.5,8,61,48,4
20200401,11,开发区子站,42,优,NaN,4,42,0.3,9,57,44,3
20200401,12,环保局子站,22,优,NaN,6,16,0.5,8,68,53,4
20200401,12,开发区子站,38,优,NaN,5,38,0.3,10,64,50,3
20200401,13,环保局子站,23,优,NaN,5,12,0.5,5,73,56,3
20200401,13,开发区子站,28,优,NaN,4,28,0.3,8,68,52,1
20200401,14,环保局子站,24,优,NaN,5,15,0.5,6,76,60,3
20200401,14,开发区子站,44,优,NaN,4,44,0.2,9,70,56,1
20200401,16,环保局子站,25,优,NaN,5,14,0.5,6,78,70,4
20200401,16,开发区子站,51,良,颗粒物(PM10),4,51,0.3,11,70,64,3
20200401,16,环保局子站,25,优,NaN,5,14,0.5,6,78,70,4
20200401,16,开发区子站,51,良,颗粒物(PM10),4,51,0.3,11,70,64,3
20200401,17,环保局子站,24,优,NaN,5,12,0.5,9,74,72,5
20200401,17,开发区子站,36,优,NaN,4,36,0.3,14,67,66,3
20200401,18,环保局子站,21,优,NaN,5,14,0.6,14,67,72,5
20200401,18,开发区子站,41,优,NaN,4,41,0.3,20,61,66,4
20200401,19,环保局子站,19,优,NaN,8,19,0.6,19,56,71,5
20200401,19,开发区子站,37,优,NaN,6,37,0.3,24,52,65,5
20200401,20,环保局子站,18,优,NaN,8,17,0.6,13,57,70,5
20200401,20,开发区子站,47,优,NaN,8,47,0.3,23,47,63,4
20200401,21,环保局子站,19,优,NaN,6,14,0.6,11,58,68,5
20200401,21,开发区子站,43,优,NaN,8,43,0.3,22,46,60,3
20200401,22,环保局子站,17,优,NaN,9,17,0.6,14,52,65,6
20200401,22,开发区子站,26,优,NaN,7,26,0.3,24,45,57,2
20200401,23,环保局子站,19,优,NaN,10,19,0.6,14,52,62,6
20200401,23,开发区子站,26,优,NaN,8,26,0.3,25,45,54,2
20200401,23,环保局子站,19,优,NaN,10,19,0.6,14,52,62,6
20200401,23,开发区子站,26,优,NaN,8,26,0.3,25,45,54,2
20200402,01,环保局子站,21,优,NaN,12,21,0.7,12,56,56,6
20200402,01,开发区子站,22,优,NaN,10,22,0.3,17,48,48,1
20200402,02,环保局子站,26,优,NaN,14,26,0.7,16,54,55,8
20200402,02,开发区子站,23,优,NaN,10,23,0.3,25,41,44,2
20200402,07,环保局子站,27,优,NaN,15,27,0.9,45,26,27,6
20200402,07,开发区子站,34,优,NaN,16,34,0.5,47,29,32,9
