Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保局　,49,优,NaN,34,NaN,0.6,18,69,84,6
20200326,18,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,气象局　,45,优,NaN,31,NaN,0.3,9,70,86,7
20200326,20,环保局　,25,优,NaN,12,12,0.5,15,78,80,6
20200326,20,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,气象局　,24,优,NaN,8,12,0.3,6,76,82,6
20200326,21,环保局　,24,优,NaN,11,NaN,0.4,13,74,78,5
20200326,21,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,气象局　,24,优,NaN,14,NaN,0.3,6,74,79,7
20200327,10,环保局　,23,优,NaN,13,23,0.3,15,71,73,6
20200327,10,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,气象局　,30,优,NaN,9,30,0.2,5,67,68,5
20200327,11,环保局　,25,优,NaN,8,25,0.3,14,73,73,5
20200327,11,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,气象局　,23,优,NaN,12,23,0.2,5,69,69,5
20200327,12,环保局　,24,优,NaN,16,24,0.3,13,75,72,6
20200327,12,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,气象局　,26,优,NaN,11,26,0.2,5,71,68,5
20200327,13,环保局　,25,优,NaN,8,20,0.3,13,80,73,7
20200327,13,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,气象局　,23,优,NaN,8,19,0.2,5,72,68,5
20200327,14,环保局　,25,优,NaN,8,24,0.3,13,80,74,7
20200327,14,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,气象局　,23,优,NaN,8,21,0.2,4,73,69,5
20200327,14,环保局　,25,优,NaN,8,24,0.3,13,80,74,7
20200327,14,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,气象局　,23,优,NaN,8,21,0.2,4,73,69,5
20200327,15,环保局　,26,优,NaN,8,23,0.3,13,81,75,9
20200327,15,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,气象局　,25,优,NaN,12,25,0.2,4,74,70,4
20200327,16,环保局　,25,优,NaN,8,23,0.4,14,79,76,6
20200327,16,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,气象局　,27,优,NaN,13,27,0.2,5,76,71,5
20200327,17,环保局　,35,优,NaN,12,35,0.4,15,85,78,6
20200327,17,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,气象局　,38,优,NaN,13,38,0.3,5,79,73,5
20200330,09,环保局　,52,良,颗粒物(PM10),20,53,0.6,17,84,78,7
20200330,09,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,气象局　,57,良,颗粒物(PM10),14,63,0.4,9,88,82,10
20200330,09,环保局　,52,良,颗粒物(PM10),20,53,0.6,17,84,78,7
20200330,09,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,气象局　,57,良,颗粒物(PM10),14,63,0.4,9,88,82,10
20200330,10,环保局　,57,良,颗粒物(PM10),13,63,0.6,15,93,80,8
20200330,10,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,气象局　,56,良,颗粒物(PM10),12,62,0.4,9,92,83,10
20200330,10,环保局　,57,良,颗粒物(PM10),13,63,0.6,15,93,80,8
20200330,10,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,气象局　,56,良,颗粒物(PM10),12,62,0.4,9,92,83,10
20200330,10,环保局　,57,良,颗粒物(PM10),13,63,0.6,15,93,80,8
20200330,10,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,气象局　,56,良,颗粒物(PM10),12,62,0.4,9,92,83,10
20200330,11,环保局　,49,优,NaN,22,49,0.6,14,102,82,8
20200330,11,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,气象局　,53,良,颗粒物(PM10),8,56,0.4,9,99,86,11
20200330,12,环保局　,36,优,NaN,15,36,0.6,13,104,86,8
20200330,12,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,气象局　,52,良,颗粒物(PM10),15,53,0.4,9,108,89,10
20200330,13,环保局　,49,优,NaN,34,45,0.6,13,115,89,10
20200330,13,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,气象局　,52,良,颗粒物(PM10),28,54,0.4,9,116,93,10
20200330,14,环保局　,51,良,颗粒物(PM10),27,52,0.6,13,121,95,10
20200330,14,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,气象局　,53,良,颗粒物(PM10),20,56,0.4,9,123,99,10
20200330,16,环保局　,48,优,NaN,15,48,0.6,14,128,110,16
