Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,巡警大队,500,严重污染,颗粒物(PM10),308,1086,0.4,5,79,76,5
20200326,18,吾办,500,严重污染,颗粒物(PM10),299,1194,0.4,4,80,78,7
20200326,18,市环境监测站,500,严重污染,颗粒物(PM10),283,1056,NaN,9,80,81,5
20200326,20,巡警大队,500,严重污染,颗粒物(PM10),348,1226,0.5,9,71,77,5
20200326,20,吾办,500,严重污染,颗粒物(PM10),344,1281,0.5,11,70,79,7
20200326,20,市环境监测站,NaN,,NaN,NaN,NaN,0.4,NaN,70,80,5
20200326,21,巡警大队,500,严重污染,颗粒物(PM10),420,1359,0.5,11,69,76,5
20200326,21,吾办,500,严重污染,颗粒物(PM10),390,1463,0.5,10,72,78,8
20200326,21,市环境监测站,397,严重污染,细颗粒物(PM2.5),347,NaN,0.4,NaN,70,78,6
20200327,10,巡警大队,500,严重污染,颗粒物(PM10),488,1705,0.6,18,44,29,5
20200327,10,吾办,500,严重污染,颗粒物(PM10),487,1945,0.6,19,39,32,8
20200327,10,市环境监测站,500,严重污染,颗粒物(PM10),482,1690,0.5,18,45,34,6
20200327,11,巡警大队,500,严重污染,颗粒物(PM10),461,1631,0.6,19,45,32,5
20200327,11,吾办,500,严重污染,颗粒物(PM10),471,1888,0.7,33,30,32,8
20200327,11,市环境监测站,500,严重污染,颗粒物(PM10),484,1747,0.5,25,44,34,6
20200327,12,巡警大队,500,严重污染,颗粒物(PM10),453,1558,0.6,16,51,36,5
20200327,12,吾办,500,严重污染,颗粒物(PM10),454,1793,0.6,25,40,33,7
20200327,12,市环境监测站,500,严重污染,颗粒物(PM10),460,1693,0.5,27,41,36,6
20200327,13,巡警大队,500,严重污染,颗粒物(PM10),423,1488,0.5,17,56,41,NaN
20200327,13,吾办,500,严重污染,颗粒物(PM10),425,1750,0.6,23,47,37,7
20200327,13,市环境监测站,500,严重污染,颗粒物(PM10),441,1588,0.4,21,53,41,6
20200327,14,巡警大队,500,严重污染,颗粒物(PM10),386,1379,0.5,NaN,NaN,43,5
20200327,14,吾办,500,严重污染,颗粒物(PM10),406,1544,0.6,20,52,41,7
20200327,14,市环境监测站,500,严重污染,颗粒物(PM10),403,1460,0.4,18,58,45,6
20200327,14,巡警大队,500,严重污染,颗粒物(PM10),386,1379,0.5,NaN,NaN,43,5
20200327,14,吾办,500,严重污染,颗粒物(PM10),406,1544,0.6,20,52,41,7
20200327,14,市环境监测站,500,严重污染,颗粒物(PM10),403,1460,0.4,18,58,45,6
20200327,15,巡警大队,NaN,,NaN,NaN,NaN,NaN,10,74,49,5
20200327,15,吾办,500,严重污染,颗粒物(PM10),374,1414,0.5,10,66,45,7
20200327,15,市环境监测站,500,严重污染,颗粒物(PM10),369,1360,0.4,18,62,49,6
20200327,16,巡警大队,500,严重污染,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",644,1271,0.5,7,65,54,5
20200327,16,吾办,500,严重污染,颗粒物(PM10),370,1438,0.6,6,72,49,6
20200327,16,市环境监测站,500,严重污染,颗粒物(PM10),359,1290,0.5,13,71,52,6
20200327,17,巡警大队,500,严重污染,颗粒物(PM10),445,1271,0.5,5,71,58,5
20200327,17,吾办,500,严重污染,颗粒物(PM10),428,1631,0.5,6,72,52,7
20200327,17,市环境监测站,500,严重污染,颗粒物(PM10),400,1445,0.4,11,73,56,6
20200330,09,巡警大队,41,优,NaN,20,41,0.7,28,48,62,5
20200330,09,吾办,73,良,细颗粒物(PM2.5),53,78,1.0,28,35,55,11
20200330,09,市环境监测站,NaN,,NaN,62,NaN,0.8,34,22,47,8
20200330,10,巡警大队,59,良,颗粒物(PM10),26,68,1.0,47,19,58,6
20200330,10,吾办,79,良,细颗粒物(PM2.5),58,98,1.4,48,20,52,13
20200330,10,市环境监测站,92,良,细颗粒物(PM2.5),68,118,1.2,43,20,43,10
20200330,10,巡警大队,59,良,颗粒物(PM10),26,68,1.0,47,19,58,6
20200330,10,吾办,79,良,细颗粒物(PM2.5),58,98,1.4,48,20,52,13
20200330,10,市环境监测站,92,良,细颗粒物(PM2.5),68,118,1.2,43,20,43,10
20200330,10,巡警大队,59,良,颗粒物(PM10),26,68,1.0,47,19,58,6
20200330,10,吾办,79,良,细颗粒物(PM2.5),58,98,1.4,48,20,52,13
