Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,柳东小学,39,优,NaN,27,30,0.4,8,62,46,5
20200326,18,环保监测站,33,优,NaN,23,33,NaN,16,45,39,4
20200326,18,河西水厂,29,优,NaN,20,26,0.8,14,40,37,4
20200326,18,市四中,47,优,NaN,19,47,0.6,21,48,43,6
20200326,18,市九中,44,优,NaN,21,44,0.8,21,42,38,7
20200326,18,古亭山,34,优,NaN,18,34,0.6,11,58,45,5
20200326,20,柳东小学,46,优,NaN,32,44,0.5,24,40,49,5
20200326,20,环保监测站,52,良,细颗粒物(PM2.5),36,48,0.9,35,22,38,3
20200326,20,河西水厂,35,优,NaN,24,32,1.0,28,25,36,4
20200326,20,市四中,65,良,颗粒物(PM10),32,79,1.0,48,17,40,7
20200326,20,市九中,59,良,颗粒物(PM10),29,68,1.1,41,17,36,8
20200326,20,古亭山,47,优,NaN,22,47,0.7,22,37,48,5
20200326,21,柳东小学,49,优,NaN,34,45,0.4,14,51,52,5
20200326,21,环保监测站,52,良,颗粒物(PM10),32,53,1.0,39,15,35,3
20200326,21,河西水厂,45,优,NaN,31,41,1.2,42,16,33,4
20200326,21,市四中,71,良,颗粒物(PM10),32,91,0.9,47,14,37,7
20200326,21,市九中,66,良,颗粒物(PM10),35,81,1.2,43,13,34,7
20200326,21,古亭山,38,优,NaN,24,38,0.7,24,35,48,6
20200327,10,柳东小学,42,优,NaN,29,36,0.4,12,27,38,6
20200327,10,环保监测站,42,优,NaN,26,42,0.8,22,16,26,4
20200327,10,河西水厂,33,优,NaN,23,30,0.7,16,23,21,5
20200327,10,市四中,38,优,NaN,25,38,0.7,25,19,20,7
20200327,10,市九中,49,优,NaN,23,49,0.9,21,22,24,9
20200327,10,古亭山,49,优,NaN,25,49,0.8,33,11,24,8
20200327,11,柳东小学,49,优,NaN,34,36,0.4,14,31,34,6
20200327,11,环保监测站,45,优,NaN,26,45,0.8,19,23,23,4
20200327,11,河西水厂,36,优,NaN,25,33,0.7,16,24,23,5
20200327,11,市四中,50,优,NaN,25,50,0.7,25,23,18,7
20200327,11,市九中,51,良,颗粒物(PM10),28,52,1.0,24,22,22,8
20200327,11,古亭山,51,良,颗粒物(PM10),27,52,0.7,30,16,22,6
20200327,12,柳东小学,50,优,NaN,35,42,0.4,11,45,35,6
20200327,12,环保监测站,47,优,NaN,32,47,0.8,18,29,23,4
20200327,12,河西水厂,38,优,NaN,26,35,0.7,15,29,23,5
20200327,12,市四中,53,良,颗粒物(PM10),27,56,0.7,27,24,18,7
20200327,12,市九中,51,良,颗粒物(PM10),24,52,0.9,20,31,21,8
20200327,12,古亭山,NaN,,NaN,NaN,NaN,0.7,26,25,20,6
20200327,13,柳东小学,46,优,NaN,32,NaN,0.4,12,50,37,6
20200327,13,环保监测站,52,良,细颗粒物(PM2.5),36,51,0.8,17,36,24,4
20200327,13,河西水厂,38,优,NaN,26,36,0.7,13,35,24,4
20200327,13,市四中,63,良,颗粒物(PM10),27,75,0.7,27,28,19,7
20200327,13,市九中,50,优,NaN,28,50,0.9,16,39,22,8
20200327,13,古亭山,NaN,,NaN,NaN,NaN,0.6,14,43,21,5
20200327,14,柳东小学,43,优,NaN,30,31,0.4,9,64,41,6
20200327,14,环保监测站,42,优,NaN,28,42,0.7,10,54,28,4
20200327,14,河西水厂,39,优,NaN,27,34,0.6,8,46,27,4
20200327,14,市四中,68,良,颗粒物(PM10),23,86,0.5,13,55,24,7
20200327,14,市九中,42,优,NaN,27,42,0.9,13,53,27,8
20200327,14,古亭山,36,优,NaN,25,35,0.6,8,60,24,5
20200327,14,柳东小学,43,优,NaN,30,31,0.4,9,64,41,6
20200327,14,环保监测站,42,优,NaN,28,42,0.7,10,54,28,4
20200327,14,河西水厂,39,优,NaN,27,34,0.6,8,46,27,4
20200327,14,市四中,68,良,颗粒物(PM10),23,86,0.5,13,55,24,7
