Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,喜丰,NaN,,NaN,NaN,NaN,NaN,8,63,82,4
20200326,18,环保局,37,优,NaN,8,37,0.6,10,60,80,5
20200326,20,喜丰,22,优,NaN,14,22,0.6,NaN,64,70,7
20200326,20,环保局,29,优,NaN,9,29,0.6,7,62,65,5
20200326,21,喜丰,25,优,NaN,8,18,0.5,NaN,80,67,6
20200326,21,环保局,30,优,NaN,8,30,0.5,3,83,63,5
20200327,09,喜丰,61,良,颗粒物(PM10),16,71,0.5,8,72,67,8
20200327,09,环保局,61,良,颗粒物(PM10),16,71,0.5,5,71,64,4
20200327,11,喜丰,63,良,颗粒物(PM10),13,76,0.5,6,80,68,7
20200327,11,环保局,57,良,颗粒物(PM10),17,63,0.5,3,78,67,4
20200327,12,喜丰,57,良,颗粒物(PM10),7,64,0.5,6,82,70,7
20200327,12,环保局,49,优,NaN,12,49,0.5,3,80,70,4
20200327,13,喜丰,47,优,NaN,8,47,0.5,7,83,72,7
20200327,13,环保局,38,优,NaN,5,38,0.5,3,81,72,5
20200327,13,喜丰,47,优,NaN,8,47,0.5,7,83,72,7
20200327,13,环保局,38,优,NaN,5,38,0.5,3,81,72,5
20200327,14,喜丰,33,优,NaN,7,33,0.5,5,84,75,6
20200327,14,环保局,32,优,NaN,6,32,0.5,3,82,75,5
20200327,15,喜丰,30,优,NaN,3,30,0.5,6,84,78,5
20200327,15,环保局,30,优,NaN,4,30,0.5,3,83,77,5
20200327,15,喜丰,30,优,NaN,3,30,0.5,6,84,78,5
20200327,15,环保局,30,优,NaN,4,30,0.5,3,83,77,5
20200327,16,喜丰,28,优,NaN,2,28,0.5,7,85,81,7
20200327,16,环保局,27,优,NaN,6,27,0.5,3,85,79,5
20200327,17,喜丰,26,优,NaN,5,25,0.5,8,82,82,9
20200327,17,环保局,36,优,NaN,12,36,0.5,4,83,81,5
20200327,17,喜丰,26,优,NaN,5,25,0.5,8,82,82,9
20200327,17,环保局,36,优,NaN,12,36,0.5,4,83,81,5
20200330,07,喜丰,58,良,颗粒物(PM10),21,65,0.9,33,21,18,22
20200330,07,环保局,56,良,颗粒物(PM10),19,61,1.0,17,35,37,10
20200330,08,喜丰,57,良,颗粒物(PM10),27,64,1.0,36,31,20,33
20200330,08,环保局,58,良,颗粒物(PM10),26,65,1.0,21,39,37,20
20200330,09,喜丰,66,良,颗粒物(PM10),31,82,0.9,30,49,25,25
20200330,09,环保局,63,良,颗粒物(PM10),28,75,1.2,30,41,37,28
20200330,09,喜丰,66,良,颗粒物(PM10),31,82,0.9,30,49,25,25
20200330,09,环保局,63,良,颗粒物(PM10),28,75,1.2,30,41,37,28
20200330,09,喜丰,66,良,颗粒物(PM10),31,82,0.9,30,49,25,25
20200330,09,环保局,63,良,颗粒物(PM10),28,75,1.2,30,41,37,28
20200330,10,喜丰,74,良,颗粒物(PM10),33,98,0.8,21,74,31,20
20200330,10,环保局,74,良,颗粒物(PM10),30,98,1.0,23,69,41,39
20200330,10,喜丰,74,良,颗粒物(PM10),33,98,0.8,21,74,31,20
20200330,10,环保局,74,良,颗粒物(PM10),30,98,1.0,23,69,41,39
20200330,11,喜丰,62,良,颗粒物(PM10),28,73,0.7,17,89,40,18
20200330,11,环保局,70,良,颗粒物(PM10),32,90,0.8,13,92,48,14
20200330,12,喜丰,52,良,颗粒物(PM10),17,53,0.7,13,102,50,14
20200330,12,环保局,52,良,颗粒物(PM10),20,54,0.8,11,100,55,13
20200330,13,喜丰,48,优,NaN,15,48,0.7,11,107,61,13
20200330,13,环保局,37,优,NaN,17,37,0.8,9,108,64,12
20200330,14,喜丰,37,优,NaN,15,37,0.7,11,115,74,11
20200330,14,环保局,37,优,NaN,24,36,0.8,8,116,75,7
20200330,15,喜丰,38,优,NaN,10,29,0.7,10,120,86,11
20200330,15,环保局,36,优,NaN,25,30,0.8,10,NaN,81,8
20200330,16,喜丰,37,优,NaN,10,30,0.7,11,118,97,11
20200330,16,环保局,30,优,NaN,21,30,0.8,11,NaN,88,18
20200330,17,喜丰,37,优,NaN,12,34,0.7,11,118,105,12
20200330,17,环保局,33,优,NaN,16,33,0.8,12,NaN,97,11
20200330,18,喜丰,41,优,NaN,11,41,0.7,11,108,110,15
20200330,18,环保局,33,优,NaN,18,31,0.9,14,105,104,8
20200330,19,喜丰,39,优,NaN,16,39,0.7,7,NaN,113,9
20200330,19,环保局,44,优,NaN,26,44,1.6,35,63,98,25
20200330,20,喜丰,31,优,NaN,17,31,0.8,23,NaN,114,16
20200330,20,环保局,68,良,颗粒物(PM10),42,86,2.0,46,37,86,32
20200330,21,喜丰,45,优,NaN,16,45,0.9,27,66,108,19
20200330,21,环保局,86,良,颗粒物(PM10),63,122,1.7,42,36,71,23
20200330,22,喜丰,56,良,颗粒物(PM10),29,62,1.0,36,45,96,18
20200330,22,环保局,83,良,颗粒物(PM10),55,115,1.5,27,50,58,15
20200330,23,喜丰,64,良,颗粒物(PM10),37,78,1.1,56,23,80,20
20200330,23,环保局,70,良,颗粒物(PM10),36,90,1.5,24,45,56,15
20200331,00,喜丰,73,良,颗粒物(PM10),34,96,1.1,47,26,64,24
20200331,00,环保局,69,良,颗粒物(PM10),38,87,1.4,20,47,55,12
20200331,01,喜丰,72,良,颗粒物(PM10),36,93,1.1,49,21,21,20
20200331,01,环保局,69,良,颗粒物(PM10),39,88,1.3,18,46,46,10
20200331,02,喜丰,69,良,颗粒物(PM10),40,87,1.0,28,42,32,18
20200331,02,环保局,63,良,颗粒物(PM10),36,75,1.2,17,48,47,9
20200331,03,喜丰,65,良,颗粒物(PM10),36,79,1.0,31,35,33,17
20200331,03,环保局,60,良,颗粒物(PM10),31,70,1.2,15,49,48,9
20200331,04,喜丰,58,良,颗粒物(PM10),33,65,1.0,31,33,33,17
20200331,04,环保局,59,良,颗粒物(PM10),30,67,1.1,15,51,48,8
20200331,05,喜丰,55,良,颗粒物(PM10),28,59,1.0,36,28,32,16
20200331,05,环保局,57,良,颗粒物(PM10),33,64,1.1,16,47,48,9
20200331,06,喜丰,58,良,颗粒物(PM10),26,65,1.1,46,18,30,21
20200331,06,环保局,59,良,颗粒物(PM10),33,67,1.1,16,46,48,10
20200331,07,喜丰,63,良,颗粒物(PM10),38,75,1.1,40,24,29,27
20200331,07,环保局,58,良,颗粒物(PM10),38,65,1.2,19,45,47,14
20200331,08,喜丰,64,良,颗粒物(PM10),38,78,1.2,44,29,29,30
20200331,08,环保局,61,良,颗粒物(PM10),39,71,1.3,32,30,45,20
20200331,09,喜丰,74,良,颗粒物(PM10),38,97,1.3,52,32,30,30
20200331,09,环保局,73,良,颗粒物(PM10),47,96,1.4,41,37,44,27
20200331,10,喜丰,96,良,颗粒物(PM10),50,142,1.1,32,82,35,38
20200331,10,环保局,85,良,颗粒物(PM10),50,120,1.2,38,62,46,29
20200331,11,喜丰,93,良,颗粒物(PM10),48,136,1.0,21,129,47,29
20200331,11,环保局,89,良,颗粒物(PM10),45,127,1.0,18,135,57,29
20200331,12,喜丰,77,良,颗粒物(PM10),38,103,0.9,12,143,61,16
20200331,12,环保局,79,良,颗粒物(PM10),43,107,0.9,17,139,68,28
20200331,13,喜丰,70,良,颗粒物(PM10),38,89,1.1,16,145,75,18
20200331,13,环保局,68,良,颗粒物(PM10),42,85,1.2,12,150,80,16
20200331,14,喜丰,64,良,颗粒物(PM10),38,78,1.3,17,151,92,19
20200331,14,环保局,64,良,颗粒物(PM10),45,78,1.2,13,154,94,15
20200331,15,喜丰,70,良,颗粒物(PM10),39,90,1.3,17,147,107,17
20200331,15,环保局,66,良,颗粒物(PM10),40,82,1.3,21,141,106,21
20200331,16,喜丰,75,良,颗粒物(PM10),44,99,1.2,20,142,121,18
20200331,16,环保局,72,良,颗粒物(PM10),44,94,1.2,22,140,120,19
20200331,17,喜丰,69,良,颗粒物(PM10),49,87,1.2,21,139,135,22
20200331,17,环保局,73,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",53,96,1.2,18,145,133,14
20200331,18,喜丰,73,良,颗粒物(PM10),47,96,1.3,24,139,142,15
20200331,18,环保局,75,良,细颗粒物(PM2.5),55,90,1.2,19,144,144,12
20200331,19,喜丰,94,良,细颗粒物(PM2.5),70,119,1.3,25,128,142,14
20200331,19,环保局,109,轻度污染,细颗粒物(PM2.5),82,106,1.1,17,131,143,9
20200331,20,喜丰,114,轻度污染,细颗粒物(PM2.5),86,116,1.1,18,126,140,12
20200331,20,环保局,125,轻度污染,细颗粒物(PM2.5),95,116,1.0,16,122,141,6
20200331,21,喜丰,94,良,细颗粒物(PM2.5),70,113,1.1,18,110,135,11
20200331,21,环保局,117,轻度污染,细颗粒物(PM2.5),88,110,1.0,16,110,136,7
20200331,22,喜丰,99,良,细颗粒物(PM2.5),74,108,1.1,22,97,128,12
20200331,22,环保局,113,轻度污染,细颗粒物(PM2.5),85,110,1.0,15,93,128,9
20200331,23,喜丰,94,良,细颗粒物(PM2.5),70,93,1.1,30,74,119,14
20200331,23,环保局,99,良,细颗粒物(PM2.5),74,100,1.0,16,83,121,8
20200401,00,喜丰,82,良,细颗粒物(PM2.5),60,91,1.0,32,69,110,14
20200401,00,环保局,97,良,细颗粒物(PM2.5),72,96,1.0,15,73,113,10
20200401,01,喜丰,84,良,细颗粒物(PM2.5),62,96,1.0,27,62,62,11
20200401,01,环保局,92,良,细颗粒物(PM2.5),68,93,1.1,16,60,60,12
20200401,02,喜丰,85,良,细颗粒物(PM2.5),63,93,1.0,19,59,60,10
20200401,02,环保局,87,良,细颗粒物(PM2.5),64,89,1.0,12,60,60,11
20200401,07,喜丰,70,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",51,89,1.1,36,27,51,20
20200401,07,环保局,77,良,细颗粒物(PM2.5),56,85,1.0,28,28,48,21
20200401,08,喜丰,79,良,细颗粒物(PM2.5),58,90,1.2,35,26,48,22
20200401,08,环保局,77,良,细颗粒物(PM2.5),56,91,1.0,29,33,46,19
20200401,09,喜丰,89,良,颗粒物(PM10),60,127,1.0,32,53,47,20
20200401,09,环保局,83,良,细颗粒物(PM2.5),61,108,0.9,25,59,46,20
20200401,10,喜丰,96,良,颗粒物(PM10),59,142,0.8,18,89,51,14
20200401,10,环保局,78,良,细颗粒物(PM2.5),57,100,0.8,16,88,49,18
20200401,11,喜丰,74,良,颗粒物(PM10),46,98,0.7,11,98,55,10
20200401,11,环保局,67,良,细颗粒物(PM2.5),48,80,0.7,6,96,54,6
20200401,12,喜丰,59,良,颗粒物(PM10),26,67,0.7,10,97,60,9
20200401,12,环保局,56,良,颗粒物(PM10),36,62,0.7,6,97,61,6
20200401,13,喜丰,58,良,颗粒物(PM10),23,66,0.7,11,102,67,8
20200401,13,环保局,52,良,颗粒物(PM10),28,53,0.7,5,104,68,5
20200401,14,喜丰,55,良,颗粒物(PM10),26,59,0.8,13,118,76,9
20200401,14,环保局,50,优,NaN,29,50,0.8,8,NaN,72,NaN
20200401,15,喜丰,53,良,颗粒物(PM10),28,56,0.7,14,118,88,10
20200401,15,环保局,55,良,细颗粒物(PM2.5),39,49,NaN,7,112,84,5
20200401,16,喜丰,52,良,颗粒物(PM10),35,53,0.7,12,112,98,8
20200401,16,环保局,NaN,,NaN,NaN,NaN,0.7,6,112,95,5
20200401,17,喜丰,40,优,NaN,24,40,0.7,13,115,106,9
20200401,17,环保局,54,良,颗粒物(PM10),NaN,58,0.7,7,114,103,7
20200401,18,喜丰,40,优,NaN,17,40,0.8,25,100,108,11
20200401,18,环保局,54,良,颗粒物(PM10),13,57,0.7,9,110,106,10
20200401,19,喜丰,53,良,颗粒物(PM10),28,56,1.0,40,79,105,37
20200401,19,环保局,53,良,颗粒物(PM10),35,55,1.3,33,69,103,14
20200401,20,喜丰,63,良,颗粒物(PM10),44,75,1.0,38,66,101,18
20200401,20,环保局,69,良,细颗粒物(PM2.5),50,83,0.9,27,68,98,11
20200401,21,喜丰,72,良,颗粒物(PM10),46,93,1.1,54,47,94,20
20200401,21,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,22,喜丰,72,良,颗粒物(PM10),44,93,1.0,32,56,87,30
20200401,22,环保局,66,良,颗粒物(PM10),38,82,1.2,26,51,91,12
20200401,23,喜丰,66,良,颗粒物(PM10),44,81,1.2,57,24,75,42
20200401,23,环保局,69,良,颗粒物(PM10),48,88,1.0,19,53,82,10
20200402,00,喜丰,71,良,颗粒物(PM10),43,92,1.0,54,23,64,35
