Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局,48,优,NaN,21,48,0.6,8,129,114,5
20200326,18,市环境监测站,39,优,NaN,27,33,0.5,7,124,115,6
20200326,20,市环保局,51,良,颗粒物(PM10),29,51,0.6,8,120,126,5
20200326,20,市环境监测站,48,优,NaN,33,37,0.7,11,109,120,6
20200326,21,市环保局,51,良,颗粒物(PM10),34,52,0.6,8,118,125,4
20200326,21,市环境监测站,50,优,NaN,35,46,0.7,9,111,119,5
20200327,09,市环保局,68,良,细颗粒物(PM2.5),49,66,1.0,46,45,100,6
20200327,09,市环境监测站,67,良,细颗粒物(PM2.5),48,62,1.0,36,54,85,7
20200327,11,市环保局,84,良,细颗粒物(PM2.5),62,72,0.8,35,100,90,6
20200327,11,市环境监测站,79,良,细颗粒物(PM2.5),58,73,0.8,29,98,78,6
20200327,12,市环保局,77,良,细颗粒物(PM2.5),56,83,0.8,27,125,91,6
20200327,12,市环境监测站,78,良,细颗粒物(PM2.5),57,81,0.8,22,126,81,6
20200327,13,市环保局,64,良,细颗粒物(PM2.5),46,59,0.6,15,141,95,5
20200327,13,市环境监测站,66,良,颗粒物(PM10),45,81,0.6,8,129,85,5
20200327,13,市环保局,64,良,细颗粒物(PM2.5),46,59,0.6,15,141,95,5
20200327,13,市环境监测站,66,良,颗粒物(PM10),45,81,0.6,8,129,85,5
20200327,14,市环保局,49,优,NaN,34,48,0.6,8,131,97,5
20200327,14,市环境监测站,55,良,颗粒物(PM10),30,60,0.5,7,124,88,5
20200327,15,市环保局,51,良,颗粒物(PM10),28,51,0.6,8,130,102,5
20200327,15,市环境监测站,47,优,NaN,15,47,0.5,8,122,98,5
20200327,15,市环保局,51,良,颗粒物(PM10),28,51,0.6,8,130,102,5
20200327,15,市环境监测站,47,优,NaN,15,47,0.5,8,122,98,5
20200327,16,市环保局,44,优,NaN,25,39,0.6,8,138,108,5
20200327,16,市环境监测站,48,优,NaN,15,48,0.5,8,129,105,5
20200327,17,市环保局,58,良,细颗粒物(PM2.5),41,NaN,0.6,8,136,120,5
20200327,17,市环境监测站,41,优,NaN,22,39,0.5,8,131,115,5
20200327,17,市环保局,58,良,细颗粒物(PM2.5),41,NaN,0.6,8,136,120,5
20200327,17,市环境监测站,41,优,NaN,22,39,0.5,8,131,115,5
20200330,07,市环保局,75,良,细颗粒物(PM2.5),55,61,0.7,12,124,132,6
20200330,07,市环境监测站,69,良,细颗粒物(PM2.5),50,NaN,0.8,13,111,117,7
20200330,08,市环保局,78,良,细颗粒物(PM2.5),57,63,0.7,14,124,131,6
20200330,08,市环境监测站,78,良,细颗粒物(PM2.5),57,NaN,1.0,18,103,115,8
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,10,市环保局,102,轻度污染,细颗粒物(PM2.5),76,93,1.3,45,77,122,7
20200330,10,市环境监测站,82,良,细颗粒物(PM2.5),60,88,1.4,65,48,101,10
20200330,10,市环保局,102,轻度污染,细颗粒物(PM2.5),76,93,1.3,45,77,122,7
20200330,10,市环境监测站,82,良,细颗粒物(PM2.5),60,88,1.4,65,48,101,10
20200330,11,市环保局,104,轻度污染,细颗粒物(PM2.5),78,97,1.1,41,122,120,8
20200330,11,市环境监测站,78,良,颗粒物(PM10),56,106,1.0,41,110,100,9
20200330,12,市环保局,88,良,细颗粒物(PM2.5),65,81,0.8,11,160,122,7
20200330,12,市环境监测站,79,良,细颗粒物(PM2.5),58,99,0.8,8,150,102,7
20200330,13,市环保局,73,良,细颗粒物(PM2.5),53,77,0.8,10,158,124,7
20200330,13,市环境监测站,73,良,细颗粒物(PM2.5),53,86,0.7,8,149,106,7
20200330,14,市环保局,63,良,细颗粒物(PM2.5),45,58,0.6,NaN,141,125,NaN
20200330,14,市环境监测站,65,良,细颗粒物(PM2.5),47,76,0.7,8,146,109,7
20200330,15,市环保局,62,良,细颗粒物(PM2.5),44,52,NaN,9,136,126,6
20200330,15,市环境监测站,63,良,颗粒物(PM10),41,76,0.6,9,140,112,6
20200330,16,市环保局,NaN,,NaN,NaN,NaN,0.5,9,NaN,127,5
20200330,16,市环境监测站,64,良,颗粒物(PM10),40,78,0.6,8,139,117,6
20200330,17,市环保局,59,良,细颗粒物(PM2.5),42,51,0.6,8,146,134,6
20200330,17,市环境监测站,58,良,颗粒物(PM10),29,66,0.6,8,139,128,6
20200330,18,市环保局,62,良,细颗粒物(PM2.5),44,72,0.7,9,147,144,5
20200330,18,市环境监测站,59,良,颗粒物(PM10),36,67,0.6,9,140,139,6
20200330,19,市环保局,68,良,颗粒物(PM10),42,86,0.8,9,152,149,6
20200330,19,市环境监测站,56,良,颗粒物(PM10),39,61,0.6,9,146,144,7
20200330,20,市环保局,82,良,细颗粒物(PM2.5),60,79,0.8,9,152,147,6
20200330,20,市环境监测站,62,良,细颗粒物(PM2.5),44,55,0.7,9,145,143,7
20200330,21,市环保局,65,良,颗粒物(PM10),37,80,0.8,9,145,146,6
20200330,21,市环境监测站,59,良,颗粒物(PM10),40,67,0.7,8,137,142,7
20200330,22,市环保局,59,良,细颗粒物(PM2.5),42,61,0.8,8,145,146,6
20200330,22,市环境监测站,63,良,细颗粒物(PM2.5),45,65,0.7,8,135,140,7
20200330,23,市环保局,67,良,细颗粒物(PM2.5),48,60,0.8,8,147,148,6
20200330,23,市环境监测站,60,良,细颗粒物(PM2.5),43,59,0.7,8,135,140,6
20200331,00,市环保局,63,良,细颗粒物(PM2.5),45,58,0.8,9,148,148,6
20200331,00,市环境监测站,65,良,细颗粒物(PM2.5),47,60,0.7,8,145,140,7
20200331,01,市环保局,69,良,细颗粒物(PM2.5),50,58,0.8,9,140,140,6
20200331,01,市环境监测站,69,良,细颗粒物(PM2.5),50,52,0.8,10,140,140,6
20200331,02,市环保局,62,良,细颗粒物(PM2.5),44,50,0.7,9,142,141,6
20200331,02,市环境监测站,68,良,细颗粒物(PM2.5),49,53,0.7,8,134,137,6
20200331,03,市环保局,65,良,细颗粒物(PM2.5),47,NaN,0.7,9,146,143,6
20200331,03,市环境监测站,72,良,细颗粒物(PM2.5),52,NaN,0.7,8,132,135,6
20200331,04,市环保局,63,良,细颗粒物(PM2.5),45,NaN,0.7,9,148,144,6
20200331,04,市环境监测站,55,良,细颗粒物(PM2.5),39,43,0.7,8,134,135,6
20200331,05,市环保局,60,良,细颗粒物(PM2.5),43,NaN,0.7,9,139,143,6
20200331,05,市环境监测站,63,良,细颗粒物(PM2.5),45,54,0.8,12,132,134,6
20200331,06,市环保局,63,良,细颗粒物(PM2.5),45,49,0.7,11,134,142,6
20200331,06,市环境监测站,60,良,细颗粒物(PM2.5),43,67,0.8,11,126,133,6
20200331,07,市环保局,64,良,细颗粒物(PM2.5),46,53,0.7,12,126,139,6
20200331,07,市环境监测站,62,良,颗粒物(PM10),42,74,0.8,18,104,129,7
20200331,08,市环保局,65,良,细颗粒物(PM2.5),47,60,0.7,18,109,136,6
20200331,08,市环境监测站,63,良,细颗粒物(PM2.5),45,70,0.9,24,92,124,7
20200331,09,市环保局,69,良,细颗粒物(PM2.5),50,72,0.9,35,79,128,6
20200331,09,市环境监测站,67,良,细颗粒物(PM2.5),48,60,1.1,40,73,116,9
20200331,10,市环保局,83,良,细颗粒物(PM2.5),61,88,1.1,51,75,120,7
20200331,10,市环境监测站,72,良,细颗粒物(PM2.5),52,78,1.2,57,65,107,9
20200331,11,市环保局,98,良,细颗粒物(PM2.5),73,109,1.1,44,114,116,7
20200331,11,市环境监测站,80,良,颗粒物(PM10),56,109,1.0,42,106,104,NaN
20200331,12,市环保局,95,良,细颗粒物(PM2.5),71,103,1.1,31,167,118,8
20200331,12,市环境监测站,NaN,,NaN,NaN,NaN,NaN,NaN,166,108,9
20200331,13,市环保局,79,良,细颗粒物(PM2.5),58,78,0.8,10,166,121,7
20200331,13,市环境监测站,112,轻度污染,细颗粒物(PM2.5),84,101,0.7,11,NaN,105,8
20200331,14,市环保局,65,良,臭氧1小时,41,55,0.8,10,172,126,7
20200331,14,市环境监测站,65,良,细颗粒物(PM2.5),47,56,0.7,10,162,110,8
