Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,天山天池,25,优,NaN,10,16,0.4,6,80,82,13
20200326,18,州监测站,33,优,NaN,23,27,0.6,9,94,83,NaN
20200326,18,新区政务中心,28,优,NaN,9,23,0.6,8,89,76,20
20200326,20,天山天池,28,优,NaN,19,27,0.4,6,78,81,11
20200326,20,州监测站,32,优,NaN,22,25,NaN,NaN,87,89,15
20200326,20,新区政务中心,25,优,NaN,12,25,0.5,9,80,84,13
20200326,21,天山天池,32,优,NaN,20,32,0.3,5,76,80,10
20200326,21,州监测站,34,优,NaN,18,34,NaN,13,80,89,8
20200326,21,新区政务中心,26,优,NaN,10,26,0.5,14,66,82,8
20200327,10,天山天池,21,优,NaN,13,16,0.3,3,66,62,9
20200327,10,州监测站,63,良,颗粒物(PM10),29,75,1.1,49,12,16,7
20200327,10,新区政务中心,53,良,颗粒物(PM10),10,56,1.1,99,9,8,11
20200327,11,天山天池,25,优,NaN,7,10,0.3,3,77,65,10
20200327,11,州监测站,51,良,颗粒物(PM10),30,51,0.9,45,32,17,16
20200327,11,新区政务中心,54,良,颗粒物(PM10),8,57,0.8,63,36,11,11
20200327,12,天山天池,26,优,NaN,5,7,0.3,3,81,67,11
20200327,12,州监测站,30,优,NaN,21,22,0.6,20,69,22,12
20200327,12,新区政务中心,42,优,NaN,10,42,0.8,34,62,17,16
20200327,13,天山天池,26,优,NaN,6,10,0.3,4,82,70,12
20200327,13,州监测站,35,优,NaN,24,28,0.8,16,83,30,24
20200327,13,新区政务中心,26,优,NaN,11,26,1.0,19,79,26,39
20200327,13,天山天池,26,优,NaN,6,10,0.3,4,82,70,12
20200327,13,州监测站,35,优,NaN,24,28,0.8,16,83,30,24
20200327,13,新区政务中心,26,优,NaN,11,26,1.0,19,79,26,39
20200327,14,天山天池,26,优,NaN,5,7,0.3,4,82,71,15
20200327,14,州监测站,26,优,NaN,15,23,0.8,17,81,38,18
20200327,14,新区政务中心,26,优,NaN,11,26,0.8,16,82,36,26
20200327,15,天山天池,27,优,NaN,9,NaN,0.4,5,85,74,17
20200327,15,州监测站,39,优,NaN,27,34,0.8,14,88,47,28
20200327,15,新区政务中心,28,优,NaN,11,28,0.8,16,83,45,34
20200327,15,天山天池,27,优,NaN,9,NaN,0.4,5,85,74,17
20200327,15,州监测站,39,优,NaN,27,34,0.8,14,88,47,28
20200327,15,新区政务中心,28,优,NaN,11,28,0.8,16,83,45,34
20200327,16,天山天池,28,优,NaN,13,16,0.4,6,87,78,16
20200327,16,州监测站,46,优,NaN,29,46,0.7,18,90,58,28
20200327,16,新区政务中心,29,优,NaN,13,22,0.7,13,92,56,32
20200327,17,天山天池,28,优,NaN,10,22,0.4,6,88,81,15
20200327,17,州监测站,51,良,颗粒物(PM10),33,51,0.7,14,106,70,24
20200327,17,新区政务中心,32,优,NaN,15,25,0.7,12,100,68,24
20200330,07,天山天池,29,优,NaN,5,7,0.3,2,91,92,10
20200330,07,州监测站,103,轻度污染,颗粒物(PM10),45,155,0.3,13,36,33,15
20200330,07,新区政务中心,48,优,NaN,33,NaN,0.7,11,34,31,7
20200330,08,天山天池,29,优,NaN,5,7,0.3,2,90,92,10
20200330,08,州监测站,62,良,颗粒物(PM10),23,73,0.3,16,34,33,13
20200330,08,新区政务中心,45,优,NaN,31,NaN,0.8,14,33,32,9
20200330,09,天山天池,28,优,NaN,5,9,0.3,2,89,91,10
20200330,09,州监测站,48,优,NaN,22,48,0.3,17,35,33,13
20200330,09,新区政务中心,30,优,NaN,21,NaN,0.8,21,28,32,10
20200330,09,天山天池,28,优,NaN,5,9,0.3,2,89,91,10
20200330,09,州监测站,48,优,NaN,22,48,0.3,17,35,33,13
20200330,09,新区政务中心,30,优,NaN,21,NaN,0.8,21,28,32,10
20200330,09,天山天池,28,优,NaN,5,9,0.3,2,89,91,10
20200330,09,州监测站,48,优,NaN,22,48,0.3,17,35,33,13
20200330,09,新区政务中心,30,优,NaN,21,NaN,0.8,21,28,32,10
20200330,10,天山天池,29,优,NaN,NaN,8,0.3,2,91,91,10
20200330,10,州监测站,53,良,颗粒物(PM10),23,55,0.4,22,34,34,17
20200330,10,新区政务中心,19,优,NaN,13,13,0.7,10,38,32,8
20200330,10,天山天池,29,优,NaN,NaN,8,0.3,2,91,91,10
20200330,10,州监测站,53,良,颗粒物(PM10),23,55,0.4,22,34,34,17
20200330,10,新区政务中心,19,优,NaN,13,13,0.7,10,38,32,8
20200330,11,天山天池,31,优,NaN,1,3,0.3,2,99,92,10
20200330,11,州监测站,62,良,颗粒物(PM10),33,73,0.4,22,36,34,16
20200330,11,新区政务中心,13,优,NaN,8,13,0.8,13,36,32,8
20200330,12,天山天池,32,优,NaN,13,NaN,0.3,2,102,93,10
20200330,12,州监测站,72,良,颗粒物(PM10),40,94,0.4,18,40,36,16
20200330,12,新区政务中心,14,优,NaN,7,13,0.8,14,44,34,10
20200330,13,天山天池,31,优,NaN,15,15,0.4,2,98,94,10
20200330,13,州监测站,88,良,颗粒物(PM10),50,125,0.4,15,52,38,16
20200330,13,新区政务中心,19,优,NaN,10,13,0.8,14,58,38,11
20200330,14,天山天池,33,优,NaN,18,33,0.4,3,95,94,10
20200330,14,州监测站,87,良,颗粒物(PM10),45,124,0.2,10,64,41,16
20200330,14,新区政务中心,23,优,NaN,16,NaN,0.7,11,68,42,11
20200330,15,天山天池,54,良,颗粒物(PM10),24,58,0.3,4,91,94,10
20200330,15,州监测站,85,良,颗粒物(PM10),35,119,0.2,9,64,45,18
20200330,15,新区政务中心,NaN,,NaN,NaN,NaN,0.7,9,70,47,17
20200330,16,天山天池,67,良,颗粒物(PM10),39,83,0.4,5,83,94,10
20200330,16,州监测站,66,良,颗粒物(PM10),27,81,0.4,8,67,49,36
20200330,16,新区政务中心,82,良,颗粒物(PM10),21,114,0.8,9,77,52,25
20200330,17,天山天池,73,良,颗粒物(PM10),52,95,0.4,5,85,93,10
20200330,17,州监测站,51,良,颗粒物(PM10),21,51,0.3,6,74,54,30
20200330,17,新区政务中心,76,良,颗粒物(PM10),16,101,0.7,7,84,59,15
20200330,18,天山天池,74,良,颗粒物(PM10),52,97,0.4,5,87,92,10
20200330,18,州监测站,53,良,颗粒物(PM10),22,56,0.2,7,75,59,22
20200330,18,新区政务中心,58,良,颗粒物(PM10),14,65,0.6,7,86,65,12
20200330,19,天山天池,71,良,颗粒物(PM10),51,92,0.3,5,86,91,10
20200330,19,州监测站,45,优,NaN,25,45,0.2,13,71,63,18
20200330,19,新区政务中心,49,优,NaN,15,49,0.6,8,83,71,8
20200330,20,天山天池,69,良,颗粒物(PM10),49,88,0.3,5,87,89,10
20200330,20,州监测站,38,优,NaN,20,38,0.2,7,72,67,13
20200330,20,新区政务中心,37,优,NaN,14,37,0.6,8,81,76,6
20200330,21,天山天池,67,良,颗粒物(PM10),45,84,0.3,5,88,88,10
20200330,21,州监测站,34,优,NaN,19,34,0.2,10,65,69,12
20200330,21,新区政务中心,40,优,NaN,12,40,0.6,12,73,78,6
20200330,22,天山天池,64,良,颗粒物(PM10),39,78,0.3,5,88,87,10
20200330,22,州监测站,35,优,NaN,24,35,0.2,16,58,68,12
20200330,22,新区政务中心,39,优,NaN,12,39,0.6,14,67,78,8
20200330,23,天山天池,61,良,颗粒物(PM10),36,71,0.3,5,75,85,10
20200330,23,州监测站,35,优,NaN,24,35,0.2,15,58,68,14
20200330,23,新区政务中心,34,优,NaN,16,34,0.7,12,69,78,7
