Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,83,良,细颗粒物(PM2.5),61,103,1.4,92,3,7,7
20200326,18,城建学校,48,优,NaN,30,48,1.3,34,8,8,13
20200326,18,常工院,38,优,NaN,26,33,1.0,65,13,7,14
20200326,18,潞城,56,良,颗粒物(PM10),32,62,1.2,62,10,7,19
20200326,18,武进监测站,97,良,细颗粒物(PM2.5),72,88,1.2,91,6,15,8
20200326,18,安家,80,良,细颗粒物(PM2.5),59,61,1.3,69,4,10,8
20200326,18,行政中心,88,良,颗粒物(PM10),56,126,1.6,102,3,9,12
20200326,18,经开区,119,轻度污染,细颗粒物(PM2.5),90,112,0.8,NaN,12,19,8
20200326,18,钟楼,87,良,颗粒物(PM10),55,124,1.2,95,2,9,8
20200326,18,城建学校(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,常工院(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,潞城(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,行政中心(启用161026),17,优,NaN,11,14,0.5,28,53,59,8
20200326,18,经开区(启用161026),17,优,NaN,9,12,0.4,30,54,59,4
20200326,18,钟楼(启用161026),16,优,NaN,10,13,0.5,32,49,58,9
20200326,20,市监测站,75,良,细颗粒物(PM2.5),55,88,1.4,89,NaN,6,7
20200326,20,城建学校,48,优,NaN,30,48,1.3,34,8,8,13
20200326,20,常工院,38,优,NaN,26,33,1.0,65,13,7,14
20200326,20,潞城,56,良,颗粒物(PM10),32,62,1.2,62,10,7,19
20200326,20,武进监测站,117,轻度污染,细颗粒物(PM2.5),88,110,1.2,92,3,14,8
20200326,20,安家,60,良,细颗粒物(PM2.5),43,48,1.0,67,5,8,8
20200326,20,行政中心,65,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",47,79,1.3,83,2,8,12
20200326,20,经开区,112,轻度污染,细颗粒物(PM2.5),84,99,NaN,NaN,2,17,9
20200326,20,钟楼,66,良,颗粒物(PM10),38,81,1.1,81,2,7,7
20200326,20,城建学校(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,常工院(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,潞城(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,行政中心(启用161026),17,优,NaN,11,14,0.5,28,53,59,8
20200326,20,经开区(启用161026),17,优,NaN,9,12,0.4,30,54,59,4
20200326,20,钟楼(启用161026),16,优,NaN,10,13,0.5,32,49,58,9
20200326,21,市监测站,63,良,颗粒物(PM10),41,76,1.4,80,NaN,5,7
20200326,21,城建学校,48,优,NaN,30,48,1.3,34,8,8,13
20200326,21,常工院,38,优,NaN,26,33,1.0,65,13,7,14
20200326,21,潞城,56,良,颗粒物(PM10),32,62,1.2,62,10,7,19
20200326,21,武进监测站,90,良,细颗粒物(PM2.5),67,88,1.4,83,2,12,8
20200326,21,安家,59,良,细颗粒物(PM2.5),42,47,1.0,67,4,8,8
20200326,21,行政中心,55,良,颗粒物(PM10),36,59,1.2,78,3,7,12
20200326,21,经开区,68,良,细颗粒物(PM2.5),49,58,0.8,83,5,16,9
20200326,21,钟楼,60,良,颗粒物(PM10),35,69,1.0,76,1,6,7
20200326,21,城建学校(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,常工院(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,潞城(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,行政中心(启用161026),17,优,NaN,11,14,0.5,28,53,59,8
20200326,21,经开区(启用161026),17,优,NaN,9,12,0.4,30,54,59,4
20200326,21,钟楼(启用161026),16,优,NaN,10,13,0.5,32,49,58,9
20200327,10,市监测站,19,优,NaN,5,17,0.5,30,60,50,6
20200327,10,城建学校,48,优,NaN,30,48,1.3,34,8,8,13
20200327,10,常工院,38,优,NaN,26,33,1.0,65,13,7,14
20200327,10,潞城,56,良,颗粒物(PM10),32,62,1.2,62,10,7,19
20200327,10,武进监测站,22,优,NaN,10,16,0.4,20,69,57,6
20200327,10,安家,23,优,NaN,8,15,0.3,13,72,60,7
20200327,10,行政中心,19,优,NaN,12,19,0.3,30,53,46,5
20200327,10,经开区,22,优,NaN,10,15,0.2,20,69,57,6
20200327,10,钟楼,19,优,NaN,9,18,0.4,22,60,52,5
20200327,10,城建学校(停运161026),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
