Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局江州分局,73,良,颗粒物(PM10),45,96,0.5,16,43,35,5
20200326,18,城南新区,55,良,颗粒物(PM10),27,59,0.4,20,45,41,3
20200326,20,市环保局江州分局,80,良,颗粒物(PM10),57,110,0.6,18,35,40,5
20200326,20,城南新区,49,优,NaN,29,49,0.4,12,56,48,2
20200326,21,市环保局江州分局,67,良,颗粒物(PM10),37,84,0.4,11,47,42,5
20200326,21,城南新区,51,良,颗粒物(PM10),30,51,0.4,23,36,47,3
20200327,10,市环保局江州分局,77,良,细颗粒物(PM2.5),56,78,0.5,20,11,2,5
20200327,10,城南新区,58,良,颗粒物(PM10),34,66,0.4,26,12,12,10
20200327,11,市环保局江州分局,54,良,颗粒物(PM10),37,58,0.4,11,36,7,5
20200327,11,城南新区,54,良,颗粒物(PM10),27,57,0.3,11,45,16,5
20200327,12,市环保局江州分局,48,优,NaN,33,35,0.4,8,52,13,5
20200327,12,城南新区,38,优,NaN,25,38,0.3,6,62,22,3
20200327,13,市环保局江州分局,51,良,颗粒物(PM10),35,51,0.4,8,56,20,5
20200327,13,城南新区,40,优,NaN,28,32,0.3,5,69,29,3
20200327,13,市环保局江州分局,51,良,颗粒物(PM10),35,51,0.4,8,56,20,5
20200327,13,城南新区,40,优,NaN,28,32,0.3,5,69,29,3
20200327,14,市环保局江州分局,52,良,细颗粒物(PM2.5),36,43,0.4,8,60,28,5
20200327,14,城南新区,40,优,NaN,28,35,0.3,6,72,36,3
20200327,15,市环保局江州分局,54,良,细颗粒物(PM2.5),38,39,0.4,8,62,35,5
20200327,15,城南新区,46,优,NaN,32,34,0.3,7,77,44,3
20200327,15,市环保局江州分局,54,良,细颗粒物(PM2.5),38,39,0.4,8,62,35,5
20200327,15,城南新区,46,优,NaN,32,34,0.3,7,77,44,3
20200327,16,市环保局江州分局,59,良,细颗粒物(PM2.5),42,53,0.4,9,64,43,6
20200327,16,城南新区,52,良,细颗粒物(PM2.5),36,43,0.4,8,79,53,3
20200327,17,市环保局江州分局,64,良,细颗粒物(PM2.5),46,54,0.5,9,68,51,6
20200327,17,城南新区,53,良,细颗粒物(PM2.5),37,37,0.4,7,81,62,3
20200330,07,市环保局江州分局,5,优,NaN,NaN,1,0.3,10,16,17,4
20200330,07,城南新区,6,优,NaN,3,6,0.3,9,19,20,2
20200330,08,市环保局江州分局,6,优,NaN,NaN,3,0.3,11,15,16,4
20200330,08,城南新区,6,优,NaN,3,NaN,0.3,10,19,20,2
20200330,09,市环保局江州分局,7,优,NaN,NaN,7,0.3,12,14,16,4
20200330,09,城南新区,6,优,NaN,3,3,0.3,12,16,20,2
20200330,09,市环保局江州分局,7,优,NaN,NaN,7,0.3,12,14,16,4
20200330,09,城南新区,6,优,NaN,3,3,0.3,12,16,20,2
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,11,市环保局江州分局,NaN,,NaN,NaN,NaN,0.3,13,NaN,15,4
20200330,11,城南新区,10,优,NaN,4,10,0.4,12,17,18,2
20200330,12,市环保局江州分局,NaN,,NaN,NaN,NaN,0.3,NaN,13,14,NaN
20200330,12,城南新区,15,优,NaN,5,15,0.4,11,18,18,3
20200330,13,市环保局江州分局,13,优,NaN,3,13,NaN,11,16,14,5
20200330,13,城南新区,13,优,NaN,6,13,0.4,10,20,18,3
20200330,14,市环保局江州分局,24,优,NaN,4,24,0.3,11,18,15,5
20200330,14,城南新区,18,优,NaN,6,18,0.4,10,24,19,3
20200330,15,市环保局江州分局,25,优,NaN,6,25,0.3,13,19,15,4
20200330,15,城南新区,21,优,NaN,8,21,0.4,11,24,19,3
20200330,16,市环保局江州分局,26,优,NaN,6,26,0.3,14,20,16,5
20200330,16,城南新区,28,优,NaN,10,28,0.4,12,25,20,3
20200330,17,市环保局江州分局,30,优,NaN,7,30,0.3,13,23,17,5
20200330,17,城南新区,23,优,NaN,11,23,0.4,14,24,21,3
20200330,18,市环保局江州分局,28,优,NaN,12,28,0.3,16,19,18,5
20200330,18,城南新区,28,优,NaN,9,28,0.4,15,23,22,3
20200330,19,市环保局江州分局,29,优,NaN,9,29,0.4,19,17,18,5
20200330,19,城南新区,22,优,NaN,9,22,0.4,14,25,23,3
20200330,20,市环保局江州分局,34,优,NaN,10,34,0.4,17,19,19,5
20200330,20,城南新区,32,优,NaN,12,32,0.4,16,23,24,4
20200330,21,市环保局江州分局,34,优,NaN,11,34,0.4,20,16,19,5
20200330,21,城南新区,42,优,NaN,11,42,0.4,19,20,24,4
