Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,达州职业技术学院,59,良,颗粒物(PM10),35,67,0.4,90,38,109,12
20200326,18,市环境监测站,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.4,39,86,100,5
20200326,18,凤凰小区,51,良,颗粒物(PM10),32,52,0.9,56,89,107,8
20200326,18,达县机关宾馆,66,良,颗粒物(PM10),45,82,3.2,100,45,100,13
20200326,18,市政中心,58,良,细颗粒物(PM2.5),41,64,1.0,52,67,80,6
20200326,20,达州职业技术学院,101,轻度污染,颗粒物(PM10),36,152,0.4,34,72,97,10
20200326,20,市环境监测站,93,良,细颗粒物(PM2.5),69,115,0.3,47,53,94,5
20200326,20,凤凰小区,83,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",61,115,0.5,36,73,106,6
20200326,20,达县机关宾馆,169,中度污染,颗粒物(PM10),65,287,0.9,49,66,95,14
20200326,20,市政中心,94,良,颗粒物(PM10),64,137,0.8,30,62,78,6
20200326,21,达州职业技术学院,88,良,颗粒物(PM10),36,126,0.4,36,71,92,12
20200326,21,市环境监测站,82,良,颗粒物(PM10),38,113,0.2,16,66,89,6
20200326,21,凤凰小区,78,良,颗粒物(PM10),41,106,0.4,12,86,103,7
20200326,21,达县机关宾馆,110,轻度污染,颗粒物(PM10),65,170,0.6,12,91,92,14
20200326,21,市政中心,79,良,颗粒物(PM10),50,107,0.6,16,69,76,5
20200327,10,达州职业技术学院,NaN,,NaN,NaN,7,0.2,31,67,50,12
20200327,10,市环境监测站,15,优,NaN,1,9,0.1,30,28,27,11
20200327,10,凤凰小区,15,优,NaN,4,11,0.3,21,47,58,9
20200327,10,达县机关宾馆,13,优,NaN,6,13,0.6,22,41,62,16
20200327,10,市政中心,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,达州职业技术学院,NaN,,NaN,NaN,14,0.2,33,29,47,6
20200327,11,市环境监测站,14,优,NaN,8,11,0.1,28,41,28,9
20200327,11,凤凰小区,14,优,NaN,5,13,0.3,18,43,55,6
20200327,11,达县机关宾馆,14,优,NaN,8,14,0.6,20,38,59,16
20200327,11,市政中心,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,达州职业技术学院,20,优,NaN,2,2,0.2,40,60,50,11
20200327,12,市环境监测站,15,优,NaN,10,NaN,0.1,27,29,28,10
20200327,12,凤凰小区,14,优,NaN,9,11,0.3,16,43,52,9
20200327,12,达县机关宾馆,16,优,NaN,5,NaN,0.5,14,49,55,15
20200327,12,市政中心,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,达州职业技术学院,21,优,NaN,6,9,0.2,42,20,47,14
20200327,13,市环境监测站,13,优,NaN,1,11,0.1,22,41,27,10
20200327,13,凤凰小区,14,优,NaN,4,12,0.3,16,42,49,10
20200327,13,达县机关宾馆,17,优,NaN,7,11,0.5,15,53,54,16
20200327,13,市政中心,22,优,NaN,11,22,0.5,15,51,51,6
20200327,13,达州职业技术学院,21,优,NaN,6,9,0.2,42,20,47,14
20200327,13,市环境监测站,13,优,NaN,1,11,0.1,22,41,27,10
20200327,13,凤凰小区,14,优,NaN,4,12,0.3,16,42,49,10
20200327,13,达县机关宾馆,17,优,NaN,7,11,0.5,15,53,54,16
20200327,13,市政中心,22,优,NaN,11,22,0.5,15,51,51,6
20200327,14,达州职业技术学院,16,优,NaN,4,14,0.2,31,15,42,17
20200327,14,市环境监测站,11,优,NaN,7,11,0.1,22,34,28,9
20200327,14,凤凰小区,17,优,NaN,2,12,0.3,17,52,48,7
20200327,14,达县机关宾馆,16,优,NaN,4,15,0.5,11,51,51,15
20200327,14,市政中心,21,优,NaN,4,21,0.5,14,53,52,6
20200327,15,达州职业技术学院,17,优,NaN,5,6,0.2,34,16,40,13
20200327,15,市环境监测站,12,优,NaN,5,6,0.1,24,32,32,9
20200327,15,凤凰小区,14,优,NaN,5,NaN,0.3,15,44,47,7
20200327,15,达县机关宾馆,15,优,NaN,6,NaN,NaN,18,48,48,10
20200327,15,市政中心,16,优,NaN,11,16,0.5,13,51,52,5
20200327,15,达州职业技术学院,17,优,NaN,5,6,0.2,34,16,40,13
20200327,15,市环境监测站,12,优,NaN,5,6,0.1,24,32,32,9
20200327,15,凤凰小区,14,优,NaN,5,NaN,0.3,15,44,47,7
20200327,15,达县机关宾馆,15,优,NaN,6,NaN,NaN,18,48,48,10
20200327,15,市政中心,16,优,NaN,11,16,0.5,13,51,52,5
20200327,16,达州职业技术学院,19,优,NaN,13,NaN,0.2,22,20,34,16
20200327,16,市环境监测站,14,优,NaN,5,8,0.1,27,28,33,10
20200327,16,凤凰小区,13,优,NaN,4,5,0.3,19,39,45,8
20200327,16,达县机关宾馆,17,优,NaN,5,NaN,0.6,11,52,47,14
20200327,16,市政中心,19,优,NaN,13,19,0.5,13,51,52,5
20200327,17,达州职业技术学院,20,优,NaN,4,13,0.3,40,19,31,15
20200327,17,市环境监测站,14,优,NaN,3,5,0.1,28,32,33,8
20200327,17,凤凰小区,15,优,NaN,8,11,0.3,18,47,45,7
20200327,17,达县机关宾馆,17,优,NaN,5,17,0.6,14,39,46,14
20200327,17,市政中心,17,优,NaN,9,17,0.6,14,50,51,5
20200330,07,达州职业技术学院,28,优,NaN,19,25,0.3,29,22,22,22
20200330,07,市环境监测站,22,优,NaN,13,21,0.3,44,40,34,6
20200330,07,凤凰小区,20,优,NaN,14,20,0.4,37,24,23,4
20200330,07,达县机关宾馆,28,优,NaN,16,28,0.7,30,20,22,14
20200330,07,市政中心,35,优,NaN,24,35,0.7,19,24,25,5
20200330,08,达州职业技术学院,30,优,NaN,20,30,0.3,28,21,22,21
20200330,08,市环境监测站,24,优,NaN,13,24,0.5,43,35,34,6
20200330,08,凤凰小区,36,优,NaN,25,NaN,0.5,42,18,23,5
20200330,08,达县机关宾馆,37,优,NaN,16,37,1.0,30,23,22,15
20200330,08,市政中心,38,优,NaN,21,38,0.7,22,24,24,6
20200330,09,达州职业技术学院,29,优,NaN,20,25,0.3,27,21,21,19
20200330,09,市环境监测站,43,优,NaN,21,43,0.5,44,33,33,8
20200330,09,凤凰小区,31,优,NaN,17,31,0.5,40,21,23,6
20200330,09,达县机关宾馆,55,良,颗粒物(PM10),17,59,0.8,21,30,23,13
20200330,09,市政中心,31,优,NaN,11,31,0.6,22,29,25,4
20200330,09,达州职业技术学院,29,优,NaN,20,25,0.3,27,21,21,19
20200330,09,市环境监测站,43,优,NaN,21,43,0.5,44,33,33,8
20200330,09,凤凰小区,31,优,NaN,17,31,0.5,40,21,23,6
20200330,09,达县机关宾馆,55,良,颗粒物(PM10),17,59,0.8,21,30,23,13
20200330,09,市政中心,31,优,NaN,11,31,0.6,22,29,25,4
20200330,10,达州职业技术学院,45,优,NaN,31,40,0.3,36,31,23,18
20200330,10,市环境监测站,46,优,NaN,22,46,0.4,41,34,33,13
20200330,10,凤凰小区,32,优,NaN,14,32,0.4,32,29,20,8
20200330,10,达县机关宾馆,40,优,NaN,18,40,0.7,19,37,26,16
20200330,10,市政中心,40,优,NaN,19,40,0.6,18,36,26,4
20200330,10,达州职业技术学院,45,优,NaN,31,40,0.3,36,31,23,18
20200330,10,市环境监测站,46,优,NaN,22,46,0.4,41,34,33,13
20200330,10,凤凰小区,32,优,NaN,14,32,0.4,32,29,20,8
20200330,10,达县机关宾馆,40,优,NaN,18,40,0.7,19,37,26,16
20200330,10,市政中心,40,优,NaN,19,40,0.6,18,36,26,4
20200330,10,达州职业技术学院,45,优,NaN,31,40,0.3,36,31,23,18
20200330,10,市环境监测站,46,优,NaN,22,46,0.4,41,34,33,13
20200330,10,凤凰小区,32,优,NaN,14,32,0.4,32,29,20,8
20200330,10,达县机关宾馆,40,优,NaN,18,40,0.7,19,37,26,16
20200330,10,市政中心,40,优,NaN,19,40,0.6,18,36,26,4
20200330,11,达州职业技术学院,45,优,NaN,20,45,0.3,28,38,25,15
20200330,11,市环境监测站,33,优,NaN,6,33,0.3,32,37,34,9
20200330,11,凤凰小区,33,优,NaN,17,33,0.4,23,50,24,4
20200330,11,达县机关宾馆,46,优,NaN,17,46,0.6,17,48,29,14
20200330,11,市政中心,38,优,NaN,18,38,0.6,18,44,29,4
20200330,12,达州职业技术学院,45,优,NaN,31,33,0.3,28,54,28,16
20200330,12,市环境监测站,27,优,NaN,9,27,0.2,26,53,36,6
20200330,12,凤凰小区,32,优,NaN,13,32,0.3,16,69,31,3
20200330,12,达县机关宾馆,25,优,NaN,12,25,0.5,12,71,35,14
20200330,12,市政中心,35,优,NaN,17,35,0.5,13,56,33,5
20200330,13,达州职业技术学院,35,优,NaN,13,35,0.3,26,60,33,16
20200330,13,市环境监测站,24,优,NaN,5,23,0.2,22,76,42,6
20200330,13,凤凰小区,25,优,NaN,9,19,0.3,15,78,39,2
20200330,13,达县机关宾馆,27,优,NaN,7,26,0.4,7,84,42,13
20200330,13,市政中心,34,优,NaN,17,34,0.5,8,70,38,6
20200330,14,达州职业技术学院,46,优,NaN,32,NaN,0.3,27,64,39,22
20200330,14,市环境监测站,23,优,NaN,5,NaN,0.3,29,71,47,6
20200330,14,凤凰小区,24,优,NaN,13,NaN,0.3,19,74,45,2
20200330,14,达县机关宾馆,27,优,NaN,6,12,0.5,9,85,50,13
20200330,14,市政中心,24,优,NaN,10,16,0.5,9,74,45,7
20200330,15,达州职业技术学院,41,优,NaN,27,41,0.3,28,60,44,18
20200330,15,市环境监测站,30,优,NaN,15,30,0.3,39,60,50,6
20200330,15,凤凰小区,27,优,NaN,11,27,0.3,33,63,50,2
20200330,15,达县机关宾馆,22,优,NaN,6,22,0.5,22,65,55,15
20200330,15,市政中心,21,优,NaN,11,21,0.5,15,66,50,6
20200330,16,达州职业技术学院,34,优,NaN,13,34,0.3,28,59,48,23
20200330,16,市环境监测站,27,优,NaN,10,27,0.3,49,54,52,6
20200330,16,凤凰小区,28,优,NaN,19,20,0.3,36,54,55,3
20200330,16,达县机关宾馆,40,优,NaN,12,40,0.5,25,59,60,12
20200330,16,市政中心,23,优,NaN,16,23,0.5,19,62,55,6
20200330,17,达州职业技术学院,31,优,NaN,19,31,0.3,41,49,52,22
20200330,17,市环境监测站,37,优,NaN,13,37,0.3,57,42,53,5
20200330,17,凤凰小区,35,优,NaN,13,35,0.3,46,45,58,2
20200330,17,达县机关宾馆,44,优,NaN,14,44,0.5,37,45,62,14
20200330,17,市政中心,23,优,NaN,16,23,NaN,25,56,58,6
20200330,18,达州职业技术学院,35,优,NaN,24,29,0.4,42,48,54,18
20200330,18,市环境监测站,32,优,NaN,16,32,0.4,58,47,55,5
20200330,18,凤凰小区,29,优,NaN,18,29,0.4,52,43,60,4
20200330,18,达县机关宾馆,44,优,NaN,16,44,0.6,41,51,64,14
20200330,18,市政中心,43,优,NaN,30,39,0.6,43,45,59,5
20200330,19,达州职业技术学院,41,优,NaN,25,41,0.4,66,28,53,13
20200330,19,市环境监测站,41,优,NaN,13,41,0.4,52,49,56,7
20200330,19,凤凰小区,44,优,NaN,17,44,0.5,56,33,57,4
20200330,19,达县机关宾馆,44,优,NaN,16,44,0.8,46,43,63,15
20200330,19,市政中心,42,优,NaN,23,42,0.7,48,37,58,5
20200330,20,达州职业技术学院,48,优,NaN,33,41,0.5,57,26,49,18
20200330,20,市环境监测站,39,优,NaN,11,39,0.5,52,46,56,7
20200330,20,凤凰小区,43,优,NaN,22,43,0.6,61,25,52,5
20200330,20,达县机关宾馆,49,优,NaN,16,49,0.8,57,37,59,14
20200330,20,市政中心,52,良,颗粒物(PM10),23,54,0.8,55,32,55,5
20200330,21,达州职业技术学院,50,优,NaN,35,49,0.4,59,22,44,16
