Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,监测站,78,良,颗粒物(PM10),48,105,1.2,90,23,51,4
20200326,18,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,监测站,32,优,NaN,13,32,0.9,29,64,59,4
20200326,20,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,监测站,34,优,NaN,15,34,0.9,36,45,57,4
20200326,21,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,监测站,15,优,NaN,3,6,0.8,20,46,41,4
20200327,10,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,监测站,18,优,NaN,4,6,0.8,22,55,44,4
20200327,11,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,监测站,18,优,NaN,6,8,0.9,20,56,47,4
20200327,12,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,监测站,19,优,NaN,9,12,0.9,22,60,50,4
20200327,13,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,监测站,19,优,NaN,9,12,0.9,22,60,50,4
20200327,13,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,监测站,18,优,NaN,11,15,0.8,25,57,50,4
20200327,14,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监测站,20,优,NaN,14,20,0.8,29,50,50,4
20200327,15,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监测站,20,优,NaN,14,20,0.8,29,50,50,4
20200327,15,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监测站,20,优,NaN,14,20,0.8,29,50,50,4
20200327,15,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监测站,20,优,NaN,14,20,0.8,29,50,50,4
20200327,15,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,监测站,23,优,NaN,10,23,0.8,40,22,25,4
20200330,07,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,监测站,23,优,NaN,10,23,0.8,40,22,25,4
20200330,07,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,监测站,23,优,NaN,10,23,0.8,40,22,25,4
20200330,07,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,监测站,23,优,NaN,10,23,0.8,40,22,25,4
20200330,07,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,监测站,18,优,NaN,9,17,0.8,36,35,26,3
20200330,10,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,监测站,18,优,NaN,9,17,0.8,36,35,26,3
20200330,10,富春二小,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
