Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,德智高中,75,良,细颗粒物(PM2.5),55,91,1.1,42,17,31,9
20200326,18,江南子站　,42,优,NaN,29,42,0.7,14,44,40,9
20200326,18,贵城子站,63,良,颗粒物(PM10),37,76,1.1,43,16,39,7
20200326,18,荷城子站,64,良,颗粒物(PM10),31,78,0.9,44,16,35,8
20200326,20,德智高中,68,良,颗粒物(PM10),42,86,1.0,44,10,27,10
20200326,20,江南子站　,45,优,NaN,29,45,0.9,27,35,43,9
20200326,20,贵城子站,46,优,NaN,26,46,1.1,24,37,40,7
20200326,20,荷城子站,46,优,NaN,23,46,0.7,27,35,34,8
20200326,21,德智高中,58,良,颗粒物(PM10),30,65,0.8,33,19,25,9
20200326,21,江南子站　,47,优,NaN,30,47,1.0,34,26,41,9
20200326,21,贵城子站,59,良,细颗粒物(PM2.5),42,66,1.7,44,10,35,7
20200326,21,荷城子站,40,优,NaN,21,40,0.5,26,33,33,8
20200327,10,德智高中,55,良,颗粒物(PM10),33,59,1.0,27,6,8,13
20200327,10,江南子站　,56,良,颗粒物(PM10),37,62,0.9,23,10,5,14
20200327,10,贵城子站,50,优,NaN,29,50,1.0,28,6,3,11
20200327,10,荷城子站,45,优,NaN,31,42,1.3,30,4,4,12
20200327,11,德智高中,74,良,颗粒物(PM10),34,97,0.8,32,5,8,12
20200327,11,江南子站　,54,良,颗粒物(PM10),33,58,0.8,26,10,6,13
20200327,11,贵城子站,51,良,颗粒物(PM10),29,51,0.9,31,6,4,10
20200327,11,荷城子站,67,良,颗粒物(PM10),40,83,1.2,36,4,4,11
20200327,12,德智高中,60,良,颗粒物(PM10),31,69,0.7,31,7,7,11
20200327,12,江南子站　,49,优,NaN,29,49,0.7,20,19,8,11
20200327,12,贵城子站,60,良,颗粒物(PM10),36,70,1.0,34,8,4,9
20200327,12,荷城子站,70,良,颗粒物(PM10),44,89,1.1,36,5,4,12
20200327,13,德智高中,64,良,颗粒物(PM10),43,78,0.9,34,7,7,11
20200327,13,江南子站　,62,良,细颗粒物(PM2.5),44,57,1.0,34,10,8,11
20200327,13,贵城子站,63,良,细颗粒物(PM2.5),45,74,1.1,35,11,5,9
20200327,13,荷城子站,67,良,颗粒物(PM10),39,83,1.1,41,6,5,11
20200327,13,德智高中,64,良,颗粒物(PM10),43,78,0.9,34,7,7,11
20200327,13,江南子站　,62,良,细颗粒物(PM2.5),44,57,1.0,34,10,8,11
20200327,13,贵城子站,63,良,细颗粒物(PM2.5),45,74,1.1,35,11,5,9
20200327,13,荷城子站,67,良,颗粒物(PM10),39,83,1.1,41,6,5,11
20200327,14,德智高中,69,良,颗粒物(PM10),48,87,1.0,36,11,7,12
20200327,14,江南子站　,54,良,颗粒物(PM10),25,58,0.7,14,35,12,11
20200327,14,贵城子站,68,良,颗粒物(PM10),47,85,1.1,37,19,7,9
20200327,14,荷城子站,66,良,颗粒物(PM10),41,81,1.0,41,6,5,10
20200327,15,德智高中,53,良,细颗粒物(PM2.5),37,NaN,0.9,34,11,8,NaN
20200327,15,江南子站　,40,优,NaN,19,40,0.6,8,47,18,9
20200327,15,贵城子站,60,良,颗粒物(PM10),33,69,0.9,34,20,10,8
