Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,平安高铁新区,93,良,颗粒物(PM10),50,136,0.4,16,77,74,7
20200326,20,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,平安高铁新区,77,良,颗粒物(PM10),50,103,0.3,13,76,76,5
20200326,21,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,平安高铁新区,79,良,细颗粒物(PM2.5),58,101,0.3,14,78,77,6
20200327,10,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,平安高铁新区,69,良,颗粒物(PM10),43,87,0.6,41,30,37,9
20200327,11,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,平安高铁新区,66,良,颗粒物(PM10),44,81,0.5,26,53,36,8
20200327,12,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,平安高铁新区,65,良,颗粒物(PM10),38,79,0.5,19,68,36,8
20200327,13,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,平安高铁新区,58,良,颗粒物(PM10),39,65,0.4,17,78,39,8
20200327,14,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,平安高铁新区,51,良,颗粒物(PM10),28,51,0.3,11,91,46,7
20200327,14,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,平安高铁新区,51,良,颗粒物(PM10),28,51,0.3,11,91,46,7
20200327,15,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,平安高铁新区,49,优,NaN,18,49,0.4,14,95,55,6
20200327,15,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,平安高铁新区,49,优,NaN,18,49,0.4,14,95,55,6
20200327,16,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,平安高铁新区,51,良,颗粒物(PM10),18,51,0.4,18,90,64,8
20200327,17,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,平安高铁新区,63,良,颗粒物(PM10),22,75,0.4,18,94,75,10
20200330,07,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,平安高铁新区,71,良,颗粒物(PM10),44,92,0.6,62,3,9,11
20200330,08,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,平安高铁新区,82,良,细颗粒物(PM2.5),60,97,0.6,57,3,9,13
20200330,09,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,平安高铁新区,73,良,颗粒物(PM10),48,95,0.7,57,4,8,12
20200330,09,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,平安高铁新区,73,良,颗粒物(PM10),48,95,0.7,57,4,8,12
20200330,10,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,平安高铁新区,81,良,颗粒物(PM10),50,111,0.7,54,14,9,11
20200330,10,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,平安高铁新区,81,良,颗粒物(PM10),50,111,0.7,54,14,9,11
20200330,11,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,平安高铁新区,70,良,颗粒物(PM10),49,90,0.6,37,41,14,9
20200330,12,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,平安高铁新区,69,良,颗粒物(PM10),49,87,0.5,20,82,21,9
20200330,13,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,平安高铁新区,73,良,颗粒物(PM10),41,95,0.5,21,83,31,10
20200330,14,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,平安高铁新区,69,良,颗粒物(PM10),39,88,0.5,20,88,40,10
20200330,15,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,15,平安高铁新区,63,良,颗粒物(PM10),42,76,0.4,18,95,51,9
20200330,16,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,平安高铁新区,62,良,颗粒物(PM10),35,74,0.5,21,92,62,12
20200330,17,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,17,平安高铁新区,75,良,颗粒物(PM10),44,100,0.5,20,97,74,12
20200330,18,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,18,平安高铁新区,75,良,细颗粒物(PM2.5),55,94,0.5,18,95,84,12
20200330,19,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,平安高铁新区,80,良,颗粒物(PM10),48,110,0.5,22,96,91,12
20200330,20,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,20,平安高铁新区,80,良,颗粒物(PM10),50,109,0.4,22,88,92,12
20200330,21,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,21,平安高铁新区,78,良,颗粒物(PM10),51,105,0.4,19,89,92,9
20200330,22,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,22,平安高铁新区,73,良,颗粒物(PM10),49,95,0.4,20,87,92,7
20200330,23,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,23,平安高铁新区,65,良,颗粒物(PM10),45,80,0.3,17,92,92,6
20200331,00,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,00,平安高铁新区,59,良,颗粒物(PM10),35,67,0.3,16,92,92,6
20200331,01,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,01,平安高铁新区,66,良,颗粒物(PM10),35,81,0.3,15,94,94,6
20200331,02,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,02,平安高铁新区,57,良,颗粒物(PM10),33,63,0.3,17,93,94,6
20200331,03,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,03,平安高铁新区,62,良,颗粒物(PM10),30,73,0.3,13,94,94,8
20200331,04,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,04,平安高铁新区,65,良,颗粒物(PM10),32,80,0.3,14,91,93,10
20200331,05,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,05,平安高铁新区,63,良,颗粒物(PM10),31,75,0.3,13,88,92,11
20200331,06,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,06,平安高铁新区,63,良,颗粒物(PM10),29,76,0.3,14,86,91,11
20200331,07,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,07,平安高铁新区,67,良,颗粒物(PM10),35,84,0.4,38,57,86,11
20200331,08,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,08,平安高铁新区,75,良,颗粒物(PM10),37,99,0.4,41,50,82,12
20200331,09,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,09,平安高铁新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN
20200331,10,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,10,平安高铁新区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN
20200331,11,平安县,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,11,平安高铁新区,66,良,颗粒物(PM10),30,82,0.3,15,90,77,11
