Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,同仁县隆务镇,101,轻度污染,颗粒物(PM10),40,152,0.7,14,87,87,6
20200326,20,同仁县隆务镇,96,良,颗粒物(PM10),41,142,0.8,20,69,86,10
20200326,21,同仁县隆务镇,86,良,颗粒物(PM10),47,122,0.8,16,71,85,9
20200327,10,同仁县隆务镇,59,良,颗粒物(PM10),27,68,0.9,21,62,68,8
20200327,11,同仁县隆务镇,61,良,颗粒物(PM10),30,72,1.0,22,61,66,12
20200327,12,同仁县隆务镇,58,良,颗粒物(PM10),32,65,0.8,12,77,66,9
20200327,13,同仁县隆务镇,46,优,NaN,29,46,0.7,7,86,68,5
20200327,14,同仁县隆务镇,41,优,NaN,23,41,0.7,8,95,70,5
20200327,14,同仁县隆务镇,41,优,NaN,23,41,0.7,8,95,70,5
20200327,15,同仁县隆务镇,47,优,NaN,15,47,0.7,10,101,75,5
20200327,16,同仁县隆务镇,53,良,颗粒物(PM10),9,55,0.6,13,102,81,5
20200327,17,同仁县隆务镇,55,良,颗粒物(PM10),11,60,0.7,NaN,94,85,NaN
20200330,08,同仁县隆务镇,49,优,NaN,30,49,0.5,10,71,73,3
20200330,09,同仁县隆务镇,63,良,颗粒物(PM10),33,75,0.8,26,56,70,6
20200330,10,同仁县隆务镇,78,良,细颗粒物(PM2.5),57,88,0.8,27,64,70,6
20200330,10,同仁县隆务镇,78,良,细颗粒物(PM2.5),57,88,0.8,27,64,70,6
20200330,10,同仁县隆务镇,78,良,细颗粒物(PM2.5),57,88,0.8,27,64,70,6
20200330,11,同仁县隆务镇,71,良,颗粒物(PM10),44,91,0.7,27,61,68,7
20200330,12,同仁县隆务镇,68,良,颗粒物(PM10),43,85,0.6,23,69,67,7
20200330,13,同仁县隆务镇,59,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",42,67,0.5,14,89,68,7
20200330,14,同仁县隆务镇,51,良,颗粒物(PM10),31,51,0.5,14,97,72,5
20200330,15,同仁县隆务镇,48,优,NaN,29,48,0.4,12,102,76,5
20200330,16,同仁县隆务镇,43,优,NaN,26,43,0.4,13,105,80,5
20200330,17,同仁县隆务镇,51,良,颗粒物(PM10),26,51,0.5,16,100,86,4
20200330,18,同仁县隆务镇,54,良,颗粒物(PM10),24,57,0.5,21,97,90,6
20200330,19,同仁县隆务镇,66,良,颗粒物(PM10),27,82,0.6,25,93,94,8
20200330,20,同仁县隆务镇,69,良,颗粒物(PM10),38,88,0.5,14,104,98,8
20200330,21,同仁县隆务镇,67,良,颗粒物(PM10),37,83,0.6,17,102,100,6
20200330,22,同仁县隆务镇,69,良,颗粒物(PM10),38,88,0.6,15,99,100,6
20200330,23,同仁县隆务镇,68,良,颗粒物(PM10),41,85,0.6,14,98,100,5
20200331,00,同仁县隆务镇,70,良,颗粒物(PM10),34,90,0.5,13,104,100,5
20200331,01,同仁县隆务镇,68,良,颗粒物(PM10),33,86,0.5,11,105,105,6
20200331,02,同仁县隆务镇,71,良,颗粒物(PM10),38,92,0.5,12,97,101,5
20200331,03,同仁县隆务镇,67,良,颗粒物(PM10),33,83,0.5,10,100,101,5
20200331,04,同仁县隆务镇,64,良,颗粒物(PM10),29,77,0.4,9,98,100,5
20200331,05,同仁县隆务镇,63,良,颗粒物(PM10),29,76,0.4,9,93,99,5
20200331,06,同仁县隆务镇,67,良,颗粒物(PM10),28,84,0.4,8,105,100,5
20200331,07,同仁县隆务镇,63,良,颗粒物(PM10),28,75,0.5,13,96,99,6
20200331,08,同仁县隆务镇,61,良,颗粒物(PM10),31,71,0.5,22,69,95,7
20200331,09,同仁县隆务镇,65,良,颗粒物(PM10),32,79,0.6,35,60,90,21
20200331,10,同仁县隆务镇,73,良,颗粒物(PM10),35,95,0.6,26,82,88,20
20200331,11,同仁县隆务镇,71,良,颗粒物(PM10),38,92,0.5,16,99,88,9
20200331,12,同仁县隆务镇,64,良,颗粒物(PM10),34,78,0.5,15,109,89,6
20200331,13,同仁县隆务镇,62,良,颗粒物(PM10),31,73,0.4,12,118,92,6
20200331,14,同仁县隆务镇,61,良,颗粒物(PM10),31,71,0.4,14,114,93,6
