Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,北街,39,优,NaN,10,39,0.7,21,59,60,5
20200326,18,西区,48,优,NaN,16,48,0.6,19,61,64,6
20200326,18,圭峰西,28,优,NaN,10,28,0.5,9,61,60,5
20200326,18,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200326,18,东湖(对照点),48,优,NaN,18,48,0.6,16,61,60,5
20200326,20,北街,51,良,颗粒物(PM10),10,52,0.6,17,47,60,3
20200326,20,西区,46,优,NaN,20,46,0.6,28,42,62,6
20200326,20,圭峰西,28,优,NaN,14,28,0.6,20,41,59,5
20200326,20,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200326,20,东湖(对照点),47,优,NaN,17,47,0.7,21,42,58,5
20200326,21,北街,29,优,NaN,9,29,0.7,20,40,57,4
20200326,21,西区,42,优,NaN,19,42,0.6,21,44,60,5
20200326,21,圭峰西,30,优,NaN,20,30,0.6,21,36,56,6
20200326,21,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200326,21,东湖(对照点),34,优,NaN,16,34,0.6,20,38,56,5
20200327,10,北街,15,优,NaN,10,NaN,0.6,16,43,30,5
20200327,10,西区,47,优,NaN,16,47,0.6,24,37,28,6
20200327,10,圭峰西,25,优,NaN,17,24,0.6,18,34,29,5
20200327,10,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,10,东湖(对照点),39,优,NaN,17,39,0.7,22,32,28,5
20200327,11,北街,16,优,NaN,10,NaN,0.6,16,49,33,4
20200327,11,西区,36,优,NaN,13,36,0.5,17,51,32,6
20200327,11,圭峰西,33,优,NaN,17,33,0.5,13,47,32,5
20200327,11,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,11,东湖(对照点),33,优,NaN,14,33,0.6,14,45,31,5
20200327,12,北街,29,优,NaN,10,29,0.6,12,55,38,4
20200327,12,西区,36,优,NaN,12,36,0.5,16,56,36,5
20200327,12,圭峰西,32,优,NaN,15,32,0.5,13,52,35,5
20200327,12,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,12,东湖(对照点),24,优,NaN,13,24,0.5,11,52,35,5
20200327,13,北街,22,优,NaN,10,22,0.6,13,54,42,3
20200327,13,西区,36,优,NaN,13,36,0.5,15,57,40,5
20200327,13,圭峰西,30,优,NaN,14,30,0.5,10,60,38,5
20200327,13,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,13,东湖(对照点),37,优,NaN,15,37,0.6,13,52,38,5
20200327,14,北街,34,优,NaN,9,34,0.6,10,64,46,3
20200327,14,西区,32,优,NaN,13,32,0.5,13,69,46,6
20200327,14,圭峰西,30,优,NaN,12,30,0.5,7,68,42,5
20200327,14,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,14,东湖(对照点),35,优,NaN,15,35,0.5,9,64,42,5
20200327,14,北街,34,优,NaN,9,34,0.6,10,64,46,3
20200327,14,西区,32,优,NaN,13,32,0.5,13,69,46,6
20200327,14,圭峰西,30,优,NaN,12,30,0.5,7,68,42,5
20200327,14,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,14,东湖(对照点),35,优,NaN,15,35,0.5,9,64,42,5
20200327,15,北街,37,优,NaN,9,37,0.6,12,64,50,3
20200327,15,西区,28,优,NaN,12,28,0.5,12,75,51,5
20200327,15,圭峰西,30,优,NaN,10,30,0.5,10,63,47,4
20200327,15,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,15,东湖(对照点),37,优,NaN,14,37,0.5,10,67,47,5
20200327,16,北街,38,优,NaN,9,38,0.6,12,59,53,4
20200327,16,西区,40,优,NaN,14,40,0.5,15,64,55,5
20200327,16,圭峰西,33,优,NaN,11,33,0.5,11,57,51,5
20200327,16,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,16,东湖(对照点),50,优,NaN,14,50,0.5,11,59,50,5
20200327,17,北街,23,优,NaN,8,23,0.6,13,57,56,3
20200327,17,西区,34,优,NaN,14,34,0.5,15,62,59,5
20200327,17,圭峰西,24,优,NaN,13,24,0.5,10,53,54,5
20200327,17,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200327,17,东湖(对照点),34,优,NaN,14,34,0.6,12,57,54,5
20200330,08,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,西区,16,优,NaN,7,NaN,0.9,32,5,6,5
20200330,08,圭峰西,14,优,NaN,NaN,2,0.8,28,5,4,5
20200330,08,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,08,东湖(对照点),14,优,NaN,4,7,0.7,28,4,4,5
20200330,09,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,西区,16,优,NaN,8,15,0.9,32,5,6,6
20200330,09,圭峰西,13,优,NaN,1,10,0.8,26,5,4,5
20200330,09,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,09,东湖(对照点),14,优,NaN,5,12,0.8,27,5,4,5
20200330,10,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西区,21,优,NaN,7,21,0.9,32,6,6,6
20200330,10,圭峰西,13,优,NaN,1,8,0.8,26,6,5,5
20200330,10,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,10,东湖(对照点),19,优,NaN,6,19,0.8,27,5,5,5
20200330,10,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西区,21,优,NaN,7,21,0.9,32,6,6,6
20200330,10,圭峰西,13,优,NaN,1,8,0.8,26,6,5,5
20200330,10,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,10,东湖(对照点),19,优,NaN,6,19,0.8,27,5,5,5
20200330,10,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西区,21,优,NaN,7,21,0.9,32,6,6,6
20200330,10,圭峰西,13,优,NaN,1,8,0.8,26,6,5,5
20200330,10,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,10,东湖(对照点),19,优,NaN,6,19,0.8,27,5,5,5
20200330,11,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,西区,16,优,NaN,6,14,0.9,32,6,6,6
20200330,11,圭峰西,16,优,NaN,4,16,0.8,25,6,6,5
20200330,11,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,11,东湖(对照点),20,优,NaN,6,20,0.8,28,5,6,5
20200330,12,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,西区,17,优,NaN,8,16,0.9,33,6,7,6
20200330,12,圭峰西,14,优,NaN,4,6,0.8,27,7,6,5
20200330,12,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,12,东湖(对照点),15,优,NaN,7,13,0.8,29,5,6,6
20200330,13,北街,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,西区,20,优,NaN,8,20,0.8,32,8,7,6
20200330,13,圭峰西,14,优,NaN,4,4,0.8,27,9,6,5
20200330,13,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,13,东湖(对照点),18,优,NaN,8,18,0.8,28,6,6,5
20200330,14,北街,NaN,,NaN,NaN,NaN,0.9,30,14,14,5
20200330,14,西区,17,优,NaN,9,17,0.8,33,9,6,6
20200330,14,圭峰西,15,优,NaN,5,15,0.8,27,11,7,4
20200330,14,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,14,东湖(对照点),15,优,NaN,9,15,0.7,30,10,6,5
20200330,15,北街,21,优,NaN,3,21,0.9,34,14,14,4
20200330,15,西区,18,优,NaN,12,17,0.9,36,8,7,6
20200330,15,圭峰西,20,优,NaN,5,20,0.9,28,12,8,4
20200330,15,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,15,东湖(对照点),30,优,NaN,12,30,0.8,33,7,6,5
20200330,16,北街,31,优,NaN,4,31,0.9,36,12,13,4
20200330,16,西区,24,优,NaN,14,24,0.8,39,7,7,5
20200330,16,圭峰西,15,优,NaN,10,14,NaN,30,10,8,4
20200330,16,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,16,东湖(对照点),30,优,NaN,14,30,0.8,36,5,6,5
20200330,17,北街,28,优,NaN,6,28,0.9,38,12,13,4
20200330,17,西区,24,优,NaN,15,24,0.9,42,6,7,6
20200330,17,圭峰西,NaN,,NaN,NaN,NaN,0.8,33,7,8,NaN
20200330,17,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,17,东湖(对照点),27,优,NaN,15,27,0.8,37,5,6,5
20200330,18,北街,34,优,NaN,8,34,1.0,39,10,12,5
20200330,18,西区,22,优,NaN,15,16,0.9,43,4,7,6
20200330,18,圭峰西,20,优,NaN,12,20,0.8,36,4,8,5
20200330,18,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,18,东湖(对照点),37,优,NaN,18,37,0.8,39,3,6,5
20200330,19,北街,23,优,NaN,7,23,1.0,38,9,12,4
20200330,19,西区,28,优,NaN,12,28,1.0,43,4,6,6
20200330,19,圭峰西,19,优,NaN,6,14,0.9,37,2,8,4
20200330,19,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,19,东湖(对照点),23,优,NaN,14,23,0.8,38,2,5,5
20200330,20,北街,19,优,NaN,5,19,1.0,37,8,11,4
20200330,20,西区,21,优,NaN,9,19,0.9,41,4,6,6
20200330,20,圭峰西,18,优,NaN,5,12,0.8,36,2,7,5
20200330,20,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,20,东湖(对照点),19,优,NaN,9,14,0.8,38,2,5,5
20200330,22,北街,22,优,NaN,7,22,1.0,38,9,10,4
20200330,22,西区,20,优,NaN,12,15,0.9,39,3,5,5
20200330,22,圭峰西,17,优,NaN,5,10,0.9,34,2,5,4
20200330,22,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,22,东湖(对照点),19,优,NaN,13,14,0.8,37,2,4,5
20200330,22,北街,22,优,NaN,7,22,1.0,38,9,10,4
20200330,22,西区,20,优,NaN,12,15,0.9,39,3,5,5
20200330,22,圭峰西,17,优,NaN,5,10,0.9,34,2,5,4
20200330,22,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,22,东湖(对照点),19,优,NaN,13,14,0.8,37,2,4,5
20200330,23,北街,21,优,NaN,8,21,1.0,37,8,10,4
20200330,23,西区,20,优,NaN,14,16,0.9,38,3,4,5
20200330,23,圭峰西,18,优,NaN,6,11,0.8,35,2,4,4
20200330,23,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200330,23,东湖(对照点),20,优,NaN,14,15,0.8,36,2,3,5
20200331,00,北街,26,优,NaN,10,26,0.9,37,9,9,4
20200331,00,西区,20,优,NaN,14,19,0.8,38,3,4,6
20200331,00,圭峰西,17,优,NaN,7,10,0.8,34,2,3,4
20200331,00,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,00,东湖(对照点),22,优,NaN,15,21,0.8,37,2,2,5
20200331,01,北街,21,优,NaN,13,21,0.9,36,8,8,4
20200331,01,西区,23,优,NaN,16,18,0.8,38,3,3,5
20200331,01,圭峰西,17,优,NaN,9,NaN,0.8,33,2,2,4
20200331,01,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,01,东湖(对照点),25,优,NaN,17,23,0.8,36,2,2,5
20200331,02,北街,22,优,NaN,12,22,0.9,34,8,8,3
20200331,02,西区,23,优,NaN,16,21,0.8,38,3,3,5
20200331,02,圭峰西,17,优,NaN,11,17,0.8,33,2,2,4
20200331,02,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,02,东湖(对照点),25,优,NaN,17,19,0.7,34,2,2,5
20200331,03,北街,17,优,NaN,10,17,0.9,32,8,8,3
20200331,03,西区,20,优,NaN,12,20,0.7,37,3,3,5
20200331,03,圭峰西,17,优,NaN,11,17,0.8,33,2,2,4
20200331,03,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,03,东湖(对照点),21,优,NaN,13,21,0.7,33,2,2,5
20200331,04,北街,16,优,NaN,9,12,0.8,31,8,8,3
20200331,04,西区,22,优,NaN,13,22,0.7,36,3,3,5
20200331,04,圭峰西,18,优,NaN,12,16,0.8,33,2,2,4
20200331,04,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,04,东湖(对照点),22,优,NaN,15,18,0.7,32,2,2,5
20200331,05,北街,16,优,NaN,9,10,0.9,31,8,8,3
20200331,05,西区,18,优,NaN,9,18,0.7,34,2,3,5
20200331,05,圭峰西,16,优,NaN,11,NaN,0.8,31,2,2,4
20200331,05,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,05,东湖(对照点),18,优,NaN,12,16,0.7,32,1,2,5
20200331,06,北街,16,优,NaN,6,16,0.8,29,8,8,3
20200331,06,西区,17,优,NaN,9,13,0.8,34,2,3,5
20200331,06,圭峰西,16,优,NaN,9,15,0.8,31,2,2,4
20200331,06,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,06,东湖(对照点),16,优,NaN,8,10,0.7,31,1,2,5
20200331,07,北街,15,优,NaN,7,11,0.9,29,8,8,3
20200331,07,西区,17,优,NaN,9,NaN,0.8,33,3,3,5
20200331,07,圭峰西,15,优,NaN,8,NaN,0.8,30,2,2,5
20200331,07,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,07,东湖(对照点),15,优,NaN,6,NaN,0.7,30,2,2,5
20200331,08,北街,14,优,NaN,6,9,0.9,27,9,8,3
20200331,08,西区,17,优,NaN,8,9,1.0,33,4,3,5
20200331,08,圭峰西,15,优,NaN,8,8,0.9,29,3,2,4
20200331,08,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,08,东湖(对照点),14,优,NaN,5,11,0.8,28,3,2,5
20200331,09,北街,14,优,NaN,8,10,1.0,28,10,8,4
20200331,09,西区,17,优,NaN,11,16,1.1,33,5,3,6
20200331,09,圭峰西,13,优,NaN,8,13,0.9,26,4,2,5
20200331,09,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,09,东湖(对照点),14,优,NaN,9,14,0.8,28,4,2,5
20200331,10,北街,15,优,NaN,10,14,1.0,27,11,9,4
20200331,10,西区,20,优,NaN,14,20,1.0,32,5,3,6
20200331,10,圭峰西,13,优,NaN,9,12,0.9,25,5,3,4
20200331,10,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,10,东湖(对照点),26,优,NaN,18,19,0.8,28,5,2,5
20200331,11,北街,19,优,NaN,13,19,1.0,26,12,9,4
20200331,11,西区,28,优,NaN,18,28,0.9,32,6,4,6
20200331,11,圭峰西,23,优,NaN,16,23,1.0,27,5,3,5
20200331,11,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,11,东湖(对照点),39,优,NaN,27,27,0.8,29,5,3,5
20200331,12,北街,28,优,NaN,15,28,1.0,28,13,10,4
20200331,12,西区,35,优,NaN,24,34,0.9,33,7,4,6
20200331,12,圭峰西,41,优,NaN,20,41,0.9,29,6,4,5
20200331,12,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,12,东湖(对照点),45,优,NaN,31,32,0.9,30,5,3,5
20200331,13,北街,35,优,NaN,20,35,1.0,30,13,10,4
20200331,13,西区,NaN,,NaN,NaN,NaN,0.8,34,7,5,6
20200331,13,圭峰西,35,优,NaN,24,26,1.0,30,6,4,5
20200331,13,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
20200331,13,东湖(对照点),54,良,细颗粒物(PM2.5),38,38,0.9,32,6,4,5
20200331,14,北街,48,优,NaN,22,48,1.0,34,14,11,4
20200331,14,西区,48,优,NaN,33,44,0.8,37,7,6,8
20200331,14,圭峰西,40,优,NaN,28,40,0.9,32,5,4,5
20200331,14,东湖,71,良,颗粒物(PM10),36,92,1.4,60,4,2,19
