Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,昆山实验小学,74,良,颗粒物(PM10),50,98,1.3,90,11,18,7
20200326,18,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,昆山实验小学,77,良,颗粒物(PM10),50,104,1.7,94,7,15,7
20200326,20,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,昆山实验小学,79,良,颗粒物(PM10),47,108,1.6,85,7,14,7
20200326,21,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,昆山实验小学,25,优,NaN,11,25,0.7,19,67,63,5
20200327,10,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,昆山实验小学,26,优,NaN,8,26,0.6,19,72,64,5
20200327,11,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,昆山实验小学,26,优,NaN,7,26,0.6,16,73,64,5
20200327,12,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,昆山实验小学,29,优,NaN,7,29,0.6,13,78,67,5
20200327,13,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,昆山实验小学,42,优,NaN,7,42,0.6,13,86,71,5
20200327,14,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,昆山实验小学,42,优,NaN,7,42,0.6,13,86,71,5
20200327,14,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,昆山实验小学,51,良,颗粒物(PM10),7,51,0.6,16,91,76,7
20200327,15,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,昆山实验小学,51,良,颗粒物(PM10),7,51,0.6,16,91,76,7
20200327,15,震川中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,昆山实验小学,29,优,NaN,20,23,0.7,38,55,63,5
20200330,10,震川中学,39,优,NaN,27,28,1.6,28,67,67,7
20200330,10,昆山实验小学,29,优,NaN,20,23,0.7,38,55,63,5
20200330,10,震川中学,39,优,NaN,27,28,1.6,28,67,67,7
20200330,10,昆山实验小学,29,优,NaN,20,23,0.7,38,55,63,5
20200330,10,震川中学,39,优,NaN,27,28,1.6,28,67,67,7
