Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保局子站,49,优,NaN,23,49,0.8,11,58,76,6
20200326,18,人民广场子站,54,良,颗粒物(PM10),11,57,0.3,1,57,75,3
20200326,20,环保局子站,38,优,NaN,13,38,0.9,6,78,73,6
20200326,20,人民广场子站,33,优,NaN,6,33,0.3,2,74,70,3
20200326,21,环保局子站,26,优,NaN,10,24,0.8,4,83,71,5
20200326,21,人民广场子站,26,优,NaN,5,26,0.2,2,77,69,3
20200327,10,环保局子站,116,轻度污染,颗粒物(PM10),16,181,0.7,3,82,82,6
20200327,10,人民广场子站,176,中度污染,颗粒物(PM10),11,301,0.2,2,77,77,3
20200327,11,环保局子站,109,轻度污染,颗粒物(PM10),14,168,0.6,2,85,76,5
20200327,11,人民广场子站,99,良,颗粒物(PM10),7,148,0.2,2,79,71,3
20200327,12,环保局子站,92,良,颗粒物(PM10),8,134,0.6,2,85,77,6
20200327,12,人民广场子站,NaN,,NaN,NaN,NaN,0.3,2,82,73,2
20200327,13,环保局子站,74,良,颗粒物(PM10),9,97,0.5,2,85,79,6
20200327,13,人民广场子站,NaN,,NaN,NaN,NaN,0.3,1,81,74,3
20200327,14,环保局子站,69,良,颗粒物(PM10),10,87,0.5,2,87,80,6
20200327,14,人民广场子站,9,优,NaN,6,NaN,0.3,2,NaN,75,3
20200327,14,环保局子站,69,良,颗粒物(PM10),10,87,0.5,2,87,80,6
20200327,14,人民广场子站,9,优,NaN,6,NaN,0.3,2,NaN,75,3
20200327,15,环保局子站,69,良,颗粒物(PM10),9,87,0.5,2,88,83,NaN
20200327,15,人民广场子站,55,良,颗粒物(PM10),1,59,0.2,1,48,73,3
20200327,17,环保局子站,58,良,颗粒物(PM10),9,66,0.5,NaN,88,86,5
20200327,17,人民广场子站,36,优,NaN,NaN,36,0.3,3,77,74,3
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,11,环保局子站,77,良,颗粒物(PM10),50,104,0.7,28,78,39,25
20200330,11,人民广场子站,83,良,颗粒物(PM10),52,115,0.7,25,83,37,20
20200330,12,环保局子站,82,良,颗粒物(PM10),56,113,0.7,25,NaN,42,25
20200330,12,人民广场子站,87,良,颗粒物(PM10),58,123,0.7,22,109,50,19
20200330,12,环保局子站,82,良,颗粒物(PM10),56,113,0.7,25,NaN,42,25
20200330,12,人民广场子站,87,良,颗粒物(PM10),58,123,0.7,22,109,50,19
20200330,14,环保局子站,88,良,细颗粒物(PM2.5),65,120,NaN,15,156,77,16
20200330,14,人民广场子站,85,良,颗粒物(PM10),53,119,0.6,15,150,90,15
20200330,16,环保局子站,92,良,细颗粒物(PM2.5),68,121,0.6,NaN,168,117,NaN
20200330,16,人民广场子站,79,良,颗粒物(PM10),42,107,0.6,12,159,116,12
20200330,16,环保局子站,92,良,细颗粒物(PM2.5),68,121,0.6,NaN,168,117,NaN
20200330,16,人民广场子站,79,良,颗粒物(PM10),42,107,0.6,12,159,116,12
20200330,17,环保局子站,89,良,细颗粒物(PM2.5),66,120,0.6,NaN,157,132,11
20200330,17,人民广场子站,81,良,颗粒物(PM10),35,112,0.5,10,143,126,9
20200330,18,环保局子站,85,良,颗粒物(PM10),62,119,0.6,15,158,147,12
20200330,18,人民广场子站,76,良,颗粒物(PM10),43,101,0.5,11,138,135,9
20200330,19,环保局子站,84,良,颗粒物(PM10),60,117,0.8,21,141,157,13
20200330,19,人民广场子站,80,良,细颗粒物(PM2.5),59,108,0.6,16,138,142,10
20200330,20,环保局子站,88,良,细颗粒物(PM2.5),65,117,0.9,24,136,154,14
20200330,20,人民广场子站,86,良,颗粒物(PM10),60,121,0.7,18,140,146,10
20200330,21,环保局子站,102,轻度污染,细颗粒物(PM2.5),76,121,0.9,25,120,150,11
20200330,21,人民广场子站,98,良,细颗粒物(PM2.5),73,132,0.7,20,128,144,9
20200330,21,环保局子站,102,轻度污染,细颗粒物(PM2.5),76,121,0.9,25,120,150,11
20200330,21,人民广场子站,98,良,细颗粒物(PM2.5),73,132,0.7,20,128,144,9
20200330,23,环保局子站,102,轻度污染,颗粒物(PM10),74,154,0.9,33,90,135,9
20200330,23,人民广场子站,95,良,细颗粒物(PM2.5),71,127,0.7,18,113,135,8
20200331,00,环保局子站,96,良,颗粒物(PM10),66,141,0.8,18,98,126,8
20200331,00,人民广场子站,65,良,颗粒物(PM10),28,79,0.5,12,104,128,5
20200331,01,环保局子站,88,良,颗粒物(PM10),56,126,0.8,19,92,92,8
20200331,01,人民广场子站,61,良,颗粒物(PM10),24,72,0.5,10,104,104,5
20200331,02,环保局子站,82,良,颗粒物(PM10),46,114,0.8,34,74,83,7
20200331,02,人民广场子站,64,良,颗粒物(PM10),26,77,0.5,12,98,101,6
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,03,环保局子站,81,良,颗粒物(PM10),44,111,1.0,40,61,76,8
20200331,03,人民广场子站,66,良,颗粒物(PM10),31,81,0.6,17,87,96,5
20200331,12,环保局子站,83,良,细颗粒物(PM2.5),61,113,0.8,21,104,66,17
20200331,12,人民广场子站,84,良,细颗粒物(PM2.5),62,108,0.6,19,98,64,13
20200331,13,环保局子站,85,良,细颗粒物(PM2.5),63,117,0.8,20,115,73,17
20200331,13,人民广场子站,97,良,细颗粒物(PM2.5),72,120,0.6,18,109,70,14
20200331,14,环保局子站,98,良,细颗粒物(PM2.5),73,119,0.8,23,115,87,17
20200331,14,人民广场子站,90,良,细颗粒物(PM2.5),67,122,0.6,20,114,82,14
