Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,八廓街,18,优,NaN,7,18,0.2,8,NaN,94,10
20200326,18,市环保局,31,优,NaN,5,20,0.4,9,98,86,9
20200326,18,区监测站,36,优,NaN,3,18,0.3,11,114,102,5
20200326,18,西藏大学,33,优,NaN,5,16,0.5,7,105,100,6
20200326,18,区辐射站,32,优,NaN,7,23,0.4,9,102,90,5
20200326,18,拉萨火车站,36,优,NaN,6,21,0.3,8,113,96,6
20200326,20,八廓街,NaN,,NaN,NaN,34,0.3,17,90,99,9
20200326,20,市环保局,27,优,NaN,9,22,0.5,20,84,90,9
20200326,20,区监测站,30,优,NaN,5,27,0.3,25,95,106,5
20200326,20,西藏大学,31,优,NaN,7,31,0.5,8,92,101,6
20200326,20,区辐射站,30,优,NaN,6,27,0.5,14,96,98,6
20200326,20,拉萨火车站,35,优,NaN,9,33,0.3,8,111,107,6
20200326,21,八廓街,42,优,NaN,29,33,0.3,15,91,99,10
20200326,21,市环保局,28,优,NaN,8,28,0.5,17,82,90,9
20200326,21,区监测站,30,优,NaN,1,25,0.4,24,94,106,4
20200326,21,西藏大学,30,优,NaN,5,25,0.5,7,94,101,6
20200326,21,区辐射站,32,优,NaN,12,32,0.5,17,88,98,5
20200326,21,拉萨火车站,35,优,NaN,8,27,0.3,7,110,109,6
20200327,10,八廓街,23,优,NaN,11,23,0.3,14,59,65,9
20200327,10,市环保局,31,优,NaN,11,31,0.6,18,51,56,9
20200327,10,区监测站,20,优,NaN,4,19,0.5,21,61,68,5
20200327,10,西藏大学,38,优,NaN,5,38,0.5,17,41,64,6
20200327,10,区辐射站,55,良,颗粒物(PM10),20,59,0.6,32,31,42,6
20200327,10,拉萨火车站,39,优,NaN,16,39,0.6,38,35,48,6
20200327,11,八廓街,27,优,NaN,14,27,0.3,14,62,64,9
20200327,11,市环保局,41,优,NaN,11,41,0.6,18,54,54,9
20200327,11,区监测站,26,优,NaN,7,26,0.5,21,66,67,5
20200327,11,西藏大学,43,优,NaN,5,43,0.5,16,51,60,6
20200327,11,区辐射站,58,良,颗粒物(PM10),20,66,0.6,32,44,41,13
20200327,11,拉萨火车站,36,优,NaN,11,36,0.3,16,67,50,6
20200327,12,八廓街,30,优,NaN,17,30,0.3,11,75,64,9
20200327,12,市环保局,38,优,NaN,13,38,0.6,15,65,55,9
20200327,12,区监测站,29,优,NaN,9,29,0.4,16,78,67,6
20200327,12,西藏大学,38,优,NaN,7,38,0.4,10,75,61,6
20200327,12,区辐射站,49,优,NaN,16,49,0.6,22,66,43,6
20200327,12,拉萨火车站,31,优,NaN,10,31,0.3,16,74,52,6
20200327,13,八廓街,28,优,NaN,17,25,0.3,9,89,67,9
20200327,13,市环保局,33,优,NaN,11,33,0.5,11,82,58,9
20200327,13,区监测站,30,优,NaN,4,28,0.4,11,96,70,5
20200327,13,西藏大学,29,优,NaN,6,26,0.4,8,91,64,6
20200327,13,区辐射站,48,优,NaN,16,48,0.5,18,78,47,6
20200327,13,拉萨火车站,32,优,NaN,8,32,0.3,13,89,57,6
20200327,14,八廓街,30,优,NaN,15,21,0.3,7,95,70,9
20200327,14,市环保局,28,优,NaN,10,21,0.5,10,88,62,9
20200327,14,区监测站,33,优,NaN,3,19,0.4,9,104,74,6
20200327,14,西藏大学,31,优,NaN,5,17,0.4,7,98,67,6
20200327,14,区辐射站,39,优,NaN,13,39,0.5,11,87,52,6
20200327,14,拉萨火车站,30,优,NaN,8,27,0.3,11,96,62,6
20200327,14,八廓街,30,优,NaN,15,21,0.3,7,95,70,9
20200327,14,市环保局,28,优,NaN,10,21,0.5,10,88,62,9
20200327,14,区监测站,33,优,NaN,3,19,0.4,9,104,74,6
20200327,14,西藏大学,31,优,NaN,5,17,0.4,7,98,67,6
20200327,14,区辐射站,39,优,NaN,13,39,0.5,11,87,52,6
20200327,14,拉萨火车站,30,优,NaN,8,27,0.3,11,96,62,6
20200327,15,八廓街,31,优,NaN,15,22,0.2,6,98,75,8
20200327,15,市环保局,27,优,NaN,10,18,0.5,12,86,65,9
20200327,15,区监测站,33,优,NaN,2,16,0.3,8,105,78,6
20200327,15,西藏大学,NaN,,NaN,NaN,NaN,0.5,6,104,72,6
20200327,15,区辐射站,28,优,NaN,9,28,0.5,10,89,58,6
20200327,15,拉萨火车站,32,优,NaN,5,20,0.3,10,100,68,6
20200327,17,八廓街,30,优,NaN,8,16,0.2,7,96,84,8
20200327,17,市环保局,27,优,NaN,6,18,0.5,9,86,75,8
20200327,17,区监测站,31,优,NaN,2,13,0.3,11,97,89,5
20200327,17,西藏大学,12,优,NaN,4,12,NaN,6,NaN,80,6
20200327,17,区辐射站,29,优,NaN,9,23,0.4,7,90,72,6
20200327,17,拉萨火车站,30,优,NaN,8,19,0.3,7,96,82,6
20200330,10,八廓街,33,优,NaN,11,22,0.3,6,105,98,8
20200330,10,市环保局,33,优,NaN,10,33,0.5,12,89,83,8
20200330,10,区监测站,34,优,NaN,13,31,0.4,13,106,105,5
20200330,10,西藏大学,25,优,NaN,7,19,0.5,4,79,83,5
20200330,10,区辐射站,41,优,NaN,16,41,0.5,17,94,85,5
20200330,10,拉萨火车站,35,优,NaN,8,21,0.3,5,110,102,5
20200330,10,八廓街,33,优,NaN,11,22,0.3,6,105,98,8
20200330,10,市环保局,33,优,NaN,10,33,0.5,12,89,83,8
20200330,10,区监测站,34,优,NaN,13,31,0.4,13,106,105,5
20200330,10,西藏大学,25,优,NaN,7,19,0.5,4,79,83,5
20200330,10,区辐射站,41,优,NaN,16,41,0.5,17,94,85,5
20200330,10,拉萨火车站,35,优,NaN,8,21,0.3,5,110,102,5
20200330,10,八廓街,33,优,NaN,11,22,0.3,6,105,98,8
20200330,10,市环保局,33,优,NaN,10,33,0.5,12,89,83,8
20200330,10,区监测站,34,优,NaN,13,31,0.4,13,106,105,5
20200330,10,西藏大学,25,优,NaN,7,19,0.5,4,79,83,5
20200330,10,区辐射站,41,优,NaN,16,41,0.5,17,94,85,5
20200330,10,拉萨火车站,35,优,NaN,8,21,0.3,5,110,102,5
20200330,11,八廓街,34,优,NaN,8,18,0.3,7,106,99,8
20200330,11,市环保局,31,优,NaN,11,24,0.5,10,97,85,8
20200330,11,区监测站,35,优,NaN,9,20,0.4,12,112,106,5
20200330,11,西藏大学,27,优,NaN,6,17,0.5,4,84,83,5
20200330,11,区辐射站,35,优,NaN,12,35,0.5,8,105,88,5
20200330,11,拉萨火车站,36,优,NaN,10,19,0.3,6,113,104,5
20200330,13,八廓街,34,优,NaN,4,14,0.3,6,108,102,8
20200330,13,市环保局,32,优,NaN,9,16,0.5,5,102,90,7
20200330,13,区监测站,37,优,NaN,9,12,0.3,8,118,109,6
20200330,13,西藏大学,27,优,NaN,2,17,0.5,4,84,82,5
20200330,13,区辐射站,33,优,NaN,10,29,0.5,5,104,93,5
20200330,13,拉萨火车站,36,优,NaN,1,24,0.3,6,113,107,5
20200330,13,八廓街,34,优,NaN,4,14,0.3,6,108,102,8
20200330,13,市环保局,32,优,NaN,9,16,0.5,5,102,90,7
20200330,13,区监测站,37,优,NaN,9,12,0.3,8,118,109,6
20200330,13,西藏大学,27,优,NaN,2,17,0.5,4,84,82,5
20200330,13,区辐射站,33,优,NaN,10,29,0.5,5,104,93,5
20200330,13,拉萨火车站,36,优,NaN,1,24,0.3,6,113,107,5
20200330,14,八廓街,34,优,NaN,6,16,0.2,6,107,104,8
20200330,14,市环保局,31,优,NaN,6,19,0.4,NaN,98,92,NaN
20200330,14,区监测站,37,优,NaN,8,11,0.3,7,117,111,5
20200330,14,西藏大学,29,优,NaN,3,19,0.5,4,90,82,5
20200330,14,区辐射站,38,优,NaN,11,38,0.5,5,103,95,5
20200330,14,拉萨火车站,36,优,NaN,NaN,24,0.3,5,113,109,5
20200330,16,八廓街,35,优,NaN,8,16,0.2,5,111,106,8
20200330,16,市环保局,NaN,,NaN,NaN,NaN,0.5,10,100,96,7
20200330,16,区监测站,37,优,NaN,12,12,0.3,10,118,113,4
20200330,16,西藏大学,11,优,NaN,2,11,0.5,4,NaN,83,5
20200330,16,区辐射站,34,优,NaN,8,22,0.5,6,108,101,5
20200330,16,拉萨火车站,37,优,NaN,5,8,0.3,5,116,112,5
20200330,16,八廓街,35,优,NaN,8,16,0.2,5,111,106,8
20200330,16,市环保局,NaN,,NaN,NaN,NaN,0.5,10,100,96,7
20200330,16,区监测站,37,优,NaN,12,12,0.3,10,118,113,4
20200330,16,西藏大学,11,优,NaN,2,11,0.5,4,NaN,83,5
20200330,16,区辐射站,34,优,NaN,8,22,0.5,6,108,101,5
20200330,16,拉萨火车站,37,优,NaN,5,8,0.3,5,116,112,5
