Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,监测站大楼,40,优,NaN,28,39,0.8,25,56,63,5
20200326,18,莲都小学,48,优,NaN,33,39,0.7,22,66,68,5
20200326,18,余庄前,50,优,NaN,35,NaN,0.5,19,48,61,4
20200326,20,监测站大楼,45,优,NaN,23,45,0.6,16,60,69,4
20200326,20,莲都小学,39,优,NaN,27,35,0.6,15,65,73,5
20200326,20,余庄前,57,良,细颗粒物(PM2.5),40,NaN,0.6,24,43,63,5
20200326,21,监测站大楼,35,优,NaN,24,32,0.7,22,36,67,4
20200326,21,莲都小学,40,优,NaN,28,37,0.6,23,34,70,5
20200326,21,余庄前,53,良,细颗粒物(PM2.5),37,NaN,0.6,31,25,60,4
20200327,10,监测站大楼,77,良,颗粒物(PM10),19,103,0.7,NaN,46,18,4
20200327,10,莲都小学,22,优,NaN,12,22,0.6,15,41,23,5
20200327,10,余庄前,30,优,NaN,17,30,0.5,16,48,16,5
20200327,11,监测站大楼,22,优,NaN,13,NaN,0.8,12,70,24,NaN
20200327,11,莲都小学,24,优,NaN,12,24,0.6,14,50,26,5
20200327,11,余庄前,25,优,NaN,15,25,0.5,22,63,23,6
20200327,12,监测站大楼,52,良,颗粒物(PM10),21,53,0.7,28,56,29,NaN
20200327,12,莲都小学,32,优,NaN,15,32,0.6,9,74,32,5
20200327,12,余庄前,36,优,NaN,13,36,0.5,18,67,30,5
20200327,13,监测站大楼,53,良,颗粒物(PM10),27,55,0.8,9,NaN,32,5
20200327,13,莲都小学,40,优,NaN,18,40,0.6,10,75,38,5
20200327,13,余庄前,44,优,NaN,12,44,0.5,10,84,40,5
20200327,14,监测站大楼,59,良,颗粒物(PM10),27,67,0.7,12,NaN,36,4
20200327,14,莲都小学,52,良,颗粒物(PM10),17,54,0.6,12,57,44,5
20200327,14,余庄前,31,优,NaN,12,31,0.6,17,58,46,4
20200327,14,监测站大楼,59,良,颗粒物(PM10),27,67,0.7,12,NaN,36,4
20200327,14,莲都小学,52,良,颗粒物(PM10),17,54,0.6,12,57,44,5
20200327,14,余庄前,31,优,NaN,12,31,0.6,17,58,46,4
20200327,15,监测站大楼,43,优,NaN,23,43,NaN,14,46,42,4
20200327,15,莲都小学,32,优,NaN,14,32,0.6,13,51,48,4
20200327,15,余庄前,48,优,NaN,11,48,0.6,19,48,50,4
20200327,17,监测站大楼,23,优,NaN,16,18,0.7,18,39,50,3
20200327,17,莲都小学,22,优,NaN,6,22,0.6,18,42,55,5
20200327,17,余庄前,22,优,NaN,13,22,0.6,32,40,57,4
20200330,10,监测站大楼,10,优,NaN,7,9,0.5,20,18,22,4
20200330,10,莲都小学,12,优,NaN,8,9,0.4,20,25,28,5
20200330,10,余庄前,20,优,NaN,2,20,0.6,25,26,27,4
20200330,10,监测站大楼,10,优,NaN,7,9,0.5,20,18,22,4
20200330,10,莲都小学,12,优,NaN,8,9,0.4,20,25,28,5
20200330,10,余庄前,20,优,NaN,2,20,0.6,25,26,27,4
20200330,11,监测站大楼,13,优,NaN,9,10,0.5,19,23,22,4
20200330,11,莲都小学,12,优,NaN,8,10,0.4,18,27,27,5
20200330,11,余庄前,14,优,NaN,3,5,0.5,27,22,26,4
20200330,13,监测站大楼,19,优,NaN,12,19,0.6,17,31,24,4
20200330,13,莲都小学,17,优,NaN,8,17,0.4,17,33,27,5
20200330,13,余庄前,14,优,NaN,5,14,0.6,21,33,26,4
20200330,13,监测站大楼,19,优,NaN,12,19,0.6,17,31,24,4
20200330,13,莲都小学,17,优,NaN,8,17,0.4,17,33,27,5
20200330,13,余庄前,14,优,NaN,5,14,0.6,21,33,26,4
20200330,14,监测站大楼,13,优,NaN,9,10,0.5,18,30,25,4
20200330,14,莲都小学,13,优,NaN,9,12,0.4,19,35,28,5
20200330,14,余庄前,16,优,NaN,5,16,0.6,17,29,26,4
20200330,16,监测站大楼,18,优,NaN,12,15,0.5,19,35,27,4
20200330,16,莲都小学,22,优,NaN,10,22,0.4,20,40,31,5
20200330,16,余庄前,13,优,NaN,8,13,0.6,24,36,28,5
20200330,16,监测站大楼,18,优,NaN,12,15,0.5,19,35,27,4
20200330,16,莲都小学,22,优,NaN,10,22,0.4,20,40,31,5
20200330,16,余庄前,13,优,NaN,8,13,0.6,24,36,28,5
20200330,17,监测站大楼,23,优,NaN,16,17,0.5,21,38,29,4
20200330,17,莲都小学,25,优,NaN,13,25,0.4,24,38,33,5
20200330,17,余庄前,22,优,NaN,11,22,0.5,22,40,31,5
20200330,18,监测站大楼,26,优,NaN,18,19,0.6,28,31,31,4
20200330,18,莲都小学,25,优,NaN,17,24,0.5,27,40,35,5
20200330,18,余庄前,22,优,NaN,12,22,0.6,23,29,31,5
20200330,19,监测站大楼,42,优,NaN,23,42,0.5,28,37,33,4
20200330,19,莲都小学,36,优,NaN,25,33,0.4,27,48,38,5
20200330,19,余庄前,22,优,NaN,10,22,0.6,19,21,31,4
20200330,21,监测站大楼,26,优,NaN,18,25,0.5,28,15,30,4
20200330,21,莲都小学,25,优,NaN,16,25,0.5,28,29,35,5
20200330,21,余庄前,21,优,NaN,12,21,0.6,24,15,27,4
20200330,22,监测站大楼,35,优,NaN,24,28,0.5,28,18,28,4
20200330,22,莲都小学,32,优,NaN,18,32,0.5,30,21,34,5
20200330,22,余庄前,28,优,NaN,12,28,0.6,25,13,25,4
20200330,22,监测站大楼,35,优,NaN,24,28,0.5,28,18,28,4
20200330,22,莲都小学,32,优,NaN,18,32,0.5,30,21,34,5
20200330,22,余庄前,28,优,NaN,12,28,0.6,25,13,25,4
20200330,23,监测站大楼,40,优,NaN,28,33,0.5,28,17,26,4
20200330,23,莲都小学,34,优,NaN,22,34,0.4,30,19,31,5
20200330,23,余庄前,30,优,NaN,15,30,0.6,29,6,22,4
20200331,00,监测站大楼,36,优,NaN,18,36,0.5,27,5,23,4
20200331,00,莲都小学,36,优,NaN,25,32,0.4,28,23,29,5
20200331,00,余庄前,26,优,NaN,15,26,0.6,29,6,18,4
20200331,01,监测站大楼,29,优,NaN,20,24,0.5,30,6,6,4
20200331,01,莲都小学,35,优,NaN,24,33,0.4,31,11,11,5
20200331,01,余庄前,38,优,NaN,14,38,0.6,35,1,1,4
20200331,02,监测站大楼,38,优,NaN,26,26,0.5,28,6,6,4
20200331,02,莲都小学,43,优,NaN,30,39,0.4,24,21,16,5
20200331,02,余庄前,38,优,NaN,14,38,0.6,33,13,7,4
20200331,03,监测站大楼,32,优,NaN,22,30,0.5,26,4,5,4
20200331,03,莲都小学,38,优,NaN,26,36,0.4,26,13,15,5
20200331,03,余庄前,27,优,NaN,15,27,0.6,36,6,7,4
20200331,04,监测站大楼,33,优,NaN,23,NaN,0.5,25,7,6,4
20200331,04,莲都小学,33,优,NaN,23,NaN,0.5,27,9,14,5
20200331,04,余庄前,30,优,NaN,14,30,0.6,37,13,8,3
20200331,05,监测站大楼,40,优,NaN,28,NaN,0.5,25,8,6,4
20200331,05,莲都小学,45,优,NaN,31,NaN,0.4,26,12,13,5
20200331,05,余庄前,27,优,NaN,17,27,0.6,36,2,7,4
20200331,06,监测站大楼,40,优,NaN,28,NaN,0.5,21,9,7,4
20200331,06,莲都小学,42,优,NaN,29,29,0.5,25,12,13,5
20200331,06,余庄前,28,优,NaN,18,28,0.6,32,4,6,3
20200331,07,监测站大楼,40,优,NaN,28,NaN,0.5,19,12,7,4
20200331,07,莲都小学,35,优,NaN,24,NaN,0.5,23,12,13,5
20200331,07,余庄前,28,优,NaN,19,NaN,0.6,28,19,8,4
20200331,08,监测站大楼,40,优,NaN,28,NaN,0.6,18,15,8,4
20200331,08,莲都小学,36,优,NaN,25,30,0.5,22,15,13,5
20200331,08,余庄前,34,优,NaN,15,34,0.6,22,28,11,4
20200331,09,监测站大楼,35,优,NaN,24,31,0.6,22,13,9,4
20200331,09,莲都小学,38,优,NaN,26,30,0.6,24,15,14,5
20200331,09,余庄前,37,优,NaN,16,37,0.6,34,6,11,5
20200331,10,监测站大楼,38,优,NaN,26,29,0.6,23,13,10,4
20200331,10,莲都小学,36,优,NaN,25,30,0.6,25,15,13,5
20200331,10,余庄前,36,优,NaN,15,36,0.7,34,11,11,5
20200331,11,监测站大楼,36,优,NaN,25,34,0.6,24,12,11,4
20200331,11,莲都小学,34,优,NaN,23,34,0.6,26,15,13,5
20200331,11,余庄前,35,优,NaN,16,35,0.7,36,6,11,5
20200331,12,监测站大楼,33,优,NaN,23,31,0.6,26,9,11,4
20200331,12,莲都小学,33,优,NaN,23,32,0.6,27,13,14,5
20200331,12,余庄前,33,优,NaN,15,33,0.7,37,14,11,4
20200331,13,监测站大楼,32,优,NaN,22,25,0.6,25,8,11,4
20200331,13,莲都小学,32,优,NaN,20,32,0.6,27,13,14,5
20200331,13,余庄前,28,优,NaN,14,28,0.7,35,10,12,4
20200331,14,监测站大楼,28,优,NaN,19,23,0.6,26,7,11,5
20200331,14,莲都小学,25,优,NaN,17,25,0.6,30,9,13,6
20200331,14,余庄前,30,优,NaN,14,30,0.7,38,4,12,4
20200331,15,监测站大楼,23,优,NaN,16,17,0.6,23,12,11,4
20200331,15,莲都小学,32,优,NaN,14,32,0.6,27,10,13,NaN
20200331,15,余庄前,35,优,NaN,24,29,0.7,44,10,11,3
20200331,16,监测站大楼,20,优,NaN,14,17,0.5,24,12,11,4
20200331,16,莲都小学,23,优,NaN,12,23,0.5,27,12,13,NaN
20200331,16,余庄前,51,良,颗粒物(PM10),17,51,0.7,41,15,10,5
20200331,17,监测站大楼,32,优,NaN,22,NaN,0.6,29,8,10,4
20200331,17,莲都小学,23,优,NaN,16,22,0.6,30,11,12,NaN
20200331,17,余庄前,32,优,NaN,17,32,0.7,46,14,10,4
20200331,19,监测站大楼,33,优,NaN,22,33,0.7,37,4,8,4
20200331,19,莲都小学,26,优,NaN,18,22,0.6,38,7,10,NaN
20200331,19,余庄前,48,优,NaN,26,48,0.7,52,20,12,3
20200331,20,监测站大楼,35,优,NaN,24,29,0.6,38,3,8,4
20200331,20,莲都小学,30,优,NaN,21,27,0.6,40,5,9,NaN
20200331,20,余庄前,35,优,NaN,20,35,0.7,51,11,12,4
20200331,21,监测站大楼,28,优,NaN,19,21,0.6,33,5,7,4
20200331,21,莲都小学,28,优,NaN,19,21,0.6,39,5,8,NaN
20200331,21,余庄前,35,优,NaN,16,35,0.7,49,23,13,2
20200331,22,监测站大楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,22,莲都小学,20,优,NaN,14,18,0.6,37,5,8,5
20200331,22,余庄前,24,优,NaN,11,19,0.6,47,25,16,4
20200331,22,监测站大楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,22,莲都小学,20,优,NaN,14,18,0.6,37,5,8,5
20200331,22,余庄前,24,优,NaN,11,19,0.6,47,25,16,4
20200331,23,监测站大楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,23,莲都小学,22,优,NaN,8,22,0.6,36,5,7,5
20200331,23,余庄前,22,优,NaN,8,22,0.6,37,13,16,3
20200401,00,监测站大楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN
20200401,00,莲都小学,20,优,NaN,4,20,0.6,36,5,6,5
20200401,00,余庄前,21,优,NaN,6,20,0.6,41,8,15,4
20200401,01,监测站大楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,01,莲都小学,21,优,NaN,6,21,0.6,35,5,5,5
