Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,溧阳市东门子站,75,良,细颗粒物(PM2.5),55,74,1.0,100,3,14,7
20200326,18,燕山子站,77,良,细颗粒物(PM2.5),56,82,1.2,95,10,13,9
20200326,20,溧阳市东门子站,63,良,细颗粒物(PM2.5),45,59,1.1,87,1,11,8
20200326,20,燕山子站,62,良,细颗粒物(PM2.5),44,64,1.3,83,11,12,9
20200326,21,溧阳市东门子站,62,良,细颗粒物(PM2.5),44,53,1.1,85,1,9,5
20200326,21,燕山子站,54,良,细颗粒物(PM2.5),38,52,1.4,68,22,13,8
20200327,10,溧阳市东门子站,25,优,NaN,17,18,0.6,22,60,47,7
20200327,10,燕山子站,23,优,NaN,16,22,0.7,21,59,50,8
20200327,11,溧阳市东门子站,20,优,NaN,14,16,0.6,25,57,50,9
20200327,11,燕山子站,20,优,NaN,10,17,0.6,21,61,53,8
20200327,12,溧阳市东门子站,19,优,NaN,13,18,0.8,25,60,52,11
20200327,12,燕山子站,20,优,NaN,NaN,17,0.7,21,63,55,9
20200327,13,溧阳市东门子站,22,优,NaN,12,17,0.3,19,69,56,8
20200327,13,燕山子站,22,优,NaN,NaN,12,0.6,19,68,58,9
20200327,14,溧阳市东门子站,21,优,NaN,13,21,0.4,23,65,58,7
20200327,14,燕山子站,16,优,NaN,8,16,0.6,19,NaN,59,9
20200327,14,溧阳市东门子站,21,优,NaN,13,21,0.4,23,65,58,7
20200327,14,燕山子站,16,优,NaN,8,16,0.6,19,NaN,59,9
20200327,15,溧阳市东门子站,26,优,NaN,14,26,0.3,20,76,61,7
20200327,15,燕山子站,23,优,NaN,NaN,18,0.6,19,73,62,9
20200327,15,溧阳市东门子站,26,优,NaN,14,26,0.3,20,76,61,7
20200327,15,燕山子站,23,优,NaN,NaN,18,0.6,19,73,62,9
20200330,10,溧阳市东门子站,40,优,NaN,28,37,0.5,39,50,40,4
20200330,10,燕山子站,41,优,NaN,26,41,0.8,39,45,37,7
20200330,10,溧阳市东门子站,40,优,NaN,28,37,0.5,39,50,40,4
20200330,10,燕山子站,41,优,NaN,26,41,0.8,39,45,37,7
20200330,11,溧阳市东门子站,33,优,NaN,23,30,0.5,34,59,44,4
20200330,11,燕山子站,35,优,NaN,22,35,0.8,40,48,39,7
20200330,12,溧阳市东门子站,28,优,NaN,19,24,0.6,32,58,49,4
20200330,12,燕山子站,32,优,NaN,22,32,1.0,35,55,43,7
20200330,14,溧阳市东门子站,45,优,NaN,31,38,0.9,32,57,54,7
20200330,14,燕山子站,40,优,NaN,24,40,1.0,33,57,51,8
20200330,14,溧阳市东门子站,45,优,NaN,31,38,0.9,32,57,54,7
20200330,14,燕山子站,40,优,NaN,24,40,1.0,33,57,51,8
20200330,16,溧阳市东门子站,50,优,NaN,35,45,0.5,39,57,56,5
20200330,16,燕山子站,45,优,NaN,31,NaN,0.9,41,49,52,8
20200330,16,溧阳市东门子站,50,优,NaN,35,45,0.5,39,57,56,5
20200330,16,燕山子站,45,优,NaN,31,NaN,0.9,41,49,52,8
20200330,17,溧阳市东门子站,49,优,NaN,32,49,0.5,39,52,56,5
20200330,17,燕山子站,48,优,NaN,33,31,0.9,49,44,51,7
20200330,18,溧阳市东门子站,42,优,NaN,28,42,0.5,44,46,55,4
20200330,18,燕山子站,42,优,NaN,29,28,0.9,47,39,51,7
20200330,19,溧阳市东门子站,46,优,NaN,32,41,0.6,43,45,54,4
20200330,19,燕山子站,45,优,NaN,31,29,0.9,41,44,50,7
20200330,21,溧阳市东门子站,55,良,细颗粒物(PM2.5),39,56,0.6,50,32,48,4
20200330,21,燕山子站,53,良,细颗粒物(PM2.5),37,40,0.8,43,38,46,7
20200330,21,溧阳市东门子站,55,良,细颗粒物(PM2.5),39,56,0.6,50,32,48,4
20200330,21,燕山子站,53,良,细颗粒物(PM2.5),37,40,0.8,43,38,46,7
20200330,21,溧阳市东门子站,55,良,细颗粒物(PM2.5),39,56,0.6,50,32,48,4
20200330,21,燕山子站,53,良,细颗粒物(PM2.5),37,40,0.8,43,38,46,7
20200330,23,溧阳市东门子站,55,良,细颗粒物(PM2.5),39,57,0.7,55,22,40,5
20200330,23,燕山子站,57,良,细颗粒物(PM2.5),40,43,1.0,49,22,38,7
20200331,00,溧阳市东门子站,54,良,颗粒物(PM10),35,58,0.8,67,10,34,5
20200331,00,燕山子站,57,良,细颗粒物(PM2.5),40,43,1.0,55,17,34,8
