Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局,83,良,细颗粒物(PM2.5),61,61,0.7,13,NaN,152,2
20200326,18,普洱第二中学,60,良,细颗粒物(PM2.5),43,61,0.4,11,159,157,3
20200326,20,市环保局,59,良,细颗粒物(PM2.5),42,61,NaN,17,144,156,2
20200326,20,普洱第二中学,65,良,细颗粒物(PM2.5),47,76,0.5,16,152,160,3
20200326,21,市环保局,70,良,细颗粒物(PM2.5),51,81,NaN,23,136,153,2
20200326,21,普洱第二中学,94,良,细颗粒物(PM2.5),70,89,0.7,40,108,154,3
20200327,10,市环保局,130,轻度污染,细颗粒物(PM2.5),99,120,1.1,42,81,84,4
20200327,10,普洱第二中学,99,良,细颗粒物(PM2.5),74,139,1.1,63,59,47,6
20200327,11,市环保局,113,轻度污染,细颗粒物(PM2.5),85,116,1.0,32,134,90,4
20200327,11,普洱第二中学,132,轻度污染,细颗粒物(PM2.5),100,164,0.8,26,143,58,5
20200327,12,市环保局,117,轻度污染,细颗粒物(PM2.5),88,100,0.9,16,157,97,4
20200327,12,普洱第二中学,79,良,细颗粒物(PM2.5),58,98,0.6,10,159,71,4
20200327,13,市环保局,87,良,细颗粒物(PM2.5),64,71,0.7,12,144,104,2
20200327,13,普洱第二中学,85,良,细颗粒物(PM2.5),63,72,0.5,8,151,84,4
20200327,14,市环保局,78,良,细颗粒物(PM2.5),57,58,0.7,11,144,110,2
20200327,14,普洱第二中学,68,良,细颗粒物(PM2.5),49,53,0.5,9,152,96,4
20200327,15,市环保局,70,良,细颗粒物(PM2.5),51,60,0.7,14,149,118,2
20200327,15,普洱第二中学,65,良,细颗粒物(PM2.5),47,60,0.5,9,151,110,4
20200327,17,市环保局,70,良,细颗粒物(PM2.5),51,62,0.7,15,145,138,2
20200327,17,普洱第二中学,52,良,颗粒物(PM10),24,53,0.5,NaN,155,140,3
20200330,10,市环保局,132,轻度污染,细颗粒物(PM2.5),100,124,1.4,46,88,77,5
20200330,10,普洱第二中学,139,轻度污染,细颗粒物(PM2.5),106,222,1.1,48,91,53,7
20200330,11,市环保局,129,轻度污染,细颗粒物(PM2.5),98,109,1.1,28,140,83,4
20200330,11,普洱第二中学,137,轻度污染,细颗粒物(PM2.5),104,168,0.9,30,146,66,6
20200330,13,市环保局,103,轻度污染,细颗粒物(PM2.5),77,NaN,0.9,13,170,107,4
20200330,13,普洱第二中学,94,良,细颗粒物(PM2.5),70,81,0.6,10,179,98,5
20200330,14,市环保局,88,良,细颗粒物(PM2.5),65,77,0.8,11,165,118,4
20200330,14,普洱第二中学,89,良,细颗粒物(PM2.5),66,NaN,0.6,11,178,113,5
20200330,14,市环保局,88,良,细颗粒物(PM2.5),65,77,0.8,11,165,118,4
20200330,14,普洱第二中学,89,良,细颗粒物(PM2.5),66,NaN,0.6,11,178,113,5
20200330,16,市环保局,89,良,细颗粒物(PM2.5),66,68,0.8,11,155,138,3
20200330,16,普洱第二中学,59,良,细颗粒物(PM2.5),42,55,0.5,9,160,142,5
20200330,16,市环保局,89,良,细颗粒物(PM2.5),66,68,0.8,11,155,138,3
20200330,16,普洱第二中学,59,良,细颗粒物(PM2.5),42,55,0.5,9,160,142,5
20200330,17,市环保局,67,良,细颗粒物(PM2.5),48,66,0.7,13,147,149,3
20200330,17,普洱第二中学,60,良,颗粒物(PM10),38,70,0.5,10,154,157,5
20200330,18,市环保局,63,良,细颗粒物(PM2.5),45,70,0.7,12,146,156,3
20200330,18,普洱第二中学,56,良,颗粒物(PM10),31,62,0.5,10,150,165,5
20200330,19,市环保局,84,良,细颗粒物(PM2.5),62,62,0.7,14,139,156,3
20200330,19,普洱第二中学,54,良,颗粒物(PM10),29,58,0.5,11,149,165,5
20200330,21,市环保局,84,良,细颗粒物(PM2.5),62,105,0.9,26,118,144,3
20200330,21,普洱第二中学,82,良,细颗粒物(PM2.5),60,84,0.6,26,125,154,5
20200330,22,市环保局,77,良,细颗粒物(PM2.5),56,84,1.1,52,64,132,3
20200330,22,普洱第二中学,94,良,细颗粒物(PM2.5),70,78,0.9,37,77,142,4
20200330,22,市环保局,77,良,细颗粒物(PM2.5),56,84,1.1,52,64,132,3
20200330,22,普洱第二中学,94,良,细颗粒物(PM2.5),70,78,0.9,37,77,142,4
20200330,23,市环保局,93,良,细颗粒物(PM2.5),69,86,0.8,19,96,125,2
20200330,23,普洱第二中学,115,轻度污染,细颗粒物(PM2.5),87,108,0.7,36,82,130,4
20200331,00,市环保局,79,良,细颗粒物(PM2.5),58,74,0.8,15,92,117,2
20200331,00,普洱第二中学,97,良,细颗粒物(PM2.5),72,101,0.7,27,87,121,4
20200331,01,市环保局,73,良,细颗粒物(PM2.5),53,61,0.8,18,87,87,3
20200331,01,普洱第二中学,87,良,细颗粒物(PM2.5),64,106,0.6,67,36,36,5
20200331,02,市环保局,75,良,细颗粒物(PM2.5),55,71,0.8,19,79,83,3
20200331,02,普洱第二中学,83,良,颗粒物(PM10),57,115,0.6,48,48,42,4
20200331,03,市环保局,75,良,细颗粒物(PM2.5),55,75,0.8,16,81,82,3
20200331,03,普洱第二中学,73,良,细颗粒物(PM2.5),53,85,0.6,38,58,47,5
20200331,04,市环保局,73,良,细颗粒物(PM2.5),53,80,0.8,17,75,80,3
20200331,04,普洱第二中学,65,良,细颗粒物(PM2.5),47,73,0.6,24,79,55,5
20200331,05,市环保局,82,良,细颗粒物(PM2.5),60,82,0.9,19,75,79,4
20200331,05,普洱第二中学,70,良,颗粒物(PM10),47,89,0.7,17,97,64,5
20200331,06,市环保局,82,良,细颗粒物(PM2.5),60,86,0.9,18,75,79,3
20200331,06,普洱第二中学,71,良,颗粒物(PM10),50,91,0.7,16,103,70,5
20200331,07,市环保局,102,轻度污染,细颗粒物(PM2.5),76,88,0.9,18,79,79,4
20200331,07,普洱第二中学,82,良,细颗粒物(PM2.5),60,96,0.7,20,99,74,5
20200331,08,市环保局,103,轻度污染,细颗粒物(PM2.5),77,88,0.9,21,80,79,4
20200331,08,普洱第二中学,79,良,细颗粒物(PM2.5),58,88,0.9,38,80,75,5
20200331,09,市环保局,105,轻度污染,细颗粒物(PM2.5),79,100,1.0,26,80,78,3
20200331,09,普洱第二中学,108,轻度污染,细颗粒物(PM2.5),81,118,0.9,54,67,79,5
20200331,10,市环保局,114,轻度污染,细颗粒物(PM2.5),86,126,1.0,27,109,82,5
20200331,10,普洱第二中学,97,良,颗粒物(PM10),71,144,1.0,44,106,86,11
20200331,11,市环保局,104,轻度污染,细颗粒物(PM2.5),78,100,0.9,24,153,91,6
20200331,11,普洱第二中学,102,轻度污染,细颗粒物(PM2.5),76,142,0.6,17,164,99,6
20200331,12,市环保局,95,良,细颗粒物(PM2.5),71,83,0.8,16,167,102,5
20200331,12,普洱第二中学,73,良,臭氧1小时,43,77,0.5,11,178,112,5
20200331,13,市环保局,73,良,细颗粒物(PM2.5),53,71,0.7,13,168,114,4
20200331,13,普洱第二中学,72,良,臭氧1小时,44,69,0.5,10,177,122,5
20200331,14,市环保局,74,良,细颗粒物(PM2.5),54,62,0.7,12,173,126,4
20200331,14,普洱第二中学,73,良,臭氧1小时,35,55,0.5,9,178,131,5
20200331,16,市环保局,57,良,细颗粒物(PM2.5),40,56,0.6,9,152,146,3
20200331,16,普洱第二中学,72,良,臭氧1小时,35,40,0.5,8,177,153,5
20200331,16,市环保局,57,良,细颗粒物(PM2.5),40,56,0.6,9,152,146,3
20200331,16,普洱第二中学,72,良,臭氧1小时,35,40,0.5,8,177,153,5
20200331,17,市环保局,50,优,NaN,34,50,0.6,12,154,155,2
20200331,17,普洱第二中学,54,良,臭氧1小时,33,38,0.4,8,163,165,4
20200331,19,市环保局,55,良,颗粒物(PM10),35,59,0.7,17,150,160,3
20200331,19,普洱第二中学,57,良,臭氧1小时,30,48,0.5,13,165,172,5
20200331,20,市环保局,57,良,颗粒物(PM10),35,63,0.7,24,133,156,3
20200331,20,普洱第二中学,58,良,颗粒物(PM10),25,66,0.5,16,148,169,5
20200331,21,市环保局,61,良,颗粒物(PM10),42,72,0.8,25,108,148,5
20200331,21,普洱第二中学,60,良,颗粒物(PM10),33,70,0.7,32,106,160,NaN
20200331,22,市环保局,63,良,细颗粒物(PM2.5),45,69,0.8,27,88,138,2
20200331,22,普洱第二中学,82,良,细颗粒物(PM2.5),60,87,NaN,NaN,100,150,4
20200331,22,市环保局,63,良,细颗粒物(PM2.5),45,69,0.8,27,88,138,2
20200331,22,普洱第二中学,82,良,细颗粒物(PM2.5),60,87,NaN,NaN,100,150,4
20200331,23,市环保局,70,良,细颗粒物(PM2.5),51,64,0.7,22,88,128,2
20200331,23,普洱第二中学,73,良,细颗粒物(PM2.5),53,74,NaN,87,33,132,4
20200401,00,市环保局,68,良,细颗粒物(PM2.5),49,59,0.7,19,84,119,2
20200401,00,普洱第二中学,NaN,,NaN,NaN,NaN,0.6,86,22,113,4
20200401,01,市环保局,73,良,细颗粒物(PM2.5),53,NaN,0.7,27,73,73,2
20200401,01,普洱第二中学,92,良,细颗粒物(PM2.5),68,114,0.6,59,42,42,4
20200401,02,市环保局,72,良,细颗粒物(PM2.5),52,56,0.7,17,83,78,2
20200401,02,普洱第二中学,80,良,细颗粒物(PM2.5),59,83,0.6,79,22,32,5
20200401,07,市环保局,83,良,细颗粒物(PM2.5),61,71,0.8,16,79,83,3
20200401,07,普洱第二中学,70,良,细颗粒物(PM2.5),51,86,0.7,39,52,49,5
20200401,09,市环保局,97,良,细颗粒物(PM2.5),72,122,1.2,43,54,80,7
20200401,09,普洱第二中学,92,良,细颗粒物(PM2.5),68,104,1.0,64,36,48,5
20200401,10,市环保局,158,中度污染,细颗粒物(PM2.5),120,132,1.3,54,48,75,5
20200401,10,普洱第二中学,93,良,颗粒物(PM10),59,136,1.0,68,53,52,6
20200401,10,市环保局,158,中度污染,细颗粒物(PM2.5),120,132,1.3,54,48,75,5
20200401,10,普洱第二中学,93,良,颗粒物(PM10),59,136,1.0,68,53,52,6
20200401,11,市环保局,109,轻度污染,细颗粒物(PM2.5),82,142,1.3,51,93,76,4
20200401,11,普洱第二中学,109,轻度污染,细颗粒物(PM2.5),82,126,0.9,49,106,58,5
20200401,12,市环保局,110,轻度污染,细颗粒物(PM2.5),83,136,1.1,39,148,84,5
20200401,12,普洱第二中学,104,轻度污染,细颗粒物(PM2.5),78,111,0.8,31,163,72,6
20200401,14,市环保局,114,轻度污染,细颗粒物(PM2.5),86,96,0.9,12,169,106,4
20200401,14,普洱第二中学,73,良,细颗粒物(PM2.5),53,67,0.6,15,176,101,5
20200401,14,市环保局,114,轻度污染,细颗粒物(PM2.5),86,96,0.9,12,169,106,4
20200401,14,普洱第二中学,73,良,细颗粒物(PM2.5),53,67,0.6,15,176,101,5
20200401,16,市环保局,NaN,,NaN,NaN,NaN,0.9,NaN,172,129,NaN
20200401,16,普洱第二中学,73,良,细颗粒物(PM2.5),53,72,0.6,14,176,132,5
20200401,16,市环保局,NaN,,NaN,NaN,NaN,0.9,NaN,172,129,NaN
20200401,16,普洱第二中学,73,良,细颗粒物(PM2.5),53,72,0.6,14,176,132,5
20200401,17,市环保局,102,轻度污染,细颗粒物(PM2.5),76,151,0.8,13,NaN,140,3
20200401,17,普洱第二中学,94,良,细颗粒物(PM2.5),70,72,0.6,13,171,149,5
20200401,18,市环保局,102,轻度污染,细颗粒物(PM2.5),76,119,NaN,14,163,157,3
20200401,18,普洱第二中学,85,良,细颗粒物(PM2.5),63,68,0.6,14,170,164,5
20200401,19,市环保局,94,良,细颗粒物(PM2.5),70,103,0.8,18,145,164,3
20200401,19,普洱第二中学,80,良,细颗粒物(PM2.5),59,78,0.6,16,164,171,5
20200401,21,市环保局,108,轻度污染,细颗粒物(PM2.5),81,108,0.9,29,103,150,4
20200401,21,普洱第二中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,21,市环保局,108,轻度污染,细颗粒物(PM2.5),81,108,0.9,29,103,150,4
20200401,21,普洱第二中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
