Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,河东子站,22,优,NaN,9,22,0.4,6,43,47,3
20200326,18,河西子站,27,优,NaN,8,27,0.3,4,44,46,2
20200326,20,河东子站,21,优,NaN,13,21,0.4,6,43,46,3
20200326,20,河西子站,25,优,NaN,17,25,0.4,10,39,44,1
20200326,21,河东子站,15,优,NaN,10,NaN,0.4,5,40,45,3
20200326,21,河西子站,48,优,NaN,11,48,0.4,14,31,42,1
20200327,10,河东子站,NaN,,NaN,NaN,NaN,0.4,8,NaN,33,3
20200327,10,河西子站,32,优,NaN,10,32,0.3,8,45,34,1
20200327,11,河东子站,24,优,NaN,6,24,NaN,6,45,34,NaN
20200327,11,河西子站,22,优,NaN,10,22,0.3,6,51,28,1
20200327,12,河东子站,22,优,NaN,6,22,0.3,NaN,43,35,4
20200327,12,河西子站,20,优,NaN,10,20,0.3,6,50,31,2
20200327,13,河东子站,23,优,NaN,6,23,0.3,6,48,37,3
20200327,13,河西子站,18,优,NaN,9,18,0.3,5,51,35,2
20200327,14,河东子站,19,优,NaN,6,19,0.3,4,48,40,3
20200327,14,河西子站,18,优,NaN,9,18,0.3,5,49,38,1
20200327,15,河东子站,16,优,NaN,6,16,0.3,5,48,42,3
20200327,15,河西子站,18,优,NaN,8,18,0.3,4,50,42,2
20200327,17,河东子站,19,优,NaN,6,19,0.3,5,44,46,4
20200327,17,河西子站,16,优,NaN,8,16,0.3,4,46,49,1
20200330,10,河东子站,22,优,NaN,10,22,0.3,6,42,42,3
20200330,10,河西子站,22,优,NaN,10,22,0.3,6,44,29,2
20200330,11,河东子站,21,优,NaN,10,21,0.3,6,42,42,3
20200330,11,河西子站,17,优,NaN,10,17,0.3,5,46,32,2
20200330,13,河东子站,22,优,NaN,10,22,0.3,5,47,42,3
20200330,13,河西子站,19,优,NaN,10,19,0.3,4,48,36,2
20200330,14,河东子站,20,优,NaN,10,20,0.3,4,48,43,4
20200330,14,河西子站,17,优,NaN,10,17,0.3,4,48,40,1
20200330,15,河东子站,26,优,NaN,10,26,0.3,5,47,44,3
20200330,15,河西子站,15,优,NaN,9,14,0.4,4,48,43,2
