Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,双合村,27,优,NaN,3,21,0.4,7,84,88,10
20200326,18,南小市,26,优,NaN,4,20,0.2,7,83,88,6
20200326,18,环保局,30,优,NaN,5,30,0.5,10,71,77,9
20200326,18,苗圃,33,优,NaN,23,26,0.3,12,82,84,3
20200326,20,双合村,26,优,NaN,7,17,0.4,7,81,80,10
20200326,20,南小市,30,优,NaN,10,30,0.2,9,75,78,9
20200326,20,环保局,32,优,NaN,18,32,0.3,9,66,70,7
20200326,20,苗圃,32,优,NaN,20,32,0.3,12,76,76,4
20200327,10,双合村,35,优,NaN,3,35,0.4,5,69,70,9
20200327,10,南小市,64,良,颗粒物(PM10),3,77,NaN,6,68,66,8
20200327,10,环保局,26,优,NaN,7,26,0.4,5,64,58,6
20200327,10,苗圃,34,优,NaN,12,34,0.2,10,67,64,4
20200327,11,双合村,24,优,NaN,4,24,0.4,4,71,69,10
20200327,11,南小市,67,良,颗粒物(PM10),6,83,NaN,6,71,66,8
20200327,11,环保局,29,优,NaN,20,26,0.6,5,66,59,6
20200327,11,苗圃,28,优,NaN,13,28,0.3,10,69,65,4
20200327,12,双合村,29,优,NaN,2,29,0.4,5,73,69,10
20200327,12,南小市,76,良,颗粒物(PM10),7,101,NaN,5,74,66,7
20200327,12,环保局,27,优,NaN,8,27,0.7,5,69,60,6
20200327,12,苗圃,31,优,NaN,10,31,0.3,10,71,65,3
20200327,13,双合村,32,优,NaN,1,32,0.4,4,76,70,10
20200327,13,南小市,70,良,颗粒物(PM10),14,90,0.2,5,76,68,8
20200327,13,环保局,30,优,NaN,4,30,0.3,5,71,62,6
20200327,13,苗圃,30,优,NaN,13,30,0.2,13,74,67,3
20200327,14,双合村,33,优,NaN,5,33,0.4,4,77,71,9
20200327,14,南小市,70,良,颗粒物(PM10),11,90,0.1,5,80,70,5
20200327,14,环保局,26,优,NaN,8,26,0.4,5,73,65,6
20200327,14,苗圃,27,优,NaN,8,27,0.3,15,77,69,4
20200327,15,双合村,27,优,NaN,8,27,0.4,4,78,72,10
20200327,15,南小市,57,良,颗粒物(PM10),13,64,0.1,5,81,73,5
20200327,15,环保局,24,优,NaN,2,23,0.4,5,74,68,6
20200327,15,苗圃,25,优,NaN,6,22,0.3,11,78,71,3
20200327,17,双合村,25,优,NaN,7,24,0.4,5,78,75,10
20200327,17,南小市,61,良,颗粒物(PM10),26,71,0.1,7,80,76,5
20200327,17,环保局,29,优,NaN,NaN,29,0.3,6,74,71,6
20200327,17,苗圃,25,优,NaN,17,25,0.2,11,80,74,3
20200330,11,双合村,63,良,颗粒物(PM10),31,76,0.7,15,109,95,16
20200330,11,南小市,93,良,颗粒物(PM10),51,135,0.5,16,110,94,12
20200330,11,环保局,60,良,细颗粒物(PM2.5),43,62,0.9,19,97,82,15
20200330,11,苗圃,73,良,细颗粒物(PM2.5),53,81,0.5,13,101,86,9
20200330,11,双合村,63,良,颗粒物(PM10),31,76,0.7,15,109,95,16
20200330,11,南小市,93,良,颗粒物(PM10),51,135,0.5,16,110,94,12
20200330,11,环保局,60,良,细颗粒物(PM2.5),43,62,0.9,19,97,82,15
20200330,11,苗圃,73,良,细颗粒物(PM2.5),53,81,0.5,13,101,86,9
20200330,13,双合村,73,良,颗粒物(PM10),34,95,0.7,14,126,102,16
20200330,13,南小市,59,良,细颗粒物(PM2.5),42,NaN,0.4,14,127,102,11
20200330,13,环保局,98,良,细颗粒物(PM2.5),73,NaN,0.4,18,114,91,NaN
20200330,13,苗圃,61,良,颗粒物(PM10),41,71,0.5,12,115,93,9
20200330,14,双合村,70,良,颗粒物(PM10),30,89,0.7,14,134,108,16
20200330,14,南小市,84,良,颗粒物(PM10),40,117,0.4,15,134,108,13
20200330,14,环保局,72,良,颗粒物(PM10),19,94,0.2,NaN,NaN,93,12
20200330,14,苗圃,65,良,细颗粒物(PM2.5),47,72,0.5,12,123,99,9
20200330,15,双合村,75,良,颗粒物(PM10),27,100,0.7,14,137,114,16
20200330,15,南小市,74,良,颗粒物(PM10),40,98,0.4,16,137,114,13
20200330,15,环保局,83,良,颗粒物(PM10),49,116,NaN,14,127,100,13
20200330,15,苗圃,61,良,颗粒物(PM10),41,71,0.5,13,126,104,9
20200330,16,双合村,67,良,颗粒物(PM10),30,84,0.6,14,139,120,16
20200330,16,南小市,82,良,颗粒物(PM10),37,114,0.4,14,145,121,10
20200330,16,环保局,83,良,颗粒物(PM10),51,116,0.5,14,129,107,14
20200330,16,苗圃,63,良,颗粒物(PM10),43,75,0.5,12,130,110,9
20200330,16,双合村,67,良,颗粒物(PM10),30,84,0.6,14,139,120,16
20200330,16,南小市,82,良,颗粒物(PM10),37,114,0.4,14,145,121,10
20200330,16,环保局,83,良,颗粒物(PM10),51,116,0.5,14,129,107,14
20200330,16,苗圃,63,良,颗粒物(PM10),43,75,0.5,12,130,110,9
