Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,江北,83,良,颗粒物(PM10),9,115,0.2,4,75,73,1
20200326,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,江北,64,良,颗粒物(PM10),3,77,0.3,5,69,73,2
20200327,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,江北,52,良,颗粒物(PM10),11,53,0.3,3,68,42,4
20200327,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,江北,43,优,NaN,6,43,0.3,3,75,47,1
20200327,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,江北,38,优,NaN,8,38,0.3,3,81,55,1
20200327,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,江北,34,优,NaN,13,34,NaN,4,84,63,1
20200327,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,江北,48,优,NaN,12,48,0.4,3,NaN,66,1
20200327,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,江北,65,良,颗粒物(PM10),6,79,0.5,3,79,71,NaN
20200327,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,江北,71,良,颗粒物(PM10),28,91,0.5,4,82,78,1
20200330,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,江北,58,良,颗粒物(PM10),23,66,0.7,17,75,73,5
20200330,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,江北,58,良,颗粒物(PM10),23,66,0.7,17,75,73,5
20200330,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,江北,62,良,颗粒物(PM10),29,74,0.6,NaN,95,77,4
20200330,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,江北,69,良,颗粒物(PM10),28,88,0.7,NaN,106,81,5
20200330,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,15,江北,76,良,颗粒物(PM10),28,102,0.7,NaN,NaN,82,5
20200330,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,江北,83,良,颗粒物(PM10),26,115,0.6,6,NaN,84,11
20200330,16,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,江北,83,良,颗粒物(PM10),26,115,0.6,6,NaN,84,11
20200330,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,17,江北,80,良,颗粒物(PM10),33,109,0.6,10,NaN,87,3
20200330,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,江北,93,良,颗粒物(PM10),35,135,0.7,13,116,101,7
20200330,19,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,江北,93,良,颗粒物(PM10),35,135,0.7,13,116,101,7
20200330,21,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,21,江北,95,良,颗粒物(PM10),58,140,0.9,16,120,115,8
20200330,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,22,江北,102,轻度污染,颗粒物(PM10),68,153,0.9,16,116,117,8
20200330,22,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,22,江北,102,轻度污染,颗粒物(PM10),68,153,0.9,16,116,117,8
20200331,00,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,00,江北,92,良,颗粒物(PM10),51,133,0.7,13,108,115,6
20200331,00,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,00,江北,92,良,颗粒物(PM10),51,133,0.7,13,108,115,6
20200331,01,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,01,江北,83,良,颗粒物(PM10),50,115,0.8,14,101,101,7
20200331,02,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,02,江北,81,良,颗粒物(PM10),51,112,0.8,16,91,96,6
20200331,03,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,03,江北,83,良,颗粒物(PM10),42,115,0.9,21,80,91,5
20200331,04,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,04,江北,88,良,颗粒物(PM10),55,125,0.5,12,71,86,3
20200331,05,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,05,江北,75,良,颗粒物(PM10),45,100,0.4,6,65,82,2
20200331,06,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,06,江北,46,优,NaN,23,46,0.3,8,64,79,2
20200331,07,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,07,江北,26,优,NaN,11,26,0.3,9,61,76,6
20200331,08,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200331,08,江北,21,优,NaN,3,21,0.3,10,57,74,7
