Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测中心,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,南京路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,北辰科技园区,69,良,颗粒物(PM10),49,88,2.0,73,30,14,51
20200326,18,天山路,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,永明路,34,优,NaN,14,34,0.2,37,48,63,4
20200326,18,团泊洼,93,良,细颗粒物(PM2.5),69,83,1.0,28,166,94,18
20200326,18,南口路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,勤俭路,73,良,细颗粒物(PM2.5),53,93,2.1,75,36,18,49
20200326,18,大直沽八号路,23,优,NaN,11,22,0.6,18,73,68,4
20200326,18,前进路,69,良,颗粒物(PM10),17,87,2.3,68,33,18,61
20200326,18,跃进路,20,优,NaN,13,NaN,0.3,22,63,58,4
20200326,18,第四大街,25,优,NaN,13,25,0.4,41,40,58,4
20200326,18,航天路,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,汉北路,30,优,NaN,16,30,0.3,38,39,61,2
20200326,18,河西一经路,39,优,NaN,11,39,0.4,50,26,55,5
20200326,18,津沽路,33,优,NaN,10,33,0.4,45,38,62,5
20200326,18,宾水西道,26,优,NaN,6,26,0.2,12,72,64,4
20200326,18,大理道,NaN,,NaN,NaN,NaN,NaN,14,76,66,119
20200326,18,中山北路,21,优,NaN,NaN,19,0.2,22,66,60,2
20200326,18,勤俭道,22,优,NaN,4,18,0.2,11,70,60,2
20200326,18,前进道,44,优,NaN,4,44,0.3,17,77,69,4
20200326,18, 淮河道,NaN,,NaN,NaN,NaN,0.6,NaN,163,95,NaN
20200326,18,西四道,15,优,NaN,9,NaN,0.3,28,45,55,2
