Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,党校,27,优,NaN,11,27,0.3,7,86,89,5
20200326,18,王益区政府,29,优,NaN,15,29,0.3,9,84,87,6
20200326,18,新区管委会,55,良,颗粒物(PM10),11,60,0.4,16,83,86,2
20200326,18,新区兰芝公司,73,良,颗粒物(PM10),15,96,0.4,24,73,81,4
20200326,20,党校,22,优,NaN,11,22,0.3,8,70,86,4
20200326,20,王益区政府,24,优,NaN,15,24,0.4,11,67,84,3
20200326,20,新区管委会,41,优,NaN,15,41,0.3,23,67,83,3
20200326,20,新区兰芝公司,58,良,颗粒物(PM10),18,66,0.4,29,60,77,3
20200327,10,党校,23,优,NaN,16,16,0.4,8,62,32,6
20200327,10,王益区政府,21,优,NaN,14,21,0.4,9,59,58,15
20200327,10,新区管委会,44,优,NaN,28,44,0.6,42,24,34,10
20200327,10,新区兰芝公司,60,良,颗粒物(PM10),27,69,0.5,40,15,14,6
20200327,11,党校,25,优,NaN,17,21,0.4,7,72,35,6
20200327,11,王益区政府,21,优,NaN,14,19,0.4,9,65,41,10
20200327,11,新区管委会,39,优,NaN,25,39,0.6,30,40,30,6
20200327,11,新区兰芝公司,53,良,颗粒物(PM10),32,56,0.6,33,27,19,5
20200327,12,党校,24,优,NaN,15,22,0.3,6,75,41,5
20200327,12,王益区政府,25,优,NaN,16,25,0.4,13,63,42,5
20200327,12,新区管委会,35,优,NaN,23,35,0.5,24,46,30,5
20200327,12,新区兰芝公司,46,优,NaN,24,46,0.5,31,33,22,5
20200327,13,党校,25,优,NaN,17,21,0.4,7,71,48,6
20200327,13,王益区政府,30,优,NaN,20,30,0.4,17,54,45,5
20200327,13,新区管委会,40,优,NaN,28,38,0.5,27,42,32,5
20200327,13,新区兰芝公司,42,优,NaN,29,42,0.5,28,36,23,5
20200327,14,党校,36,优,NaN,25,27,0.5,24,50,52,5
20200327,14,王益区政府,38,优,NaN,26,34,0.5,25,46,49,5
20200327,14,新区管委会,42,优,NaN,29,38,0.5,24,46,35,4
20200327,14,新区兰芝公司,46,优,NaN,32,42,0.5,32,35,22,5
20200327,15,党校,52,良,细颗粒物(PM2.5),36,39,0.6,32,39,55,5
20200327,15,王益区政府,49,优,NaN,34,44,0.6,28,43,51,5
20200327,15,新区管委会,48,优,NaN,33,40,0.5,22,49,38,4
20200327,15,新区兰芝公司,50,优,NaN,35,41,0.4,29,40,26,5
20200327,17,党校,64,良,细颗粒物(PM2.5),46,52,0.7,39,39,56,5
20200327,17,王益区政府,64,良,细颗粒物(PM2.5),46,56,0.6,26,49,54,6
20200327,17,新区管委会,43,优,NaN,30,42,0.5,28,46,43,3
20200327,17,新区兰芝公司,50,优,NaN,28,50,0.4,33,39,33,4
20200330,11,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,王益区政府,94,良,细颗粒物(PM2.5),70,NaN,0.8,39,34,26,5
20200330,11,新区管委会,75,良,细颗粒物(PM2.5),55,67,0.7,28,44,14,6
20200330,11,新区兰芝公司,67,良,细颗粒物(PM2.5),48,58,0.6,26,43,16,9
20200330,11,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,王益区政府,94,良,细颗粒物(PM2.5),70,NaN,0.8,39,34,26,5
20200330,11,新区管委会,75,良,细颗粒物(PM2.5),55,67,0.7,28,44,14,6
20200330,11,新区兰芝公司,67,良,细颗粒物(PM2.5),48,58,0.6,26,43,16,9
20200330,13,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,王益区政府,89,良,细颗粒物(PM2.5),66,NaN,0.8,32,55,35,5
20200330,13,新区管委会,78,良,细颗粒物(PM2.5),57,86,0.7,30,62,27,4
20200330,13,新区兰芝公司,74,良,细颗粒物(PM2.5),54,85,0.6,30,58,27,4
20200330,14,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,王益区政府,103,轻度污染,细颗粒物(PM2.5),77,NaN,0.8,34,57,39,6
20200330,14,新区管委会,80,良,细颗粒物(PM2.5),59,71,0.6,29,70,35,5
20200330,14,新区兰芝公司,69,良,细颗粒物(PM2.5),50,59,0.6,27,71,35,4
20200330,15,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,15,王益区政府,103,轻度污染,细颗粒物(PM2.5),77,NaN,0.8,36,63,43,5
20200330,15,新区管委会,75,良,细颗粒物(PM2.5),55,74,0.6,34,75,44,4
20200330,15,新区兰芝公司,64,良,细颗粒物(PM2.5),46,69,0.6,25,84,45,5
20200330,16,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,王益区政府,104,轻度污染,细颗粒物(PM2.5),78,80,0.8,44,57,48,7
20200330,16,新区管委会,63,良,细颗粒物(PM2.5),45,70,0.6,24,92,54,5
20200330,16,新区兰芝公司,60,良,颗粒物(PM10),41,69,0.5,36,80,53,5
20200330,16,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,王益区政府,104,轻度污染,细颗粒物(PM2.5),78,80,0.8,44,57,48,7
20200330,16,新区管委会,63,良,细颗粒物(PM2.5),45,70,0.6,24,92,54,5
20200330,16,新区兰芝公司,60,良,颗粒物(PM10),41,69,0.5,36,80,53,5
20200330,18,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,18,王益区政府,89,良,细颗粒物(PM2.5),66,NaN,0.7,43,67,57,7
20200330,18,新区管委会,55,良,颗粒物(PM10),38,59,0.5,30,84,71,4
20200330,18,新区兰芝公司,NaN,,NaN,NaN,NaN,0.5,NaN,NaN,65,NaN
20200330,19,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,王益区政府,88,良,细颗粒物(PM2.5),65,69,0.8,47,61,60,7
20200330,19,新区管委会,54,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",38,57,0.6,32,77,75,4
20200330,19,新区兰芝公司,59,良,颗粒物(PM10),41,68,0.6,27,73,70,3
20200330,19,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,19,王益区政府,88,良,细颗粒物(PM2.5),65,69,0.8,47,61,60,7
20200330,19,新区管委会,54,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",38,57,0.6,32,77,75,4
20200330,19,新区兰芝公司,59,良,颗粒物(PM10),41,68,0.6,27,73,70,3
20200330,21,党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,45,NaN
20200330,21,王益区政府,95,良,细颗粒物(PM2.5),71,NaN,0.7,43,49,59,23
20200330,21,新区管委会,66,良,颗粒物(PM10),40,82,0.6,50,40,74,7
20200330,21,新区兰芝公司,60,良,颗粒物(PM10),42,70,0.6,39,40,67,3
20200330,22,党校,102,轻度污染,细颗粒物(PM2.5),76,NaN,0.8,58,24,34,6
20200330,22,王益区政府,97,良,细颗粒物(PM2.5),72,83,0.8,55,27,55,10
20200330,22,新区管委会,67,良,颗粒物(PM10),40,83,0.6,37,43,71,6
20200330,22,新区兰芝公司,58,良,细颗粒物(PM2.5),41,62,0.7,34,43,63,5
20200330,22,党校,102,轻度污染,细颗粒物(PM2.5),76,NaN,0.8,58,24,34,6
20200330,22,王益区政府,97,良,细颗粒物(PM2.5),72,83,0.8,55,27,55,10
20200330,22,新区管委会,67,良,颗粒物(PM10),40,83,0.6,37,43,71,6
20200330,22,新区兰芝公司,58,良,细颗粒物(PM2.5),41,62,0.7,34,43,63,5
20200331,00,党校,105,轻度污染,细颗粒物(PM2.5),79,NaN,0.9,58,15,26,6
20200331,00,王益区政府,98,良,细颗粒物(PM2.5),73,86,0.8,39,26,47,9
20200331,00,新区管委会,65,良,颗粒物(PM10),42,80,0.6,56,19,56,6
20200331,00,新区兰芝公司,59,良,细颗粒物(PM2.5),42,62,0.7,39,32,49,4
20200331,00,党校,105,轻度污染,细颗粒物(PM2.5),79,NaN,0.9,58,15,26,6
20200331,00,王益区政府,98,良,细颗粒物(PM2.5),73,86,0.8,39,26,47,9
20200331,00,新区管委会,65,良,颗粒物(PM10),42,80,0.6,56,19,56,6
20200331,00,新区兰芝公司,59,良,细颗粒物(PM2.5),42,62,0.7,39,32,49,4
20200331,01,党校,108,轻度污染,细颗粒物(PM2.5),81,NaN,0.8,51,11,11,6
20200331,01,王益区政府,102,轻度污染,细颗粒物(PM2.5),76,81,0.8,41,17,17,10
20200331,01,新区管委会,76,良,颗粒物(PM10),44,101,0.6,65,12,12,14
20200331,01,新区兰芝公司,61,良,颗粒物(PM10),43,72,0.6,51,15,15,4
20200331,02,党校,108,轻度污染,细颗粒物(PM2.5),81,83,0.8,62,5,8,6
20200331,02,王益区政府,105,轻度污染,细颗粒物(PM2.5),79,109,0.8,43,11,14,10
20200331,02,新区管委会,75,良,颗粒物(PM10),43,99,0.7,64,7,10,9
20200331,02,新区兰芝公司,64,良,颗粒物(PM10),41,78,0.7,52,13,14,7
20200331,03,党校,109,轻度污染,细颗粒物(PM2.5),82,109,0.8,58,5,7,5
20200331,03,王益区政府,109,轻度污染,细颗粒物(PM2.5),82,99,0.8,48,6,11,17
20200331,03,新区管委会,75,良,颗粒物(PM10),40,99,0.6,36,29,16,18
20200331,03,新区兰芝公司,71,良,颗粒物(PM10),39,91,0.7,54,10,13,9
20200331,04,党校,108,轻度污染,细颗粒物(PM2.5),81,NaN,0.8,56,5,6,6
20200331,04,王益区政府,110,轻度污染,细颗粒物(PM2.5),83,94,0.8,44,7,10,23
20200331,04,新区管委会,64,良,颗粒物(PM10),39,78,0.6,27,31,20,18
20200331,04,新区兰芝公司,70,良,颗粒物(PM10),41,89,0.7,51,15,13,9
20200331,05,党校,105,轻度污染,细颗粒物(PM2.5),79,NaN,0.8,52,5,6,6
20200331,05,王益区政府,108,轻度污染,细颗粒物(PM2.5),81,90,0.8,44,5,9,27
20200331,05,新区管委会,65,良,颗粒物(PM10),41,79,0.6,50,7,17,8
20200331,05,新区兰芝公司,83,良,颗粒物(PM10),48,116,0.8,55,6,12,8
20200331,06,党校,99,良,细颗粒物(PM2.5),74,89,0.7,49,4,6,6
20200331,06,王益区政府,102,轻度污染,细颗粒物(PM2.5),76,92,0.8,40,4,8,13
20200331,06,新区管委会,65,良,颗粒物(PM10),41,80,0.6,54,7,16,7
20200331,06,新区兰芝公司,88,良,颗粒物(PM10),48,125,0.9,53,7,11,8
20200331,07,党校,93,良,细颗粒物(PM2.5),69,85,0.7,46,4,6,5
20200331,07,王益区政府,99,良,细颗粒物(PM2.5),74,89,0.8,37,4,8,10
20200331,07,新区管委会,66,良,颗粒物(PM10),39,81,0.7,50,9,15,5
20200331,07,新区兰芝公司,100,良,颗粒物(PM10),51,149,0.9,54,6,10,9
20200331,08,党校,93,良,细颗粒物(PM2.5),69,72,0.7,42,8,6,6
20200331,08,王益区政府,98,良,细颗粒物(PM2.5),73,86,0.8,35,8,8,9
20200331,08,新区管委会,84,良,颗粒物(PM10),46,117,1.8,54,7,14,9
20200331,08,新区兰芝公司,115,轻度污染,颗粒物(PM10),52,179,1.0,56,8,10,12
20200331,09,党校,88,良,细颗粒物(PM2.5),65,67,0.7,44,14,6,16
20200331,09,王益区政府,87,良,细颗粒物(PM2.5),64,77,0.9,41,12,7,28
