Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,光明,20,优,NaN,14,18,0.5,18,51,74,7
20200326,18,铁路,19,优,NaN,10,17,0.5,13,59,76,3
20200326,20,光明,18,优,NaN,10,12,0.5,11,56,60,6
20200326,20,铁路,20,优,NaN,5,6,0.5,8,61,64,5
20200327,10,光明,60,良,颗粒物(PM10),12,70,0.6,9,71,63,6
20200327,10,铁路,60,良,颗粒物(PM10),11,70,0.4,6,78,67,5
20200327,11,光明,52,良,颗粒物(PM10),12,54,0.6,8,74,64,5
20200327,11,铁路,56,良,颗粒物(PM10),11,61,0.4,6,81,70,4
20200327,12,光明,46,优,NaN,8,46,0.5,8,76,66,5
20200327,12,铁路,37,优,NaN,12,37,0.4,6,82,72,4
20200327,13,光明,41,优,NaN,6,41,0.4,6,78,68,5
20200327,13,铁路,32,优,NaN,8,32,0.4,4,84,74,4
20200327,14,光明,27,优,NaN,6,27,0.4,6,79,70,5
20200327,14,铁路,31,优,NaN,10,31,0.4,4,86,77,4
20200327,15,光明,33,优,NaN,11,33,0.4,7,80,73,5
20200327,15,铁路,27,优,NaN,7,17,0.4,5,85,80,4
20200327,17,光明,25,优,NaN,3,19,0.4,8,77,77,6
20200327,17,铁路,26,优,NaN,1,26,0.5,9,78,82,4
20200330,11,光明,68,良,颗粒物(PM10),30,86,0.7,10,102,33,10
20200330,11,铁路,70,良,颗粒物(PM10),44,90,0.8,15,96,33,6
20200330,11,光明,68,良,颗粒物(PM10),30,86,0.7,10,102,33,10
20200330,11,铁路,70,良,颗粒物(PM10),44,90,0.8,15,96,33,6
20200330,13,光明,44,优,NaN,17,44,0.5,8,112,58,9
20200330,13,铁路,34,优,NaN,20,31,0.8,10,106,58,6
20200330,14,光明,37,优,NaN,12,30,0.4,8,117,72,9
20200330,14,铁路,35,优,NaN,18,28,0.8,13,110,70,5
20200330,15,光明,39,优,NaN,15,30,0.4,7,123,86,10
20200330,15,铁路,36,优,NaN,6,28,0.8,10,114,82,6
20200330,16,光明,40,优,NaN,19,38,0.5,9,128,100,10
20200330,16,铁路,36,优,NaN,9,32,0.9,11,114,94,6
20200330,16,光明,40,优,NaN,19,38,0.5,9,128,100,10
20200330,16,铁路,36,优,NaN,9,32,0.9,11,114,94,6
20200330,18,光明,44,优,NaN,18,44,0.5,12,119,117,10
20200330,18,铁路,33,优,NaN,18,33,0.9,21,100,106,5
20200330,19,光明,46,优,NaN,21,46,0.5,16,107,117,13
20200330,19,铁路,35,优,NaN,24,34,1.0,33,82,105,8
20200330,19,光明,46,优,NaN,21,46,0.5,16,107,117,13
20200330,19,铁路,35,优,NaN,24,34,1.0,33,82,105,8
20200330,21,光明,53,良,颗粒物(PM10),28,55,0.7,37,60,109,15
20200330,21,铁路,56,良,颗粒物(PM10),24,61,1.3,64,32,90,18
20200330,22,光明,59,良,颗粒物(PM10),29,68,0.7,40,37,99,14
20200330,22,铁路,67,良,颗粒物(PM10),35,83,1.2,58,27,80,15
20200330,22,光明,59,良,颗粒物(PM10),29,68,0.7,40,37,99,14
20200330,22,铁路,67,良,颗粒物(PM10),35,83,1.2,58,27,80,15
20200331,00,光明,67,良,颗粒物(PM10),44,84,0.9,46,22,74,17
20200331,00,铁路,59,良,颗粒物(PM10),33,68,1.3,50,27,58,13
20200331,00,光明,67,良,颗粒物(PM10),44,84,0.9,46,22,74,17
20200331,00,铁路,59,良,颗粒物(PM10),33,68,1.3,50,27,58,13
20200331,01,光明,66,良,颗粒物(PM10),36,82,0.8,34,42,42,17
20200331,01,铁路,58,良,颗粒物(PM10),30,66,1.4,53,20,20,17
20200331,02,光明,59,良,颗粒物(PM10),28,67,1.2,32,44,43,19
20200331,02,铁路,59,良,颗粒物(PM10),33,68,1.9,42,29,24,21
20200331,03,光明,56,良,颗粒物(PM10),33,62,1.8,47,19,35,27
20200331,03,铁路,58,良,颗粒物(PM10),32,66,2.1,45,28,26,24
20200331,04,光明,64,良,颗粒物(PM10),36,77,2.1,53,13,30,28
20200331,04,铁路,61,良,颗粒物(PM10),30,71,2.3,54,21,24,24
20200331,05,光明,62,良,颗粒物(PM10),33,74,1.9,54,10,26,28
20200331,05,铁路,62,良,颗粒物(PM10),38,74,2.3,51,23,24,24
20200331,06,光明,63,良,颗粒物(PM10),33,75,2.0,52,13,24,32
20200331,06,铁路,64,良,颗粒物(PM10),36,78,2.6,49,19,23,30
20200331,07,光明,67,良,颗粒物(PM10),42,83,2.5,53,11,22,64
20200331,07,铁路,71,良,颗粒物(PM10),37,92,3.2,60,13,22,50
20200331,08,光明,75,良,颗粒物(PM10),45,99,4.0,49,15,21,103
20200331,08,铁路,79,良,颗粒物(PM10),56,108,3.9,59,19,22,73
20200331,09,光明,99,良,颗粒物(PM10),65,148,1.0,26,96,28,33
20200331,09,铁路,92,良,颗粒物(PM10),63,134,2.5,42,74,28,41
20200331,10,光明,90,良,颗粒物(PM10),57,129,0.5,13,134,39,16
20200331,10,铁路,92,良,颗粒物(PM10),59,133,1.0,17,126,40,13
20200331,11,光明,65,良,颗粒物(PM10),26,79,0.4,12,144,54,14
20200331,11,铁路,70,良,颗粒物(PM10),42,89,1.0,16,132,53,11
20200331,12,光明,67,良,颗粒物(PM10),32,84,0.6,12,150,72,15
20200331,12,铁路,56,良,颗粒物(PM10),24,62,1.0,NaN,136,68,NaN
20200331,14,光明,56,良,颗粒物(PM10),30,61,0.6,14,152,106,13
20200331,14,铁路,55,良,颗粒物(PM10),30,60,NaN,15,NaN,83,11
20200331,15,光明,54,良,颗粒物(PM10),26,58,0.6,16,148,124,12
20200331,15,铁路,NaN,,NaN,NaN,NaN,0.6,19,126,102,9
20200331,16,光明,58,良,颗粒物(PM10),29,65,0.6,17,144,140,13
20200331,16,铁路,60,良,颗粒物(PM10),37,70,0.6,20,128,120,7
20200331,17,光明,59,良,颗粒物(PM10),29,68,0.8,22,137,145,13
20200331,17,铁路,55,良,颗粒物(PM10),31,60,0.7,23,126,129,6
20200331,17,光明,59,良,颗粒物(PM10),29,68,0.8,22,137,145,13
20200331,17,铁路,55,良,颗粒物(PM10),31,60,0.7,23,126,129,6
20200331,19,光明,84,良,细颗粒物(PM2.5),62,110,0.5,22,131,143,NaN
20200331,19,铁路,89,良,细颗粒物(PM2.5),66,98,0.9,19,121,128,11
20200331,20,光明,NaN,,NaN,NaN,NaN,0.4,20,NaN,142,13
20200331,20,铁路,93,良,细颗粒物(PM2.5),69,102,0.9,17,112,124,13
20200331,21,光明,100,良,细颗粒物(PM2.5),75,120,0.3,19,NaN,140,10
20200331,21,铁路,88,良,细颗粒物(PM2.5),65,90,0.8,20,107,121,12
20200331,22,光明,95,良,细颗粒物(PM2.5),71,105,0.4,19,98,131,10
20200331,22,铁路,108,轻度污染,细颗粒物(PM2.5),81,92,0.7,18,104,119,7
20200331,23,光明,88,良,细颗粒物(PM2.5),65,95,0.3,17,87,121,10
20200331,23,铁路,110,轻度污染,细颗粒物(PM2.5),83,93,0.6,16,90,114,5
