Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,市环保局,72,良,颗粒物(PM10),24,94,0.5,10,90,80,5
20200326,19,地区环保局,70,良,颗粒物(PM10),23,89,0.5,10,89,80,5
20200326,20,市环保局,71,良,颗粒物(PM10),25,91,0.6,13,87,82,5
20200326,20,地区环保局,72,良,颗粒物(PM10),25,94,0.5,12,88,82,5
20200327,10,市环保局,93,良,颗粒物(PM10),30,136,0.7,29,52,52,5
20200327,10,地区环保局,94,良,颗粒物(PM10),36,137,0.7,38,44,52,6
20200327,11,市环保局,93,良,颗粒物(PM10),30,135,0.6,16,67,55,4
20200327,11,地区环保局,95,良,颗粒物(PM10),29,140,0.6,21,62,55,5
20200327,12,市环保局,93,良,颗粒物(PM10),30,136,0.6,14,72,58,5
20200327,12,地区环保局,91,良,颗粒物(PM10),28,132,0.5,13,73,58,5
20200327,13,市环保局,100,良,颗粒物(PM10),29,150,0.6,15,72,62,5
20200327,13,地区环保局,90,良,颗粒物(PM10),27,130,0.5,14,73,61,5
20200327,14,市环保局,89,良,颗粒物(PM10),30,127,0.6,14,78,65,5
20200327,14,地区环保局,85,良,颗粒物(PM10),26,120,0.5,12,78,64,5
20200327,15,市环保局,92,良,颗粒物(PM10),30,134,0.6,11,89,69,5
20200327,15,地区环保局,86,良,颗粒物(PM10),27,121,0.5,10,87,67,5
20200327,17,市环保局,88,良,颗粒物(PM10),29,126,0.5,10,94,77,4
20200327,17,地区环保局,83,良,颗粒物(PM10),27,115,0.5,9,95,76,5
20200330,11,市环保局,135,轻度污染,颗粒物(PM10),50,219,0.4,14,80,76,5
20200330,11,地区环保局,111,轻度污染,颗粒物(PM10),38,171,0.6,14,79,74,6
20200330,11,市环保局,135,轻度污染,颗粒物(PM10),50,219,0.4,14,80,76,5
20200330,11,地区环保局,111,轻度污染,颗粒物(PM10),38,171,0.6,14,79,74,6
20200330,13,市环保局,140,轻度污染,颗粒物(PM10),63,230,0.4,11,89,79,4
20200330,13,地区环保局,108,轻度污染,颗粒物(PM10),49,166,0.5,8,91,76,5
20200330,14,市环保局,165,中度污染,颗粒物(PM10),59,279,0.4,11,91,80,4
20200330,14,地区环保局,135,轻度污染,颗粒物(PM10),56,220,0.5,8,93,79,5
20200330,15,市环保局,141,轻度污染,颗粒物(PM10),55,231,0.4,10,96,82,4
20200330,15,地区环保局,134,轻度污染,颗粒物(PM10),48,217,0.5,8,98,81,5
20200330,16,市环保局,131,轻度污染,颗粒物(PM10),52,211,0.4,10,100,85,4
20200330,16,地区环保局,117,轻度污染,颗粒物(PM10),45,184,0.5,7,102,85,5
20200330,16,市环保局,131,轻度污染,颗粒物(PM10),52,211,0.4,10,100,85,4
20200330,16,地区环保局,117,轻度污染,颗粒物(PM10),45,184,0.5,7,102,85,5
20200330,18,市环保局,134,轻度污染,颗粒物(PM10),52,218,0.4,10,102,93,4
20200330,18,地区环保局,120,轻度污染,颗粒物(PM10),47,190,0.5,9,103,94,5
20200330,19,市环保局,136,轻度污染,颗粒物(PM10),52,221,0.4,11,102,96,4
20200330,19,地区环保局,126,轻度污染,颗粒物(PM10),47,202,0.5,10,103,97,5
20200330,19,市环保局,136,轻度污染,颗粒物(PM10),52,221,0.4,11,102,96,4
20200330,19,地区环保局,126,轻度污染,颗粒物(PM10),47,202,0.5,10,103,97,5
20200330,21,市环保局,144,轻度污染,颗粒物(PM10),61,238,0.7,28,79,96,6
20200330,21,地区环保局,125,轻度污染,颗粒物(PM10),52,200,0.6,21,87,98,5
20200330,22,市环保局,151,中度污染,颗粒物(PM10),57,252,0.7,26,78,95,6
20200330,22,地区环保局,131,轻度污染,颗粒物(PM10),54,212,0.7,27,74,96,5
20200330,22,市环保局,151,中度污染,颗粒物(PM10),57,252,0.7,26,78,95,6
20200330,22,地区环保局,131,轻度污染,颗粒物(PM10),54,212,0.7,27,74,96,5
20200331,00,市环保局,127,轻度污染,颗粒物(PM10),55,204,0.8,41,51,85,5
20200331,00,地区环保局,126,轻度污染,颗粒物(PM10),57,202,0.8,25,58,86,5
20200331,00,市环保局,127,轻度污染,颗粒物(PM10),55,204,0.8,41,51,85,5
20200331,00,地区环保局,126,轻度污染,颗粒物(PM10),57,202,0.8,25,58,86,5
20200331,01,市环保局,172,中度污染,颗粒物(PM10),59,294,0.6,18,65,65,4
20200331,01,地区环保局,139,轻度污染,颗粒物(PM10),59,228,0.6,14,69,69,5
20200331,02,市环保局,268,重度污染,颗粒物(PM10),43,397,0.4,11,78,72,4
20200331,02,地区环保局,212,重度污染,颗粒物(PM10),40,358,0.5,7,84,76,5
20200331,03,市环保局,196,中度污染,颗粒物(PM10),35,342,0.4,10,79,74,4
20200331,03,地区环保局,184,中度污染,颗粒物(PM10),28,318,0.5,6,86,80,5
20200331,04,市环保局,118,轻度污染,颗粒物(PM10),32,185,0.4,11,76,74,4
