Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,瓯海,52,良,颗粒物(PM10),28,53,0.6,37,73,69,6
20200326,19,南浦,51,良,颗粒物(PM10),28,51,0.8,29,76,67,5
20200326,19,龙湾,51,良,颗粒物(PM10),28,52,0.5,31,75,65,5
20200326,19,市站,50,优,NaN,28,50,0.6,32,81,75,8
20200326,20,瓯海,56,良,颗粒物(PM10),34,62,0.6,33,68,74,6
20200326,20,南浦,56,良,颗粒物(PM10),34,62,0.8,36,60,70,5
20200326,20,龙湾,55,良,颗粒物(PM10),35,60,0.5,27,72,69,5
20200326,20,市站,55,良,颗粒物(PM10),36,59,0.6,29,77,80,7
20200327,10,瓯海,36,优,NaN,23,36,0.7,37,41,12,8
20200327,10,南浦,27,优,NaN,16,27,1.1,26,38,14,7
20200327,10,龙湾,38,优,NaN,24,38,0.7,40,22,6,6
20200327,10,市站,27,优,NaN,14,27,0.7,21,43,20,10
20200327,11,瓯海,26,优,NaN,15,26,0.6,26,61,19,7
20200327,11,南浦,25,优,NaN,14,25,1.0,27,54,20,7
20200327,11,龙湾,38,优,NaN,24,38,0.6,47,36,11,8
20200327,11,市站,29,优,NaN,16,29,0.7,30,50,26,10
20200327,12,瓯海,26,优,NaN,14,26,0.5,24,80,28,8
20200327,12,南浦,28,优,NaN,14,24,0.6,NaN,87,30,7
20200327,12,龙湾,46,优,NaN,31,46,0.6,37,64,18,8
20200327,12,市站,33,优,NaN,18,33,0.7,27,80,36,10
20200327,13,瓯海,42,优,NaN,26,42,0.5,26,100,40,8
20200327,13,南浦,39,优,NaN,24,39,0.7,22,98,41,6
20200327,13,龙湾,41,优,NaN,25,41,0.5,24,81,28,7
20200327,13,市站,50,优,NaN,27,50,0.6,24,99,45,9
20200327,14,瓯海,42,优,NaN,24,42,0.5,32,88,51,8
20200327,14,南浦,32,优,NaN,19,32,0.6,20,94,53,6
20200327,14,龙湾,35,优,NaN,19,35,0.5,22,82,38,7
20200327,14,市站,41,优,NaN,21,41,0.6,28,92,55,12
20200327,15,瓯海,38,优,NaN,20,38,0.4,31,77,60,7
20200327,15,南浦,31,优,NaN,18,31,0.6,21,79,62,6
20200327,15,龙湾,34,优,NaN,17,34,0.5,27,64,46,7
20200327,15,市站,37,优,NaN,16,37,0.6,27,85,64,11
20200327,17,瓯海,36,优,NaN,19,36,0.5,40,44,69,6
20200327,17,南浦,28,优,NaN,16,28,0.6,32,41,69,6
20200327,17,龙湾,31,优,NaN,14,31,0.6,40,26,55,6
20200327,17,市站,30,优,NaN,15,30,0.6,37,42,70,8
20200330,11,瓯海,17,优,NaN,10,17,0.6,34,22,18,6
20200330,11,南浦,13,优,NaN,6,13,0.6,25,25,24,5
20200330,11,龙湾,26,优,NaN,17,26,0.6,45,8,10,5
20200330,11,市站,26,优,NaN,14,26,0.4,37,23,27,9
20200330,11,瓯海,17,优,NaN,10,17,0.6,34,22,18,6
20200330,11,南浦,13,优,NaN,6,13,0.6,25,25,24,5
20200330,11,龙湾,26,优,NaN,17,26,0.6,45,8,10,5
20200330,11,市站,26,优,NaN,14,26,0.4,37,23,27,9
20200330,13,瓯海,16,优,NaN,8,16,0.6,26,30,21,6
20200330,13,南浦,13,优,NaN,7,13,0.6,18,32,26,5
20200330,13,龙湾,23,优,NaN,13,23,0.7,44,11,11,5
20200330,13,市站,22,优,NaN,13,22,0.4,33,28,27,8
20200330,14,瓯海,15,优,NaN,8,14,0.6,30,23,21,6
20200330,14,南浦,13,优,NaN,6,13,0.6,22,27,26,5
20200330,14,龙湾,23,优,NaN,14,23,0.7,46,9,10,5
20200330,14,市站,21,优,NaN,10,21,0.4,33,26,26,8
20200330,15,瓯海,15,优,NaN,9,15,0.6,30,25,20,6
20200330,15,南浦,12,优,NaN,5,12,0.6,21,29,25,5
20200330,15,龙湾,23,优,NaN,10,19,0.7,45,8,9,5
20200330,15,市站,18,优,NaN,8,18,0.4,30,28,26,8
20200330,16,瓯海,16,优,NaN,9,15,0.6,32,20,21,6
20200330,16,南浦,13,优,NaN,6,13,0.6,25,24,25,5
20200330,16,龙湾,24,优,NaN,8,20,0.7,47,6,9,5
20200330,16,市站,17,优,NaN,10,17,0.4,31,26,26,8
