Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,聚英学校,38,优,NaN,12,38,0.4,7,93,87,7
20200326,19,市林业局,44,优,NaN,15,44,0.4,10,85,82,5
20200326,19,中海勃湾学校,32,优,NaN,6,30,0.3,7,100,95,6
20200326,20,聚英学校,39,优,NaN,10,39,0.4,9,89,89,7
20200326,20,市林业局,40,优,NaN,12,40,0.4,19,64,81,6
20200326,20,中海勃湾学校,31,优,NaN,5,28,0.3,7,97,97,6
20200327,10,聚英学校,67,良,颗粒物(PM10),18,84,0.8,28,42,57,30
20200327,10,市林业局,71,良,颗粒物(PM10),27,91,0.7,37,31,49,22
20200327,10,中海勃湾学校,52,良,颗粒物(PM10),23,53,0.9,26,57,65,44
20200327,11,聚英学校,65,良,颗粒物(PM10),20,80,1.3,37,56,47,77
20200327,11,市林业局,70,良,颗粒物(PM10),19,89,1.3,42,52,36,72
20200327,11,中海勃湾学校,50,优,NaN,21,50,2.2,53,71,51,120
20200327,12,聚英学校,78,良,颗粒物(PM10),30,106,1.1,34,65,48,63
20200327,12,市林业局,77,良,颗粒物(PM10),27,103,1.1,38,66,36,63
20200327,12,中海勃湾学校,79,良,颗粒物(PM10),30,107,1.1,37,76,53,67
20200327,13,聚英学校,72,良,颗粒物(PM10),36,94,0.9,27,75,49,40
20200327,13,市林业局,71,良,颗粒物(PM10),25,92,0.7,25,69,38,32
20200327,13,中海勃湾学校,63,良,颗粒物(PM10),31,76,0.7,29,81,57,40
20200327,14,聚英学校,67,良,颗粒物(PM10),33,84,0.6,18,80,52,24
20200327,14,市林业局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,中海勃湾学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,聚英学校,55,良,颗粒物(PM10),25,60,0.5,8,93,60,15
20200327,15,市林业局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,中海勃湾学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,聚英学校,46,优,NaN,16,46,0.4,8,108,77,12
20200327,17,市林业局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,中海勃湾学校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,聚英学校,NaN,,NaN,NaN,NaN,1.7,NaN,55,54,83
20200330,11,市林业局,90,良,颗粒物(PM10),38,129,1.8,58,64,55,82
20200330,11,中海勃湾学校,90,良,颗粒物(PM10),42,129,1.5,60,61,41,86
20200330,11,聚英学校,NaN,,NaN,NaN,NaN,1.7,NaN,55,54,83
20200330,11,市林业局,90,良,颗粒物(PM10),38,129,1.8,58,64,55,82
20200330,11,中海勃湾学校,90,良,颗粒物(PM10),42,129,1.5,60,61,41,86
20200330,13,聚英学校,93,良,颗粒物(PM10),41,136,0.6,17,94,58,28
20200330,13,市林业局,89,良,颗粒物(PM10),37,128,0.6,14,98,65,20
20200330,13,中海勃湾学校,84,良,颗粒物(PM10),39,118,0.6,20,101,58,32
20200330,14,聚英学校,65,良,颗粒物(PM10),31,79,0.3,4,108,61,5
20200330,14,市林业局,53,良,颗粒物(PM10),24,56,0.4,6,108,68,5
20200330,14,中海勃湾学校,59,良,颗粒物(PM10),28,68,0.3,6,114,68,6
20200330,15,聚英学校,35,优,NaN,18,29,0.3,4,110,68,5
20200330,15,市林业局,44,优,NaN,16,44,0.4,6,109,73,5
20200330,15,中海勃湾学校,36,优,NaN,16,33,0.3,7,115,77,6
20200330,16,聚英学校,35,优,NaN,13,25,0.3,3,111,78,6
20200330,16,市林业局,35,优,NaN,9,33,0.4,6,111,82,5
20200330,16,中海勃湾学校,37,优,NaN,9,29,0.3,6,116,86,6
