Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,监测站,62,良,颗粒物(PM10),22,73,0.2,4,84,90,2
20200326,19,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200326,19,东关招商场,63,良,颗粒物(PM10),21,76,0.3,7,86,93,4
20200326,20,监测站,61,良,颗粒物(PM10),22,71,0.2,4,83,89,2
20200326,20,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200326,20,东关招商场,63,良,颗粒物(PM10),21,76,0.3,10,82,92,4
20200327,10,监测站,44,优,NaN,14,44,0.3,6,67,57,2
20200327,10,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200327,10,东关招商场,54,良,颗粒物(PM10),22,57,0.3,8,68,55,4
20200327,11,监测站,44,优,NaN,13,44,0.2,5,71,64,2
20200327,11,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200327,11,东关招商场,48,优,NaN,19,48,0.3,6,76,60,4
20200327,12,监测站,48,优,NaN,14,48,0.2,4,78,67,5
20200327,12,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
20200327,12,东关招商场,51,良,颗粒物(PM10),19,51,0.3,6,81,66,5
20200327,13,监测站,51,良,颗粒物(PM10),16,51,0.2,5,85,70,4
20200327,13,雷台,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,东关招商场(190211启用),129,轻度污染,细颗粒物(PM2.5),98,105,2.6,48,13,16,15
