Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,教育园区,53,良,颗粒物(PM10),28,56,0.4,18,87,87,10
20200326,19,高级中学,64,良,颗粒物(PM10),26,78,NaN,13,87,81,7
20200326,19,新区二泵站,52,良,颗粒物(PM10),24,54,0.2,12,93,86,10
20200326,20,教育园区,75,良,颗粒物(PM10),35,99,0.5,59,46,84,11
20200326,20,高级中学,61,良,颗粒物(PM10),26,72,0.6,17,80,84,8
20200326,20,新区二泵站,53,良,颗粒物(PM10),28,56,0.2,14,90,89,12
20200327,10,教育园区,44,优,NaN,12,44,0.3,13,50,39,10
20200327,10,高级中学,40,优,NaN,13,40,0.4,12,48,37,8
20200327,10,新区二泵站,40,优,NaN,14,40,0.4,15,44,36,10
20200327,11,教育园区,50,优,NaN,15,50,0.3,16,50,42,13
20200327,11,高级中学,43,优,NaN,14,43,0.4,12,50,41,9
20200327,11,新区二泵站,46,优,NaN,17,46,0.4,15,49,40,11
20200327,12,教育园区,52,良,颗粒物(PM10),20,54,0.3,14,60,45,12
20200327,12,高级中学,47,优,NaN,19,47,0.5,13,60,43,11
20200327,12,新区二泵站,51,良,颗粒物(PM10),17,52,0.5,13,56,42,13
20200327,13,教育园区,52,良,颗粒物(PM10),27,54,0.4,15,77,49,17
20200327,13,高级中学,54,良,颗粒物(PM10),24,57,0.5,14,75,47,14
20200327,13,新区二泵站,52,良,颗粒物(PM10),20,54,0.5,15,69,45,16
20200327,14,教育园区,55,良,颗粒物(PM10),27,59,0.4,14,89,54,16
20200327,14,高级中学,51,良,颗粒物(PM10),21,52,0.4,12,79,52,12
20200327,14,新区二泵站,53,良,颗粒物(PM10),21,55,0.4,13,81,50,14
20200327,15,教育园区,NaN,,NaN,NaN,NaN,0.3,12,94,61,14
20200327,15,高级中学,52,良,颗粒物(PM10),20,54,0.4,12,89,59,10
20200327,15,新区二泵站,48,优,NaN,21,48,0.4,12,93,58,14
20200327,17,教育园区,45,优,NaN,20,45,0.3,8,101,77,10
20200327,17,高级中学,45,优,NaN,16,45,0.4,9,95,74,8
20200327,17,新区二泵站,54,良,颗粒物(PM10),19,57,0.3,10,97,73,11
20200330,11,教育园区,63,良,颗粒物(PM10),42,75,0.2,25,55,22,10
20200330,11,高级中学,58,良,颗粒物(PM10),38,66,0.3,24,53,36,8
20200330,11,新区二泵站,67,良,颗粒物(PM10),34,84,0.5,26,58,27,10
20200330,11,教育园区,63,良,颗粒物(PM10),42,75,0.2,25,55,22,10
20200330,11,高级中学,58,良,颗粒物(PM10),38,66,0.3,24,53,36,8
20200330,11,新区二泵站,67,良,颗粒物(PM10),34,84,0.5,26,58,27,10
20200330,13,教育园区,55,良,颗粒物(PM10),34,60,0.1,21,80,35,10
20200330,13,高级中学,57,良,颗粒物(PM10),31,63,0.2,13,85,45,8
20200330,13,新区二泵站,63,良,颗粒物(PM10),29,75,0.5,15,94,41,10
20200330,14,教育园区,60,良,颗粒物(PM10),32,69,0.1,13,101,45,9
20200330,14,高级中学,57,良,颗粒物(PM10),28,64,0.1,10,99,54,7
20200330,14,新区二泵站,59,良,颗粒物(PM10),31,67,0.4,13,99,52,10
20200330,15,教育园区,61,良,颗粒物(PM10),33,71,0.1,15,100,56,9
20200330,15,高级中学,62,良,颗粒物(PM10),30,74,0.1,14,97,61,7
20200330,15,新区二泵站,59,良,颗粒物(PM10),30,68,0.4,16,99,58,10
20200330,16,教育园区,61,良,颗粒物(PM10),23,71,NaN,8,113,69,8
20200330,16,高级中学,60,良,颗粒物(PM10),22,69,0.2,12,104,70,6
20200330,16,新区二泵站,62,良,颗粒物(PM10),24,74,0.4,11,108,71,9
20200330,16,教育园区,61,良,颗粒物(PM10),23,71,NaN,8,113,69,8
20200330,16,高级中学,60,良,颗粒物(PM10),22,69,0.2,12,104,70,6
20200330,16,新区二泵站,62,良,颗粒物(PM10),24,74,0.4,11,108,71,9
20200330,18,教育园区,55,良,颗粒物(PM10),21,60,NaN,8,114,92,8
20200330,18,高级中学,57,良,颗粒物(PM10),20,64,0.2,15,102,88,7
20200330,18,新区二泵站,58,良,颗粒物(PM10),22,66,0.3,12,109,93,9
20200330,19,教育园区,62,良,颗粒物(PM10),21,74,NaN,26,92,97,8
20200330,19,高级中学,60,良,颗粒物(PM10),21,69,0.2,18,102,94,7
20200330,19,新区二泵站,60,良,颗粒物(PM10),22,70,0.4,14,110,99,9
20200330,20,教育园区,70,良,颗粒物(PM10),40,90,0.2,91,29,93,11
20200330,20,高级中学,61,良,颗粒物(PM10),24,72,0.3,35,NaN,98,8
20200330,20,新区二泵站,62,良,颗粒物(PM10),25,74,0.4,22,96,103,9
20200330,21,教育园区,94,良,颗粒物(PM10),59,138,0.5,102,5,84,17
20200330,21,高级中学,72,良,颗粒物(PM10),35,94,0.4,52,NaN,101,10
20200330,21,新区二泵站,66,良,颗粒物(PM10),33,82,0.6,46,63,99,10
20200330,22,教育园区,102,轻度污染,颗粒物(PM10),65,154,0.5,91,8,72,20
20200330,22,高级中学,76,良,颗粒物(PM10),43,102,0.6,51,44,92,11
20200330,22,新区二泵站,74,良,颗粒物(PM10),41,98,0.7,64,38,91,10
20200330,22,教育园区,102,轻度污染,颗粒物(PM10),65,154,0.5,91,8,72,20
20200330,22,高级中学,76,良,颗粒物(PM10),43,102,0.6,51,44,92,11
20200330,22,新区二泵站,74,良,颗粒物(PM10),41,98,0.7,64,38,91,10
20200331,00,教育园区,92,良,颗粒物(PM10),58,133,0.4,90,5,47,15
20200331,00,高级中学,99,良,颗粒物(PM10),55,147,0.7,49,34,65,11
20200331,00,新区二泵站,76,良,颗粒物(PM10),55,102,0.7,58,35,71,15
20200331,00,教育园区,92,良,颗粒物(PM10),58,133,0.4,90,5,47,15
20200331,00,高级中学,99,良,颗粒物(PM10),55,147,0.7,49,34,65,11
20200331,00,新区二泵站,76,良,颗粒物(PM10),55,102,0.7,58,35,71,15
20200331,01,教育园区,98,良,颗粒物(PM10),43,146,0.2,49,42,42,13
20200331,01,高级中学,91,良,颗粒物(PM10),36,132,0.4,28,55,55,11
20200331,01,新区二泵站,82,良,颗粒物(PM10),36,113,0.3,22,74,74,14
20200331,02,教育园区,103,轻度污染,颗粒物(PM10),59,155,0.5,76,9,26,16
20200331,02,高级中学,104,轻度污染,颗粒物(PM10),34,157,0.4,21,54,54,13
20200331,02,新区二泵站,91,良,颗粒物(PM10),33,131,0.3,23,60,67,23
20200331,03,教育园区,102,轻度污染,颗粒物(PM10),58,154,0.5,78,4,18,16
20200331,03,高级中学,106,轻度污染,颗粒物(PM10),37,162,0.4,18,54,54,16
20200331,03,新区二泵站,100,良,颗粒物(PM10),36,149,0.4,22,59,64,31
20200331,04,教育园区,103,轻度污染,颗粒物(PM10),45,155,0.3,66,8,16,18
20200331,04,高级中学,109,轻度污染,颗粒物(PM10),40,168,0.5,16,53,54,18
20200331,04,新区二泵站,107,轻度污染,颗粒物(PM10),40,163,0.4,17,62,64,28
20200331,05,教育园区,102,轻度污染,颗粒物(PM10),38,154,0.2,34,40,21,17
20200331,05,高级中学,110,轻度污染,颗粒物(PM10),42,170,0.5,14,58,55,16
20200331,05,新区二泵站,107,轻度污染,颗粒物(PM10),47,164,0.4,15,65,64,23
20200331,06,教育园区,109,轻度污染,颗粒物(PM10),40,168,0.1,40,36,23,19
20200331,06,高级中学,114,轻度污染,颗粒物(PM10),45,177,0.4,15,58,55,15
20200331,06,新区二泵站,103,轻度污染,颗粒物(PM10),45,156,0.3,12,70,65,20
20200331,07,教育园区,114,轻度污染,颗粒物(PM10),42,177,NaN,46,37,25,18
20200331,07,高级中学,119,轻度污染,颗粒物(PM10),49,188,0.4,17,55,55,16
20200331,07,新区二泵站,110,轻度污染,颗粒物(PM10),48,170,0.4,14,67,65,20
20200331,08,教育园区,120,轻度污染,颗粒物(PM10),53,189,0.2,64,17,24,19
20200331,08,高级中学,123,轻度污染,颗粒物(PM10),55,195,0.5,30,40,53,21
20200331,08,新区二泵站,117,轻度污染,颗粒物(PM10),52,184,0.4,25,54,64,24
20200331,10,教育园区,126,轻度污染,颗粒物(PM10),53,201,0.1,30,62,29,22
20200331,10,高级中学,132,轻度污染,颗粒物(PM10),60,213,0.4,21,62,53,17
20200331,10,新区二泵站,123,轻度污染,颗粒物(PM10),57,196,0.4,21,71,64,23
20200331,10,教育园区,126,轻度污染,颗粒物(PM10),53,201,0.1,30,62,29,22
20200331,10,高级中学,132,轻度污染,颗粒物(PM10),60,213,0.4,21,62,53,17
20200331,10,新区二泵站,123,轻度污染,颗粒物(PM10),57,196,0.4,21,71,64,23
20200331,11,教育园区,123,轻度污染,颗粒物(PM10),56,195,0.1,25,68,37,23
20200331,11,高级中学,124,轻度污染,颗粒物(PM10),55,198,0.5,19,64,55,17
20200331,11,新区二泵站,125,轻度污染,颗粒物(PM10),55,199,0.4,24,72,66,23
20200331,13,教育园区,105,轻度污染,颗粒物(PM10),34,159,NaN,13,85,52,14
20200331,13,高级中学,96,良,颗粒物(PM10),37,142,0.3,12,80,60,12
20200331,13,新区二泵站,108,轻度污染,颗粒物(PM10),38,166,0.3,11,90,72,16
20200331,14,教育园区,95,良,颗粒物(PM10),32,140,NaN,9,95,59,13
20200331,14,高级中学,98,良,颗粒物(PM10),33,146,0.3,8,88,64,10
20200331,14,新区二泵站,97,良,颗粒物(PM10),35,144,0.2,7,100,76,13
20200331,15,教育园区,87,良,颗粒物(PM10),28,124,0.5,9,97,66,10
20200331,15,高级中学,83,良,颗粒物(PM10),27,115,0.3,9,89,68,8
20200331,15,新区二泵站,151,中度污染,颗粒物(PM10),29,252,0.2,7,101,80,11
20200331,16,教育园区,74,良,颗粒物(PM10),24,97,0.4,9,97,76,10
20200331,16,高级中学,71,良,颗粒物(PM10),24,92,0.3,10,89,74,8
20200331,16,新区二泵站,140,轻度污染,颗粒物(PM10),26,230,0.2,8,101,86,11
20200331,17,教育园区,70,良,颗粒物(PM10),24,89,0.5,10,NaN,83,12
20200331,17,高级中学,65,良,颗粒物(PM10),26,79,0.3,11,89,80,13
20200331,17,新区二泵站,68,良,颗粒物(PM10),27,86,0.3,9,100,90,14
20200331,17,教育园区,70,良,颗粒物(PM10),24,89,0.5,10,NaN,83,12
20200331,17,高级中学,65,良,颗粒物(PM10),26,79,0.3,11,89,80,13
20200331,17,新区二泵站,68,良,颗粒物(PM10),27,86,0.3,9,100,90,14
20200331,19,教育园区,66,良,颗粒物(PM10),22,82,0.4,14,93,91,13
20200331,19,高级中学,67,良,颗粒物(PM10),23,83,0.3,13,82,85,10
20200331,19,新区二泵站,60,良,颗粒物(PM10),25,69,0.2,15,91,96,14
20200331,20,教育园区,61,良,颗粒物(PM10),27,71,0.4,16,88,92,14
20200331,20,高级中学,62,良,颗粒物(PM10),26,73,0.3,18,74,85,10
20200331,20,新区二泵站,60,良,颗粒物(PM10),28,70,0.2,25,77,95,13
20200331,21,教育园区,70,良,颗粒物(PM10),27,89,0.4,12,90,93,13
20200331,21,高级中学,70,良,颗粒物(PM10),24,89,0.3,17,72,84,9
20200331,21,新区二泵站,64,良,颗粒物(PM10),24,78,0.2,23,77,94,10
20200331,22,教育园区,58,良,颗粒物(PM10),27,66,0.5,14,80,91,11
20200331,22,高级中学,58,良,颗粒物(PM10),20,66,0.3,16,71,82,8
20200331,22,新区二泵站,67,良,颗粒物(PM10),23,84,0.2,44,46,87,8
20200331,23,教育园区,69,良,颗粒物(PM10),30,87,0.5,21,68,86,12
20200331,23,高级中学,63,良,颗粒物(PM10),28,76,0.4,30,53,77,9
20200331,23,新区二泵站,64,良,颗粒物(PM10),26,78,0.2,44,44,80,12
20200331,23,教育园区,69,良,颗粒物(PM10),30,87,0.5,21,68,86,12
20200331,23,高级中学,63,良,颗粒物(PM10),28,76,0.4,30,53,77,9
20200331,23,新区二泵站,64,良,颗粒物(PM10),26,78,0.2,44,44,80,12
20200401,00,教育园区,70,良,颗粒物(PM10),35,90,0.5,22,63,80,12
20200401,00,高级中学,66,良,颗粒物(PM10),29,81,0.3,26,53,72,9
20200401,00,新区二泵站,62,良,颗粒物(PM10),29,73,0.3,34,55,74,13
20200401,01,教育园区,69,良,颗粒物(PM10),21,88,0.4,21,58,58,13
20200401,01,高级中学,66,良,颗粒物(PM10),21,82,0.4,17,56,56,15
20200401,01,新区二泵站,70,良,颗粒物(PM10),25,90,0.2,24,51,51,12
20200401,02,教育园区,64,良,颗粒物(PM10),13,78,0.4,15,65,62,25
20200401,02,高级中学,61,良,颗粒物(PM10),15,71,0.3,11,60,58,15
20200401,02,新区二泵站,70,良,颗粒物(PM10),18,90,0.2,12,65,58,20
20200401,07,教育园区,50,优,NaN,9,50,0.3,9,57,60,8
20200401,07,高级中学,41,优,NaN,11,41,0.2,9,48,55,7
20200401,07,新区二泵站,47,优,NaN,12,47,0.2,7,56,59,10
20200401,09,教育园区,29,优,NaN,8,29,0.4,14,52,58,11
20200401,09,高级中学,31,优,NaN,12,31,0.2,12,43,52,8
20200401,09,新区二泵站,38,优,NaN,12,38,0.2,12,49,58,7
20200401,10,教育园区,43,优,NaN,12,43,0.4,17,49,56,12
20200401,10,高级中学,36,优,NaN,11,36,0.3,14,43,50,8
20200401,10,新区二泵站,37,优,NaN,14,37,0.2,13,49,56,9
20200401,11,教育园区,44,优,NaN,14,44,0.4,18,50,54,16
