Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,高压开关厂,54,良,颗粒物(PM10),17,57,0.4,22,61,68,13
20200326,19,兴庆小区,54,良,颗粒物(PM10),15,57,0.3,26,60,71,5
20200326,19,纺织城,55,良,颗粒物(PM10),10,59,0.3,20,60,72,6
20200326,19,小寨,58,良,颗粒物(PM10),11,65,0.3,17,64,72,5
20200326,19,市人民体育场,58,良,颗粒物(PM10),22,65,0.3,18,67,73,7
20200326,19,高新西区,53,良,颗粒物(PM10),18,55,0.3,16,65,71,5
20200326,19,经开区,55,良,颗粒物(PM10),16,59,0.3,31,53,65,6
20200326,19,长安区,45,优,NaN,14,45,0.4,19,68,78,6
20200326,19,阎良区,50,优,NaN,20,50,0.3,11,74,73,7
20200326,19,临潼区,82,良,颗粒物(PM10),18,113,0.5,27,55,69,5
20200326,19,草滩,60,良,颗粒物(PM10),21,69,0.6,37,43,64,6
20200326,19,曲江文化产业集团,45,优,NaN,9,45,0.3,17,59,67,5
20200326,19,广运潭,53,良,颗粒物(PM10),11,55,0.5,23,59,71,5
20200326,20,高压开关厂,54,良,颗粒物(PM10),20,57,0.4,24,57,66,8
20200326,20,兴庆小区,57,良,颗粒物(PM10),17,63,0.4,27,56,69,5
20200326,20,纺织城,53,良,颗粒物(PM10),12,56,0.3,23,54,70,6
20200326,20,小寨,56,良,颗粒物(PM10),13,61,0.3,21,57,70,5
20200326,20,市人民体育场,58,良,颗粒物(PM10),25,65,0.4,21,62,72,7
20200326,20,高新西区,52,良,颗粒物(PM10),23,53,0.3,18,59,69,6
20200326,20,经开区,52,良,颗粒物(PM10),18,54,0.3,36,48,64,6
20200326,20,长安区,42,优,NaN,18,42,0.4,19,65,76,5
20200326,20,阎良区,51,良,颗粒物(PM10),20,52,0.3,6,81,76,5
20200326,20,临潼区,65,良,颗粒物(PM10),19,80,0.5,13,74,68,5
20200326,20,草滩,64,良,颗粒物(PM10),22,78,0.6,36,43,62,6
20200326,20,曲江文化产业集团,46,优,NaN,11,46,0.3,20,53,65,4
20200326,20,广运潭,52,良,颗粒物(PM10),12,54,0.5,27,52,68,5
