Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200326,19,中华小区,48,优,NaN,14,48,0.5,14,62,68,5
20200326,19,师范学院,50,优,NaN,15,50,0.3,14,65,74,6
20200326,19,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,气象站(对照点),46,优,NaN,15,46,0.3,20,60,75,5
20200326,19,两寺渡,47,优,NaN,14,47,0.4,28,60,68,5
20200326,20,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200326,20,中华小区,46,优,NaN,15,46,0.5,14,59,67,4
20200326,20,师范学院,47,优,NaN,18,47,0.4,15,60,71,6
20200326,20,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,气象站(对照点),51,良,颗粒物(PM10),18,51,0.3,20,53,72,5
20200326,20,两寺渡,53,良,颗粒物(PM10),16,56,0.5,31,54,66,5
20200327,10,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200327,10,中华小区,25,优,NaN,13,25,0.5,28,22,30,5
20200327,10,师范学院,26,优,NaN,18,20,0.5,28,26,35,7
20200327,10,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,气象站(对照点),29,优,NaN,20,26,0.4,18,31,30,6
20200327,10,两寺渡,20,优,NaN,14,19,0.5,35,23,26,5
20200327,11,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200327,11,中华小区,32,优,NaN,22,24,0.5,33,20,28,5
20200327,11,师范学院,29,优,NaN,20,21,0.4,27,29,34,6
20200327,11,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,气象站(对照点),26,优,NaN,18,25,0.5,24,27,29,6
20200327,11,两寺渡,35,优,NaN,24,25,0.5,32,27,25,5
20200327,12,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200327,12,中华小区,48,优,NaN,33,NaN,0.5,26,31,28,5
20200327,12,师范学院,36,优,NaN,25,28,0.5,24,35,33,7
20200327,12,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,气象站(对照点),31,优,NaN,18,31,0.4,22,35,28,5
20200327,12,两寺渡,25,优,NaN,17,22,0.5,NaN,41,26,5
20200327,13,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200327,13,中华小区,29,优,NaN,20,29,0.5,20,39,28,5
20200327,13,师范学院,35,优,NaN,24,27,0.5,24,42,33,6
20200327,13,中医学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,气象站(对照点),32,优,NaN,22,24,0.4,23,40,29,6
20200327,13,两寺渡,22,优,NaN,15,20,0.5,30,38,26,5
20200327,14,气象站,75,良,颗粒物(PM10),49,99,1.4,27,57,57,8
20200327,14,中华小区,26,优,NaN,18,21,0.5,18,41,29,5
