Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,胜华新制药厂,48,优,NaN,19,48,0.2,7,76,81,4
20200326,19,科右前旗环保局,36,优,NaN,22,36,0.1,2,75,80,4
20200326,19,北滨河,44,优,NaN,24,44,0.2,10,74,81,5
20200326,20,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,胜华新制药厂,50,优,NaN,19,50,0.2,7,73,80,3
20200326,20,科右前旗环保局,38,优,NaN,25,38,0.1,2,72,79,5
20200326,20,北滨河,43,优,NaN,20,43,0.2,10,72,80,5
20200327,10,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,胜华新制药厂,38,优,NaN,15,38,NaN,6,70,56,2
20200327,10,科右前旗环保局,24,优,NaN,9,16,0.1,2,76,62,5
20200327,10,北滨河,25,优,NaN,15,24,0.2,7,79,64,5
20200327,11,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,胜华新制药厂,NaN,,NaN,NaN,NaN,0.2,NaN,NaN,58,1
20200327,11,科右前旗环保局,25,优,NaN,7,18,0.2,2,78,66,5
20200327,11,北滨河,32,优,NaN,11,32,0.2,7,80,66,5
20200327,12,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,胜华新制药厂,64,良,颗粒物(PM10),8,78,0.2,5,80,62,3
20200327,12,科右前旗环保局,25,优,NaN,7,20,0.2,NaN,77,69,5
20200327,12,北滨河,34,优,NaN,10,34,0.2,7,80,69,4
20200327,13,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,胜华新制药厂,47,优,NaN,10,47,0.2,3,79,66,3
20200327,13,科右前旗环保局,29,优,NaN,11,29,0.1,NaN,74,70,4
20200327,13,北滨河,36,优,NaN,12,36,0.2,5,81,72,4
20200327,14,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,胜华新制药厂,52,良,颗粒物(PM10),17,53,0.2,4,78,70,3
20200327,14,科右前旗环保局,29,优,NaN,17,29,0.1,3,76,72,4
20200327,14,北滨河,25,优,NaN,9,24,0.2,5,80,75,4
