Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,西炮台,24,优,NaN,13,24,0.6,30,57,64,4
20200326,19,学府南路,30,优,NaN,20,30,0.6,31,54,62,6
20200326,19,大庆路,36,优,NaN,21,36,0.8,29,54,61,5
20200326,19,镜湖西路,29,优,NaN,13,29,0.6,36,58,65,5
20200326,19,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200326,19,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200326,20,西炮台,30,优,NaN,19,30,0.7,33,48,62,4
20200326,20,学府南路,30,优,NaN,21,30,0.5,32,50,61,8
20200326,20,大庆路,47,优,NaN,26,47,0.9,37,38,59,5
20200326,20,镜湖西路,31,优,NaN,13,31,0.5,36,52,64,5
20200326,20,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200326,20,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,10,西炮台,31,优,NaN,7,31,0.3,16,63,43,6
20200327,10,学府南路,32,优,NaN,15,32,NaN,19,64,45,12
20200327,10,大庆路,26,优,NaN,10,26,0.4,16,64,40,13
20200327,10,镜湖西路,32,优,NaN,12,32,0.2,20,68,46,10
20200327,10,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,10,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,11,西炮台,27,优,NaN,4,27,0.3,14,70,50,5
20200327,11,学府南路,27,优,NaN,7,27,NaN,12,76,51,8
20200327,11,大庆路,24,优,NaN,5,17,0.3,10,76,48,8
20200327,11,镜湖西路,26,优,NaN,10,26,0.2,16,78,55,6
20200327,11,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,11,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,12,西炮台,25,优,NaN,3,25,0.3,10,77,54,5
20200327,12,学府南路,26,优,NaN,4,26,NaN,10,82,57,6
20200327,12,大庆路,26,优,NaN,4,12,0.3,9,82,54,6
20200327,12,镜湖西路,26,优,NaN,10,24,0.2,14,83,60,5
20200327,12,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,12,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,13,西炮台,25,优,NaN,3,23,0.2,10,80,59,8
20200327,13,学府南路,28,优,NaN,3,24,NaN,10,87,62,9
20200327,13,大庆路,27,优,NaN,4,10,0.3,9,84,59,7
20200327,13,镜湖西路,28,优,NaN,9,21,0.2,15,89,64,10
20200327,13,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,13,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,14,西炮台,27,优,NaN,2,22,0.2,10,85,64,7
20200327,14,学府南路,29,优,NaN,3,25,NaN,10,91,67,13
20200327,14,大庆路,29,优,NaN,5,12,0.3,9,90,66,11
20200327,14,镜湖西路,29,优,NaN,9,20,0.2,15,92,70,13
20200327,14,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,14,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,15,西炮台,28,优,NaN,4,26,0.3,11,87,70,5
20200327,15,学府南路,30,优,NaN,3,25,NaN,10,93,73,7
20200327,15,大庆路,30,优,NaN,5,13,0.3,9,93,73,8
20200327,15,镜湖西路,29,优,NaN,9,25,0.2,16,92,76,7
20200327,15,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,15,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200327,17,西炮台,42,优,NaN,8,42,0.3,14,82,79,6
20200327,17,学府南路,33,优,NaN,14,33,0.3,16,85,83,9
20200327,17,大庆路,27,优,NaN,6,24,0.3,14,84,83,9
20200327,17,镜湖西路,39,优,NaN,11,39,0.3,24,81,84,9
20200327,17,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200327,17,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,11,西炮台,92,良,细颗粒物(PM2.5),68,107,0.8,30,81,75,10
20200330,11,学府南路,79,良,细颗粒物(PM2.5),58,92,0.5,23,88,76,16
20200330,11,大庆路,103,轻度污染,细颗粒物(PM2.5),77,149,0.8,28,90,70,18
20200330,11,镜湖西路,86,良,颗粒物(PM10),48,121,1.0,31,81,75,13
20200330,11,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,11,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,11,西炮台,92,良,细颗粒物(PM2.5),68,107,0.8,30,81,75,10
20200330,11,学府南路,79,良,细颗粒物(PM2.5),58,92,0.5,23,88,76,16
20200330,11,大庆路,103,轻度污染,细颗粒物(PM2.5),77,149,0.8,28,90,70,18
20200330,11,镜湖西路,86,良,颗粒物(PM10),48,121,1.0,31,81,75,13
20200330,11,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,11,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,13,西炮台,99,良,细颗粒物(PM2.5),74,120,0.9,29,106,82,14
20200330,13,学府南路,83,良,细颗粒物(PM2.5),61,103,0.7,NaN,124,84,17
20200330,13,大庆路,102,轻度污染,细颗粒物(PM2.5),76,140,0.9,25,124,82,20
20200330,13,镜湖西路,89,良,颗粒物(PM10),57,127,1.2,27,114,81,16
20200330,13,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,13,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,14,西炮台,104,轻度污染,细颗粒物(PM2.5),78,124,1.2,31,120,88,17
20200330,14,学府南路,82,良,细颗粒物(PM2.5),60,104,0.9,22,NaN,86,18
20200330,14,大庆路,97,良,细颗粒物(PM2.5),72,128,0.8,22,138,91,17
20200330,14,镜湖西路,91,良,颗粒物(PM10),61,132,1.4,29,120,87,16
20200330,14,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,14,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,15,西炮台,103,轻度污染,细颗粒物(PM2.5),77,118,1.2,26,133,96,14
20200330,15,学府南路,79,良,细颗粒物(PM2.5),58,88,0.9,23,112,92,16
20200330,15,大庆路,87,良,细颗粒物(PM2.5),64,110,0.9,24,136,100,17
20200330,15,镜湖西路,77,良,颗粒物(PM10),52,104,1.3,26,130,94,14
20200330,15,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,15,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,16,西炮台,109,轻度污染,细颗粒物(PM2.5),82,122,1.0,24,146,104,10
20200330,16,学府南路,80,良,细颗粒物(PM2.5),59,85,0.7,17,131,100,12
20200330,16,大庆路,78,良,细颗粒物(PM2.5),57,95,0.7,21,148,111,13
20200330,16,镜湖西路,81,良,颗粒物(PM10),56,112,1.1,24,139,102,10
20200330,16,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,16,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,17,西炮台,73,良,细颗粒物(PM2.5),53,83,0.7,22,150,114,9
20200330,17,学府南路,78,良,细颗粒物(PM2.5),57,85,0.6,22,136,110,14
20200330,17,大庆路,79,良,细颗粒物(PM2.5),58,100,0.7,23,148,120,14
20200330,17,镜湖西路,74,良,颗粒物(PM10),50,97,1.0,26,140,112,12
20200330,17,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,17,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,18,西炮台,56,良,颗粒物(PM10),37,62,0.6,20,151,123,9
20200330,18,学府南路,68,良,细颗粒物(PM2.5),49,76,0.5,20,142,119,12
20200330,18,大庆路,59,良,颗粒物(PM10),39,67,0.6,19,153,130,11
20200330,18,镜湖西路,65,良,颗粒物(PM10),41,80,0.9,23,142,120,12
20200330,18,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,18,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,19,西炮台,58,良,颗粒物(PM10),40,65,0.6,20,144,131,8
20200330,19,学府南路,67,良,细颗粒物(PM2.5),48,71,0.5,21,133,126,11
20200330,19,大庆路,62,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",44,73,0.6,19,140,136,11
20200330,19,镜湖西路,59,良,颗粒物(PM10),38,67,0.9,21,133,127,10
20200330,19,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,19,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,20,西炮台,58,良,颗粒物(PM10),40,65,0.5,23,130,135,8
20200330,20,学府南路,67,良,细颗粒物(PM2.5),48,74,0.5,27,118,128,12
20200330,20,大庆路,65,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",47,80,0.6,24,126,139,11
20200330,20,镜湖西路,61,良,颗粒物(PM10),38,72,0.9,26,120,130,10
20200330,20,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,20,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,21,西炮台,68,良,细颗粒物(PM2.5),49,80,0.6,24,124,137,7
20200330,21,学府南路,69,良,细颗粒物(PM2.5),50,79,0.6,33,106,125,12
20200330,21,大庆路,73,良,细颗粒物(PM2.5),53,92,0.7,30,116,138,12
20200330,21,镜湖西路,67,良,颗粒物(PM10),43,84,0.9,30,113,130,10
20200330,21,老边实验中学(145),215,重度污染,细颗粒物(PM2.5),165,169,3.2,185,8,9,47
20200330,21,鲅鱼圈市民活动中心(145启用191224),188,中度污染,细颗粒物(PM2.5),141,178,2.5,85,7,7,28
20200330,22,西炮台,88,良,细颗粒物(PM2.5),65,102,0.7,33,108,136,9
20200330,22,学府南路,77,良,细颗粒物(PM2.5),56,91,0.6,34,101,122,12
