Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,龙虎山,29,优,NaN,15,18,0.4,5,91,92,10
20200326,19,新监测站,46,优,NaN,32,34,0.6,18,62,73,12
20200326,19,财苑宾馆,43,优,NaN,30,NaN,0.5,23,61,76,7
20200326,19,体育馆,33,优,NaN,23,32,0.6,18,68,78,10
20200326,19,三川水表,26,优,NaN,18,NaN,0.5,14,73,76,8
20200326,20,龙虎山,29,优,NaN,14,16,0.4,5,91,92,9
20200326,20,新监测站,35,优,NaN,24,24,0.6,13,NaN,71,9
20200326,20,财苑宾馆,38,优,NaN,26,27,0.5,16,72,73,5
20200326,20,体育馆,29,优,NaN,20,27,0.5,14,76,74,6
20200326,20,三川水表,25,优,NaN,16,24,0.5,9,79,74,8
20200327,10,龙虎山,57,良,细颗粒物(PM2.5),40,NaN,0.6,15,57,60,26
20200327,10,新监测站,40,优,NaN,28,31,0.7,9,63,63,35
20200327,10,财苑宾馆,33,优,NaN,23,NaN,NaN,2,49,49,14
20200327,10,体育馆,43,优,NaN,30,NaN,0.7,12,68,68,27
20200327,10,三川水表,46,优,NaN,32,37,0.6,13,67,68,23
20200327,11,龙虎山,60,良,细颗粒物(PM2.5),43,NaN,0.6,16,57,60,35
20200327,11,新监测站,32,优,NaN,22,22,0.7,7,71,63,22
20200327,11,财苑宾馆,25,优,NaN,15,NaN,NaN,5,77,63,23
20200327,11,体育馆,33,优,NaN,23,24,0.6,10,77,69,23
20200327,11,三川水表,32,优,NaN,22,27,0.5,10,77,69,22
20200327,12,龙虎山,52,良,细颗粒物(PM2.5),36,NaN,0.8,20,38,57,28
20200327,12,新监测站,36,优,NaN,25,NaN,0.7,14,46,60,12
20200327,12,财苑宾馆,29,优,NaN,20,NaN,0.5,15,44,57,17
20200327,12,体育馆,33,优,NaN,23,31,0.8,16,44,64,13
20200327,12,三川水表,39,优,NaN,27,NaN,0.7,NaN,37,64,17
20200327,13,龙虎山,26,优,NaN,18,NaN,0.8,19,16,50,13
20200327,13,新监测站,26,优,NaN,18,NaN,0.9,18,15,52,14
20200327,13,财苑宾馆,19,优,NaN,13,NaN,0.6,18,19,47,15
20200327,13,体育馆,26,优,NaN,18,22,0.8,17,19,56,8
20200327,13,三川水表,20,优,NaN,14,18,0.7,NaN,18,56,NaN
20200327,14,龙虎山,25,优,NaN,17,NaN,0.7,16,22,46,10
20200327,14,新监测站,22,优,NaN,15,NaN,0.8,17,21,46,14
20200327,14,财苑宾馆,15,优,NaN,10,NaN,0.4,16,25,43,12
20200327,14,体育馆,19,优,NaN,13,NaN,0.7,15,25,50,7
20200327,14,三川水表,12,优,NaN,2,12,0.6,17,23,50,NaN
20200327,15,龙虎山,16,优,NaN,11,12,0.7,16,22,41,10
20200327,15,新监测站,26,优,NaN,18,NaN,NaN,NaN,NaN,44,NaN
20200327,15,财苑宾馆,23,优,NaN,16,NaN,0.4,17,24,40,9
20200327,15,体育馆,26,优,NaN,18,18,0.7,20,21,45,10
20200327,15,三川水表,24,优,NaN,2,24,0.7,17,NaN,48,9
20200327,17,龙虎山,22,优,NaN,15,NaN,0.6,20,24,32,10
20200327,17,新监测站,26,优,NaN,18,NaN,0.7,26,26,40,12
20200327,17,财苑宾馆,25,优,NaN,17,NaN,0.4,17,33,36,12
20200327,17,体育馆,23,优,NaN,16,18,0.6,18,32,38,8
20200327,17,三川水表,15,优,NaN,4,15,NaN,19,30,42,11
20200330,11,龙虎山,19,优,NaN,13,13,NaN,NaN,40,40,NaN
20200330,11,新监测站,16,优,NaN,11,14,0.6,13,47,45,6
20200330,11,财苑宾馆,26,优,NaN,18,NaN,0.5,8,53,49,9
20200330,11,体育馆,25,优,NaN,17,NaN,0.4,9,NaN,84,6
20200330,11,三川水表,16,优,NaN,10,16,0.1,7,49,42,7
20200330,11,龙虎山,19,优,NaN,13,13,NaN,NaN,40,40,NaN
20200330,11,新监测站,16,优,NaN,11,14,0.6,13,47,45,6
20200330,11,财苑宾馆,26,优,NaN,18,NaN,0.5,8,53,49,9
20200330,11,体育馆,25,优,NaN,17,NaN,0.4,9,NaN,84,6
20200330,11,三川水表,16,优,NaN,10,16,0.1,7,49,42,7
20200330,13,龙虎山,16,优,NaN,11,NaN,0.3,11,47,41,15
20200330,13,新监测站,19,优,NaN,9,13,0.5,9,60,48,6
20200330,13,财苑宾馆,23,优,NaN,16,NaN,0.4,7,61,52,9
20200330,13,体育馆,22,优,NaN,15,16,0.4,11,56,56,NaN
20200330,13,三川水表,17,优,NaN,10,13,0.4,9,52,44,10
20200330,14,龙虎山,15,优,NaN,10,NaN,0.3,8,NaN,41,16
20200330,14,新监测站,18,优,NaN,12,13,0.5,10,55,49,6
20200330,14,财苑宾馆,26,优,NaN,18,NaN,0.5,6,61,54,9
20200330,14,体育馆,53,良,二氧化硫,14,17,NaN,8,58,57,166
20200330,14,三川水表,19,优,NaN,9,12,0.4,6,59,46,7
20200330,15,龙虎山,18,优,NaN,12,NaN,0.3,7,NaN,42,14
20200330,15,新监测站,18,优,NaN,11,16,0.5,11,55,51,5
20200330,15,财苑宾馆,26,优,NaN,18,NaN,0.5,8,58,55,8
20200330,15,体育馆,23,优,NaN,16,NaN,NaN,NaN,54,56,6
20200330,15,三川水表,22,优,NaN,12,22,0.4,7,55,48,6
20200330,16,龙虎山,22,优,NaN,15,NaN,0.3,9,NaN,42,13
20200330,16,新监测站,18,优,NaN,12,17,0.5,14,49,51,5
20200330,16,财苑宾馆,25,优,NaN,17,NaN,0.5,11,55,55,9
20200330,16,体育馆,26,优,NaN,18,NaN,0.4,NaN,51,55,7
20200330,16,三川水表,22,优,NaN,15,20,0.5,12,52,50,6
20200330,17,龙虎山,22,优,NaN,15,NaN,0.3,10,NaN,42,14
20200330,17,新监测站,28,优,NaN,19,23,0.6,12,47,52,31
20200330,17,财苑宾馆,32,优,NaN,22,NaN,0.5,12,53,56,21
20200330,17,体育馆,32,优,NaN,22,28,0.4,13,47,53,18
20200330,17,三川水表,26,优,NaN,18,24,0.5,12,48,51,8
20200330,18,龙虎山,29,优,NaN,20,21,0.4,11,50,45,16
20200330,18,新监测站,39,优,NaN,27,39,0.9,23,36,51,60
20200330,18,财苑宾馆,55,良,细颗粒物(PM2.5),39,NaN,0.7,19,42,55,56
20200330,18,体育馆,50,优,NaN,35,38,0.6,18,38,51,50
20200330,18,三川水表,43,优,NaN,30,38,NaN,16,39,50,40
20200330,19,龙虎山,38,优,NaN,26,NaN,0.4,12,41,45,21
20200330,19,新监测站,42,优,NaN,29,39,0.8,23,34,49,32
20200330,19,财苑宾馆,62,良,细颗粒物(PM2.5),44,NaN,0.6,19,34,53,30
20200330,19,体育馆,52,良,细颗粒物(PM2.5),36,NaN,0.5,17,36,49,20
20200330,19,三川水表,39,优,NaN,27,NaN,0.5,10,41,50,22
20200330,20,龙虎山,39,优,NaN,27,NaN,0.4,10,37,44,24
20200330,20,新监测站,42,优,NaN,29,38,0.7,21,29,46,26
20200330,20,财苑宾馆,52,良,细颗粒物(PM2.5),36,NaN,0.6,19,34,50,30
20200330,20,体育馆,53,良,细颗粒物(PM2.5),37,39,0.6,21,29,46,19
20200330,20,三川水表,43,优,NaN,30,37,0.6,17,30,47,25
20200330,21,龙虎山,36,优,NaN,25,NaN,0.4,9,32,40,22
20200330,21,新监测站,42,优,NaN,29,34,0.7,22,27,42,18
20200330,21,财苑宾馆,46,优,NaN,32,NaN,0.6,20,32,46,24
20200330,21,体育馆,50,优,NaN,35,38,0.7,24,25,42,26
20200330,21,三川水表,53,良,细颗粒物(PM2.5),37,46,0.6,22,22,43,32
20200330,22,龙虎山,36,优,NaN,25,NaN,0.4,9,26,37,17
20200330,22,新监测站,36,优,NaN,25,30,0.7,20,27,38,9
20200330,22,财苑宾馆,42,优,NaN,29,NaN,0.6,20,30,42,12
20200330,22,体育馆,45,优,NaN,31,NaN,0.6,22,26,38,14
20200330,22,三川水表,45,优,NaN,31,37,0.6,20,24,39,22
20200330,22,龙虎山,36,优,NaN,25,NaN,0.4,9,26,37,17
20200330,22,新监测站,36,优,NaN,25,30,0.7,20,27,38,9
20200330,22,财苑宾馆,42,优,NaN,29,NaN,0.6,20,30,42,12
20200330,22,体育馆,45,优,NaN,31,NaN,0.6,22,26,38,14
20200330,22,三川水表,45,优,NaN,31,37,0.6,20,24,39,22
20200331,00,龙虎山,40,优,NaN,28,NaN,0.5,15,22,33,14
20200331,00,新监测站,36,优,NaN,25,NaN,0.7,17,28,32,6
20200331,00,财苑宾馆,36,优,NaN,25,NaN,0.6,14,33,37,9
20200331,00,体育馆,42,优,NaN,29,NaN,0.6,15,31,32,7
20200331,00,三川水表,36,优,NaN,25,NaN,0.5,14,28,32,10
20200331,00,龙虎山,40,优,NaN,28,NaN,0.5,15,22,33,14
20200331,00,新监测站,36,优,NaN,25,NaN,0.7,17,28,32,6
20200331,00,财苑宾馆,36,优,NaN,25,NaN,0.6,14,33,37,9
20200331,00,体育馆,42,优,NaN,29,NaN,0.6,15,31,32,7
20200331,00,三川水表,36,优,NaN,25,NaN,0.5,14,28,32,10
20200331,01,龙虎山,36,优,NaN,25,NaN,0.5,14,26,26,12
20200331,01,新监测站,36,优,NaN,25,NaN,0.7,24,18,18,6
20200331,01,财苑宾馆,38,优,NaN,26,NaN,0.6,18,27,27,9
20200331,01,体育馆,42,优,NaN,29,NaN,0.6,18,26,26,6
20200331,01,三川水表,38,优,NaN,26,NaN,0.4,15,24,24,7
20200331,02,龙虎山,35,优,NaN,24,NaN,0.5,13,25,26,9
20200331,02,新监测站,35,优,NaN,24,NaN,0.7,20,21,20,7
20200331,02,财苑宾馆,39,优,NaN,27,NaN,0.6,18,24,26,9
20200331,02,体育馆,39,优,NaN,27,NaN,0.5,19,22,24,7
20200331,02,三川水表,35,优,NaN,24,NaN,0.7,18,17,20,8
20200331,03,龙虎山,32,优,NaN,22,NaN,0.4,13,26,26,6
20200331,03,新监测站,35,优,NaN,24,NaN,0.7,24,16,18,12
20200331,03,财苑宾馆,40,优,NaN,28,NaN,0.6,20,20,24,13
20200331,03,体育馆,39,优,NaN,27,NaN,0.6,20,20,23,11
20200331,03,三川水表,35,优,NaN,24,NaN,0.8,17,19,20,10
20200331,04,龙虎山,36,优,NaN,25,NaN,0.5,15,23,25,11
20200331,04,新监测站,36,优,NaN,25,NaN,0.7,24,17,18,15
20200331,04,财苑宾馆,43,优,NaN,30,NaN,0.7,21,20,23,21
20200331,04,体育馆,40,优,NaN,28,NaN,0.6,24,17,21,20
20200331,04,三川水表,39,优,NaN,27,NaN,NaN,18,18,20,19
20200331,05,龙虎山,38,优,NaN,26,NaN,0.5,16,20,24,14
20200331,05,新监测站,43,优,NaN,30,NaN,0.8,31,10,16,25
20200331,05,财苑宾馆,52,良,细颗粒物(PM2.5),36,NaN,0.8,29,12,21,34
20200331,05,体育馆,43,优,NaN,30,NaN,0.6,28,11,19,27
20200331,05,三川水表,43,优,NaN,30,NaN,NaN,25,11,18,28
20200331,06,龙虎山,38,优,NaN,26,NaN,0.5,16,21,24,10
20200331,06,新监测站,48,优,NaN,33,NaN,0.8,34,7,15,30
20200331,06,财苑宾馆,49,优,NaN,34,NaN,0.7,27,15,20,29
20200331,06,体育馆,46,优,NaN,32,NaN,0.6,30,8,17,17
20200331,06,三川水表,45,优,NaN,31,NaN,NaN,23,11,17,18
20200331,07,龙虎山,40,优,NaN,28,NaN,0.5,16,20,23,7
20200331,07,新监测站,46,优,NaN,32,NaN,0.9,31,10,14,43
20200331,07,财苑宾馆,48,优,NaN,33,NaN,0.7,27,16,19,31
20200331,07,体育馆,46,优,NaN,32,NaN,0.7,31,11,16,32
20200331,07,三川水表,49,优,NaN,34,NaN,NaN,25,12,16,28
20200331,08,龙虎山,39,优,NaN,27,NaN,0.4,17,22,23,7
20200331,08,新监测站,49,优,NaN,34,NaN,0.9,34,10,14,47
20200331,08,财苑宾馆,50,优,NaN,35,NaN,0.8,28,15,19,62
20200331,08,体育馆,49,优,NaN,34,NaN,0.7,32,11,16,46
20200331,08,三川水表,45,优,NaN,31,NaN,NaN,28,9,15,38
20200331,10,龙虎山,43,优,NaN,30,NaN,0.5,22,18,21,17
20200331,10,新监测站,35,优,NaN,24,NaN,0.8,21,18,13,14
20200331,10,财苑宾馆,35,优,NaN,24,NaN,0.7,20,22,17,15
20200331,10,体育馆,39,优,NaN,27,NaN,0.7,27,15,13,17
20200331,10,三川水表,39,优,NaN,27,NaN,NaN,21,15,13,15
20200331,10,龙虎山,43,优,NaN,30,NaN,0.5,22,18,21,17
20200331,10,新监测站,35,优,NaN,24,NaN,0.8,21,18,13,14
20200331,10,财苑宾馆,35,优,NaN,24,NaN,0.7,20,22,17,15
20200331,10,体育馆,39,优,NaN,27,NaN,0.7,27,15,13,17
20200331,10,三川水表,39,优,NaN,27,NaN,NaN,21,15,13,15
20200331,11,龙虎山,30,优,NaN,21,NaN,0.5,23,21,20,15
20200331,11,新监测站,28,优,NaN,19,NaN,0.7,19,28,14,10
20200331,11,财苑宾馆,25,优,NaN,17,NaN,0.6,18,34,19,12
20200331,11,体育馆,32,优,NaN,22,NaN,0.6,26,22,13,12
20200331,11,三川水表,35,优,NaN,24,25,NaN,24,19,13,NaN
20200331,13,龙虎山,19,优,NaN,13,13,0.5,17,29,22,10
20200331,13,新监测站,23,优,NaN,16,NaN,0.7,21,31,17,NaN
20200331,13,财苑宾馆,19,优,NaN,13,13,0.6,16,37,24,13
20200331,13,体育馆,23,优,NaN,16,18,0.6,20,30,17,14
20200331,13,三川水表,NaN,,NaN,NaN,NaN,NaN,15,26,14,15
20200331,14,龙虎山,16,优,NaN,11,12,0.5,16,32,24,10
20200331,14,新监测站,15,优,NaN,10,11,0.7,21,34,21,NaN
20200331,14,财苑宾馆,13,优,NaN,7,9,0.6,14,40,27,12
20200331,14,体育馆,12,优,NaN,8,9,0.5,14,36,21,8
20200331,14,三川水表,15,优,NaN,10,NaN,0.4,15,30,17,11
20200331,15,龙虎山,13,优,NaN,6,7,0.4,12,39,26,5
20200331,15,新监测站,14,优,NaN,6,7,0.6,NaN,42,26,7
20200331,15,财苑宾馆,15,优,NaN,4,7,0.6,11,47,31,9
20200331,15,体育馆,14,优,NaN,5,5,0.5,12,43,25,7
20200331,15,三川水表,12,优,NaN,6,8,0.3,12,37,20,9
20200331,16,龙虎山,13,优,NaN,3,5,0.4,10,41,28,4
20200331,16,新监测站,14,优,NaN,4,6,NaN,NaN,43,30,7
20200331,16,财苑宾馆,15,优,NaN,4,7,0.6,12,45,34,10
20200331,16,体育馆,14,优,NaN,4,6,0.5,13,42,28,6
20200331,16,三川水表,12,优,NaN,5,10,NaN,13,36,24,7
20200331,17,龙虎山,14,优,NaN,4,6,0.5,11,42,31,5
20200331,17,新监测站,13,优,NaN,9,10,NaN,17,40,34,7
20200331,17,财苑宾馆,14,优,NaN,8,9,0.7,14,44,38,9
20200331,17,体育馆,13,优,NaN,7,9,0.6,16,40,32,6
20200331,17,三川水表,12,优,NaN,8,10,0.5,16,36,28,7
20200331,17,龙虎山,14,优,NaN,4,6,0.5,11,42,31,5
20200331,17,新监测站,13,优,NaN,9,10,NaN,17,40,34,7
20200331,17,财苑宾馆,14,优,NaN,8,9,0.7,14,44,38,9
20200331,17,体育馆,13,优,NaN,7,9,0.6,16,40,32,6
20200331,17,三川水表,12,优,NaN,8,10,0.5,16,36,28,7
20200331,19,龙虎山,16,优,NaN,11,15,0.5,13,47,38,4
20200331,19,新监测站,26,优,NaN,18,NaN,0.7,18,44,39,6
20200331,19,财苑宾馆,28,优,NaN,19,NaN,0.7,19,40,41,8
20200331,19,体育馆,25,优,NaN,17,19,0.7,21,36,37,5
20200331,19,三川水表,29,优,NaN,20,NaN,0.5,14,38,35,7
20200331,20,龙虎山,20,优,NaN,14,17,0.5,14,42,40,4
20200331,20,新监测站,29,优,NaN,20,NaN,0.7,16,53,41,5
20200331,20,财苑宾馆,35,优,NaN,24,NaN,0.7,13,55,44,8
20200331,20,体育馆,29,优,NaN,20,21,0.6,16,50,40,5
20200331,20,三川水表,32,优,NaN,22,NaN,0.4,15,41,36,8
20200331,21,龙虎山,22,优,NaN,15,17,0.6,14,39,41,4
20200331,21,新监测站,33,优,NaN,23,NaN,0.7,18,48,43,5
20200331,21,财苑宾馆,45,优,NaN,31,NaN,0.8,17,44,45,9
20200331,21,体育馆,36,优,NaN,25,NaN,0.6,19,41,41,9
20200331,21,三川水表,40,优,NaN,28,NaN,0.5,13,39,37,9
20200331,22,龙虎山,19,优,NaN,13,16,0.5,12,40,42,4
20200331,22,新监测站,42,优,NaN,29,NaN,0.8,22,37,44,8
20200331,22,财苑宾馆,46,优,NaN,32,NaN,0.8,18,38,44,11
20200331,22,体育馆,32,优,NaN,22,NaN,0.6,17,38,41,6
20200331,22,三川水表,35,优,NaN,24,NaN,0.4,11,37,38,7
20200331,23,龙虎山,20,优,NaN,14,17,0.5,12,34,42,5
20200331,23,新监测站,36,优,NaN,25,NaN,0.8,19,38,43,6
20200331,23,财苑宾馆,40,优,NaN,28,NaN,0.8,16,36,43,8
20200331,23,体育馆,30,优,NaN,21,NaN,0.6,16,34,40,6
20200331,23,三川水表,30,优,NaN,21,NaN,0.4,10,34,38,6
20200401,00,龙虎山,20,优,NaN,14,17,0.5,11,33,40,5
20200401,00,新监测站,35,优,NaN,24,NaN,0.8,18,36,42,6
20200401,00,财苑宾馆,36,优,NaN,25,NaN,0.8,18,30,41,8
20200401,00,体育馆,30,优,NaN,21,NaN,0.6,15,33,39,6
20200401,00,三川水表,29,优,NaN,20,NaN,0.4,10,30,37,6
20200401,00,龙虎山,20,优,NaN,14,17,0.5,11,33,40,5
20200401,00,新监测站,35,优,NaN,24,NaN,0.8,18,36,42,6
20200401,00,财苑宾馆,36,优,NaN,25,NaN,0.8,18,30,41,8
20200401,00,体育馆,30,优,NaN,21,NaN,0.6,15,33,39,6
20200401,00,三川水表,29,优,NaN,20,NaN,0.4,10,30,37,6
20200401,01,龙虎山,18,优,NaN,12,16,0.5,9,34,34,8
20200401,01,新监测站,36,优,NaN,25,NaN,0.8,21,28,28,6
20200401,01,财苑宾馆,39,优,NaN,27,NaN,0.7,21,26,26,9
20200401,01,体育馆,30,优,NaN,21,NaN,0.6,14,32,32,7
20200401,01,三川水表,30,优,NaN,21,NaN,0.4,8,29,29,8
20200401,02,龙虎山,19,优,NaN,13,16,0.5,9,30,32,10
20200401,02,新监测站,39,优,NaN,27,NaN,0.8,16,29,28,6
20200401,02,财苑宾馆,38,优,NaN,26,NaN,0.7,16,31,28,10
20200401,02,体育馆,28,优,NaN,19,NaN,0.6,12,31,32,7
20200401,02,三川水表,30,优,NaN,21,NaN,0.4,7,29,29,8
20200401,08,龙虎山,22,优,NaN,15,15,0.4,5,22,22,7
20200401,08,新监测站,42,优,NaN,29,NaN,0.9,19,22,25,10
20200401,08,财苑宾馆,48,优,NaN,33,NaN,0.7,16,28,26,15
20200401,08,体育馆,50,优,NaN,35,36,0.8,24,17,27,14
20200401,08,三川水表,48,优,NaN,33,34,0.5,21,13,24,12
20200401,09,龙虎山,26,优,NaN,18,19,0.4,6,36,22,10
20200401,09,新监测站,49,优,NaN,34,NaN,0.8,19,28,25,12
20200401,09,财苑宾馆,46,优,NaN,32,NaN,0.7,14,35,27,16
20200401,09,体育馆,50,优,NaN,35,37,0.8,27,22,26,12
20200401,09,三川水表,58,良,细颗粒物(PM2.5),41,NaN,0.5,20,24,23,14
20200401,10,龙虎山,36,优,NaN,25,26,0.5,7,42,24,17
20200401,10,新监测站,50,优,NaN,35,NaN,0.8,22,34,26,13
20200401,10,财苑宾馆,46,优,NaN,32,NaN,0.7,18,36,27,15
20200401,10,体育馆,43,优,NaN,30,36,0.7,18,39,27,14
20200401,10,三川水表,53,良,细颗粒物(PM2.5),37,44,0.5,15,39,24,15
20200401,11,龙虎山,39,优,NaN,27,28,0.6,9,55,28,27
20200401,11,新监测站,35,优,NaN,24,30,0.9,15,57,30,14
20200401,11,财苑宾馆,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN
20200401,11,体育馆,33,优,NaN,23,32,0.7,18,52,30,14
20200401,11,三川水表,40,优,NaN,28,NaN,0.4,14,50,27,15
20200401,12,龙虎山,25,优,NaN,16,20,0.5,7,78,35,17
