Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,东风水库,42,优,NaN,24,NaN,0.7,9,133,140,7
20200326,19,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,玉溪一中,40,优,NaN,25,37,0.6,13,125,131,4
20200326,19,文体中心,46,优,NaN,27,46,0.7,13,123,132,6
20200326,20,东风水库,52,良,颗粒物(PM10),26,53,0.7,14,122,136,8
20200326,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,玉溪一中,43,优,NaN,27,43,0.6,16,115,128,4
20200326,20,文体中心,45,优,NaN,31,45,0.8,24,106,128,8
20200327,10,东风水库,72,良,细颗粒物(PM2.5),52,72,1.7,25,73,58,13
20200327,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,玉溪一中,87,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",64,124,2.4,52,42,21,15
20200327,10,文体中心,77,良,细颗粒物(PM2.5),56,97,3.2,52,52,40,24
20200327,11,东风水库,69,良,细颗粒物(PM2.5),50,86,1.5,29,100,67,12
20200327,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,玉溪一中,78,良,细颗粒物(PM2.5),57,98,1.8,43,81,28,12
20200327,11,文体中心,73,良,颗粒物(PM10),50,95,1.5,32,96,46,14
20200327,12,东风水库,63,良,颗粒物(PM10),39,76,0.8,10,135,76,8
20200327,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,玉溪一中,64,良,颗粒物(PM10),38,78,0.7,12,125,42,5
20200327,12,文体中心,58,良,颗粒物(PM10),37,66,0.8,12,120,53,7
20200327,13,东风水库,48,优,NaN,31,48,0.7,6,133,82,7
20200327,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
