Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,湛江影剧院,24,优,NaN,14,24,0.4,7,46,51,5
20200326,19,市环境监测站,25,优,NaN,14,25,0.4,11,47,54,4
20200326,19,环保局宿舍,32,优,NaN,12,32,0.4,21,36,50,6
20200326,19,霞山游泳场,52,良,颗粒物(PM10),11,53,0.4,15,44,53,7
20200326,19,麻章区环保局,28,优,NaN,14,28,0.5,12,42,50,4
20200326,19,坡头区环保局,20,优,NaN,11,20,0.5,6,48,50,5
20200326,20,湛江影剧院,33,优,NaN,13,33,0.3,9,39,50,5
20200326,20,市环境监测站,23,优,NaN,13,23,0.4,14,38,52,5
20200326,20,环保局宿舍,26,优,NaN,13,26,0.4,21,30,47,6
20200326,20,霞山游泳场,18,优,NaN,12,17,0.4,17,36,50,7
20200326,20,麻章区环保局,32,优,NaN,16,32,0.5,15,34,48,4
20200326,20,坡头区环保局,22,优,NaN,11,22,0.5,7,41,49,5
20200327,10,湛江影剧院,32,优,NaN,13,32,0.5,12,35,35,5
20200327,10,市环境监测站,32,优,NaN,16,32,0.5,12,38,36,5
20200327,10,环保局宿舍,30,优,NaN,12,30,0.4,13,37,32,6
20200327,10,霞山游泳场,22,优,NaN,10,22,0.4,14,39,36,6
20200327,10,麻章区环保局,30,优,NaN,21,26,0.5,14,33,30,4
20200327,10,坡头区环保局,28,优,NaN,18,28,0.5,11,35,35,5
20200327,11,湛江影剧院,32,优,NaN,15,32,0.5,9,42,36,5
20200327,11,市环境监测站,44,优,NaN,16,44,0.5,12,42,37,5
20200327,11,环保局宿舍,26,优,NaN,12,26,0.4,12,41,34,6
20200327,11,霞山游泳场,34,优,NaN,8,34,0.5,11,45,39,7
20200327,11,麻章区环保局,43,优,NaN,21,43,0.5,12,41,31,4
20200327,11,坡头区环保局,32,优,NaN,20,32,0.5,9,43,36,5
20200327,12,湛江影剧院,34,优,NaN,15,34,0.4,7,52,38,5
20200327,12,市环境监测站,26,优,NaN,14,26,0.5,11,50,39,5
20200327,12,环保局宿舍,24,优,NaN,14,24,0.5,10,48,37,6
20200327,12,霞山游泳场,33,优,NaN,10,33,0.5,12,51,41,7
20200327,12,麻章区环保局,33,优,NaN,20,33,0.6,8,53,35,5
20200327,12,坡头区环保局,28,优,NaN,16,28,0.5,8,49,38,5
20200327,13,湛江影剧院,39,优,NaN,16,39,0.5,7,60,41,5
20200327,13,市环境监测站,27,优,NaN,14,27,0.5,7,62,42,5
20200327,13,环保局宿舍,34,优,NaN,13,34,0.4,8,58,40,6
20200327,13,霞山游泳场,33,优,NaN,10,33,0.4,8,60,44,7
20200327,13,麻章区环保局,32,优,NaN,22,31,0.6,9,62,39,5
20200327,13,坡头区环保局,22,优,NaN,15,22,0.5,4,59,41,5
20200327,14,湛江影剧院,33,优,NaN,15,33,0.4,5,65,45,5
20200327,14,市环境监测站,29,优,NaN,11,29,0.4,5,67,46,4
20200327,14,环保局宿舍,33,优,NaN,12,33,0.4,5,64,44,5
20200327,14,霞山游泳场,30,优,NaN,11,30,0.4,7,64,47,6
20200327,14,麻章区环保局,43,优,NaN,17,43,0.6,6,70,44,5
20200327,14,坡头区环保局,26,优,NaN,13,26,0.5,3,62,44,5
20200327,15,湛江影剧院,28,优,NaN,14,28,0.4,5,63,48,5
20200327,15,市环境监测站,30,优,NaN,12,30,0.4,5,62,49,4
20200327,15,环保局宿舍,29,优,NaN,12,29,0.4,6,62,48,6
20200327,15,霞山游泳场,20,优,NaN,12,17,0.4,7,61,50,6
