Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,沙坡头消防站,66,良,颗粒物(PM10),22,81,0.4,3,90,93,6
20200326,19,官桥站,58,良,颗粒物(PM10),24,66,0.4,12,85,91,14
20200326,19,环保局站,67,良,颗粒物(PM10),22,84,0.4,11,85,89,12
20200326,20,沙坡头消防站,59,良,颗粒物(PM10),20,67,0.4,4,86,93,6
20200326,20,官桥站,63,良,颗粒物(PM10),37,75,0.5,23,66,89,17
20200326,20,环保局站,62,良,颗粒物(PM10),22,74,0.4,17,77,88,7
20200327,10,沙坡头消防站,63,良,颗粒物(PM10),37,76,0.7,26,42,32,21
20200327,10,官桥站,61,良,颗粒物(PM10),24,72,0.6,NaN,47,36,27
20200327,10,环保局站,59,良,颗粒物(PM10),23,67,0.6,29,51,37,22
20200327,11,沙坡头消防站,64,良,颗粒物(PM10),33,78,0.6,20,55,35,18
20200327,11,官桥站,59,良,颗粒物(PM10),25,67,0.6,NaN,60,38,19
20200327,11,环保局站,55,良,颗粒物(PM10),25,59,0.6,24,59,39,17
20200327,12,沙坡头消防站,61,良,颗粒物(PM10),35,71,0.6,19,60,38,17
20200327,12,官桥站,60,良,颗粒物(PM10),22,70,0.5,NaN,64,40,15
20200327,12,环保局站,59,良,颗粒物(PM10),26,68,0.5,23,62,41,16
20200327,13,沙坡头消防站,64,良,颗粒物(PM10),37,77,0.6,17,69,42,15
20200327,13,官桥站,60,良,颗粒物(PM10),24,70,0.5,19,77,47,13
20200327,13,环保局站,80,良,细颗粒物(PM2.5),59,70,0.5,20,74,48,14
20200327,14,沙坡头消防站,65,良,颗粒物(PM10),35,79,0.5,13,82,48,14
20200327,14,官桥站,61,良,颗粒物(PM10),27,71,0.4,17,86,53,14
20200327,14,环保局站,58,良,颗粒物(PM10),33,65,0.4,16,86,53,14
20200327,15,沙坡头消防站,60,良,颗粒物(PM10),36,69,0.5,13,89,57,14
20200327,15,官桥站,56,良,颗粒物(PM10),26,62,0.4,17,94,61,14
20200327,15,环保局站,85,良,细颗粒物(PM2.5),63,69,0.4,16,95,60,14
20200327,17,沙坡头消防站,62,良,颗粒物(PM10),42,74,0.5,12,97,74,12
20200327,17,官桥站,61,良,颗粒物(PM10),29,72,0.4,18,96,78,9
20200327,17,环保局站,90,良,细颗粒物(PM2.5),67,81,0.4,17,96,77,10
20200330,11,沙坡头消防站,73,良,颗粒物(PM10),19,96,0.4,6,88,49,7
20200330,11,官桥站,69,良,颗粒物(PM10),17,87,0.4,10,90,51,7
20200330,11,环保局站,76,良,颗粒物(PM10),17,101,0.4,NaN,87,46,7
20200330,12,沙坡头消防站,69,良,颗粒物(PM10),32,87,0.7,11,82,58,14
20200330,12,官桥站,80,良,颗粒物(PM10),27,110,0.6,16,79,56,12
20200330,12,环保局站,36,优,NaN,25,NaN,0.6,17,78,50,NaN
20200330,13,沙坡头消防站,78,良,颗粒物(PM10),31,105,0.5,8,99,67,10
20200330,13,官桥站,70,良,颗粒物(PM10),25,89,0.4,10,103,63,NaN
20200330,13,环保局站,39,优,NaN,27,NaN,NaN,10,NaN,52,8
20200330,14,沙坡头消防站,64,良,颗粒物(PM10),29,77,0.5,8,106,77,11
20200330,14,官桥站,71,良,颗粒物(PM10),25,91,0.4,11,NaN,67,7
20200330,14,环保局站,39,优,NaN,27,NaN,0.4,8,111,62,8
20200330,15,沙坡头消防站,62,良,颗粒物(PM10),26,74,0.5,8,112,87,12
20200330,15,官桥站,NaN,,NaN,NaN,NaN,NaN,12,108,77,9
20200330,15,环保局站,39,优,NaN,27,NaN,0.4,12,112,74,11
20200330,16,沙坡头消防站,52,良,颗粒物(PM10),23,53,0.4,5,116,97,8
20200330,16,官桥站,38,优,NaN,26,NaN,0.5,15,109,88,12
20200330,16,环保局站,61,良,颗粒物(PM10),27,72,0.5,13,113,87,12
20200330,17,沙坡头消防站,67,良,颗粒物(PM10),24,84,0.5,5,118,102,9
20200330,17,官桥站,36,优,NaN,24,NaN,0.5,14,114,98,8
20200330,17,环保局站,70,良,颗粒物(PM10),25,90,0.4,12,115,99,8
20200330,18,沙坡头消防站,66,良,颗粒物(PM10),22,82,0.5,6,116,105,10
20200330,18,官桥站,36,优,NaN,22,NaN,0.4,13,114,102,7
20200330,18,环保局站,63,良,颗粒物(PM10),23,75,0.4,12,115,104,8
20200330,19,沙坡头消防站,60,良,颗粒物(PM10),21,70,0.5,9,109,107,9
20200330,19,官桥站,74,良,颗粒物(PM10),19,98,0.4,14,106,105,8
20200330,19,环保局站,62,良,颗粒物(PM10),21,73,0.4,17,104,107,7
20200330,20,沙坡头消防站,66,良,颗粒物(PM10),25,81,0.5,16,98,109,12
20200330,20,官桥站,70,良,颗粒物(PM10),20,89,0.5,29,84,105,7
20200330,20,环保局站,66,良,颗粒物(PM10),24,82,0.4,40,77,107,8
20200330,21,沙坡头消防站,68,良,颗粒物(PM10),28,86,0.5,19,91,108,12
20200330,21,官桥站,79,良,颗粒物(PM10),31,108,0.7,32,78,102,10
20200330,21,环保局站,76,良,颗粒物(PM10),30,101,0.4,39,72,102,8
20200330,22,沙坡头消防站,99,良,颗粒物(PM10),41,147,0.5,10,94,107,9
20200330,22,官桥站,101,轻度污染,颗粒物(PM10),36,152,0.5,13,91,100,11
20200330,22,环保局站,94,良,颗粒物(PM10),34,138,0.5,12,94,100,6
20200330,22,沙坡头消防站,99,良,颗粒物(PM10),41,147,0.5,10,94,107,9
20200330,22,官桥站,101,轻度污染,颗粒物(PM10),36,152,0.5,13,91,100,11
20200330,22,环保局站,94,良,颗粒物(PM10),34,138,0.5,12,94,100,6
20200331,00,沙坡头消防站,100,良,颗粒物(PM10),38,149,0.5,5,95,102,10
20200331,00,官桥站,75,良,颗粒物(PM10),31,100,0.4,17,86,95,24
20200331,00,环保局站,82,良,颗粒物(PM10),31,114,0.4,13,92,95,19
20200331,00,沙坡头消防站,100,良,颗粒物(PM10),38,149,0.5,5,95,102,10
20200331,00,官桥站,75,良,颗粒物(PM10),31,100,0.4,17,86,95,24
20200331,00,环保局站,82,良,颗粒物(PM10),31,114,0.4,13,92,95,19
20200331,01,沙坡头消防站,85,良,颗粒物(PM10),32,119,0.4,9,90,90,8
20200331,01,官桥站,71,良,颗粒物(PM10),28,91,0.3,10,91,91,7
20200331,01,环保局站,74,良,颗粒物(PM10),27,98,0.4,8,93,93,9
20200331,02,沙坡头消防站,77,良,颗粒物(PM10),33,104,0.4,50,39,64,8
20200331,02,官桥站,73,良,颗粒物(PM10),28,96,0.4,16,82,86,10
20200331,02,环保局站,73,良,颗粒物(PM10),28,96,0.4,12,87,90,9
20200331,03,沙坡头消防站,75,良,颗粒物(PM10),28,99,0.4,18,77,69,6
20200331,03,官桥站,76,良,颗粒物(PM10),30,101,0.4,20,75,83,13
20200331,03,环保局站,75,良,颗粒物(PM10),28,99,0.4,14,84,88,11
20200331,04,沙坡头消防站,70,良,颗粒物(PM10),26,90,0.4,4,95,75,6
20200331,04,官桥站,69,良,颗粒物(PM10),26,88,0.3,13,80,82,8
20200331,04,环保局站,72,良,颗粒物(PM10),27,93,0.4,12,81,86,9
20200331,05,沙坡头消防站,67,良,颗粒物(PM10),26,83,0.4,6,88,78,8
20200331,05,官桥站,69,良,颗粒物(PM10),27,88,0.4,21,73,80,18
20200331,05,环保局站,73,良,颗粒物(PM10),28,96,0.4,17,76,84,18
20200331,06,沙坡头消防站,66,良,颗粒物(PM10),25,82,0.4,6,87,79,9
20200331,06,官桥站,69,良,颗粒物(PM10),36,88,0.4,22,70,78,15
20200331,06,环保局站,69,良,颗粒物(PM10),28,87,0.4,17,76,83,13
20200331,08,沙坡头消防站,75,良,颗粒物(PM10),36,99,0.8,13,69,79,18
20200331,08,官桥站,87,良,颗粒物(PM10),46,124,0.6,36,50,74,21
20200331,08,环保局站,76,良,颗粒物(PM10),35,101,0.6,34,54,78,16
20200331,08,沙坡头消防站,75,良,颗粒物(PM10),36,99,0.8,13,69,79,18
20200331,08,官桥站,87,良,颗粒物(PM10),46,124,0.6,36,50,74,21
20200331,08,环保局站,76,良,颗粒物(PM10),35,101,0.6,34,54,78,16
20200331,10,沙坡头消防站,87,良,颗粒物(PM10),44,124,0.6,23,66,79,24
20200331,10,官桥站,121,轻度污染,颗粒物(PM10),55,192,0.6,36,59,65,20
20200331,10,环保局站,105,轻度污染,颗粒物(PM10),46,159,0.6,26,69,69,18
20200331,11,沙坡头消防站,123,轻度污染,颗粒物(PM10),49,195,0.5,16,78,79,15
20200331,11,官桥站,132,轻度污染,颗粒物(PM10),58,213,0.5,20,79,65,13
20200331,11,环保局站,120,轻度污染,颗粒物(PM10),49,190,0.5,20,78,68,13
20200331,11,沙坡头消防站,123,轻度污染,颗粒物(PM10),49,195,0.5,16,78,79,15
20200331,11,官桥站,132,轻度污染,颗粒物(PM10),58,213,0.5,20,79,65,13
20200331,11,环保局站,120,轻度污染,颗粒物(PM10),49,190,0.5,20,78,68,13
20200331,13,沙坡头消防站,151,中度污染,颗粒物(PM10),51,251,0.5,8,95,79,12
20200331,13,官桥站,123,轻度污染,颗粒物(PM10),55,195,0.4,14,97,70,12
20200331,13,环保局站,123,轻度污染,颗粒物(PM10),44,196,0.4,11,97,72,11
20200331,14,沙坡头消防站,126,轻度污染,颗粒物(PM10),47,202,0.5,7,100,81,12
20200331,14,官桥站,110,轻度污染,颗粒物(PM10),55,170,0.4,14,98,73,15
20200331,14,环保局站,111,轻度污染,颗粒物(PM10),41,172,0.4,11,100,75,13
20200331,15,沙坡头消防站,NaN,,NaN,NaN,NaN,0.5,NaN,100,83,NaN
