Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,天台山庄,27,优,NaN,13,NaN,0.8,20,85,91,5
20200326,19,株冶医院,25,优,NaN,17,17,0.5,14,80,84,7
20200326,19,市四中,32,优,NaN,22,NaN,0.5,18,74,79,8
20200326,19,火车站,29,优,NaN,17,18,0.8,16,91,93,5
20200326,19,市监测站,30,优,NaN,19,20,0.3,18,94,92,5
20200326,19,大京风景区,30,优,NaN,17,NaN,0.4,13,93,102,10
20200326,19,云田中学,30,优,NaN,21,NaN,0.4,17,92,87,7
20200326,20,天台山庄,26,优,NaN,17,26,0.9,28,73,90,5
20200326,20,株冶医院,29,优,NaN,20,25,0.5,20,73,85,7
20200326,20,市四中,32,优,NaN,22,25,0.5,22,70,78,9
20200326,20,火车站,38,优,NaN,16,38,0.8,20,76,92,6
20200326,20,市监测站,28,优,NaN,19,27,0.4,21,85,93,5
20200326,20,大京风景区,26,优,NaN,18,21,0.4,15,67,97,10
20200326,20,云田中学,36,优,NaN,25,27,0.4,17,87,89,8
20200327,10,天台山庄,9,优,NaN,6,NaN,0.5,16,27,38,5
20200327,10,株冶医院,12,优,NaN,8,NaN,0.4,10,30,36,4
20200327,10,市四中,12,优,NaN,8,9,0.5,21,29,42,7
20200327,10,火车站,19,优,NaN,8,19,0.5,16,27,38,2
20200327,10,市监测站,18,优,NaN,12,NaN,0.4,25,26,39,5
20200327,10,大京风景区,15,优,NaN,10,NaN,0.3,14,39,62,6
20200327,10,云田中学,22,优,NaN,12,22,0.4,19,28,39,5
20200327,11,天台山庄,10,优,NaN,7,7,0.5,19,25,32,5
20200327,11,株冶医院,15,优,NaN,10,NaN,0.5,16,25,31,5
20200327,11,市四中,12,优,NaN,8,9,0.5,22,28,35,7
20200327,11,火车站,10,优,NaN,7,7,0.5,19,26,32,2
20200327,11,市监测站,20,优,NaN,14,15,0.4,27,25,32,6
20200327,11,大京风景区,15,优,NaN,10,NaN,0.3,14,38,47,6
20200327,11,云田中学,24,优,NaN,11,24,0.4,22,26,33,5
20200327,12,天台山庄,10,优,NaN,7,NaN,0.5,20,25,28,5
20200327,12,株冶医院,16,优,NaN,11,NaN,0.5,17,24,28,5
20200327,12,市四中,12,优,NaN,8,8,0.5,24,28,32,6
20200327,12,火车站,13,优,NaN,7,13,0.5,20,25,29,3
20200327,12,市监测站,29,优,NaN,20,NaN,0.4,28,24,28,9
20200327,12,大京风景区,15,优,NaN,8,15,0.3,16,38,42,6
20200327,12,云田中学,17,优,NaN,8,17,0.4,24,24,30,5
20200327,13,天台山庄,9,优,NaN,6,NaN,0.5,17,27,26,5
20200327,13,株冶医院,12,优,NaN,8,NaN,0.5,15,26,27,5
20200327,13,市四中,12,优,NaN,6,8,0.5,24,29,29,6
20200327,13,火车站,14,优,NaN,6,14,0.5,20,25,26,3
20200327,13,市监测站,25,优,NaN,17,NaN,0.4,27,24,26,7
20200327,13,大京风景区,12,优,NaN,7,8,0.3,18,36,38,6
20200327,13,云田中学,16,优,NaN,4,16,0.4,21,28,27,5
20200327,14,天台山庄,10,优,NaN,2,2,0.4,16,30,27,5
20200327,14,株冶医院,9,优,NaN,6,NaN,0.4,15,28,28,5
20200327,14,市四中,12,优,NaN,4,7,0.5,23,31,29,6
20200327,14,火车站,17,优,NaN,4,17,0.5,17,28,27,3
20200327,14,市监测站,13,优,NaN,6,11,0.3,26,28,26,7
20200327,14,大京风景区,13,优,NaN,5,5,0.3,16,40,37,6
20200327,14,云田中学,11,优,NaN,3,5,0.3,22,28,27,5
20200327,15,天台山庄,12,优,NaN,2,3,0.4,14,37,28,5
20200327,15,株冶医院,12,优,NaN,4,4,0.3,10,37,29,5
20200327,15,市四中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,NaN
20200327,15,火车站,12,优,NaN,4,6,0.4,15,36,28,3
20200327,15,市监测站,12,优,NaN,2,7,0.3,23,36,28,10
20200327,15,大京风景区,13,优,NaN,4,NaN,0.2,18,41,38,6
20200327,15,云田中学,12,优,NaN,2,8,0.2,18,36,28,5
20200327,17,天台山庄,11,优,NaN,1,NaN,0.4,16,35,30,NaN
20200327,17,株冶医院,12,优,NaN,4,NaN,0.3,10,38,31,5
20200327,17,市四中,12,优,NaN,3,3,0.3,20,38,31,6
20200327,17,火车站,11,优,NaN,2,11,0.4,18,35,30,2
20200327,17,市监测站,14,优,NaN,NaN,3,0.3,27,33,29,6
20200327,17,大京风景区,14,优,NaN,4,NaN,0.2,21,42,40,6
20200327,17,云田中学,17,优,NaN,2,17,0.2,20,36,30,5
20200330,11,天台山庄,28,优,NaN,19,NaN,0.4,16,51,50,4
20200330,11,株冶医院,23,优,NaN,16,NaN,0.4,8,50,47,4
20200330,11,市四中,27,优,NaN,18,27,0.4,21,48,46,8
20200330,11,火车站,29,优,NaN,19,29,0.4,24,41,41,9
20200330,11,市监测站,29,优,NaN,20,25,0.4,20,46,43,6
20200330,11,大京风景区,20,优,NaN,14,16,0.3,15,57,55,7
20200330,11,云田中学,25,优,NaN,17,20,0.4,16,48,42,6
20200330,12,天台山庄,26,优,NaN,18,NaN,0.4,19,50,50,5
20200330,12,株冶医院,23,优,NaN,16,NaN,0.4,9,52,48,5
20200330,12,市四中,26,优,NaN,15,26,0.4,17,54,47,8
20200330,12,火车站,25,优,NaN,17,22,0.4,22,45,42,7
20200330,12,市监测站,26,优,NaN,18,19,0.5,23,44,44,7
20200330,12,大京风景区,19,优,NaN,13,NaN,0.4,14,58,56,7
20200330,12,云田中学,20,优,NaN,14,19,0.4,15,53,44,7
20200330,13,天台山庄,25,优,NaN,17,NaN,0.4,17,52,50,7
20200330,13,株冶医院,25,优,NaN,17,NaN,0.4,15,47,49,4
20200330,13,市四中,20,优,NaN,14,17,0.5,17,53,48,9
20200330,13,火车站,30,优,NaN,16,30,0.5,19,47,42,5
20200330,13,市监测站,24,优,NaN,15,24,0.4,20,48,45,11
20200330,13,大京风景区,19,优,NaN,11,NaN,0.4,13,60,57,7
20200330,13,云田中学,19,优,NaN,13,13,0.4,14,53,45,7
20200330,14,天台山庄,26,优,NaN,18,NaN,0.4,16,54,50,5
20200330,14,株冶医院,33,优,NaN,23,NaN,0.5,27,36,47,5
20200330,14,市四中,18,优,NaN,12,16,0.4,17,53,48,9
20200330,14,火车站,29,优,NaN,14,29,0.5,19,47,43,6
20200330,14,市监测站,21,优,NaN,14,21,0.4,21,48,45,9
20200330,14,大京风景区,19,优,NaN,10,10,0.4,12,60,57,7
20200330,14,云田中学,18,优,NaN,12,12,0.4,17,52,46,7
20200330,15,天台山庄,35,优,NaN,24,NaN,0.4,24,43,49,4
20200330,15,株冶医院,33,优,NaN,23,31,0.5,24,38,46,5
20200330,15,市四中,22,优,NaN,15,17,0.4,23,49,48,10
20200330,15,火车站,22,优,NaN,15,21,0.4,23,44,44,6
20200330,15,市监测站,23,优,NaN,16,23,0.4,28,41,44,7
20200330,15,大京风景区,19,优,NaN,9,9,0.4,11,59,57,7
20200330,15,云田中学,23,优,NaN,16,17,0.4,26,44,47,7
20200330,16,天台山庄,39,优,NaN,27,NaN,0.4,27,39,48,4
20200330,16,株冶医院,38,优,NaN,26,26,0.5,29,34,44,5
20200330,16,市四中,22,优,NaN,15,21,0.4,22,47,49,9
20200330,16,火车站,27,优,NaN,17,27,0.5,33,33,43,6
20200330,16,市监测站,32,优,NaN,18,32,0.4,33,35,44,7
20200330,16,大京风景区,19,优,NaN,9,NaN,0.4,11,59,58,6
20200330,16,云田中学,28,优,NaN,16,28,0.4,29,42,47,7
20200330,17,天台山庄,45,优,NaN,31,NaN,0.4,30,36,47,4
20200330,17,株冶医院,38,优,NaN,26,27,0.5,28,35,43,5
20200330,17,市四中,30,优,NaN,21,26,0.4,31,39,48,7
20200330,17,火车站,29,优,NaN,20,28,0.5,38,28,41,5
20200330,17,市监测站,33,优,NaN,21,33,0.5,39,29,42,6
