,AQI,CO,Date,Hour,Level,NO2,O3_1h,O3_8h,PM10,PM25,PrimaryPollution,SO2,WatchPoint,_id,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
324,33,1.1,20200410,22,优,10,64,50,33,21,NaN,1,甘溪港,5e908d74690d8b21f9292a02,0.16526610644257703,0.16526610644257703,0.16526610644257703,0.16526610644257703,0.16526610644257703,0.16526610644257703,0.16526610644257703,0.16526610644257703
251,59,0.5,20200410,22,良,15,85,83,47,42,细颗粒物(PM2.5),1,宿迁学院,5e908d2a690d8b21f92929b7,0.5910364145658263,0.5910364145658263,0.5910364145658263,0.5910364145658263,0.5910364145658263,0.5910364145658263,0.5910364145658263,0.5910364145658263
293,28,0.6,20200410,22,优,13,34,42,22,19,NaN,1,文化路,5e908d55690d8b21f92929e3,0.12044817927170869,0.12044817927170869,0.12044817927170869,0.12044817927170869,0.12044817927170869,0.12044817927170869,0.12044817927170869,0.12044817927170869
89,105,0.3,20200410,22,轻度污染,6,89,93,159,49,颗粒物(PM10),1,地区监测站,5e908c8e690d8b21f9292910,0.011204481792717087,0.011204481792717087,0.011204481792717087,0.011204481792717087,0.011204481792717087,0.011204481792717087,0.011204481792717087,0.011204481792717087
354,53,0.7,20200410,22,良,22,82,111,45,37,细颗粒物(PM2.5),10,大塘山,5e908d93690d8b21f9292a22,0.4481792717086835,0.4481792717086835,0.4481792717086835,0.4481792717086835,0.4481792717086835,0.4481792717086835,0.4481792717086835,0.4481792717086835
141,162,0.8,20200410,22,中度污染,20,110,129,-,123,细颗粒物(PM2.5),10,十里,5e908cbd690d8b21f9292944,0.06162464985994398,0.06162464985994398,0.06162464985994398,0.06162464985994398,0.06162464985994398,0.06162464985994398,0.06162464985994398,0.06162464985994398
87,112,0.7,20200410,22,轻度污染,19,103,122,174,53,颗粒物(PM10),10,共和县恰卜恰镇,5e908c8c690d8b21f929290e,0.028011204481792718,0.028011204481792718,0.028011204481792718,0.028011204481792718,0.028011204481792718,0.028011204481792718,0.028011204481792718,0.028011204481792718
342,54,0.4,20200410,22,良,9,117,105,41,38,细颗粒物(PM2.5),10,监测站,5e908d86690d8b21f9292a14,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
203,69,1.2,20200410,22,良,35,61,91,77,50,细颗粒物(PM2.5),10,2号,5e908cfa690d8b21f9292985,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.7030812324929971
264,57,0.7,20200410,22,良,34,41,74,64,39,颗粒物(PM10),10,光明,5e908d38690d8b21f92929c5,0.5406162464985994,0.5406162464985994,0.5406162464985994,0.5406162464985994,0.5406162464985994,0.5406162464985994,0.5406162464985994,0.5406162464985994
68,84,0.9,20200410,22,良,30,51,54,107,62,细颗粒物(PM2.5),10,市监测站,5e908c7b690d8b21f92928fb,0.8375350140056023,0.8375350140056023,0.8375350140056023,0.8375350140056023,0.8375350140056023,0.8375350140056023,0.8375350140056023,0.8375350140056023
217,75,0.8,20200410,22,良,39,52,72,100,46,颗粒物(PM10),10,安居小区,5e908d07690d8b21f9292993,0.7591036414565826,0.7591036414565826,0.7591036414565826,0.7591036414565826,0.7591036414565826,0.7591036414565826,0.7591036414565826,0.7591036414565826
