Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,棉研所,288,重度污染,细颗粒物(PM2.5),238,270,2.8,58,25,15,24
20200326,18,红庙街,20,优,NaN,3,14,0.6,14,62,69,8
20200326,18,银杏小区,22,优,NaN,3,6,0.3,15,69,74,4
20200326,18,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,铁佛寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,信访局,19,优,NaN,5,NaN,0.3,15,59,66,3
20200326,18,棉研所(对照点),20,优,NaN,4,15,0.4,12,64,70,5
20200326,18,信访局(启用171207),213,重度污染,细颗粒物(PM2.5),163,195,2.1,62,8,4,18
20200326,18,安钢职工学校(启用200115),243,重度污染,细颗粒物(PM2.5),193,205,1.7,58,10,8,11
20200326,18,安钢职工学校,17,优,NaN,11,16,0.8,26,54,65,39
20200326,20,棉研所,288,重度污染,细颗粒物(PM2.5),238,270,2.8,58,25,15,24
20200326,20,红庙街,17,优,NaN,5,16,0.7,16,54,66,9
20200326,20,银杏小区,19,优,NaN,5,13,0.4,18,60,72,5
20200326,20,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,铁佛寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,信访局,16,优,NaN,7,16,0.5,18,50,62,4
20200326,20,棉研所(对照点),20,优,NaN,6,20,0.4,17,58,69,5
20200326,20,信访局(启用171207),213,重度污染,细颗粒物(PM2.5),163,195,2.1,62,8,4,18
20200326,20,安钢职工学校(启用200115),243,重度污染,细颗粒物(PM2.5),193,205,1.7,58,10,8,11
20200326,20,安钢职工学校,45,优,NaN,15,45,1.8,41,38,58,80
20200326,21,棉研所,288,重度污染,细颗粒物(PM2.5),238,270,2.8,58,25,15,24
20200326,21,红庙街,20,优,NaN,5,20,0.6,19,54,64,9
20200326,21,银杏小区,20,优,NaN,5,17,0.4,20,61,70,4
20200326,21,环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,铁佛寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,信访局,17,优,NaN,6,14,0.4,19,54,59,4
20200326,21,棉研所(对照点),20,优,NaN,6,14,0.4,17,61,67,6
20200326,21,信访局(启用171207),213,重度污染,细颗粒物(PM2.5),163,195,2.1,62,8,4,18
