Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,洮北区环保局,111,轻度污染,颗粒物(PM10),41,171,0.8,12,73,73,5
20200326,18,市环保局,88,良,颗粒物(PM10),34,126,0.8,11,70,78,6
20200326,20,洮北区环保局,123,轻度污染,细颗粒物(PM2.5),93,127,1.6,42,63,72,10
20200326,20,市环保局,83,良,颗粒物(PM10),59,116,1.1,23,52,73,9
20200326,21,洮北区环保局,296,重度污染,细颗粒物(PM2.5),246,264,2.3,67,68,72,17
20200326,21,市环保局,150,轻度污染,细颗粒物(PM2.5),115,133,1.5,40,38,67,11
20200327,09,洮北区环保局,80,良,细颗粒物(PM2.5),59,78,0.6,7,50,19,5
20200327,09,市环保局,68,良,细颗粒物(PM2.5),49,79,0.7,14,61,28,9
20200327,11,洮北区环保局,50,优,NaN,35,46,0.6,5,66,34,5
20200327,11,市环保局,31,优,NaN,18,31,0.6,11,69,41,10
20200327,12,洮北区环保局,53,良,颗粒物(PM10),27,55,0.5,6,70,42,5
20200327,12,市环保局,34,优,NaN,17,34,0.6,10,72,48,9
20200327,13,洮北区环保局,65,良,颗粒物(PM10),26,80,0.5,5,70,48,4
20200327,13,市环保局,39,优,NaN,18,39,0.6,10,72,55,7
20200327,13,洮北区环保局,65,良,颗粒物(PM10),26,80,0.5,5,70,48,4
20200327,13,市环保局,39,优,NaN,18,39,0.6,10,72,55,7
20200327,14,洮北区环保局,45,优,NaN,26,45,0.5,4,71,55,4
20200327,14,市环保局,38,优,NaN,15,38,0.6,8,71,60,7
20200327,15,洮北区环保局,46,优,NaN,27,46,0.5,5,69,61,4
20200327,15,市环保局,35,优,NaN,17,35,0.6,8,69,66,6
20200327,15,洮北区环保局,46,优,NaN,27,46,0.5,5,69,61,4
20200327,15,市环保局,35,优,NaN,17,35,0.6,8,69,66,6
20200327,16,洮北区环保局,51,良,颗粒物(PM10),20,51,0.6,5,70,66,5
20200327,16,市环保局,38,优,NaN,14,38,0.6,8,70,69,6
20200327,17,洮北区环保局,50,优,NaN,17,50,0.6,7,68,68,5
20200327,17,市环保局,38,优,NaN,8,38,0.6,8,70,70,6
20200327,17,洮北区环保局,50,优,NaN,17,50,0.6,7,68,68,5
20200327,17,市环保局,38,优,NaN,8,38,0.6,8,70,70,6
20200330,07,洮北区环保局,90,良,颗粒物(PM10),56,130,1.3,29,25,37,9
20200330,07,市环保局,143,轻度污染,细颗粒物(PM2.5),109,161,1.4,40,16,25,10
20200330,08,洮北区环保局,134,轻度污染,细颗粒物(PM2.5),102,149,1.1,18,39,37,9
20200330,08,市环保局,158,中度污染,细颗粒物(PM2.5),120,164,1.3,34,30,26,13
20200330,09,洮北区环保局,102,轻度污染,细颗粒物(PM2.5),76,117,1.1,19,53,38,10
20200330,09,市环保局,95,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",71,139,1.2,31,45,26,14
20200330,09,洮北区环保局,102,轻度污染,细颗粒物(PM2.5),76,117,1.1,19,53,38,10
20200330,09,市环保局,95,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",71,139,1.2,31,45,26,14
20200330,09,洮北区环保局,102,轻度污染,细颗粒物(PM2.5),76,117,1.1,19,53,38,10
20200330,09,市环保局,95,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",71,139,1.2,31,45,26,14
20200330,10,洮北区环保局,117,轻度污染,细颗粒物(PM2.5),88,142,1.1,18,68,41,10
20200330,10,市环保局,88,良,细颗粒物(PM2.5),65,103,1.2,33,65,29,15
20200330,10,洮北区环保局,117,轻度污染,细颗粒物(PM2.5),88,142,1.1,18,68,41,10
20200330,10,市环保局,88,良,细颗粒物(PM2.5),65,103,1.2,33,65,29,15
20200330,11,洮北区环保局,117,轻度污染,细颗粒物(PM2.5),88,133,1.0,17,96,48,9
20200330,11,市环保局,117,轻度污染,细颗粒物(PM2.5),88,121,1.2,34,83,34,16
