Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,游泳馆,22,优,NaN,9,21,0.2,10,70,68,7
20200326,18,华电二区,21,优,NaN,10,18,NaN,14,66,63,8
20200326,18,接待中心,23,优,NaN,12,19,0.3,14,72,70,7
20200326,18,地表水厂,24,优,NaN,15,24,NaN,24,59,67,5
20200326,18,胶片厂,24,优,NaN,15,23,0.2,11,75,77,6
20200326,18,监测站,22,优,NaN,6,17,0.2,9,70,70,7
20200326,20,游泳馆,34,优,NaN,19,34,0.3,18,52,66,7
20200326,20,华电二区,30,优,NaN,21,23,NaN,21,56,64,8
20200326,20,接待中心,30,优,NaN,17,30,0.3,20,57,68,7
20200326,20,地表水厂,30,优,NaN,21,30,0.1,28,46,63,5
20200326,20,胶片厂,34,优,NaN,14,34,0.3,22,54,74,5
20200326,20,监测站,30,优,NaN,18,30,0.3,18,52,68,9
20200326,21,游泳馆,36,优,NaN,12,36,0.2,24,46,62,7
20200326,21,华电二区,26,优,NaN,18,20,NaN,30,42,60,6
20200326,21,接待中心,30,优,NaN,19,30,0.3,21,48,65,7
20200326,21,地表水厂,33,优,NaN,21,33,0.1,53,21,56,6
20200326,21,胶片厂,38,优,NaN,19,38,0.3,28,45,68,5
20200326,21,监测站,32,优,NaN,22,31,0.1,24,46,63,8
20200327,09,游泳馆,22,优,NaN,9,22,0.3,21,55,42,8
20200327,09,华电二区,16,优,NaN,10,13,NaN,24,50,39,10
20200327,09,接待中心,21,优,NaN,13,21,0.3,18,61,36,9
20200327,09,地表水厂,38,优,NaN,11,38,0.1,36,41,23,10
20200327,09,胶片厂,24,优,NaN,11,22,0.3,15,74,26,9
20200327,09,监测站,21,优,NaN,6,21,0.3,31,41,48,12
20200327,11,游泳馆,22,优,NaN,8,12,0.2,13,68,45,6
20200327,11,华电二区,20,优,NaN,6,16,NaN,19,61,46,7
20200327,11,接待中心,24,优,NaN,7,18,0.2,12,75,43,5
20200327,11,地表水厂,24,优,NaN,6,24,NaN,24,63,26,7
20200327,11,胶片厂,26,优,NaN,8,20,0.3,12,81,40,6
20200327,11,监测站,24,优,NaN,5,14,0.2,5,74,52,9
20200327,12,游泳馆,22,优,NaN,7,9,0.2,12,70,49,7
20200327,12,华电二区,22,优,NaN,5,11,NaN,14,70,51,8
20200327,12,接待中心,25,优,NaN,6,15,0.2,12,78,49,6
20200327,12,地表水厂,23,优,NaN,6,23,NaN,21,69,34,6
20200327,12,胶片厂,27,优,NaN,6,14,0.2,12,84,49,6
20200327,12,监测站,23,优,NaN,5,10,0.3,6,73,55,8
20200327,13,游泳馆,24,优,NaN,8,10,0.2,10,76,55,7
20200327,13,华电二区,24,优,NaN,4,16,NaN,14,75,56,9
20200327,13,接待中心,25,优,NaN,8,14,0.2,12,80,55,6
20200327,13,地表水厂,24,优,NaN,5,22,NaN,16,76,41,5
20200327,13,胶片厂,28,优,NaN,5,13,0.2,9,88,58,6
20200327,13,监测站,24,优,NaN,5,7,0.2,6,76,61,8
20200327,13,游泳馆,24,优,NaN,8,10,0.2,10,76,55,7
20200327,13,华电二区,24,优,NaN,4,16,NaN,14,75,56,9
20200327,13,接待中心,25,优,NaN,8,14,0.2,12,80,55,6
20200327,13,地表水厂,24,优,NaN,5,22,NaN,16,76,41,5
20200327,13,胶片厂,28,优,NaN,5,13,0.2,9,88,58,6
20200327,13,监测站,24,优,NaN,5,7,0.2,6,76,61,8
20200327,14,游泳馆,26,优,NaN,9,10,0.2,6,82,60,7
20200327,14,华电二区,24,优,NaN,4,16,NaN,16,75,60,9
20200327,14,接待中心,26,优,NaN,5,12,0.2,11,83,63,6
20200327,14,地表水厂,26,优,NaN,4,22,NaN,13,83,50,5
20200327,14,胶片厂,30,优,NaN,6,10,0.2,5,95,68,5
20200327,14,监测站,26,优,NaN,4,6,0.1,3,83,65,8
20200327,15,游泳馆,27,优,NaN,6,9,0.2,5,85,66,6
20200327,15,华电二区,25,优,NaN,6,15,NaN,14,79,64,7
20200327,15,接待中心,28,优,NaN,5,10,0.2,10,87,71,6
20200327,15,地表水厂,27,优,NaN,5,20,NaN,15,85,60,5
20200327,15,胶片厂,31,优,NaN,5,14,0.2,5,98,80,5
20200327,15,监测站,26,优,NaN,5,5,0.2,6,83,68,8
20200327,15,游泳馆,27,优,NaN,6,9,0.2,5,85,66,6
20200327,15,华电二区,25,优,NaN,6,15,NaN,14,79,64,7
20200327,15,接待中心,28,优,NaN,5,10,0.2,10,87,71,6
20200327,15,地表水厂,27,优,NaN,5,20,NaN,15,85,60,5
20200327,15,胶片厂,31,优,NaN,5,14,0.2,5,98,80,5
20200327,15,监测站,26,优,NaN,5,5,0.2,6,83,68,8
20200327,16,游泳馆,26,优,NaN,9,NaN,0.2,8,81,72,6
20200327,16,华电二区,25,优,NaN,6,13,NaN,16,77,69,7
20200327,16,接待中心,27,优,NaN,5,15,0.2,12,86,78,5
20200327,16,地表水厂,27,优,NaN,5,25,NaN,17,84,69,5
20200327,16,胶片厂,30,优,NaN,8,16,0.2,8,95,87,5
20200327,16,监测站,25,优,NaN,6,12,0.3,8,79,72,9
20200327,17,游泳馆,25,优,NaN,9,14,0.2,11,80,75,6
20200327,17,华电二区,24,优,NaN,15,21,NaN,16,76,72,7
20200327,17,接待中心,26,优,NaN,6,17,0.2,15,82,80,5
20200327,17,地表水厂,32,优,NaN,10,32,0.1,21,78,74,5
20200327,17,胶片厂,28,优,NaN,16,19,0.2,14,87,89,5
20200327,17,监测站,25,优,NaN,8,20,0.4,8,80,76,8
20200327,17,游泳馆,25,优,NaN,9,14,0.2,11,80,75,6
20200327,17,华电二区,24,优,NaN,15,21,NaN,16,76,72,7
20200327,17,接待中心,26,优,NaN,6,17,0.2,15,82,80,5
20200327,17,地表水厂,32,优,NaN,10,32,0.1,21,78,74,5
20200327,17,胶片厂,28,优,NaN,16,19,0.2,14,87,89,5
20200327,17,监测站,25,优,NaN,8,20,0.4,8,80,76,8
20200330,07,游泳馆,64,良,细颗粒物(PM2.5),46,67,0.4,25,35,59,9
20200330,07,华电二区,80,良,细颗粒物(PM2.5),59,75,0.5,26,36,58,9
