Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局,48,优,NaN,21,48,0.6,8,129,114,5
20200326,18,市环境监测站,39,优,NaN,27,33,0.5,7,124,115,6
20200326,20,市环保局,51,良,颗粒物(PM10),29,51,0.6,8,120,126,5
20200326,20,市环境监测站,48,优,NaN,33,37,0.7,11,109,120,6
20200326,21,市环保局,51,良,颗粒物(PM10),34,52,0.6,8,118,125,4
20200326,21,市环境监测站,50,优,NaN,35,46,0.7,9,111,119,5
20200327,09,市环保局,68,良,细颗粒物(PM2.5),49,66,1.0,46,45,100,6
20200327,09,市环境监测站,67,良,细颗粒物(PM2.5),48,62,1.0,36,54,85,7
20200327,11,市环保局,84,良,细颗粒物(PM2.5),62,72,0.8,35,100,90,6
20200327,11,市环境监测站,79,良,细颗粒物(PM2.5),58,73,0.8,29,98,78,6
20200327,12,市环保局,77,良,细颗粒物(PM2.5),56,83,0.8,27,125,91,6
20200327,12,市环境监测站,78,良,细颗粒物(PM2.5),57,81,0.8,22,126,81,6
20200327,13,市环保局,64,良,细颗粒物(PM2.5),46,59,0.6,15,141,95,5
20200327,13,市环境监测站,66,良,颗粒物(PM10),45,81,0.6,8,129,85,5
20200327,13,市环保局,64,良,细颗粒物(PM2.5),46,59,0.6,15,141,95,5
20200327,13,市环境监测站,66,良,颗粒物(PM10),45,81,0.6,8,129,85,5
20200327,14,市环保局,49,优,NaN,34,48,0.6,8,131,97,5
20200327,14,市环境监测站,55,良,颗粒物(PM10),30,60,0.5,7,124,88,5
20200327,15,市环保局,51,良,颗粒物(PM10),28,51,0.6,8,130,102,5
20200327,15,市环境监测站,47,优,NaN,15,47,0.5,8,122,98,5
20200327,15,市环保局,51,良,颗粒物(PM10),28,51,0.6,8,130,102,5
20200327,15,市环境监测站,47,优,NaN,15,47,0.5,8,122,98,5
20200327,16,市环保局,44,优,NaN,25,39,0.6,8,138,108,5
20200327,16,市环境监测站,48,优,NaN,15,48,0.5,8,129,105,5
20200327,17,市环保局,58,良,细颗粒物(PM2.5),41,NaN,0.6,8,136,120,5
20200327,17,市环境监测站,41,优,NaN,22,39,0.5,8,131,115,5
20200327,17,市环保局,58,良,细颗粒物(PM2.5),41,NaN,0.6,8,136,120,5
20200327,17,市环境监测站,41,优,NaN,22,39,0.5,8,131,115,5
20200330,07,市环保局,75,良,细颗粒物(PM2.5),55,61,0.7,12,124,132,6
20200330,07,市环境监测站,69,良,细颗粒物(PM2.5),50,NaN,0.8,13,111,117,7
20200330,08,市环保局,78,良,细颗粒物(PM2.5),57,63,0.7,14,124,131,6
20200330,08,市环境监测站,78,良,细颗粒物(PM2.5),57,NaN,1.0,18,103,115,8
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,09,市环保局,78,良,细颗粒物(PM2.5),57,95,1.0,29,93,128,5
20200330,09,市环境监测站,80,良,细颗粒物(PM2.5),59,NaN,1.3,53,53,109,11
20200330,10,市环保局,102,轻度污染,细颗粒物(PM2.5),76,93,1.3,45,77,122,7
20200330,10,市环境监测站,82,良,细颗粒物(PM2.5),60,88,1.4,65,48,101,10
20200330,10,市环保局,102,轻度污染,细颗粒物(PM2.5),76,93,1.3,45,77,122,7
20200330,10,市环境监测站,82,良,细颗粒物(PM2.5),60,88,1.4,65,48,101,10
20200330,11,市环保局,104,轻度污染,细颗粒物(PM2.5),78,97,1.1,41,122,120,8
20200330,11,市环境监测站,78,良,颗粒物(PM10),56,106,1.0,41,110,100,9
