Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,清华站,20,优,NaN,5,9,0.1,18,63,72,9
20200326,18,监测站,20,优,NaN,8,15,0.4,14,63,98,9
20200326,18,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,审计局,21,优,NaN,10,NaN,0.3,15,66,74,9
20200326,18,长治八中,21,优,NaN,13,NaN,0.6,14,66,76,9
20200326,18,德盛苑,20,优,NaN,4,11,0.4,15,63,74,15
20200326,20,清华站,18,优,NaN,5,7,0.1,19,57,71,9
20200326,20,监测站,35,优,NaN,24,NaN,0.3,12,62,89,10
20200326,20,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,审计局,21,优,NaN,2,10,0.3,12,66,76,9
20200326,20,长治八中,20,优,NaN,13,NaN,0.6,14,64,75,8
20200326,20,德盛苑,19,优,NaN,6,9,0.4,16,60,73,15
20200326,21,清华站,19,优,NaN,6,7,0.1,16,59,69,9
20200326,21,监测站,25,优,NaN,17,NaN,0.3,11,64,79,9
20200326,21,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,审计局,21,优,NaN,10,NaN,0.3,12,67,74,9
20200326,21,长治八中,21,优,NaN,9,NaN,0.6,12,66,74,10
20200326,21,德盛苑,20,优,NaN,6,20,0.3,12,64,71,13
20200327,10,清华站,25,优,NaN,12,25,0.2,16,66,65,9
20200327,10,监测站,28,优,NaN,16,28,0.4,12,68,68,12
20200327,10,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,审计局,30,优,NaN,16,30,0.5,11,71,69,19
20200327,10,长治八中,33,优,NaN,13,33,0.7,12,70,70,9
20200327,10,德盛苑,29,优,NaN,15,29,0.5,12,70,68,22
20200327,11,清华站,27,优,NaN,13,27,0.3,16,68,64,13
20200327,11,监测站,31,优,NaN,17,31,0.6,12,69,67,13
20200327,11,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,审计局,35,优,NaN,19,35,0.8,13,71,69,22
20200327,11,长治八中,31,优,NaN,10,31,0.8,14,70,70,11
20200327,11,德盛苑,33,优,NaN,14,33,0.6,14,70,68,23
20200327,12,清华站,31,优,NaN,14,31,0.5,16,74,65,19
20200327,12,监测站,41,优,NaN,26,41,1.0,15,75,67,18
20200327,12,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,审计局,40,优,NaN,19,40,1.2,18,74,69,26
20200327,12,长治八中,NaN,,NaN,NaN,NaN,1.2,NaN,74,70,NaN
20200327,12,德盛苑,41,优,NaN,14,41,1.1,17,72,68,30
20200327,13,清华站,33,优,NaN,16,33,1.0,21,76,67,24
20200327,13,监测站,53,良,颗粒物(PM10),30,55,1.3,20,76,68,24
20200327,13,澳瑞特,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,审计局,53,良,颗粒物(PM10),35,55,1.5,28,76,69,34
20200327,13,长治八中,46,优,NaN,32,43,NaN,22,NaN,69,NaN
20200327,13,德盛苑,52,良,颗粒物(PM10),18,54,1.4,20,77,69,33
20200327,13,清华站,33,优,NaN,16,33,1.0,21,76,67,24
20200327,13,监测站,53,良,颗粒物(PM10),30,55,1.3,20,76,68,24
