Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,西梁,32,优,NaN,8,32,0.6,16,71,68,8
20200326,18,河畔小区,30,优,NaN,5,30,0.6,17,68,65,10
20200326,18,八里堡,46,优,NaN,3,46,0.6,10,74,70,8
20200326,18,农业园区,25,优,NaN,3,22,0.5,5,80,72,7
20200326,20,西梁,29,优,NaN,9,29,0.6,15,66,68,10
20200326,20,河畔小区,24,优,NaN,7,24,0.6,11,69,65,8
20200326,20,八里堡,42,优,NaN,5,42,0.6,9,69,69,8
20200326,20,农业园区,26,优,NaN,5,26,0.5,13,65,72,8
20200326,21,西梁,34,优,NaN,10,34,0.6,21,54,66,15
20200326,21,河畔小区,23,优,NaN,8,23,0.6,16,60,65,10
20200326,21,八里堡,36,优,NaN,8,36,0.6,13,61,68,9
20200326,21,农业园区,25,优,NaN,6,25,0.5,23,50,70,9
20200327,10,西梁,37,优,NaN,8,37,0.6,8,71,71,9
20200327,10,河畔小区,55,良,颗粒物(PM10),10,60,0.7,20,56,56,12
20200327,10,八里堡,51,良,颗粒物(PM10),3,52,0.6,11,71,71,10
20200327,10,农业园区,28,优,NaN,3,28,0.5,3,76,76,8
20200327,11,西梁,32,优,NaN,7,32,0.5,6,75,58,7
20200327,11,河畔小区,37,优,NaN,5,37,0.6,17,63,54,10
20200327,11,八里堡,44,优,NaN,2,44,0.5,6,76,58,8
20200327,11,农业园区,39,优,NaN,3,39,0.5,2,80,68,6
20200327,12,西梁,35,优,NaN,7,35,0.5,6,77,60,6
20200327,12,河畔小区,40,优,NaN,4,40,0.6,9,71,56,8
20200327,12,八里堡,62,良,颗粒物(PM10),2,74,0.5,4,79,60,7
20200327,12,农业园区,34,优,NaN,3,34,0.5,2,82,69,5
20200327,13,西梁,31,优,NaN,7,31,0.5,5,79,62,6
20200327,13,河畔小区,33,优,NaN,5,33,0.6,8,72,57,7
20200327,13,八里堡,58,良,颗粒物(PM10),3,66,0.5,3,80,61,8
20200327,13,农业园区,38,优,NaN,3,38,0.5,2,82,72,5
20200327,13,西梁,31,优,NaN,7,31,0.5,5,79,62,6
20200327,13,河畔小区,33,优,NaN,5,33,0.6,8,72,57,7
20200327,13,八里堡,58,良,颗粒物(PM10),3,66,0.5,3,80,61,8
20200327,13,农业园区,38,优,NaN,3,38,0.5,2,82,72,5
20200327,14,西梁,35,优,NaN,7,35,0.5,6,78,65,6
20200327,14,河畔小区,41,优,NaN,6,41,0.6,12,68,58,7
20200327,14,八里堡,56,良,颗粒物(PM10),2,61,0.5,3,80,64,7
20200327,14,农业园区,56,良,颗粒物(PM10),3,61,0.5,2,82,74,5
20200327,15,西梁,50,优,NaN,7,50,0.5,6,77,69,6
20200327,15,河畔小区,44,优,NaN,6,44,0.6,12,68,61,7
20200327,15,八里堡,88,良,颗粒物(PM10),6,126,0.5,3,80,68,7
20200327,15,农业园区,67,良,颗粒物(PM10),4,84,0.5,2,82,77,5
20200327,15,西梁,50,优,NaN,7,50,0.5,6,77,69,6
20200327,15,河畔小区,44,优,NaN,6,44,0.6,12,68,61,7
20200327,15,八里堡,88,良,颗粒物(PM10),6,126,0.5,3,80,68,7
20200327,15,农业园区,67,良,颗粒物(PM10),4,84,0.5,2,82,77,5
20200327,16,西梁,67,良,颗粒物(PM10),8,83,0.5,6,79,74,5
20200327,16,河畔小区,64,良,颗粒物(PM10),8,77,0.6,7,74,65,6
