Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,州环境监测站,37,优,NaN,12,29,0.6,6,116,120,8
20200326,18,市经济开发区,51,良,颗粒物(PM10),13,51,0.6,7,114,120,10
20200326,20,州环境监测站,36,优,NaN,16,29,0.6,8,115,118,10
20200326,20,市经济开发区,50,优,NaN,17,50,0.7,8,113,117,10
20200326,21,州环境监测站,37,优,NaN,21,27,0.6,8,117,118,11
20200326,21,市经济开发区,49,优,NaN,20,49,0.7,10,111,115,11
20200327,10,州环境监测站,NaN,,NaN,NaN,NaN,1.4,59,54,48,NaN
20200327,10,市经济开发区,77,良,细颗粒物(PM2.5),56,60,1.1,55,48,40,16
20200327,11,州环境监测站,32,优,NaN,22,NaN,0.9,NaN,NaN,38,11
20200327,11,市经济开发区,65,良,细颗粒物(PM2.5),47,60,0.9,23,110,40,12
20200327,12,州环境监测站,57,良,颗粒物(PM10),9,64,0.7,11,127,44,8
20200327,12,市经济开发区,52,良,细颗粒物(PM2.5),36,48,0.8,9,126,47,10
20200327,13,州环境监测站,40,优,NaN,17,38,0.7,7,127,59,7
20200327,13,市经济开发区,46,优,NaN,32,NaN,0.7,NaN,125,58,8
20200327,13,州环境监测站,40,优,NaN,17,38,0.7,7,127,59,7
20200327,13,市经济开发区,46,优,NaN,32,NaN,0.7,NaN,125,58,8
20200327,14,州环境监测站,40,优,NaN,12,36,0.7,6,127,70,7
20200327,14,市经济开发区,43,优,NaN,30,NaN,0.7,NaN,121,71,9
20200327,15,州环境监测站,40,优,NaN,6,33,0.6,6,128,86,8
20200327,15,市经济开发区,40,优,NaN,26,NaN,0.7,7,125,86,10
20200327,15,州环境监测站,40,优,NaN,6,33,0.6,6,128,86,8
20200327,15,市经济开发区,40,优,NaN,26,NaN,0.7,7,125,86,10
20200327,16,州环境监测站,41,优,NaN,9,33,0.7,6,131,103,8
20200327,16,市经济开发区,40,优,NaN,27,NaN,0.7,6,128,101,10
20200327,17,州环境监测站,43,优,NaN,11,43,0.7,7,133,118,9
20200327,17,市经济开发区,42,优,NaN,29,NaN,0.8,8,128,114,10
20200330,07,州环境监测站,52,良,细颗粒物(PM2.5),36,43,0.7,32,58,83,10
20200330,07,市经济开发区,45,优,NaN,30,45,0.7,22,72,75,12
20200330,08,州环境监测站,60,良,细颗粒物(PM2.5),43,43,0.9,53,37,77,12
20200330,08,市经济开发区,50,优,NaN,34,50,0.9,60,30,69,13
20200330,09,州环境监测站,63,良,细颗粒物(PM2.5),45,56,1.1,56,41,70,14
20200330,09,市经济开发区,59,良,细颗粒物(PM2.5),42,56,1.0,59,34,62,16
20200330,09,州环境监测站,63,良,细颗粒物(PM2.5),45,56,1.1,56,41,70,14
20200330,09,市经济开发区,59,良,细颗粒物(PM2.5),42,56,1.0,59,34,62,16
20200330,10,州环境监测站,82,良,细颗粒物(PM2.5),60,71,1.0,28,111,70,15
20200330,10,市经济开发区,64,良,细颗粒物(PM2.5),46,70,1.0,34,100,61,15
20200330,10,州环境监测站,82,良,细颗粒物(PM2.5),60,71,1.0,28,111,70,15
20200330,10,市经济开发区,64,良,细颗粒物(PM2.5),46,70,1.0,34,100,61,15
20200330,10,州环境监测站,82,良,细颗粒物(PM2.5),60,71,1.0,28,111,70,15
20200330,10,市经济开发区,64,良,细颗粒物(PM2.5),46,70,1.0,34,100,61,15
20200330,11,州环境监测站,NaN,,NaN,NaN,NaN,0.8,9,146,76,NaN
20200330,11,市经济开发区,62,良,细颗粒物(PM2.5),44,59,0.9,14,141,67,12
