Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,江湾东路,45,优,NaN,14,45,0.5,15,57,72,10
20200326,18,临江后街,33,优,NaN,15,33,0.6,20,46,61,11
20200326,18,元宝山,31,优,NaN,11,31,0.6,12,52,62,10
20200326,18,民主桥,34,优,NaN,12,34,0.5,16,50,60,11
20200326,20,江湾东路,36,优,NaN,8,36,0.4,8,73,67,8
20200326,20,临江后街,21,优,NaN,6,21,0.4,6,66,59,9
20200326,20,元宝山,23,优,NaN,5,23,0.4,5,66,58,9
20200326,20,民主桥,26,优,NaN,4,26,0.4,8,67,58,11
20200326,21,江湾东路,32,优,NaN,7,32,0.4,6,76,66,8
20200326,21,临江后街,22,优,NaN,5,19,0.4,5,70,59,9
20200326,21,元宝山,22,优,NaN,4,21,0.4,4,70,58,9
20200326,21,民主桥,24,优,NaN,3,24,0.4,6,72,58,11
20200327,10,江湾东路,29,优,NaN,6,29,0.4,4,80,79,8
20200327,10,临江后街,33,优,NaN,4,33,0.4,6,74,74,8
20200327,10,元宝山,24,优,NaN,5,20,0.4,1,76,74,8
20200327,10,民主桥,29,优,NaN,3,29,0.3,7,72,70,10
20200327,11,江湾东路,28,优,NaN,6,28,0.3,4,81,79,8
20200327,11,临江后街,33,优,NaN,4,33,0.3,4,77,74,8
20200327,11,元宝山,24,优,NaN,4,21,0.4,1,76,74,8
20200327,11,民主桥,29,优,NaN,3,29,0.3,6,73,71,10
20200327,12,江湾东路,27,优,NaN,5,26,0.3,3,84,79,8
20200327,12,临江后街,34,优,NaN,4,34,0.3,5,78,74,7
20200327,12,元宝山,25,优,NaN,3,21,0.3,1,78,74,8
20200327,12,民主桥,29,优,NaN,3,29,0.3,5,77,72,10
20200327,13,江湾东路,27,优,NaN,5,26,0.3,3,84,80,8
20200327,13,临江后街,35,优,NaN,4,35,0.3,4,80,74,7
20200327,13,元宝山,25,优,NaN,3,20,0.3,2,79,75,8
20200327,13,民主桥,29,优,NaN,2,29,0.3,4,78,72,10
20200327,13,江湾东路,27,优,NaN,5,26,0.3,3,84,80,8
20200327,13,临江后街,35,优,NaN,4,35,0.3,4,80,74,7
20200327,13,元宝山,25,优,NaN,3,20,0.3,2,79,75,8
20200327,13,民主桥,29,优,NaN,2,29,0.3,4,78,72,10
20200327,14,江湾东路,27,优,NaN,5,26,0.3,3,85,80,8
20200327,14,临江后街,34,优,NaN,3,34,0.3,2,81,75,7
20200327,14,元宝山,25,优,NaN,2,20,0.3,2,79,75,8
20200327,14,民主桥,28,优,NaN,2,28,0.3,6,78,73,9
20200327,15,江湾东路,27,优,NaN,6,26,0.3,4,85,82,8
20200327,15,临江后街,33,优,NaN,3,33,0.3,4,80,77,7
20200327,15,元宝山,25,优,NaN,2,19,0.3,2,80,76,8
20200327,15,民主桥,28,优,NaN,2,28,0.3,6,78,74,9
20200327,15,江湾东路,27,优,NaN,6,26,0.3,4,85,82,8
20200327,15,临江后街,33,优,NaN,3,33,0.3,4,80,77,7
20200327,15,元宝山,25,优,NaN,2,19,0.3,2,80,76,8
20200327,15,民主桥,28,优,NaN,2,28,0.3,6,78,74,9
20200327,16,江湾东路,27,优,NaN,7,27,0.4,6,86,83,9
20200327,16,临江后街,33,优,NaN,3,33,0.4,5,82,78,8
20200327,16,元宝山,26,优,NaN,2,19,0.4,2,82,78,8
20200327,16,民主桥,28,优,NaN,3,28,0.3,8,78,75,11
20200327,17,江湾东路,29,优,NaN,11,29,0.5,8,84,84,12
20200327,17,临江后街,45,优,NaN,7,45,0.5,12,78,79,12
20200327,17,元宝山,25,优,NaN,5,23,0.5,7,80,79,12
20200327,17,民主桥,33,优,NaN,6,33,0.4,12,75,76,14
20200330,07,江湾东路,75,良,细颗粒物(PM2.5),55,83,1.6,19,35,27,21
20200330,07,临江后街,62,良,颗粒物(PM10),41,74,0.9,28,34,42,15
20200330,07,元宝山,70,良,细颗粒物(PM2.5),51,72,1.1,58,19,40,66
20200330,07,民主桥,100,良,细颗粒物(PM2.5),75,107,1.2,47,16,21,21
20200330,08,江湾东路,69,良,细颗粒物(PM2.5),50,78,1.3,18,52,30,25
20200330,08,临江后街,72,良,细颗粒物(PM2.5),52,84,0.9,23,44,42,14
20200330,08,元宝山,82,良,细颗粒物(PM2.5),60,79,1.1,53,28,39,48
20200330,08,民主桥,134,轻度污染,细颗粒物(PM2.5),102,133,1.2,44,27,21,33
20200330,09,江湾东路,78,良,细颗粒物(PM2.5),57,83,1.8,21,63,33,37
20200330,09,临江后街,59,良,颗粒物(PM10),40,68,0.8,20,61,44,14
20200330,09,元宝山,64,良,细颗粒物(PM2.5),46,68,0.9,36,52,39,18
20200330,09,民主桥,59,良,颗粒物(PM10),36,67,0.8,26,61,25,20
20200330,09,江湾东路,78,良,细颗粒物(PM2.5),57,83,1.8,21,63,33,37
20200330,09,临江后街,59,良,颗粒物(PM10),40,68,0.8,20,61,44,14
20200330,09,元宝山,64,良,细颗粒物(PM2.5),46,68,0.9,36,52,39,18
20200330,09,民主桥,59,良,颗粒物(PM10),36,67,0.8,26,61,25,20
20200330,10,江湾东路,62,良,颗粒物(PM10),43,74,0.9,14,85,40,16
20200330,10,临江后街,57,良,颗粒物(PM10),34,64,0.9,13,92,50,17
20200330,10,元宝山,58,良,颗粒物(PM10),38,65,1.1,23,83,43,23
20200330,10,民主桥,60,良,颗粒物(PM10),38,70,0.9,16,84,33,22
20200330,10,江湾东路,62,良,颗粒物(PM10),43,74,0.9,14,85,40,16
20200330,10,临江后街,57,良,颗粒物(PM10),34,64,0.9,13,92,50,17
20200330,10,元宝山,58,良,颗粒物(PM10),38,65,1.1,23,83,43,23
20200330,10,民主桥,60,良,颗粒物(PM10),38,70,0.9,16,84,33,22
20200330,10,江湾东路,62,良,颗粒物(PM10),43,74,0.9,14,85,40,16
20200330,10,临江后街,57,良,颗粒物(PM10),34,64,0.9,13,92,50,17
20200330,10,元宝山,58,良,颗粒物(PM10),38,65,1.1,23,83,43,23
20200330,10,民主桥,60,良,颗粒物(PM10),38,70,0.9,16,84,33,22
20200330,11,江湾东路,58,良,颗粒物(PM10),30,65,0.6,11,102,50,11
20200330,11,临江后街,60,良,颗粒物(PM10),34,70,0.8,12,108,58,15
20200330,11,元宝山,59,良,颗粒物(PM10),36,68,0.9,16,102,51,17
20200330,11,民主桥,59,良,颗粒物(PM10),35,67,0.7,11,100,43,15
