Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,儿童乐园,21,优,NaN,8,16,0.4,13,65,74,4
20200326,18,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,监理站,22,优,NaN,NaN,11,0.5,13,68,73,3
20200326,18,九衢泉纯净水厂,25,优,NaN,17,NaN,0.3,14,70,75,3
20200326,20,儿童乐园,34,优,NaN,12,34,0.5,26,48,68,6
20200326,20,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,监理站,30,优,NaN,3,30,0.6,26,52,69,5
20200326,20,九衢泉纯净水厂,23,优,NaN,13,23,0.4,28,49,69,4
20200326,21,儿童乐园,41,优,NaN,11,41,0.5,24,48,65,9
20200326,21,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,监理站,29,优,NaN,8,29,0.6,27,48,66,6
20200326,21,九衢泉纯净水厂,31,优,NaN,14,31,0.4,26,51,66,5
20200327,10,儿童乐园,48,优,NaN,5,48,0.3,5,74,50,4
20200327,10,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,监理站,36,优,NaN,3,36,0.4,11,74,55,4
20200327,10,九衢泉纯净水厂,39,优,NaN,12,39,0.2,9,74,58,4
20200327,11,儿童乐园,33,优,NaN,1,33,0.2,4,79,53,3
20200327,11,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,监理站,25,优,NaN,NaN,22,0.3,9,78,58,4
20200327,11,九衢泉纯净水厂,27,优,NaN,13,27,0.2,8,80,60,4
20200327,12,儿童乐园,26,优,NaN,2,24,0.2,3,81,57,4
20200327,12,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,监理站,25,优,NaN,NaN,18,0.3,9,80,61,4
20200327,12,九衢泉纯净水厂,26,优,NaN,8,17,0.2,8,81,64,4
20200327,13,儿童乐园,28,优,NaN,NaN,17,0.3,1,89,63,4
20200327,13,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,监理站,28,优,NaN,NaN,19,0.3,7,88,66,4
20200327,13,九衢泉纯净水厂,28,优,NaN,9,14,0.2,7,88,68,4
20200327,13,儿童乐园,28,优,NaN,NaN,17,0.3,1,89,63,4
20200327,13,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,监理站,28,优,NaN,NaN,19,0.3,7,88,66,4
20200327,13,九衢泉纯净水厂,28,优,NaN,9,14,0.2,7,88,68,4
20200327,14,儿童乐园,30,优,NaN,NaN,19,0.3,2,95,69,4
20200327,14,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,监理站,30,优,NaN,NaN,19,0.3,8,93,71,3
20200327,14,九衢泉纯净水厂,30,优,NaN,7,19,0.2,9,94,72,4
20200327,15,儿童乐园,30,优,NaN,NaN,24,0.3,4,96,76,4
20200327,15,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监理站,30,优,NaN,NaN,18,0.3,8,94,76,2
20200327,15,九衢泉纯净水厂,30,优,NaN,6,20,0.2,10,96,78,4
20200327,15,儿童乐园,30,优,NaN,NaN,24,0.3,4,96,76,4
20200327,15,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,监理站,30,优,NaN,NaN,18,0.3,8,94,76,2
20200327,15,九衢泉纯净水厂,30,优,NaN,6,20,0.2,10,96,78,4
20200327,16,儿童乐园,31,优,NaN,NaN,25,0.3,5,97,83,3
20200327,16,黑马集团,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
