Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,综合楼,46,优,NaN,14,46,0.8,18,83,81,14
20200326,18,巴音孟克林场办事处,45,优,NaN,16,45,0.8,18,79,78,17
20200326,18,康泽苑,33,优,NaN,5,33,0.6,14,88,80,9
20200326,18,华泰汽车城,34,优,NaN,13,34,0.6,7,89,80,8
20200326,18,奥林花园,46,优,NaN,13,46,0.8,21,80,80,14
20200326,20,综合楼,50,优,NaN,10,50,0.5,24,73,82,13
20200326,20,巴音孟克林场办事处,41,优,NaN,18,41,0.6,25,68,80,11
20200326,20,康泽苑,48,优,NaN,9,48,0.6,18,78,82,12
20200326,20,华泰汽车城,50,优,NaN,25,50,0.6,10,80,82,11
20200326,20,奥林花园,53,良,颗粒物(PM10),9,56,0.6,17,81,81,10
20200326,21,综合楼,51,良,颗粒物(PM10),14,51,0.6,34,52,79,15
20200326,21,巴音孟克林场办事处,44,优,NaN,16,44,0.6,33,50,77,14
20200326,21,康泽苑,41,优,NaN,7,41,0.5,17,76,82,8
20200326,21,华泰汽车城,48,优,NaN,18,48,0.5,11,77,82,8
20200326,21,奥林花园,51,良,颗粒物(PM10),14,52,0.7,26,61,79,14
20200327,10,综合楼,24,优,NaN,8,24,0.6,21,70,70,13
20200327,10,巴音孟克林场办事处,27,优,NaN,9,27,0.5,17,71,71,12
20200327,10,康泽苑,31,优,NaN,3,31,0.5,21,64,64,12
20200327,10,华泰汽车城,36,优,NaN,16,36,0.6,15,63,63,12
20200327,10,奥林花园,28,优,NaN,8,28,0.7,23,64,44,20
20200327,11,综合楼,45,优,NaN,6,45,0.6,21,68,70,16
20200327,11,巴音孟克林场办事处,33,优,NaN,9,33,0.5,12,76,61,10
20200327,11,康泽苑,29,优,NaN,2,29,0.6,17,74,48,13
20200327,11,华泰汽车城,35,优,NaN,10,35,0.6,13,72,39,13
20200327,11,奥林花园,33,优,NaN,10,33,0.6,14,76,47,10
20200327,12,综合楼,46,优,NaN,3,46,0.5,11,81,72,13
20200327,12,巴音孟克林场办事处,31,优,NaN,7,31,0.6,10,79,64,10
20200327,12,康泽苑,26,优,NaN,2,25,0.5,11,83,52,10
20200327,12,华泰汽车城,26,优,NaN,9,25,0.6,7,83,47,11
20200327,12,奥林花园,29,优,NaN,7,29,0.6,13,79,50,11
20200327,13,综合楼,32,优,NaN,5,32,0.5,10,83,74,16
20200327,13,巴音孟克林场办事处,26,优,NaN,8,23,0.5,8,83,68,11
20200327,13,康泽苑,28,优,NaN,2,24,0.5,11,87,58,9
20200327,13,华泰汽车城,38,优,NaN,9,38,0.5,6,84,55,10
20200327,13,奥林花园,29,优,NaN,8,29,0.6,12,83,53,11
20200327,13,综合楼,32,优,NaN,5,32,0.5,10,83,74,16
20200327,13,巴音孟克林场办事处,26,优,NaN,8,23,0.5,8,83,68,11
20200327,13,康泽苑,28,优,NaN,2,24,0.5,11,87,58,9
20200327,13,华泰汽车城,38,优,NaN,9,38,0.5,6,84,55,10
20200327,13,奥林花园,29,优,NaN,8,29,0.6,12,83,53,11
20200327,14,综合楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,巴音孟克林场办事处,28,优,NaN,6,28,0.5,7,84,71,10
20200327,14,康泽苑,34,优,NaN,1,34,0.5,11,89,65,8
20200327,14,华泰汽车城,30,优,NaN,13,30,0.4,5,89,61,10
20200327,14,奥林花园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,综合楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,巴音孟克林场办事处,26,优,NaN,10,22,0.6,9,83,75,12
20200327,15,康泽苑,29,优,NaN,1,29,0.5,13,89,71,8
20200327,15,华泰汽车城,29,优,NaN,10,29,0.4,5,90,68,9
20200327,15,奥林花园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,综合楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,巴音孟克林场办事处,26,优,NaN,10,22,0.6,9,83,75,12
20200327,15,康泽苑,29,优,NaN,1,29,0.5,13,89,71,8
20200327,15,华泰汽车城,29,优,NaN,10,29,0.4,5,90,68,9
20200327,15,奥林花园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,综合楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,巴音孟克林场办事处,31,优,NaN,11,31,0.6,10,88,79,14
20200327,16,康泽苑,28,优,NaN,NaN,27,0.5,12,89,78,8
20200327,16,华泰汽车城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,奥林花园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,综合楼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,巴音孟克林场办事处,30,优,NaN,13,27,0.6,11,94,82,13
20200327,17,康泽苑,31,优,NaN,1,31,0.5,11,92,83,9
20200327,17,华泰汽车城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,奥林花园,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,07,综合楼,55,良,颗粒物(PM10),32,59,0.6,35,71,53,14
20200330,07,巴音孟克林场办事处,55,良,颗粒物(PM10),31,59,0.8,41,66,62,17
20200330,07,康泽苑,35,优,NaN,7,35,0.6,27,28,33,6
20200330,07,华泰汽车城,57,良,颗粒物(PM10),38,64,0.6,38,6,9,7
20200330,07,奥林花园,74,良,颗粒物(PM10),33,97,0.9,51,39,16,10
20200330,08,综合楼,59,良,颗粒物(PM10),31,68,0.7,43,67,55,13
20200330,08,巴音孟克林场办事处,56,良,颗粒物(PM10),31,62,0.8,41,69,63,14
20200330,08,康泽苑,44,优,NaN,8,44,0.7,39,18,31,6
20200330,08,华泰汽车城,58,良,颗粒物(PM10),39,66,0.7,34,11,9,7
20200330,08,奥林花园,65,良,颗粒物(PM10),33,79,0.9,43,54,20,11
20200330,09,综合楼,65,良,颗粒物(PM10),40,80,0.9,54,54,58,18
20200330,09,巴音孟克林场办事处,62,良,颗粒物(PM10),37,73,0.9,45,63,67,15
20200330,09,康泽苑,45,优,NaN,11,45,0.8,43,41,33,9
20200330,09,华泰汽车城,63,良,细颗粒物(PM2.5),45,74,0.8,45,13,9,10
20200330,09,奥林花园,70,良,颗粒物(PM10),40,89,1.1,48,54,26,20
20200330,09,综合楼,65,良,颗粒物(PM10),40,80,0.9,54,54,58,18
20200330,09,巴音孟克林场办事处,62,良,颗粒物(PM10),37,73,0.9,45,63,67,15
20200330,09,康泽苑,45,优,NaN,11,45,0.8,43,41,33,9
20200330,09,华泰汽车城,63,良,细颗粒物(PM2.5),45,74,0.8,45,13,9,10
20200330,09,奥林花园,70,良,颗粒物(PM10),40,89,1.1,48,54,26,20
