Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,沈抚新城,45,优,NaN,28,45,0.5,25,53,64,10
20200326,18,望花区,32,优,NaN,18,32,0.4,19,63,65,13
20200326,18,顺城区,26,优,NaN,11,26,0.4,18,63,68,7
20200326,18,东洲区,23,优,NaN,8,18,0.3,6,73,70,10
20200326,18,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,大伙房水库,25,优,NaN,5,13,0.3,4,79,76,9
20200326,20,沈抚新城,50,优,NaN,35,50,0.5,18,58,61,17
20200326,20,望花区,38,优,NaN,26,36,0.4,18,60,64,14
20200326,20,顺城区,28,优,NaN,19,23,0.4,21,56,67,8
20200326,20,东洲区,26,优,NaN,18,21,0.3,7,69,72,11
20200326,20,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,大伙房水库,24,优,NaN,11,24,0.3,5,68,76,9
20200326,21,沈抚新城,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,53,0.7,30,41,58,17
20200326,21,望花区,54,良,细颗粒物(PM2.5),38,46,0.5,22,50,62,13
20200326,21,顺城区,36,优,NaN,19,36,0.4,26,47,64,11
20200326,21,东洲区,25,优,NaN,17,23,0.3,6,66,71,11
20200326,21,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,大伙房水库,20,优,NaN,9,18,0.3,12,63,75,10
20200327,10,沈抚新城,67,良,颗粒物(PM10),13,83,0.4,12,70,26,8
20200327,10,望花区,66,良,颗粒物(PM10),22,82,0.4,16,67,30,12
20200327,10,顺城区,69,良,颗粒物(PM10),22,88,0.4,18,58,16,12
20200327,10,东洲区,48,优,NaN,8,48,0.3,5,69,26,12
20200327,10,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,大伙房水库,26,优,NaN,13,26,0.3,5,58,30,10
20200327,11,沈抚新城,55,良,颗粒物(PM10),5,59,0.3,5,81,33,6
20200327,11,望花区,54,良,颗粒物(PM10),17,58,0.3,7,79,35,9
20200327,11,顺城区,60,良,颗粒物(PM10),14,69,0.3,13,70,24,10
20200327,11,东洲区,46,优,NaN,7,46,0.3,4,75,34,12
20200327,11,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,大伙房水库,43,优,NaN,8,43,0.3,4,74,36,10
20200327,12,沈抚新城,43,优,NaN,9,43,0.3,6,82,41,7
20200327,12,望花区,42,优,NaN,25,42,0.3,9,76,40,9
20200327,12,顺城区,43,优,NaN,4,43,0.3,3,83,34,7
20200327,12,东洲区,43,优,NaN,7,43,0.3,5,78,42,11
20200327,12,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,大伙房水库,43,优,NaN,7,43,0.3,4,79,42,12
20200327,13,沈抚新城,39,优,NaN,6,39,0.3,4,88,51,6
20200327,13,望花区,45,优,NaN,19,45,0.3,6,83,49,9
20200327,13,顺城区,33,优,NaN,6,33,0.3,4,84,43,8
20200327,13,东洲区,33,优,NaN,5,33,0.3,4,82,50,10
20200327,13,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,大伙房水库,28,优,NaN,5,28,0.2,3,83,50,10
20200327,13,沈抚新城,39,优,NaN,6,39,0.3,4,88,51,6
20200327,13,望花区,45,优,NaN,19,45,0.3,6,83,49,9
20200327,13,顺城区,33,优,NaN,6,33,0.3,4,84,43,8
20200327,13,东洲区,33,优,NaN,5,33,0.3,4,82,50,10
20200327,13,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,大伙房水库,28,优,NaN,5,28,0.2,3,83,50,10
20200327,14,沈抚新城,32,优,NaN,4,32,0.2,3,89,60,6
20200327,14,望花区,42,优,NaN,13,42,0.3,5,85,58,8
20200327,14,顺城区,33,优,NaN,5,33,0.3,3,88,54,7
20200327,14,东洲区,28,优,NaN,6,28,0.3,5,83,59,11
20200327,14,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,大伙房水库,34,优,NaN,7,34,0.3,4,84,58,10
20200327,15,沈抚新城,29,优,NaN,4,25,0.2,3,90,69,5
20200327,15,望花区,27,优,NaN,5,25,0.3,5,86,67,6
20200327,15,顺城区,30,优,NaN,4,30,0.3,3,89,64,7
20200327,15,东洲区,32,优,NaN,5,32,0.3,5,86,67,10
20200327,15,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,大伙房水库,33,优,NaN,5,33,0.2,3,89,67,10
20200327,15,沈抚新城,29,优,NaN,4,25,0.2,3,90,69,5
20200327,15,望花区,27,优,NaN,5,25,0.3,5,86,67,6
20200327,15,顺城区,30,优,NaN,4,30,0.3,3,89,64,7
20200327,15,东洲区,32,优,NaN,5,32,0.3,5,86,67,10
20200327,15,新抚区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,大伙房水库,33,优,NaN,5,33,0.2,3,89,67,10
