Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,鼓山,61,良,颗粒物(PM10),32,72,0.5,32,80,60,6
20200326,18,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,师大,74,良,颗粒物(PM10),38,98,0.8,81,36,35,5
20200326,18,五四北路,62,良,颗粒物(PM10),38,73,0.7,61,46,27,7
20200326,18,杨桥西路,73,良,颗粒物(PM10),27,96,1.1,67,32,23,4
20200326,18,紫阳,68,良,颗粒物(PM10),27,86,1.2,58,38,19,7
20200326,18,九龙,63,良,细颗粒物(PM2.5),45,45,0.5,38,77,81,8
20200326,20,鼓山,35,优,NaN,24,26,0.4,14,84,69,6
20200326,20,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,师大,65,良,颗粒物(PM10),33,79,0.8,63,38,40,5
20200326,20,五四北路,74,良,颗粒物(PM10),48,97,1.0,90,6,28,6
20200326,20,杨桥西路,79,良,颗粒物(PM10),36,107,1.3,90,9,24,4
20200326,20,紫阳,68,良,颗粒物(PM10),33,85,1.2,58,32,26,8
20200326,20,九龙,59,良,细颗粒物(PM2.5),42,46,0.5,32,79,82,5
20200326,21,鼓山,33,优,NaN,23,32,0.4,11,78,72,5
20200326,21,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,师大,43,优,NaN,18,43,0.7,45,40,41,4
20200326,21,五四北路,79,良,颗粒物(PM10),49,107,1.1,90,6,27,6
20200326,21,杨桥西路,52,良,颗粒物(PM10),19,53,1.0,48,23,25,3
20200326,21,紫阳,73,良,颗粒物(PM10),38,95,1.3,83,4,26,8
20200326,21,九龙,63,良,细颗粒物(PM2.5),45,53,0.5,36,57,80,4
20200327,10,鼓山,52,良,颗粒物(PM10),14,54,0.5,34,16,49,5
20200327,10,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,师大,34,优,NaN,16,34,0.6,17,47,32,5
20200327,10,五四北路,31,优,NaN,19,31,0.5,22,30,7,8
20200327,10,杨桥西路,36,优,NaN,12,36,0.9,16,34,14,3
20200327,10,紫阳,39,优,NaN,18,39,0.9,25,29,8,7
20200327,10,九龙,54,良,颗粒物(PM10),28,58,0.5,37,44,34,8
20200327,11,鼓山,51,良,颗粒物(PM10),16,51,NaN,36,35,46,5
20200327,11,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,师大,37,优,NaN,17,37,0.6,19,59,35,4
20200327,11,五四北路,39,优,NaN,22,39,0.5,23,48,13,8
20200327,11,杨桥西路,33,优,NaN,13,33,0.9,12,55,20,4
20200327,11,紫阳,48,优,NaN,21,48,0.9,27,37,12,7
20200327,11,九龙,40,优,NaN,28,35,0.5,24,71,39,5
20200327,12,鼓山,NaN,,NaN,NaN,NaN,0.4,16,68,47,NaN
20200327,12,快安,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,师大,41,优,NaN,20,41,0.6,20,79,40,4
20200327,12,五四北路,39,优,NaN,21,39,0.5,24,62,21,8
20200327,12,杨桥西路,36,优,NaN,15,36,0.9,18,63,26,3
20200327,12,紫阳,48,优,NaN,22,48,0.9,25,65,20,6
