Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,通天岩,38,优,NaN,24,32,1.1,11,120,121,4
20200326,18,地委,36,优,NaN,11,36,1.2,26,95,99,6
20200326,18,气象台,32,优,NaN,15,26,0.7,19,100,104,13
20200326,18,市图书馆,33,优,NaN,14,32,0.9,20,104,107,10
20200326,18,华坚鞋城,39,优,NaN,14,30,1.0,13,124,114,2
20200326,20,通天岩,38,优,NaN,14,38,1.2,17,101,125,4
20200326,20,地委,53,良,颗粒物(PM10),23,56,1.5,37,58,97,6
20200326,20,气象台,42,优,NaN,29,41,0.9,32,84,104,10
20200326,20,市图书馆,48,优,NaN,19,48,1.1,29,89,110,7
20200326,20,华坚鞋城,51,良,颗粒物(PM10),22,52,1.3,41,88,117,5
20200326,21,通天岩,31,优,NaN,21,31,1.2,22,78,121,2
20200326,21,地委,59,良,颗粒物(PM10),33,68,1.4,57,16,88,4
20200326,21,气象台,51,良,颗粒物(PM10),31,52,1.0,71,19,94,8
20200326,21,市图书馆,59,良,颗粒物(PM10),26,68,1.3,62,24,100,7
20200326,21,华坚鞋城,59,良,颗粒物(PM10),36,68,1.3,37,70,113,4
20200327,10,通天岩,36,优,NaN,22,36,1.2,15,15,8,4
20200327,10,地委,40,优,NaN,28,40,1.2,23,8,7,8
20200327,10,气象台,32,优,NaN,22,30,0.9,28,4,5,14
20200327,10,市图书馆,43,优,NaN,21,43,1.2,28,5,5,11
20200327,10,华坚鞋城,42,优,NaN,29,37,1.3,23,3,4,8
20200327,11,通天岩,41,优,NaN,26,41,1.2,11,22,10,3
20200327,11,地委,45,优,NaN,27,45,1.2,21,16,8,10
20200327,11,气象台,41,优,NaN,22,41,0.8,28,10,6,16
20200327,11,市图书馆,38,优,NaN,26,35,1.1,28,8,6,12
20200327,11,华坚鞋城,50,优,NaN,29,50,1.1,25,11,4,6
20200327,12,通天岩,46,优,NaN,26,46,1.1,6,34,13,1
20200327,12,地委,49,优,NaN,29,49,1.1,13,31,11,11
20200327,12,气象台,51,良,颗粒物(PM10),34,51,0.7,19,29,10,21
20200327,12,市图书馆,46,优,NaN,28,46,1.0,19,34,10,16
20200327,12,华坚鞋城,53,良,颗粒物(PM10),32,56,1.0,16,24,6,7
20200327,13,通天岩,36,优,NaN,19,36,1.1,5,47,18,1
20200327,13,地委,43,优,NaN,30,37,1.1,13,45,16,15
20200327,13,气象台,46,优,NaN,28,46,0.7,17,45,15,30
20200327,13,市图书馆,50,优,NaN,33,50,0.9,14,53,16,21
20200327,13,华坚鞋城,46,优,NaN,30,46,1.0,14,46,12,21
20200327,13,通天岩,36,优,NaN,19,36,1.1,5,47,18,1
20200327,13,地委,43,优,NaN,30,37,1.1,13,45,16,15
