Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,黑石坡,119,轻度污染,细颗粒物(PM2.5),90,180,0.2,10,83,81,4
20200326,18,老城,123,轻度污染,颗粒物(PM10),44,195,0.3,21,65,68,5
20200326,18,南坝,123,轻度污染,颗粒物(PM10),49,196,0.3,21,66,67,15
20200326,18,监测站,132,轻度污染,颗粒物(PM10),60,214,0.1,9,72,71,11
20200326,20,黑石坡,72,良,细颗粒物(PM2.5),52,84,0.2,9,80,82,4
20200326,20,老城,68,良,颗粒物(PM10),33,86,0.3,19,64,68,5
20200326,20,南坝,73,良,颗粒物(PM10),29,96,0.3,20,61,67,15
20200326,20,监测站,64,良,颗粒物(PM10),34,78,0.1,9,70,71,11
20200326,21,黑石坡,55,良,颗粒物(PM10),35,60,0.2,8,81,82,4
20200326,21,老城,54,良,颗粒物(PM10),32,57,0.3,16,65,68,5
20200326,21,南坝,60,良,颗粒物(PM10),25,70,0.3,19,62,66,15
20200326,21,监测站,50,优,NaN,25,50,0.1,8,71,72,11
20200327,10,黑石坡,30,优,NaN,19,30,0.3,8,79,85,4
20200327,10,老城,27,优,NaN,9,27,0.3,16,72,74,3
20200327,10,南坝,45,优,NaN,12,45,0.2,20,68,70,16
20200327,10,监测站,26,优,NaN,7,26,0.1,10,70,77,11
20200327,11,黑石坡,26,优,NaN,11,26,0.3,9,76,84,4
20200327,11,老城,22,优,NaN,12,19,0.3,18,70,74,4
20200327,11,南坝,48,优,NaN,15,48,0.2,18,67,70,16
20200327,11,监测站,22,优,NaN,4,21,0.1,9,70,76,11
20200327,12,黑石坡,25,优,NaN,4,22,0.3,7,79,82,4
20200327,12,老城,22,优,NaN,8,21,0.3,18,70,73,3
20200327,12,南坝,39,优,NaN,10,39,0.2,17,69,69,16
20200327,12,监测站,23,优,NaN,9,22,0.1,8,71,74,11
20200327,13,黑石坡,26,优,NaN,6,9,0.3,6,81,82,4
20200327,13,老城,23,优,NaN,6,9,0.3,16,73,72,3
20200327,13,南坝,24,优,NaN,4,24,0.2,15,72,68,16
20200327,13,监测站,25,优,NaN,7,25,0.1,7,73,74,10
20200327,13,黑石坡,26,优,NaN,6,9,0.3,6,81,82,4
20200327,13,老城,23,优,NaN,6,9,0.3,16,73,72,3
20200327,13,南坝,24,优,NaN,4,24,0.2,15,72,68,16
20200327,13,监测站,25,优,NaN,7,25,0.1,7,73,74,10
20200327,14,黑石坡,26,优,NaN,4,11,0.2,6,82,82,4
20200327,14,老城,23,优,NaN,6,14,0.3,17,73,72,3
20200327,14,南坝,24,优,NaN,5,19,0.2,14,75,68,16
20200327,14,监测站,24,优,NaN,9,16,0.1,6,76,74,10
20200327,15,黑石坡,27,优,NaN,5,12,0.2,6,84,81,4
20200327,15,老城,24,优,NaN,8,10,0.3,16,76,72,3
20200327,15,南坝,25,优,NaN,7,24,0.2,15,77,69,15
20200327,15,监测站,25,优,NaN,4,11,0.1,7,77,73,10
20200327,15,黑石坡,27,优,NaN,5,12,0.2,6,84,81,4
20200327,15,老城,24,优,NaN,8,10,0.3,16,76,72,3
20200327,15,南坝,25,优,NaN,7,24,0.2,15,77,69,15
20200327,15,监测站,25,优,NaN,4,11,0.1,7,77,73,10
20200327,16,黑石坡,27,优,NaN,8,13,0.2,6,86,81,5
20200327,16,老城,25,优,NaN,4,10,0.3,16,78,73,3
20200327,16,南坝,25,优,NaN,5,25,0.2,15,79,71,15
20200327,16,监测站,26,优,NaN,4,15,0.1,7,82,74,10
20200327,17,黑石坡,27,优,NaN,9,12,0.3,6,86,82,5
20200327,17,老城,24,优,NaN,6,11,0.3,18,74,73,2
20200327,17,南坝,26,优,NaN,8,26,0.3,13,75,73,15
20200327,17,监测站,25,优,NaN,5,12,0.1,7,80,75,10
20200330,07,黑石坡,21,优,NaN,13,21,0.4,22,14,23,7
20200330,07,老城,26,优,NaN,17,19,0.5,52,5,6,4
20200330,07,南坝,35,优,NaN,24,25,0.5,43,5,7,15
20200330,07,监测站,25,优,NaN,5,25,0.5,33,2,7,16
20200330,08,黑石坡,28,优,NaN,19,25,0.5,31,9,21,10
20200330,08,老城,26,优,NaN,17,19,0.6,52,5,6,6
20200330,08,南坝,36,优,NaN,25,33,0.6,43,5,7,15
20200330,08,监测站,23,优,NaN,9,23,0.4,38,4,7,18
20200330,09,黑石坡,27,优,NaN,18,27,0.6,31,14,18,20
20200330,09,老城,26,优,NaN,17,19,0.6,51,8,6,6
20200330,09,南坝,35,优,NaN,24,26,0.6,45,6,6,14
20200330,09,监测站,26,优,NaN,18,20,0.4,35,7,6,15
20200330,09,黑石坡,27,优,NaN,18,27,0.6,31,14,18,20
20200330,09,老城,26,优,NaN,17,19,0.6,51,8,6,6
20200330,09,南坝,35,优,NaN,24,26,0.6,45,6,6,14
20200330,09,监测站,26,优,NaN,18,20,0.4,35,7,6,15
20200330,10,黑石坡,26,优,NaN,18,22,0.6,32,15,15,21
20200330,10,老城,25,优,NaN,17,19,0.6,47,12,6,6
20200330,10,南坝,38,优,NaN,26,38,0.5,42,10,6,13
20200330,10,监测站,23,优,NaN,16,22,0.4,37,8,5,15
20200330,10,黑石坡,26,优,NaN,18,22,0.6,32,15,15,21
20200330,10,老城,25,优,NaN,17,19,0.6,47,12,6,6
20200330,10,南坝,38,优,NaN,26,38,0.5,42,10,6,13
20200330,10,监测站,23,优,NaN,16,22,0.4,37,8,5,15
20200330,11,黑石坡,32,优,NaN,22,24,0.5,30,19,14,9
20200330,11,老城,25,优,NaN,17,19,0.5,45,15,8,5
20200330,11,南坝,48,优,NaN,26,48,0.5,41,12,8,13
20200330,11,监测站,23,优,NaN,16,21,0.3,31,14,6,14
